"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Create a new report","39","Create Report - No auth","QA|Nova Bank - Infopool","Tue May 27 14:03:43 GMT 2025","passed","Tue May 27 14:03:43 GMT 2025","v1 > Report > Create Report","Bank Admin","",""
"","39","Export Report Data","QA|Nova Bank - Infopool","Tue May 27 14:03:44 GMT 2025","failed","Tue May 27 14:03:44 GMT 2025","v1 > Report > Export Report Data","Bank Admin","",""
"","39","Get permission by ID - ID does not exist","QA|Nova Bank - Infopool","Tue May 27 14:03:42 GMT 2025","failed","Tue May 27 14:03:42 GMT 2025","v1 > Permissions > Get permission by ID","Bank Admin","",""
"","40","Export Report Data - Invalid format","QA|Nova Bank - Infopool","Tue May 27 14:03:44 GMT 2025","failed","Tue May 27 14:03:44 GMT 2025","v1 > Report > Export Report Data","Bank Admin","",""
"","41","audit trail","QA|Nova Bank - Infopool","Tue May 27 14:03:29 GMT 2025","failed","Tue May 27 14:03:29 GMT 2025","v1 > Audit trail > Audit trail","Bank User","",""
"Update an existing report","37","Update Report","QA|Nova Bank - Infopool","Tue May 27 14:03:43 GMT 2025","passed","Tue May 27 14:03:43 GMT 2025","v1 > Report > Update Report","Bank Admin","",""
"Verify TOTP or OTP. For OTP, you need to provide either `email` or `phone` as the recipient if you are not logged in.
    Make sure the operation matches the one used to generate the OTP.

    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE
    ","79","Invalid OTP - Verify MFA code, MFA backup code, Email or SMS OTP","QA|Nova Bank - Infopool","Tue May 27 14:03:28 GMT 2025","failed","Tue May 27 14:03:28 GMT 2025","v1 > Auth > MFA > Verify","Bank User","",""
"","39","Get roles - No Auth","QA|Nova Bank - Infopool","Tue May 27 14:03:42 GMT 2025","passed","Tue May 27 14:03:42 GMT 2025","v1 > Roles > Get roles","Bank Admin","",""
"","40","Empty first name - Send user invitation token","QA|Nova Bank - Infopool","Tue May 27 14:03:30 GMT 2025","passed","Tue May 27 14:03:30 GMT 2025","v1 > Onboarding > Complete profile","Bank User","",""
"","39","Update organization details by ID - No auth","QA|Nova Bank - Infopool","Tue May 27 14:03:35 GMT 2025","passed","Tue May 27 14:03:35 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","36","Get role by ID - no auth","QA|Nova Bank - Infopool","Tue May 27 14:03:42 GMT 2025","passed","Tue May 27 14:03:42 GMT 2025","v1 > Roles > Get role by ID","Bank Admin","",""
"","37","Fetch user by ID - no auth","QA|Nova Bank - Infopool","Tue May 27 14:03:33 GMT 2025","passed","Tue May 27 14:03:33 GMT 2025","v1 > Users > Fetch user by ID","Bank Admin","",""
"","39","No auth - get all category","QA|Nova Bank - Infopool","Tue May 27 14:03:42 GMT 2025","passed","Tue May 27 14:03:42 GMT 2025","v1 > Notifications > Category > Fetch all category","Bank Admin","",""
"","39","No Auth - Fetch Customers Transactions","QA|Nova Bank - Infopool","Tue May 27 14:03:32 GMT 2025","passed","Tue May 27 14:03:32 GMT 2025","v1 > Customer 360 > Fetch customers transaction","Bank User","",""
"","41","Get all Issues","QA|Nova Bank - Infopool","Tue May 27 14:03:31 GMT 2025","failed","Tue May 27 14:03:31 GMT 2025","v1 > Customer 360 > Issues > get all issues","Bank User","",""
"","41","Invalid user phone number - Search Customers","QA|Nova Bank - Infopool","Tue May 27 14:03:32 GMT 2025","failed","Tue May 27 14:03:32 GMT 2025","v1 > Customer 360 > Search for a customer > search by phone number","Bank User","",""
"","11","New Request","QA|Nova Bank - Infopool","Tue May 27 14:03:28 GMT 2025","broken","Tue May 27 14:03:28 GMT 2025","v1 > Auth > Forgot password > Reset password","Bank User","",""
"","40","Update role status","QA|Nova Bank - Infopool","Tue May 27 14:03:42 GMT 2025","failed","Tue May 27 14:03:42 GMT 2025","v1 > Roles > Update role","Bank Admin","",""
"","491","Create a New Issue","QA|Nova Bank - Infopool","Tue May 27 14:03:30 GMT 2025","passed","Tue May 27 14:03:30 GMT 2025","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
"","40","Update Customer Comment Copy","QA|Nova Bank - Infopool","Tue May 27 14:03:32 GMT 2025","passed","Tue May 27 14:03:32 GMT 2025","v1 > Customer 360 > Comments > update comment to customer","Bank User","",""
"","38","No auth - Fetch all users in an organization","QA|Nova Bank - Infopool","Tue May 27 14:03:41 GMT 2025","passed","Tue May 27 14:03:41 GMT 2025","v1 > Organizations > Users > Fetch users in an organization","Bank Admin","",""
"","56","Get Report Data - Dashboard","QA|Nova Bank - Infopool","Tue May 27 14:03:44 GMT 2025","failed","Tue May 27 14:03:44 GMT 2025","v1 > Report > Get Report Data","Bank Admin","",""
"","41","Empty authentication type - Send user invitation token","QA|Nova Bank - Infopool","Tue May 27 14:03:30 GMT 2025","passed","Tue May 27 14:03:30 GMT 2025","v1 > Onboarding > Complete profile","Bank User","",""
"","42","Add attachment to issue","QA|Nova Bank - Infopool","Tue May 27 14:03:31 GMT 2025","failed","Tue May 27 14:03:31 GMT 2025","v1 > Customer 360 > Issues > add attachment to issue","Bank User","",""
"","39","No auth - update role","QA|Nova Bank - Infopool","Tue May 27 14:03:34 GMT 2025","passed","Tue May 27 14:03:34 GMT 2025","v1 > Users > Role > Update role","Bank Admin","",""
"","40","Delete organization details by ID - No auth","QA|Nova Bank - Infopool","Tue May 27 14:03:41 GMT 2025","failed","Tue May 27 14:03:41 GMT 2025","v1 > Organizations > Delete organization","Bank Admin","",""
"","40","No Auth - Get profile roles - successful","QA|Nova Bank - Infopool","Tue May 27 14:03:28 GMT 2025","passed","Tue May 27 14:03:28 GMT 2025","v1 > Profile > Roles","Bank User","",""
"","39","Create roles - empty name field","QA|Nova Bank - Infopool","Tue May 27 14:03:42 GMT 2025","failed","Tue May 27 14:03:42 GMT 2025","v1 > Roles > Create role","Bank Admin","",""
"","42","Remove user from an organization - no auth","QA|Nova Bank - Infopool","Tue May 27 14:03:42 GMT 2025","passed","Tue May 27 14:03:42 GMT 2025","v1 > Organizations > Users > Remove users from an organization","Bank Admin","",""
"","41","Get profile roles - No Auth","QA|Nova Bank - Infopool","Tue May 27 14:03:28 GMT 2025","passed","Tue May 27 14:03:28 GMT 2025","v1 > Profile > Roles","Bank User","",""
"","48","No user credentials","QA|Nova Bank - Infopool","Tue May 27 14:03:27 GMT 2025","passed","Tue May 27 14:03:27 GMT 2025","v1 > Auth > Session > Login","Bank User","",""
"","43","Invalid token - Validate user invitation token","QA|Nova Bank - Infopool","Tue May 27 14:03:29 GMT 2025","passed","Tue May 27 14:03:29 GMT 2025","v1 > Onboarding > Validate invitation","Bank User","",""
"","45","User does not exist - Forgot Password","QA|Nova Bank - Infopool","Tue May 27 14:03:28 GMT 2025","passed","Tue May 27 14:03:28 GMT 2025","v1 > Auth > Forgot password > Initiate forget password","Bank User","",""
"","39","managers","QA|Nova Bank - Infopool","Tue May 27 14:03:42 GMT 2025","failed","Tue May 27 14:03:42 GMT 2025","v1 > Organizations > Managers > Fetch managers of an organization","Bank Admin","",""
"","38","No auth - Create  organization","QA|Nova Bank - Infopool","Tue May 27 14:03:34 GMT 2025","passed","Tue May 27 14:03:34 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","42","Fetch Customers Accounts","QA|Nova Bank - Infopool","Tue May 27 14:03:33 GMT 2025","failed","Tue May 27 14:03:33 GMT 2025","v1 > Customer 360 > Fetch customer accounts","Bank User","",""
