"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","83","Empty password - Send user invitation token","QA|Nova Bank - Infopool","Tue May 27 15:32:13 GMT 2025","passed","Tue May 27 15:32:13 GMT 2025","v1 > Onboarding > Complete profile","Bank User","",""
"","257","No auth - Create a New Issue","QA|Nova Bank - Infopool","Tue May 27 15:32:14 GMT 2025","passed","Tue May 27 15:32:15 GMT 2025","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
"","83","Update organization details by ID - incorrect operation manager ID","QA|Nova Bank - Infopool","Tue May 27 15:32:39 GMT 2025","failed","Tue May 27 15:32:39 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","85","Invalid Channel - Get Email or SMS OTP","QA|Nova Bank - Infopool","Tue May 27 15:32:10 GMT 2025","passed","Tue May 27 15:32:10 GMT 2025","v1 > Auth > MFA > Request","Bank User","",""
"Get a paginated list of reports with optional filtering","82","Get Report Objects - No Auth","QA|Nova Bank - Infopool","Tue May 27 15:32:43 GMT 2025","passed","Tue May 27 15:32:43 GMT 2025","v1 > Report > Get Report Object","Bank Admin","",""
"","89","No email - Forgot Password","QA|Nova Bank - Infopool","Tue May 27 15:32:09 GMT 2025","passed","Tue May 27 15:32:09 GMT 2025","v1 > Auth > Forgot password > Initiate forget password","Bank User","",""
"","83","Invalid authentication - Send user invitation token","QA|Nova Bank - Infopool","Tue May 27 15:32:13 GMT 2025","passed","Tue May 27 15:32:13 GMT 2025","v1 > Onboarding > Complete profile","Bank User","",""
"","9","New Request","QA|Nova Bank - Infopool","Tue May 27 15:32:29 GMT 2025","broken","Tue May 27 15:32:29 GMT 2025","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"","82","Update Customer Comment","QA|Nova Bank - Infopool","Tue May 27 15:32:23 GMT 2025","failed","Tue May 27 15:32:23 GMT 2025","v1 > Customer 360 > Comments > update comment to customer","Bank User","",""
"","82","Create organization - no name","QA|Nova Bank - Infopool","Tue May 27 15:32:31 GMT 2025","failed","Tue May 27 15:32:31 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","82","Get role by ID - invalid ID","QA|Nova Bank - Infopool","Tue May 27 15:32:41 GMT 2025","failed","Tue May 27 15:32:41 GMT 2025","v1 > Roles > Get role by ID","Bank Admin","",""
"","83","Fetch Customer's Financial Summary","QA|Nova Bank - Infopool","Tue May 27 15:32:25 GMT 2025","failed","Tue May 27 15:32:25 GMT 2025","v1 > Customer 360 > Fetch customer's financial summary","Bank User","",""
"Delete a report (soft delete)","83","Delete Report","QA|Nova Bank - Infopool","Tue May 27 15:32:44 GMT 2025","failed","Tue May 27 15:32:44 GMT 2025","v1 > Report > Delete Report","Bank Admin","",""
"","85","No Auth - Update Issue","QA|Nova Bank - Infopool","Tue May 27 15:32:16 GMT 2025","passed","Tue May 27 15:32:16 GMT 2025","v1 > Customer 360 > Issues > update issue","Bank User","",""
"","82","Fetch Customers Channels","QA|Nova Bank - Infopool","Tue May 27 15:32:28 GMT 2025","failed","Tue May 27 15:32:28 GMT 2025","v1 > Customer 360 > Fetch customer channel","Bank User","",""
"","82","No Auth - Fetch Customers Channels","QA|Nova Bank - Infopool","Tue May 27 15:32:28 GMT 2025","passed","Tue May 27 15:32:28 GMT 2025","v1 > Customer 360 > Fetch customer channel","Bank User","",""
