"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","35","Get profile - No Auth","QA|Nova Bank - Infopool","Tue May 27 23:35:31 GMT 2025","passed","Tue May 27 23:35:31 GMT 2025","v1 > Profile > Get profile","Bank User","",""
"","32","Update profile - no auth","QA|Nova Bank - Infopool","Tue May 27 23:35:31 GMT 2025","passed","Tue May 27 23:35:31 GMT 2025","v1 > Profile > Update profile","Bank User","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","39","Empty Operation - Get Email or SMS OTP","QA|Nova Bank - Infopool","Tue May 27 23:35:31 GMT 2025","passed","Tue May 27 23:35:31 GMT 2025","v1 > Auth > MFA > Request","Bank User","",""
"","49","Fetch user by ID - successful","QA|Nova Bank - Infopool","Tue May 27 23:35:44 GMT 2025","passed","Tue May 27 23:35:44 GMT 2025","v1 > Users > Fetch user by ID","Bank Admin","",""
"","34","Add user to an organization - no auth","QA|Nova Bank - Infopool","Tue May 27 23:35:46 GMT 2025","passed","Tue May 27 23:35:46 GMT 2025","v1 > Organizations > Users > Add users to an organization","Bank Admin","",""
"","37","Empty last name - Send user invitation token","QA|Nova Bank - Infopool","Tue May 27 23:35:32 GMT 2025","passed","Tue May 27 23:35:32 GMT 2025","v1 > Onboarding > Complete profile","Bank User","",""
"","86","category by id","QA|Nova Bank - Infopool","Tue May 27 23:35:47 GMT 2025","passed","Tue May 27 23:35:47 GMT 2025","v1 > Notifications > Category > Fetch category by d","Bank Admin","",""
"","36","Delete Attachment from Issue","QA|Nova Bank - Infopool","Tue May 27 23:35:34 GMT 2025","failed","Tue May 27 23:35:34 GMT 2025","v1 > Customer 360 > Issues > delete attachment to an issue","Bank User","",""
"","37","Get all Issues","QA|Nova Bank - Infopool","Tue May 27 23:35:33 GMT 2025","failed","Tue May 27 23:35:33 GMT 2025","v1 > Customer 360 > Issues > get all issues","Bank User","",""
"","36","Get events - end date earlier than start date","QA|Nova Bank - Infopool","Tue May 27 23:35:32 GMT 2025","failed","Tue May 27 23:35:32 GMT 2025","v1 > Audit trail > Event","Bank User","",""
"","33","No Auth - Get all definitions","QA|Nova Bank - Infopool","Tue May 27 23:35:44 GMT 2025","passed","Tue May 27 23:35:44 GMT 2025","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"","34","Remove user from an organization - successful","QA|Nova Bank - Infopool","Tue May 27 23:35:46 GMT 2025","failed","Tue May 27 23:35:46 GMT 2025","v1 > Organizations > Users > Remove users from an organization","Bank Admin","",""
"","34","Fetch user by ID - ID does not exist","QA|Nova Bank - Infopool","Tue May 27 23:35:44 GMT 2025","failed","Tue May 27 23:35:44 GMT 2025","v1 > Users > Fetch user by ID","Bank Admin","",""
"","34","managers","QA|Nova Bank - Infopool","Tue May 27 23:35:47 GMT 2025","failed","Tue May 27 23:35:47 GMT 2025","v1 > Organizations > Managers > Fetch managers of an organization","Bank Admin","",""
"","45","Empty priority - Create a New Issue","QA|Nova Bank - Infopool","Tue May 27 23:35:33 GMT 2025","failed","Tue May 27 23:35:33 GMT 2025","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
"","35","Remove user from an organization - user ID does not exist","QA|Nova Bank - Infopool","Tue May 27 23:35:47 GMT 2025","failed","Tue May 27 23:35:47 GMT 2025","v1 > Organizations > Users > Remove users from an organization","Bank Admin","",""
"","46","Fetch Customer By ID no Auth","QA|Nova Bank - Infopool","Tue May 27 23:35:35 GMT 2025","passed","Tue May 27 23:35:35 GMT 2025","v1 > Customer 360 > Fetch customer by ID","Bank User","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","73","Get Email or SMS OTP","QA|Nova Bank - Infopool","Tue May 27 23:35:30 GMT 2025","passed","Tue May 27 23:35:31 GMT 2025","v1 > Auth > MFA > Request","Bank User","",""
"","34","Export Report Data - No auth","QA|Nova Bank - Infopool","Tue May 27 23:35:49 GMT 2025","passed","Tue May 27 23:35:49 GMT 2025","v1 > Report > Export Report Data","Bank Admin","",""
"","32","No auth - Fetch all users in an organization","QA|Nova Bank - Infopool","Tue May 27 23:35:46 GMT 2025","passed","Tue May 27 23:35:46 GMT 2025","v1 > Organizations > Users > Fetch users in an organization","Bank Admin","",""
"","35","Add user to an organization - successful","QA|Nova Bank - Infopool","Tue May 27 23:35:46 GMT 2025","failed","Tue May 27 23:35:46 GMT 2025","v1 > Organizations > Users > Add users to an organization","Bank Admin","",""
"","33","get user role","QA|Nova Bank - Infopool","Tue May 27 23:35:45 GMT 2025","failed","Tue May 27 23:35:45 GMT 2025","v1 > Users > Role > Get role","Bank Admin","",""
"","104","Generator Customers Transactions Statement - CSV","QA|Nova Bank - Infopool","Tue May 27 23:35:37 GMT 2025","passed","Tue May 27 23:35:38 GMT 2025","v1 > Customer 360 > Generate customers transaction statement","Bank User","",""
"","39","No email - Forgot Password","QA|Nova Bank - Infopool","Tue May 27 23:35:30 GMT 2025","passed","Tue May 27 23:35:30 GMT 2025","v1 > Auth > Forgot password > Initiate forget password","Bank User","",""
"","29","Get roles - successful","QA|Nova Bank - Infopool","Tue May 27 23:35:47 GMT 2025","passed","Tue May 27 23:35:47 GMT 2025","v1 > Roles > Get roles","Bank Admin","",""
"","34","Update Customer Comment Copy","QA|Nova Bank - Infopool","Tue May 27 23:35:34 GMT 2025","passed","Tue May 27 23:35:34 GMT 2025","v1 > Customer 360 > Comments > update comment to customer","Bank User","",""
"","35","Update organization details by ID - No auth","QA|Nova Bank - Infopool","Tue May 27 23:35:46 GMT 2025","passed","Tue May 27 23:35:46 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"Get a paginated list of reports with optional filtering","34","Get Reports - filter by invalid category Id","QA|Nova Bank - Infopool","Tue May 27 23:35:48 GMT 2025","failed","Tue May 27 23:35:48 GMT 2025","v1 > Report > Get Report","Bank Admin","",""
"","50","Empty fields - Update definition","QA|Nova Bank - Infopool","Tue May 27 23:35:44 GMT 2025","passed","Tue May 27 23:35:44 GMT 2025","v1 > Static Definitions > Update definition","Bank Admin","",""
"Delete a report (soft delete)","32","Delete Report","QA|Nova Bank - Infopool","Tue May 27 23:35:48 GMT 2025","failed","Tue May 27 23:35:48 GMT 2025","v1 > Report > Delete Report","Bank Admin","",""
"","33","Fetch user by ID - invalid ID","QA|Nova Bank - Infopool","Tue May 27 23:35:44 GMT 2025","passed","Tue May 27 23:35:44 GMT 2025","v1 > Users > Fetch user by ID","Bank Admin","",""
"","33","Update user - invalid action","QA|Nova Bank - Infopool","Tue May 27 23:35:45 GMT 2025","failed","Tue May 27 23:35:45 GMT 2025","v1 > Users > Update user","Bank Admin","",""
"","35","No auth - Update role status","QA|Nova Bank - Infopool","Tue May 27 23:35:47 GMT 2025","passed","Tue May 27 23:35:47 GMT 2025","v1 > Roles > Update role","Bank Admin","",""
"","31","Get roles - No Auth","QA|Nova Bank - Infopool","Tue May 27 23:35:47 GMT 2025","passed","Tue May 27 23:35:47 GMT 2025","v1 > Roles > Get roles","Bank Admin","",""
"","34","Create roles - No auth","QA|Nova Bank - Infopool","Tue May 27 23:35:47 GMT 2025","passed","Tue May 27 23:35:47 GMT 2025","v1 > Roles > Create role","Bank Admin","",""
"","35","Update organization details by ID - incorrect operation manager ID","QA|Nova Bank - Infopool","Tue May 27 23:35:46 GMT 2025","failed","Tue May 27 23:35:46 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","37","Get events - invalid end date","QA|Nova Bank - Infopool","Tue May 27 23:35:32 GMT 2025","failed","Tue May 27 23:35:32 GMT 2025","v1 > Audit trail > Event","Bank User","",""
"","33","Invalid name - Search Customers","QA|Nova Bank - Infopool","Tue May 27 23:35:34 GMT 2025","failed","Tue May 27 23:35:34 GMT 2025","v1 > Customer 360 > Search for a customer > search by name","Bank User","",""
"Get a paginated list of reports with optional filtering","32","Get Report Objects - No Auth","QA|Nova Bank - Infopool","Tue May 27 23:35:48 GMT 2025","passed","Tue May 27 23:35:48 GMT 2025","v1 > Report > Get Report Object","Bank Admin","",""
"","32","No Auth - Get Issue by ID","QA|Nova Bank - Infopool","Tue May 27 23:35:33 GMT 2025","passed","Tue May 27 23:35:33 GMT 2025","v1 > Customer 360 > Issues > get issue by Id","Bank User","",""
"","33","Fetch organizations by ID - non-existing ID","QA|Nova Bank - Infopool","Tue May 27 23:35:46 GMT 2025","failed","Tue May 27 23:35:46 GMT 2025","v1 > Organizations > Fetch organiation by ID","Bank Admin","",""
