"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","89","Empty Channel - Get Email or SMS OTP","QA|Nova Bank - Infopool","Tue May 27 23:41:56 GMT 2025","passed","Tue May 27 23:41:56 GMT 2025","v1 > Auth > MFA > Request","Bank User","",""
"","79","Invalid ID - Delete Customer Comment","QA|Nova Bank - Infopool","Tue May 27 23:42:10 GMT 2025","failed","Tue May 27 23:42:10 GMT 2025","v1 > Customer 360 > Comments > delete customer comment","Bank User","",""
"","82","Update organization details by ID - incorrect business manager ID","QA|Nova Bank - Infopool","Tue May 27 23:42:25 GMT 2025","failed","Tue May 27 23:42:25 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","11","New Request","QA|Nova Bank - Infopool","Tue May 27 23:41:56 GMT 2025","broken","Tue May 27 23:41:56 GMT 2025","v1 > Auth > Forgot password > Reset password","Bank User","",""
"","105","get all category","QA|Nova Bank - Infopool","Tue May 27 23:42:27 GMT 2025","passed","Tue May 27 23:42:27 GMT 2025","v1 > Notifications > Category > Fetch all category","Bank Admin","",""
"","84","Update profile - invalid phone number","QA|Nova Bank - Infopool","Tue May 27 23:41:58 GMT 2025","failed","Tue May 27 23:41:58 GMT 2025","v1 > Profile > Update profile","Bank User","",""
"","84","Invalid Id - Update Issue","QA|Nova Bank - Infopool","Tue May 27 23:42:02 GMT 2025","failed","Tue May 27 23:42:02 GMT 2025","v1 > Customer 360 > Issues > update issue","Bank User","",""
"","79","No auth - update role","QA|Nova Bank - Infopool","Tue May 27 23:42:16 GMT 2025","passed","Tue May 27 23:42:16 GMT 2025","v1 > Users > Role > Update role","Bank Admin","",""
"","3178","Fetch Customer Comments","QA|Nova Bank - Infopool","Tue May 27 23:42:06 GMT 2025","failed","Tue May 27 23:42:09 GMT 2025","v1 > Customer 360 > Comments > fetch customer comment","Bank User","",""
"","80","No auth - Delete Attachment from Issue","QA|Nova Bank - Infopool","Tue May 27 23:42:02 GMT 2025","passed","Tue May 27 23:42:03 GMT 2025","v1 > Customer 360 > Issues > delete attachment to an issue","Bank User","",""
"","108","Update user - successful","QA|Nova Bank - Infopool","Tue May 27 23:42:15 GMT 2025","passed","Tue May 27 23:42:15 GMT 2025","v1 > Users > Update user","Bank Admin","",""
"Get a specific report by ID","81","Get Report by ID - Invalid id","QA|Nova Bank - Infopool","Tue May 27 23:42:29 GMT 2025","failed","Tue May 27 23:42:29 GMT 2025","v1 > Report > Get Report by Id","Bank Admin","",""
"","84","Get Issue by ID","QA|Nova Bank - Infopool","Tue May 27 23:42:01 GMT 2025","failed","Tue May 27 23:42:02 GMT 2025","v1 > Customer 360 > Issues > get issue by Id","Bank User","",""
"","75","Get roles - successful","QA|Nova Bank - Infopool","Tue May 27 23:42:26 GMT 2025","passed","Tue May 27 23:42:26 GMT 2025","v1 > Roles > Get roles","Bank Admin","",""
"","84","Invalid email format - Forgot password","QA|Nova Bank - Infopool","Tue May 27 23:41:55 GMT 2025","passed","Tue May 27 23:41:56 GMT 2025","v1 > Auth > Forgot password > Initiate forget password","Bank User","",""
"","80","Delete Attachment from Issue","QA|Nova Bank - Infopool","Tue May 27 23:42:02 GMT 2025","failed","Tue May 27 23:42:02 GMT 2025","v1 > Customer 360 > Issues > delete attachment to an issue","Bank User","",""
"","89","get user role","QA|Nova Bank - Infopool","Tue May 27 23:42:16 GMT 2025","passed","Tue May 27 23:42:16 GMT 2025","v1 > Users > Role > Get role","Bank Admin","",""
"","82","Update role status - role does not exist","QA|Nova Bank - Infopool","Tue May 27 23:42:27 GMT 2025","failed","Tue May 27 23:42:27 GMT 2025","v1 > Roles > Update role","Bank Admin","",""
"","86","Empty priority - Create a New Issue","QA|Nova Bank - Infopool","Tue May 27 23:42:01 GMT 2025","failed","Tue May 27 23:42:01 GMT 2025","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
"","86","Update profile","QA|Nova Bank - Infopool","Tue May 27 23:41:58 GMT 2025","failed","Tue May 27 23:41:58 GMT 2025","v1 > Profile > update profile image","Bank User","",""
"","83","Delete organization details by ID - successful","QA|Nova Bank - Infopool","Tue May 27 23:42:25 GMT 2025","failed","Tue May 27 23:42:25 GMT 2025","v1 > Organizations > Delete organization","Bank Admin","",""
"Create a new report","82","Create Report - Duplicate name","QA|Nova Bank - Infopool","Tue May 27 23:42:29 GMT 2025","failed","Tue May 27 23:42:29 GMT 2025","v1 > Report > Create Report","Bank Admin","",""
"","83","Empty first name - Send user invitation token","QA|Nova Bank - Infopool","Tue May 27 23:41:59 GMT 2025","passed","Tue May 27 23:41:59 GMT 2025","v1 > Onboarding > Complete profile","Bank User","",""
"Delete a report (soft delete)","79","Delete Report - Invalid id","QA|Nova Bank - Infopool","Tue May 27 23:42:30 GMT 2025","failed","Tue May 27 23:42:30 GMT 2025","v1 > Report > Delete Report","Bank Admin","",""
"","82","Invalid ID - Add Comment to Customer","QA|Nova Bank - Infopool","Tue May 27 23:42:06 GMT 2025","failed","Tue May 27 23:42:06 GMT 2025","v1 > Customer 360 > Comments > add comment to customer","Bank User","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","87","Empty Operation - Get Email or SMS OTP","QA|Nova Bank - Infopool","Tue May 27 23:41:56 GMT 2025","passed","Tue May 27 23:41:56 GMT 2025","v1 > Auth > MFA > Request","Bank User","",""
"","80","Get all permissions","QA|Nova Bank - Infopool","Tue May 27 23:42:27 GMT 2025","failed","Tue May 27 23:42:27 GMT 2025","v1 > Permissions > Get permissions","Bank Admin","",""
"Get a specific report by ID","79","Get Report by ID - No auth","QA|Nova Bank - Infopool","Tue May 27 23:42:29 GMT 2025","passed","Tue May 27 23:42:29 GMT 2025","v1 > Report > Get Report by Id","Bank Admin","",""
"","81","Get Report Data - Invalid id","QA|Nova Bank - Infopool","Tue May 27 23:42:30 GMT 2025","failed","Tue May 27 23:42:30 GMT 2025","v1 > Report > Get Report Data","Bank Admin","",""
"","80","No Auth - Delete Customer Comment","QA|Nova Bank - Infopool","Tue May 27 23:42:10 GMT 2025","passed","Tue May 27 23:42:10 GMT 2025","v1 > Customer 360 > Comments > delete customer comment","Bank User","",""
"","82","Get role by ID - successful","QA|Nova Bank - Infopool","Tue May 27 23:42:27 GMT 2025","failed","Tue May 27 23:42:27 GMT 2025","v1 > Roles > Get role by ID","Bank Admin","",""
"Get a paginated list of reports with optional filtering","81","Get Reports - No auth","QA|Nova Bank - Infopool","Tue May 27 23:42:28 GMT 2025","passed","Tue May 27 23:42:28 GMT 2025","v1 > Report > Get Report","Bank Admin","",""
"","82","Get Report Data - Dashboard","QA|Nova Bank - Infopool","Tue May 27 23:42:30 GMT 2025","failed","Tue May 27 23:42:30 GMT 2025","v1 > Report > Get Report Data","Bank Admin","",""
"","82","Export Report Data - No auth","QA|Nova Bank - Infopool","Tue May 27 23:42:30 GMT 2025","passed","Tue May 27 23:42:31 GMT 2025","v1 > Report > Export Report Data","Bank Admin","",""
"","122","Fetch Customer By ID","QA|Nova Bank - Infopool","Tue May 27 23:42:10 GMT 2025","passed","Tue May 27 23:42:10 GMT 2025","v1 > Customer 360 > Fetch customer by ID","Bank User","",""
"","80","Fetch Customers Accounts","QA|Nova Bank - Infopool","Tue May 27 23:42:14 GMT 2025","failed","Tue May 27 23:42:14 GMT 2025","v1 > Customer 360 > Fetch customer accounts","Bank User","",""
"","84","Change password - successful","QA|Nova Bank - Infopool","Tue May 27 23:41:57 GMT 2025","failed","Tue May 27 23:41:57 GMT 2025","v1 > Profile > Password","Bank User","",""
"","81","Update Customer Comment Copy","QA|Nova Bank - Infopool","Tue May 27 23:42:09 GMT 2025","passed","Tue May 27 23:42:09 GMT 2025","v1 > Customer 360 > Comments > update comment to customer","Bank User","",""
"Delete a report (soft delete)","78","Delete Report -No auth","QA|Nova Bank - Infopool","Tue May 27 23:42:30 GMT 2025","failed","Tue May 27 23:42:30 GMT 2025","v1 > Report > Delete Report","Bank Admin","",""
"","81","Get events - end date earlier than start date","QA|Nova Bank - Infopool","Tue May 27 23:41:58 GMT 2025","failed","Tue May 27 23:41:59 GMT 2025","v1 > Audit trail > Event","Bank User","",""
"","80","No Auth - Fetch Customer's Financial Summary","QA|Nova Bank - Infopool","Tue May 27 23:42:11 GMT 2025","passed","Tue May 27 23:42:11 GMT 2025","v1 > Customer 360 > Fetch customer's financial summary","Bank User","",""
"","125","Empty issue - Create a New Issue","QA|Nova Bank - Infopool","Tue May 27 23:42:01 GMT 2025","failed","Tue May 27 23:42:01 GMT 2025","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
"","81","Fetch organizations by ID - non-existing ID","QA|Nova Bank - Infopool","Tue May 27 23:42:24 GMT 2025","failed","Tue May 27 23:42:24 GMT 2025","v1 > Organizations > Fetch organiation by ID","Bank Admin","",""
"","81","Fetch Customer By ID no Auth","QA|Nova Bank - Infopool","Tue May 27 23:42:10 GMT 2025","passed","Tue May 27 23:42:10 GMT 2025","v1 > Customer 360 > Fetch customer by ID","Bank User","",""
"Create a new report","82","Create Report - No auth","QA|Nova Bank - Infopool","Tue May 27 23:42:29 GMT 2025","passed","Tue May 27 23:42:29 GMT 2025","v1 > Report > Create Report","Bank Admin","",""
