"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","34","Export Report Data - No auth","QA|Nova Bank - Infopool","Tue May 27 23:57:12 GMT 2025","passed","Tue May 27 23:57:12 GMT 2025","v1 > Report > Export Report Data","Bank Admin","",""
"","35","Update user - invalid action","QA|Nova Bank - Infopool","Tue May 27 23:57:01 GMT 2025","failed","Tue May 27 23:57:01 GMT 2025","v1 > Users > Update user","Bank Admin","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","71","Get Email or SMS OTP","QA|Nova Bank - Infopool","Tue May 27 23:56:53 GMT 2025","passed","Tue May 27 23:56:53 GMT 2025","v1 > Auth > MFA > Request","Bank User","",""
"Create a new report","35","Create Report","QA|Nova Bank - Infopool","Tue May 27 23:57:11 GMT 2025","failed","Tue May 27 23:57:11 GMT 2025","v1 > Report > Create Report","Bank Admin","",""
"","33","No auth - managers","QA|Nova Bank - Infopool","Tue May 27 23:57:10 GMT 2025","passed","Tue May 27 23:57:10 GMT 2025","v1 > Organizations > Managers > Fetch managers of an organization","Bank Admin","",""
"","33","Invalid user phone number - Search Customers","QA|Nova Bank - Infopool","Tue May 27 23:56:57 GMT 2025","failed","Tue May 27 23:56:57 GMT 2025","v1 > Customer 360 > Search for a customer > search by phone number","Bank User","",""
"","148","Get events - successful","QA|Nova Bank - Infopool","Tue May 27 23:56:54 GMT 2025","passed","Tue May 27 23:56:55 GMT 2025","v1 > Audit trail > Event","Bank User","",""
"Get a specific report by ID","32","Get Report by UUID - No auth","QA|Nova Bank - Infopool","Tue May 27 23:57:11 GMT 2025","passed","Tue May 27 23:57:11 GMT 2025","v1 > Report > Get Report by UUID","Bank Admin","",""
"","101","Create roles - Existing role","QA|Nova Bank - Infopool","Tue May 27 23:57:10 GMT 2025","failed","Tue May 27 23:57:10 GMT 2025","v1 > Roles > Create role","Bank Admin","",""
"","34","Create roles - empty name field","QA|Nova Bank - Infopool","Tue May 27 23:57:10 GMT 2025","failed","Tue May 27 23:57:10 GMT 2025","v1 > Roles > Create role","Bank Admin","",""
"","92","update role","QA|Nova Bank - Infopool","Tue May 27 23:57:01 GMT 2025","passed","Tue May 27 23:57:01 GMT 2025","v1 > Users > Role > Update role","Bank Admin","",""
"","33","Update user - no auth","QA|Nova Bank - Infopool","Tue May 27 23:57:01 GMT 2025","passed","Tue May 27 23:57:01 GMT 2025","v1 > Users > Update user","Bank Admin","",""
"","34","managers","QA|Nova Bank - Infopool","Tue May 27 23:57:10 GMT 2025","failed","Tue May 27 23:57:10 GMT 2025","v1 > Organizations > Managers > Fetch managers of an organization","Bank Admin","",""
"","54","Add Comment to Customer","QA|Nova Bank - Infopool","Tue May 27 23:56:57 GMT 2025","failed","Tue May 27 23:56:57 GMT 2025","v1 > Customer 360 > Comments > add comment to customer","Bank User","",""
"","36","Invalid authentication - Send user invitation token","QA|Nova Bank - Infopool","Tue May 27 23:56:55 GMT 2025","passed","Tue May 27 23:56:55 GMT 2025","v1 > Onboarding > Complete profile","Bank User","",""
"","57","Create organization - empty mis code","QA|Nova Bank - Infopool","Tue May 27 23:57:08 GMT 2025","passed","Tue May 27 23:57:08 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","33","No auth - get all category","QA|Nova Bank - Infopool","Tue May 27 23:57:10 GMT 2025","passed","Tue May 27 23:57:10 GMT 2025","v1 > Notifications > Category > Fetch all category","Bank Admin","",""
"","50","Fetch all organizations","QA|Nova Bank - Infopool","Tue May 27 23:57:08 GMT 2025","passed","Tue May 27 23:57:08 GMT 2025","v1 > Organizations > Fetch organization","Bank Admin","",""
"Update an existing report","32","Update Report","QA|Nova Bank - Infopool","Tue May 27 23:57:11 GMT 2025","passed","Tue May 27 23:57:11 GMT 2025","v1 > Report > Update Report","Bank Admin","",""
"","36","No Auth - Change password","QA|Nova Bank - Infopool","Tue May 27 23:56:54 GMT 2025","passed","Tue May 27 23:56:54 GMT 2025","v1 > Profile > Password","Bank User","",""
"","37","Empty password - Send user invitation token","QA|Nova Bank - Infopool","Tue May 27 23:56:55 GMT 2025","passed","Tue May 27 23:56:55 GMT 2025","v1 > Onboarding > Complete profile","Bank User","",""
"","82","Forgot password - successful","QA|Nova Bank - Infopool","Tue May 27 23:56:53 GMT 2025","failed","Tue May 27 23:56:53 GMT 2025","v1 > Auth > Forgot password > Initiate forget password","Bank User","",""
"","33","Invalid ID -Get Issue by ID","QA|Nova Bank - Infopool","Tue May 27 23:56:56 GMT 2025","failed","Tue May 27 23:56:56 GMT 2025","v1 > Customer 360 > Issues > get issue by Id","Bank User","",""
"Create a new report","34","Create Report - Empty category","QA|Nova Bank - Infopool","Tue May 27 23:57:11 GMT 2025","failed","Tue May 27 23:57:11 GMT 2025","v1 > Report > Create Report","Bank Admin","",""
