"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6237","Invalid email format","QA|Nova Bank - Infopool","Wed May 28 00:03:12 GMT 2025","passed","Wed May 28 00:03:18 GMT 2025","v1 > Auth > Session > Login","Bank User","",""
"","59","No Auth - Search Customers","QA|Nova Bank - Infopool","Wed May 28 00:03:25 GMT 2025","passed","Wed May 28 00:03:25 GMT 2025","v1 > Customer 360 > Search for a customer > search by name","Bank User","",""
"","8","New Request","QA|Nova Bank - Infopool","Wed May 28 00:03:35 GMT 2025","broken","Wed May 28 00:03:35 GMT 2025","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"","58","Remove user from an organization - successful","QA|Nova Bank - Infopool","Wed May 28 00:03:39 GMT 2025","failed","Wed May 28 00:03:39 GMT 2025","v1 > Organizations > Users > Remove users from an organization","Bank Admin","",""
"","57","Update profile - invalid phone number","QA|Nova Bank - Infopool","Wed May 28 00:03:20 GMT 2025","failed","Wed May 28 00:03:20 GMT 2025","v1 > Profile > Update profile","Bank User","",""
"","55","Fetch Customer By ID - invalid id","QA|Nova Bank - Infopool","Wed May 28 00:03:25 GMT 2025","failed","Wed May 28 00:03:25 GMT 2025","v1 > Customer 360 > Fetch customer by ID","Bank User","",""
"","57","Update Customer Comment","QA|Nova Bank - Infopool","Wed May 28 00:03:24 GMT 2025","failed","Wed May 28 00:03:24 GMT 2025","v1 > Customer 360 > Comments > update comment to customer","Bank User","",""
"","57","Delete organization details by ID - successful","QA|Nova Bank - Infopool","Wed May 28 00:03:38 GMT 2025","failed","Wed May 28 00:03:38 GMT 2025","v1 > Organizations > Delete organization","Bank Admin","",""
"","57","Update user - invalid action","QA|Nova Bank - Infopool","Wed May 28 00:03:36 GMT 2025","failed","Wed May 28 00:03:36 GMT 2025","v1 > Users > Update user","Bank Admin","",""
"","56","Remove user from an organization - user ID does not exist","QA|Nova Bank - Infopool","Wed May 28 00:03:39 GMT 2025","failed","Wed May 28 00:03:39 GMT 2025","v1 > Organizations > Users > Remove users from an organization","Bank Admin","",""
"","60","Empty last name - Send user invitation token","QA|Nova Bank - Infopool","Wed May 28 00:03:22 GMT 2025","passed","Wed May 28 00:03:22 GMT 2025","v1 > Onboarding > Complete profile","Bank User","",""
"","57","Add Comment to Issue","QA|Nova Bank - Infopool","Wed May 28 00:03:23 GMT 2025","failed","Wed May 28 00:03:23 GMT 2025","v1 > Customer 360 > Issues > add comment to an issue","Bank User","",""
"","58","Delete organization details by ID -Invalid Id","QA|Nova Bank - Infopool","Wed May 28 00:03:38 GMT 2025","failed","Wed May 28 00:03:38 GMT 2025","v1 > Organizations > Delete organization","Bank Admin","",""
"","150","audit trail","QA|Nova Bank - Infopool","Wed May 28 00:03:21 GMT 2025","passed","Wed May 28 00:03:21 GMT 2025","v1 > Audit trail > Audit trail","Bank User","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","60","Invalid Operation - Get Email or SMS OTP","QA|Nova Bank - Infopool","Wed May 28 00:03:19 GMT 2025","passed","Wed May 28 00:03:19 GMT 2025","v1 > Auth > MFA > Request","Bank User","",""
"","57","Update profile - no phone number","QA|Nova Bank - Infopool","Wed May 28 00:03:20 GMT 2025","failed","Wed May 28 00:03:20 GMT 2025","v1 > Profile > Update profile","Bank User","",""
"Get a paginated list of reports with optional filtering","57","Get Reports","QA|Nova Bank - Infopool","Wed May 28 00:03:40 GMT 2025","failed","Wed May 28 00:03:40 GMT 2025","v1 > Report > Get Report","Bank Admin","",""
"","56","Update Customer Comment Copy","QA|Nova Bank - Infopool","Wed May 28 00:03:24 GMT 2025","passed","Wed May 28 00:03:24 GMT 2025","v1 > Customer 360 > Comments > update comment to customer","Bank User","",""
"","57","No Auth - Get profile roles - successful","QA|Nova Bank - Infopool","Wed May 28 00:03:20 GMT 2025","passed","Wed May 28 00:03:20 GMT 2025","v1 > Profile > Roles","Bank User","",""
"","57","Fetch Customer Comments","QA|Nova Bank - Infopool","Wed May 28 00:03:24 GMT 2025","failed","Wed May 28 00:03:24 GMT 2025","v1 > Customer 360 > Comments > fetch customer comment","Bank User","",""
"","77","Add Comment to Customer","QA|Nova Bank - Infopool","Wed May 28 00:03:24 GMT 2025","failed","Wed May 28 00:03:24 GMT 2025","v1 > Customer 360 > Comments > add comment to customer","Bank User","",""
"","56","Empty issue category - Create a New Issue","QA|Nova Bank - Infopool","Wed May 28 00:03:23 GMT 2025","failed","Wed May 28 00:03:23 GMT 2025","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
"","58","No Auth - Delete Customer Comment","QA|Nova Bank - Infopool","Wed May 28 00:03:24 GMT 2025","passed","Wed May 28 00:03:24 GMT 2025","v1 > Customer 360 > Comments > delete customer comment","Bank User","",""
"","75","Create organization - operations manager ID does not exist","QA|Nova Bank - Infopool","Wed May 28 00:03:37 GMT 2025","passed","Wed May 28 00:03:37 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","191","update role","QA|Nova Bank - Infopool","Wed May 28 00:03:36 GMT 2025","passed","Wed May 28 00:03:36 GMT 2025","v1 > Users > Role > Update role","Bank Admin","",""
"","59","Invalid ID - Get single definition","QA|Nova Bank - Infopool","Wed May 28 00:03:35 GMT 2025","failed","Wed May 28 00:03:35 GMT 2025","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"","55","Logout session - no session","QA|Nova Bank - Infopool","Wed May 28 00:03:40 GMT 2025","passed","Wed May 28 00:03:40 GMT 2025","v1 > Logout","Bank Admin","",""
"","74","Create organization - no country ID","QA|Nova Bank - Infopool","Wed May 28 00:03:37 GMT 2025","passed","Wed May 28 00:03:37 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","57","No Auth - Change password","QA|Nova Bank - Infopool","Wed May 28 00:03:20 GMT 2025","passed","Wed May 28 00:03:20 GMT 2025","v1 > Profile > Password","Bank User","",""
"","55","Invalid user phone number - Search Customers","QA|Nova Bank - Infopool","Wed May 28 00:03:25 GMT 2025","failed","Wed May 28 00:03:25 GMT 2025","v1 > Customer 360 > Search for a customer > search by phone number","Bank User","",""
"","112","Forgot password - successful","QA|Nova Bank - Infopool","Wed May 28 00:03:18 GMT 2025","failed","Wed May 28 00:03:19 GMT 2025","v1 > Auth > Forgot password > Initiate forget password","Bank User","",""
"","57","Invalid ID - Delete Customer Comment","QA|Nova Bank - Infopool","Wed May 28 00:03:24 GMT 2025","failed","Wed May 28 00:03:24 GMT 2025","v1 > Customer 360 > Comments > delete customer comment","Bank User","",""
"","59","Invalid current password - Change password","QA|Nova Bank - Infopool","Wed May 28 00:03:20 GMT 2025","failed","Wed May 28 00:03:20 GMT 2025","v1 > Profile > Password","Bank User","",""
"","60","Update profile","QA|Nova Bank - Infopool","Wed May 28 00:03:20 GMT 2025","failed","Wed May 28 00:03:20 GMT 2025","v1 > Profile > update profile image","Bank User","",""
"","73","Fetch all organizations","QA|Nova Bank - Infopool","Wed May 28 00:03:37 GMT 2025","passed","Wed May 28 00:03:37 GMT 2025","v1 > Organizations > Fetch organization","Bank Admin","",""
"","55","Update user - no auth","QA|Nova Bank - Infopool","Wed May 28 00:03:35 GMT 2025","passed","Wed May 28 00:03:35 GMT 2025","v1 > Users > Update user","Bank Admin","",""
"","55","Fetch Customer By ID no Auth","QA|Nova Bank - Infopool","Wed May 28 00:03:25 GMT 2025","passed","Wed May 28 00:03:25 GMT 2025","v1 > Customer 360 > Fetch customer by ID","Bank User","",""
"","57","Update organization details by ID - incorrect operation manager ID","QA|Nova Bank - Infopool","Wed May 28 00:03:38 GMT 2025","failed","Wed May 28 00:03:38 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","58","Get events - invalid end date","QA|Nova Bank - Infopool","Wed May 28 00:03:21 GMT 2025","failed","Wed May 28 00:03:21 GMT 2025","v1 > Audit trail > Event","Bank User","",""
"","55","Fetch user by ID - invalid ID","QA|Nova Bank - Infopool","Wed May 28 00:03:35 GMT 2025","passed","Wed May 28 00:03:35 GMT 2025","v1 > Users > Fetch user by ID","Bank Admin","",""
