"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","92","Update profile - successful","QA|Nova Bank - Infopool","Wed May 28 00:09:19 GMT 2025","failed","Wed May 28 00:09:19 GMT 2025","v1 > Profile > Update profile","Bank User","",""
"","31","Get Report Data - No auth","QA|Nova Bank - Infopool","Wed May 28 00:09:35 GMT 2025","passed","Wed May 28 00:09:35 GMT 2025","v1 > Report > Get Report Data","Bank Admin","",""
"","29","No Auth - Get all permissions","QA|Nova Bank - Infopool","Wed May 28 00:09:34 GMT 2025","passed","Wed May 28 00:09:34 GMT 2025","v1 > Permissions > Get permissions","Bank Admin","",""
"","26","No auth - managers","QA|Nova Bank - Infopool","Wed May 28 00:09:33 GMT 2025","passed","Wed May 28 00:09:33 GMT 2025","v1 > Organizations > Managers > Fetch managers of an organization","Bank Admin","",""
"","38","Get single definition","QA|Nova Bank - Infopool","Wed May 28 00:09:25 GMT 2025","passed","Wed May 28 00:09:25 GMT 2025","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"Update an existing report","31","Update Report - No auth","QA|Nova Bank - Infopool","Wed May 28 00:09:35 GMT 2025","passed","Wed May 28 00:09:35 GMT 2025","v1 > Report > Update Report","Bank Admin","",""
"","30","Update user - invalid action","QA|Nova Bank - Infopool","Wed May 28 00:09:31 GMT 2025","failed","Wed May 28 00:09:31 GMT 2025","v1 > Users > Update user","Bank Admin","",""
"","30","Create organization - empty mis code","QA|Nova Bank - Infopool","Wed May 28 00:09:32 GMT 2025","failed","Wed May 28 00:09:32 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","32","Add attachment to issue","QA|Nova Bank - Infopool","Wed May 28 00:09:21 GMT 2025","failed","Wed May 28 00:09:21 GMT 2025","v1 > Customer 360 > Issues > add attachment to issue","Bank User","",""
"","36","No auth - Create  organization","QA|Nova Bank - Infopool","Wed May 28 00:09:32 GMT 2025","passed","Wed May 28 00:09:32 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","30","Get profile - successfully","QA|Nova Bank - Infopool","Wed May 28 00:09:19 GMT 2025","failed","Wed May 28 00:09:19 GMT 2025","v1 > Profile > Get profile","Bank User","",""
"","28","No auth - Update role status","QA|Nova Bank - Infopool","Wed May 28 00:09:34 GMT 2025","passed","Wed May 28 00:09:34 GMT 2025","v1 > Roles > Update role","Bank Admin","",""
"","30","Fetch Customer By ID no Auth","QA|Nova Bank - Infopool","Wed May 28 00:09:22 GMT 2025","passed","Wed May 28 00:09:22 GMT 2025","v1 > Customer 360 > Fetch customer by ID","Bank User","",""
"","27","No auth - Fetch sub-organizations of a parent organization","QA|Nova Bank - Infopool","Wed May 28 00:09:33 GMT 2025","passed","Wed May 28 00:09:33 GMT 2025","v1 > Organizations > Sub-organizations > Fetch sub-organizations","Bank Admin","",""
"","31","No auth - Delete Attachment from Issue","QA|Nova Bank - Infopool","Wed May 28 00:09:21 GMT 2025","passed","Wed May 28 00:09:21 GMT 2025","v1 > Customer 360 > Issues > delete attachment to an issue","Bank User","",""
"","29","No auth - update role","QA|Nova Bank - Infopool","Wed May 28 00:09:32 GMT 2025","passed","Wed May 28 00:09:32 GMT 2025","v1 > Users > Role > Update role","Bank Admin","",""
"","83","Forgot password - successful","QA|Nova Bank - Infopool","Wed May 28 00:09:18 GMT 2025","failed","Wed May 28 00:09:18 GMT 2025","v1 > Auth > Forgot password > Initiate forget password","Bank User","",""
"","32","Export Report Data","QA|Nova Bank - Infopool","Wed May 28 00:09:35 GMT 2025","failed","Wed May 28 00:09:35 GMT 2025","v1 > Report > Export Report Data","Bank Admin","",""
"","28","No auth - get all category","QA|Nova Bank - Infopool","Wed May 28 00:09:34 GMT 2025","passed","Wed May 28 00:09:34 GMT 2025","v1 > Notifications > Category > Fetch all category","Bank Admin","",""
"","30","Update profile - invalid phone number","QA|Nova Bank - Infopool","Wed May 28 00:09:19 GMT 2025","failed","Wed May 28 00:09:19 GMT 2025","v1 > Profile > Update profile","Bank User","",""
"","45","Fetch sub-organizations of a parent organization","QA|Nova Bank - Infopool","Wed May 28 00:09:33 GMT 2025","passed","Wed May 28 00:09:33 GMT 2025","v1 > Organizations > Sub-organizations > Fetch sub-organizations","Bank Admin","",""
"","30","Invalid name - Search Customers","QA|Nova Bank - Infopool","Wed May 28 00:09:21 GMT 2025","failed","Wed May 28 00:09:21 GMT 2025","v1 > Customer 360 > Search for a customer > search by name","Bank User","",""
"","27","No Auth - Fetch Customer's Financial Summary","QA|Nova Bank - Infopool","Wed May 28 00:09:22 GMT 2025","passed","Wed May 28 00:09:22 GMT 2025","v1 > Customer 360 > Fetch customer's financial summary","Bank User","",""
"","27","Get permission by ID - No auth","QA|Nova Bank - Infopool","Wed May 28 00:09:34 GMT 2025","passed","Wed May 28 00:09:34 GMT 2025","v1 > Permissions > Get permission by ID","Bank Admin","",""
"","116","Invalid credentials","QA|Nova Bank - Infopool","Wed May 28 00:09:17 GMT 2025","passed","Wed May 28 00:09:17 GMT 2025","v1 > Auth > Session > Login","Bank User","",""
"Get a specific report by ID","26","Get Report by ID - No auth","QA|Nova Bank - Infopool","Wed May 28 00:09:34 GMT 2025","passed","Wed May 28 00:09:35 GMT 2025","v1 > Report > Get Report by Id","Bank Admin","",""
"","28","No Auth - Fetch Customers Channels","QA|Nova Bank - Infopool","Wed May 28 00:09:24 GMT 2025","passed","Wed May 28 00:09:24 GMT 2025","v1 > Customer 360 > Fetch customer channel","Bank User","",""
"","56","Create organization - operations manager ID does not exist","QA|Nova Bank - Infopool","Wed May 28 00:09:32 GMT 2025","passed","Wed May 28 00:09:32 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","32","No Auth - Get profile roles - successful","QA|Nova Bank - Infopool","Wed May 28 00:09:18 GMT 2025","passed","Wed May 28 00:09:18 GMT 2025","v1 > Profile > Roles","Bank User","",""
"","30","Invalid ID - Update Customer Comment","QA|Nova Bank - Infopool","Wed May 28 00:09:21 GMT 2025","failed","Wed May 28 00:09:21 GMT 2025","v1 > Customer 360 > Comments > update comment to customer","Bank User","",""
"","34","Update profile","QA|Nova Bank - Infopool","Wed May 28 00:09:19 GMT 2025","failed","Wed May 28 00:09:19 GMT 2025","v1 > Profile > update profile image","Bank User","",""
"","30","Empty password - Send user invitation token","QA|Nova Bank - Infopool","Wed May 28 00:09:20 GMT 2025","passed","Wed May 28 00:09:20 GMT 2025","v1 > Onboarding > Complete profile","Bank User","",""
"Update an existing report","26","Update Report","QA|Nova Bank - Infopool","Wed May 28 00:09:35 GMT 2025","passed","Wed May 28 00:09:35 GMT 2025","v1 > Report > Update Report","Bank Admin","",""
"","30","Get events - end date earlier than start date","QA|Nova Bank - Infopool","Wed May 28 00:09:19 GMT 2025","failed","Wed May 28 00:09:19 GMT 2025","v1 > Audit trail > Event","Bank User","",""
"","33","Get events - invalid end date","QA|Nova Bank - Infopool","Wed May 28 00:09:19 GMT 2025","failed","Wed May 28 00:09:19 GMT 2025","v1 > Audit trail > Event","Bank User","",""
"Create a new report","30","Create Report - No auth","QA|Nova Bank - Infopool","Wed May 28 00:09:35 GMT 2025","passed","Wed May 28 00:09:35 GMT 2025","v1 > Report > Create Report","Bank Admin","",""
"","31","Empty issue category - Create a New Issue","QA|Nova Bank - Infopool","Wed May 28 00:09:20 GMT 2025","failed","Wed May 28 00:09:20 GMT 2025","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
"","43","Fetch all users in an organization","QA|Nova Bank - Infopool","Wed May 28 00:09:33 GMT 2025","passed","Wed May 28 00:09:33 GMT 2025","v1 > Organizations > Users > Fetch users in an organization","Bank Admin","",""
"","31","Get Report Data - Question","QA|Nova Bank - Infopool","Wed May 28 00:09:35 GMT 2025","failed","Wed May 28 00:09:35 GMT 2025","v1 > Report > Get Report Data","Bank Admin","",""
"Get a specific report by ID","29","Get Report by ID","QA|Nova Bank - Infopool","Wed May 28 00:09:34 GMT 2025","failed","Wed May 28 00:09:34 GMT 2025","v1 > Report > Get Report by Id","Bank Admin","",""
"","25","Get roles - successful","QA|Nova Bank - Infopool","Wed May 28 00:09:33 GMT 2025","passed","Wed May 28 00:09:33 GMT 2025","v1 > Roles > Get roles","Bank Admin","",""
"","30","Fetch user by ID - ID does not exist","QA|Nova Bank - Infopool","Wed May 28 00:09:31 GMT 2025","failed","Wed May 28 00:09:31 GMT 2025","v1 > Users > Fetch user by ID","Bank Admin","",""
"","45","Get profile - No Auth","QA|Nova Bank - Infopool","Wed May 28 00:09:19 GMT 2025","passed","Wed May 28 00:09:19 GMT 2025","v1 > Profile > Get profile","Bank User","",""
"","31","No Auth - Fetch all users","QA|Nova Bank - Infopool","Wed May 28 00:09:31 GMT 2025","passed","Wed May 28 00:09:31 GMT 2025","v1 > Users > Fetch users","Bank Admin","",""
"","28","Health","QA|Nova Bank - Infopool","Wed May 28 00:09:24 GMT 2025","failed","Wed May 28 00:09:24 GMT 2025","v1 > Health","Bank Admin","",""
"","31","No Auth - Change password","QA|Nova Bank - Infopool","Wed May 28 00:09:18 GMT 2025","passed","Wed May 28 00:09:18 GMT 2025","v1 > Profile > Password","Bank User","",""
"","29","No Auth - Fetch Customers Transactions","QA|Nova Bank - Infopool","Wed May 28 00:09:24 GMT 2025","passed","Wed May 28 00:09:24 GMT 2025","v1 > Customer 360 > Fetch customers transaction","Bank User","",""
"","29","Generator Customers Transactions Statement - PDF","QA|Nova Bank - Infopool","Wed May 28 00:09:24 GMT 2025","failed","Wed May 28 00:09:24 GMT 2025","v1 > Customer 360 > Generate customers transaction statement","Bank User","",""
"","26","No Auth - Fetch Customer Comments","QA|Nova Bank - Infopool","Wed May 28 00:09:21 GMT 2025","passed","Wed May 28 00:09:21 GMT 2025","v1 > Customer 360 > Comments > fetch customer comment","Bank User","",""
"","11","New Request","QA|Nova Bank - Infopool","Wed May 28 00:09:18 GMT 2025","broken","Wed May 28 00:09:18 GMT 2025","v1 > Auth > Forgot password > Reset password","Bank User","",""
"","40","Invalid email format","QA|Nova Bank - Infopool","Wed May 28 00:09:17 GMT 2025","passed","Wed May 28 00:09:17 GMT 2025","v1 > Auth > Session > Login","Bank User","",""
