"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Get a specific report by ID","128","Get Report by UUID","QA|Nova Bank - Infopool","Wed May 28 00:12:57 GMT 2025","failed","Wed May 28 00:12:57 GMT 2025","v1 > Report > Get Report by UUID","Bank Admin","",""
"","97","Search Customers","QA|Nova Bank - Infopool","Wed May 28 00:12:38 GMT 2025","passed","Wed May 28 00:12:38 GMT 2025","v1 > Customer 360 > Search for a customer > search by phone number","Bank User","",""
"","81","Create  organization - without parent id","QA|Nova Bank - Infopool","Wed May 28 00:12:50 GMT 2025","failed","Wed May 28 00:12:50 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","83","Get events - invalid start date","QA|Nova Bank - Infopool","Wed May 28 00:12:26 GMT 2025","failed","Wed May 28 00:12:26 GMT 2025","v1 > Audit trail > Event","Bank User","",""
"","84","Update organization details by ID - No auth","QA|Nova Bank - Infopool","Wed May 28 00:12:52 GMT 2025","passed","Wed May 28 00:12:52 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","84","Get events - invalid end date","QA|Nova Bank - Infopool","Wed May 28 00:12:26 GMT 2025","failed","Wed May 28 00:12:26 GMT 2025","v1 > Audit trail > Event","Bank User","",""
"","84","No Auth - Update Issue","QA|Nova Bank - Infopool","Wed May 28 00:12:30 GMT 2025","passed","Wed May 28 00:12:30 GMT 2025","v1 > Customer 360 > Issues > update issue","Bank User","",""
"","82","Update Customer Comment","QA|Nova Bank - Infopool","Wed May 28 00:12:37 GMT 2025","failed","Wed May 28 00:12:37 GMT 2025","v1 > Customer 360 > Comments > update comment to customer","Bank User","",""
"","81","Health","QA|Nova Bank - Infopool","Wed May 28 00:12:42 GMT 2025","passed","Wed May 28 00:12:42 GMT 2025","v1 > Health","Bank Admin","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","89","Invalid Operation - Get Email or SMS OTP","QA|Nova Bank - Infopool","Wed May 28 00:12:24 GMT 2025","passed","Wed May 28 00:12:24 GMT 2025","v1 > Auth > MFA > Request","Bank User","",""
"Get a paginated list of reports with optional filtering","80","Get Report Objects - Question","QA|Nova Bank - Infopool","Wed May 28 00:12:56 GMT 2025","failed","Wed May 28 00:12:57 GMT 2025","v1 > Report > Get Report Object","Bank Admin","",""
"","82","Invalid name - Search Customers","QA|Nova Bank - Infopool","Wed May 28 00:12:38 GMT 2025","failed","Wed May 28 00:12:38 GMT 2025","v1 > Customer 360 > Search for a customer > search by name","Bank User","",""
"","88","Get events - end date earlier than start date","QA|Nova Bank - Infopool","Wed May 28 00:12:26 GMT 2025","failed","Wed May 28 00:12:27 GMT 2025","v1 > Audit trail > Event","Bank User","",""
"Update an existing report","3176","Update Report - No auth","QA|Nova Bank - Infopool","Wed May 28 00:12:58 GMT 2025","passed","Wed May 28 00:13:01 GMT 2025","v1 > Report > Update Report","Bank Admin","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","86","Empty Channel - Get Email or SMS OTP","QA|Nova Bank - Infopool","Wed May 28 00:12:24 GMT 2025","passed","Wed May 28 00:12:24 GMT 2025","v1 > Auth > MFA > Request","Bank User","",""
