"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","228","Get events - successful","QA|Nova Bank - Infopool","Wed May 28 00:18:29 GMT 2025","passed","Wed May 28 00:18:29 GMT 2025","v1 > Audit trail > Event","Bank User","",""
"","60","Create organization - organization type ID does not exist","QA|Nova Bank - Infopool","Wed May 28 00:18:43 GMT 2025","passed","Wed May 28 00:18:43 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","35","Delete Attachment from Issue","QA|Nova Bank - Infopool","Wed May 28 00:18:31 GMT 2025","failed","Wed May 28 00:18:31 GMT 2025","v1 > Customer 360 > Issues > delete attachment to an issue","Bank User","",""
"Create a new report","37","Create Report - Empty category","QA|Nova Bank - Infopool","Wed May 28 00:18:46 GMT 2025","failed","Wed May 28 00:18:46 GMT 2025","v1 > Report > Create Report","Bank Admin","",""
"","36","Get profile - No Auth","QA|Nova Bank - Infopool","Wed May 28 00:18:28 GMT 2025","passed","Wed May 28 00:18:28 GMT 2025","v1 > Profile > Get profile","Bank User","",""
"","37","Update profile - Invalid file size","QA|Nova Bank - Infopool","Wed May 28 00:18:29 GMT 2025","failed","Wed May 28 00:18:29 GMT 2025","v1 > Profile > update profile image","Bank User","",""
"","35","No Auth - Search Customers","QA|Nova Bank - Infopool","Wed May 28 00:18:32 GMT 2025","passed","Wed May 28 00:18:32 GMT 2025","v1 > Customer 360 > Search for a customer > search by name","Bank User","",""
"Get a paginated list of reports with optional filtering","39","Get Reports","QA|Nova Bank - Infopool","Wed May 28 00:18:45 GMT 2025","failed","Wed May 28 00:18:45 GMT 2025","v1 > Report > Get Report","Bank Admin","",""
"","86","update role","QA|Nova Bank - Infopool","Wed May 28 00:18:42 GMT 2025","passed","Wed May 28 00:18:42 GMT 2025","v1 > Users > Role > Update role","Bank Admin","",""
"","37","No Auth - Update Issue","QA|Nova Bank - Infopool","Wed May 28 00:18:31 GMT 2025","passed","Wed May 28 00:18:31 GMT 2025","v1 > Customer 360 > Issues > update issue","Bank User","",""
"","36","Fetch Customer By ID no Auth","QA|Nova Bank - Infopool","Wed May 28 00:18:32 GMT 2025","passed","Wed May 28 00:18:32 GMT 2025","v1 > Customer 360 > Fetch customer by ID","Bank User","",""
"","35","Get events - end date earlier than start date","QA|Nova Bank - Infopool","Wed May 28 00:18:29 GMT 2025","failed","Wed May 28 00:18:29 GMT 2025","v1 > Audit trail > Event","Bank User","",""
"","35","No Auth - Update definition","QA|Nova Bank - Infopool","Wed May 28 00:18:41 GMT 2025","passed","Wed May 28 00:18:41 GMT 2025","v1 > Static Definitions > Update definition","Bank Admin","",""
"","36","Fetch organizations by ID - No Auth","QA|Nova Bank - Infopool","Wed May 28 00:18:43 GMT 2025","failed","Wed May 28 00:18:43 GMT 2025","v1 > Organizations > Fetch organiation by ID","Bank Admin","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","76","Empty Channel - Get Email or SMS OTP","QA|Nova Bank - Infopool","Wed May 28 00:18:28 GMT 2025","passed","Wed May 28 00:18:28 GMT 2025","v1 > Auth > MFA > Request","Bank User","",""
