"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Update an existing report","36","Update Report - No auth","QA|Nova Bank - Infopool","Fri May 30 17:00:09 GMT 2025","passed","Fri May 30 17:00:09 GMT 2025","v1 > Report > Update Report","Bank Admin","",""
"","38","No Auth - Get all Issues","QA|Nova Bank - Infopool","Fri May 30 16:59:54 GMT 2025","passed","Fri May 30 16:59:54 GMT 2025","v1 > Customer 360 > Issues > get all issues","Bank User","",""
"","39","Export Report Data - No auth","QA|Nova Bank - Infopool","Fri May 30 17:00:09 GMT 2025","passed","Fri May 30 17:00:10 GMT 2025","v1 > Report > Export Report Data","Bank Admin","",""
"","49","Create  organization","QA|Nova Bank - Infopool","Fri May 30 16:59:59 GMT 2025","failed","Fri May 30 16:59:59 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","41","Empty Operation - Get Email or SMS OTP","QA|Nova Bank - Infopool","Fri May 30 16:59:44 GMT 2025","passed","Fri May 30 16:59:44 GMT 2025","v1 > Auth > MFA > Request","Bank User","",""
"Create a new report","37","Create Report - Duplicate name","QA|Nova Bank - Infopool","Fri May 30 17:00:09 GMT 2025","failed","Fri May 30 17:00:09 GMT 2025","v1 > Report > Create Report","Bank Admin","",""
"","46","No user credentials","QA|Nova Bank - Infopool","Fri May 30 16:59:44 GMT 2025","passed","Fri May 30 16:59:44 GMT 2025","v1 > Auth > Session > Login","Bank User","",""
"","128","Invalid credentials","QA|Nova Bank - Infopool","Fri May 30 16:59:43 GMT 2025","passed","Fri May 30 16:59:43 GMT 2025","v1 > Auth > Session > Login","Bank User","",""
"","40","Update user - empty action field","QA|Nova Bank - Infopool","Fri May 30 16:59:59 GMT 2025","failed","Fri May 30 16:59:59 GMT 2025","v1 > Users > Update user","Bank Admin","",""
"","37","No auth - Add Comment to Customer","QA|Nova Bank - Infopool","Fri May 30 16:59:54 GMT 2025","passed","Fri May 30 16:59:54 GMT 2025","v1 > Customer 360 > Comments > add comment to customer","Bank User","",""
"","44","Create organization - empty city value","QA|Nova Bank - Infopool","Fri May 30 17:00:06 GMT 2025","passed","Fri May 30 17:00:06 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","38","Get events - invalid start date","QA|Nova Bank - Infopool","Fri May 30 16:59:52 GMT 2025","failed","Fri May 30 16:59:52 GMT 2025","v1 > Audit trail > Event","Bank User","",""
"","44","Fetch organizations by ID - non-existing ID","QA|Nova Bank - Infopool","Fri May 30 17:00:06 GMT 2025","passed","Fri May 30 17:00:06 GMT 2025","v1 > Organizations > Fetch organiation by ID","Bank Admin","",""
"","74","Update definition","QA|Nova Bank - Infopool","Fri May 30 16:59:58 GMT 2025","passed","Fri May 30 16:59:58 GMT 2025","v1 > Static Definitions > Update definition","Bank Admin","",""
"","36","Get role by ID - successful","QA|Nova Bank - Infopool","Fri May 30 17:00:08 GMT 2025","failed","Fri May 30 17:00:08 GMT 2025","v1 > Roles > Get role by ID","Bank Admin","",""
"","34","No Auth - Add Comment to Issue","QA|Nova Bank - Infopool","Fri May 30 16:59:54 GMT 2025","passed","Fri May 30 16:59:54 GMT 2025","v1 > Customer 360 > Issues > add comment to an issue","Bank User","",""
"","35","No Auth - Delete Customer Comment","QA|Nova Bank - Infopool","Fri May 30 16:59:55 GMT 2025","passed","Fri May 30 16:59:55 GMT 2025","v1 > Customer 360 > Comments > delete customer comment","Bank User","",""
"","45","Fetch user by ID - successful","QA|Nova Bank - Infopool","Fri May 30 16:59:59 GMT 2025","passed","Fri May 30 16:59:59 GMT 2025","v1 > Users > Fetch user by ID","Bank Admin","",""
"","38","No Auth - Search Customers","QA|Nova Bank - Infopool","Fri May 30 16:59:55 GMT 2025","passed","Fri May 30 16:59:55 GMT 2025","v1 > Customer 360 > Search for a customer > search by name","Bank User","",""
"","60","Update user - successful","QA|Nova Bank - Infopool","Fri May 30 16:59:59 GMT 2025","passed","Fri May 30 16:59:59 GMT 2025","v1 > Users > Update user","Bank Admin","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","42","Empty Channel - Get Email or SMS OTP","QA|Nova Bank - Infopool","Fri May 30 16:59:44 GMT 2025","passed","Fri May 30 16:59:44 GMT 2025","v1 > Auth > MFA > Request","Bank User","",""
"Get a paginated list of reports with optional filtering","36","Get Report Objects - Dashboard","QA|Nova Bank - Infopool","Fri May 30 17:00:09 GMT 2025","failed","Fri May 30 17:00:09 GMT 2025","v1 > Report > Get Report Object","Bank Admin","",""
"","33","Get roles - successful","QA|Nova Bank - Infopool","Fri May 30 17:00:07 GMT 2025","passed","Fri May 30 17:00:07 GMT 2025","v1 > Roles > Get roles","Bank Admin","",""
"","42","Invalid email format - Forgot password","QA|Nova Bank - Infopool","Fri May 30 16:59:44 GMT 2025","passed","Fri May 30 16:59:44 GMT 2025","v1 > Auth > Forgot password > Initiate forget password","Bank User","",""
"","47","Create organization - empty mis code","QA|Nova Bank - Infopool","Fri May 30 17:00:06 GMT 2025","passed","Fri May 30 17:00:06 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","43","No email - Forgot Password","QA|Nova Bank - Infopool","Fri May 30 16:59:44 GMT 2025","passed","Fri May 30 16:59:44 GMT 2025","v1 > Auth > Forgot password > Initiate forget password","Bank User","",""
"","43","Update role status - role does not exist","QA|Nova Bank - Infopool","Fri May 30 17:00:08 GMT 2025","passed","Fri May 30 17:00:08 GMT 2025","v1 > Roles > Update role","Bank Admin","",""
"","212","reset password","QA|Nova Bank - Infopool","Fri May 30 16:59:44 GMT 2025","passed","Fri May 30 16:59:44 GMT 2025","v1 > Auth > Forgot password > Reset password","Bank User","",""
"","39","Invalid authentication - Send user invitation token","QA|Nova Bank - Infopool","Fri May 30 16:59:53 GMT 2025","passed","Fri May 30 16:59:53 GMT 2025","v1 > Onboarding > Complete profile","Bank User","",""
"","36","No Auth - Fetch Customers Accounts","QA|Nova Bank - Infopool","Fri May 30 16:59:58 GMT 2025","passed","Fri May 30 16:59:58 GMT 2025","v1 > Customer 360 > Fetch customer accounts","Bank User","",""
"","34","Add user to an organization -user ID does not exist","QA|Nova Bank - Infopool","Fri May 30 17:00:07 GMT 2025","passed","Fri May 30 17:00:07 GMT 2025","v1 > Organizations > Users > Add users to an organization","Bank Admin","",""
"","38","Update Customer Comment","QA|Nova Bank - Infopool","Fri May 30 16:59:55 GMT 2025","failed","Fri May 30 16:59:55 GMT 2025","v1 > Customer 360 > Comments > update comment to customer","Bank User","",""
