"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","102","Update profile - successful","QA|Nova Bank - Infopool","Fri May 30 17:09:09 GMT 2025","passed","Fri May 30 17:09:09 GMT 2025","v1 > Profile > Update profile","Bank User","",""
"","37","User does not exist - Forgot Password","QA|Nova Bank - Infopool","Fri May 30 17:09:04 GMT 2025","passed","Fri May 30 17:09:04 GMT 2025","v1 > Auth > Forgot password > Initiate forget password","Bank User","",""
"","36","audit trail - No Auth","QA|Nova Bank - Infopool","Fri May 30 17:09:13 GMT 2025","passed","Fri May 30 17:09:13 GMT 2025","v1 > Audit trail > Audit trail","Bank User","",""
"","34","No Auth - Get Issue by ID","QA|Nova Bank - Infopool","Fri May 30 17:09:14 GMT 2025","passed","Fri May 30 17:09:14 GMT 2025","v1 > Customer 360 > Issues > get issue by Id","Bank User","",""
"","34","Fetch user by ID - ID does not exist","QA|Nova Bank - Infopool","Fri May 30 17:09:19 GMT 2025","failed","Fri May 30 17:09:19 GMT 2025","v1 > Users > Fetch user by ID","Bank Admin","",""
"","35","Add Comment to Issue","QA|Nova Bank - Infopool","Fri May 30 17:09:15 GMT 2025","failed","Fri May 30 17:09:15 GMT 2025","v1 > Customer 360 > Issues > add comment to an issue","Bank User","",""
"","46","Fetch organizations by ID - non-existing ID","QA|Nova Bank - Infopool","Fri May 30 17:09:26 GMT 2025","passed","Fri May 30 17:09:27 GMT 2025","v1 > Organizations > Fetch organiation by ID","Bank Admin","",""
"","33","Add user to an organization - no auth","QA|Nova Bank - Infopool","Fri May 30 17:09:27 GMT 2025","passed","Fri May 30 17:09:27 GMT 2025","v1 > Organizations > Users > Add users to an organization","Bank Admin","",""
"Get a paginated list of reports with optional filtering","35","Get Reports Stats","QA|Nova Bank - Infopool","Fri May 30 17:09:29 GMT 2025","failed","Fri May 30 17:09:29 GMT 2025","v1 > Report > Get Report Stats","Bank Admin","",""
"","42","Update organization details by ID - organisation type id","QA|Nova Bank - Infopool","Fri May 30 17:09:27 GMT 2025","passed","Fri May 30 17:09:27 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"Get a paginated list of reports with optional filtering","37","Get Reports","QA|Nova Bank - Infopool","Fri May 30 17:09:29 GMT 2025","failed","Fri May 30 17:09:29 GMT 2025","v1 > Report > Get Report","Bank Admin","",""
