"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","83","Empty Channel - Get Email or SMS OTP","QA|Nova Bank - Infopool","Fri May 30 17:21:49 GMT 2025","passed","Fri May 30 17:21:49 GMT 2025","v1 > Auth > MFA > Request","Bank User","",""
"","79","No auth - category by id","QA|Nova Bank - Infopool","Fri May 30 17:22:08 GMT 2025","passed","Fri May 30 17:22:09 GMT 2025","v1 > Notifications > Category > Fetch category by d","Bank Admin","",""
"","80","Invalid name - Search Customers","QA|Nova Bank - Infopool","Fri May 30 17:21:57 GMT 2025","failed","Fri May 30 17:21:57 GMT 2025","v1 > Customer 360 > Search for a customer > search by name","Bank User","",""
"","81","Export Report Data","QA|Nova Bank - Infopool","Fri May 30 17:22:11 GMT 2025","failed","Fri May 30 17:22:11 GMT 2025","v1 > Report > Export Report Data","Bank Admin","",""
"Get a paginated list of reports with optional filtering","82","Get Reports - No auth","QA|Nova Bank - Infopool","Fri May 30 17:22:09 GMT 2025","passed","Fri May 30 17:22:09 GMT 2025","v1 > Report > Get Report","Bank Admin","",""
"","83","Update Issue","QA|Nova Bank - Infopool","Fri May 30 17:21:55 GMT 2025","failed","Fri May 30 17:21:55 GMT 2025","v1 > Customer 360 > Issues > update issue","Bank User","",""
"","80","Invalid ID - Get single definition","QA|Nova Bank - Infopool","Fri May 30 17:22:01 GMT 2025","failed","Fri May 30 17:22:01 GMT 2025","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"","80","Fetch Customers Accounts","QA|Nova Bank - Infopool","Fri May 30 17:22:00 GMT 2025","failed","Fri May 30 17:22:01 GMT 2025","v1 > Customer 360 > Fetch customer accounts","Bank User","",""
"","81","Get roles - No Auth","QA|Nova Bank - Infopool","Fri May 30 17:22:07 GMT 2025","passed","Fri May 30 17:22:07 GMT 2025","v1 > Roles > Get roles","Bank Admin","",""
"","80","Create organization - empty mis code","QA|Nova Bank - Infopool","Fri May 30 17:22:04 GMT 2025","failed","Fri May 30 17:22:04 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","82","Export Report Data - Invalid format","QA|Nova Bank - Infopool","Fri May 30 17:22:11 GMT 2025","failed","Fri May 30 17:22:11 GMT 2025","v1 > Report > Export Report Data","Bank Admin","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","85","Invalid Auth - Empty Channel - Get Email or SMS OTP","QA|Nova Bank - Infopool","Fri May 30 17:21:49 GMT 2025","passed","Fri May 30 17:21:49 GMT 2025","v1 > Auth > MFA > Request","Bank User","",""
"Update an existing report","80","Update Report - Invalid id","QA|Nova Bank - Infopool","Fri May 30 17:22:10 GMT 2025","failed","Fri May 30 17:22:10 GMT 2025","v1 > Report > Update Report","Bank Admin","",""
"","88","Get single definition","QA|Nova Bank - Infopool","Fri May 30 17:22:01 GMT 2025","passed","Fri May 30 17:22:01 GMT 2025","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"","80","Add user to an organization - no auth","QA|Nova Bank - Infopool","Fri May 30 17:22:06 GMT 2025","passed","Fri May 30 17:22:06 GMT 2025","v1 > Organizations > Users > Add users to an organization","Bank Admin","",""
"","91","Search Customers","QA|Nova Bank - Infopool","Fri May 30 17:21:57 GMT 2025","passed","Fri May 30 17:21:57 GMT 2025","v1 > Customer 360 > Search for a customer > search by phone number","Bank User","",""
"","85","Create organization - empty description","QA|Nova Bank - Infopool","Fri May 30 17:22:04 GMT 2025","passed","Fri May 30 17:22:04 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","81","Update profile - no auth","QA|Nova Bank - Infopool","Fri May 30 17:21:51 GMT 2025","passed","Fri May 30 17:21:51 GMT 2025","v1 > Profile > Update profile","Bank User","",""
"Get a specific report by ID","79","Get Report by ID","QA|Nova Bank - Infopool","Fri May 30 17:22:09 GMT 2025","failed","Fri May 30 17:22:09 GMT 2025","v1 > Report > Get Report by Id","Bank Admin","",""
"Verify TOTP or OTP. For OTP, you need to provide either `email` or `phone` as the recipient if you are not logged in.
    Make sure the operation matches the one used to generate the OTP.

    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE
    ","113","Invalid OTP - Verify MFA code, MFA backup code, Email or SMS OTP","QA|Nova Bank - Infopool","Fri May 30 17:21:49 GMT 2025","failed","Fri May 30 17:21:49 GMT 2025","v1 > Auth > MFA > Verify","Bank User","",""
"","94","Fetch user by ID - successful","QA|Nova Bank - Infopool","Fri May 30 17:22:02 GMT 2025","passed","Fri May 30 17:22:02 GMT 2025","v1 > Users > Fetch user by ID","Bank Admin","",""
"","9","New Request","QA|Nova Bank - Infopool","Fri May 30 17:22:01 GMT 2025","broken","Fri May 30 17:22:01 GMT 2025","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"","80","Get profile roles - No Auth","QA|Nova Bank - Infopool","Fri May 30 17:21:49 GMT 2025","passed","Fri May 30 17:21:50 GMT 2025","v1 > Profile > Roles","Bank User","",""
"","187","No auth - Create a New Issue","QA|Nova Bank - Infopool","Fri May 30 17:21:54 GMT 2025","passed","Fri May 30 17:21:54 GMT 2025","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
"","80","Empty first name - Send user invitation token","QA|Nova Bank - Infopool","Fri May 30 17:21:53 GMT 2025","passed","Fri May 30 17:21:53 GMT 2025","v1 > Onboarding > Complete profile","Bank User","",""
"","150","Empty priority - Create a New Issue","QA|Nova Bank - Infopool","Fri May 30 17:21:54 GMT 2025","failed","Fri May 30 17:21:54 GMT 2025","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
"","78","No Auth - Get all permissions","QA|Nova Bank - Infopool","Fri May 30 17:22:08 GMT 2025","passed","Fri May 30 17:22:08 GMT 2025","v1 > Permissions > Get permissions","Bank Admin","",""
"","79","Remove user from an organization - no auth","QA|Nova Bank - Infopool","Fri May 30 17:22:06 GMT 2025","passed","Fri May 30 17:22:06 GMT 2025","v1 > Organizations > Users > Remove users from an organization","Bank Admin","",""
"","80","Update organization details by ID - incorrect operation manager ID","QA|Nova Bank - Infopool","Fri May 30 17:22:05 GMT 2025","failed","Fri May 30 17:22:05 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","78","No auth - Fetch sub-organizations of a parent organization","QA|Nova Bank - Infopool","Fri May 30 17:22:06 GMT 2025","passed","Fri May 30 17:22:06 GMT 2025","v1 > Organizations > Sub-organizations > Fetch sub-organizations","Bank Admin","",""
"","89","Create organization - organization type ID does not exist","QA|Nova Bank - Infopool","Fri May 30 17:22:04 GMT 2025","passed","Fri May 30 17:22:04 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","77","No Auth - Fetch Customers Channels","QA|Nova Bank - Infopool","Fri May 30 17:22:01 GMT 2025","passed","Fri May 30 17:22:01 GMT 2025","v1 > Customer 360 > Fetch customer channel","Bank User","",""
"Get a specific report by ID","81","Get Report by ID - Invalid id","QA|Nova Bank - Infopool","Fri May 30 17:22:10 GMT 2025","failed","Fri May 30 17:22:10 GMT 2025","v1 > Report > Get Report by Id","Bank Admin","",""
"","91","Update profile - Invalid file size","QA|Nova Bank - Infopool","Fri May 30 17:21:51 GMT 2025","passed","Fri May 30 17:21:51 GMT 2025","v1 > Profile > update profile image","Bank User","",""
