"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","74","Fetch Customer By ID","QA|Nova Bank - Infopool","Fri May 30 17:46:35 GMT 2025","passed","Fri May 30 17:46:35 GMT 2025","v1 > Customer 360 > Fetch customer by ID","Bank User","",""
"","96","Get Issue by ID","QA|Nova Bank - Infopool","Fri May 30 17:46:34 GMT 2025","failed","Fri May 30 17:46:34 GMT 2025","v1 > Customer 360 > Issues > get issue by Id","Bank User","",""
"","6226","Update organization details by ID - organisation type id","QA|Nova Bank - Infopool","Fri May 30 17:46:41 GMT 2025","passed","Fri May 30 17:46:47 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","36","Fetch Customer By ID - invalid id","QA|Nova Bank - Infopool","Fri May 30 17:46:36 GMT 2025","failed","Fri May 30 17:46:36 GMT 2025","v1 > Customer 360 > Fetch customer by ID","Bank User","",""
"","48","Update organization details by ID - empty name","QA|Nova Bank - Infopool","Fri May 30 17:46:47 GMT 2025","passed","Fri May 30 17:46:47 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","35","Invalid ID - Get single definition","QA|Nova Bank - Infopool","Fri May 30 17:46:39 GMT 2025","failed","Fri May 30 17:46:39 GMT 2025","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"","44","No user credentials","QA|Nova Bank - Infopool","Fri May 30 17:46:30 GMT 2025","passed","Fri May 30 17:46:30 GMT 2025","v1 > Auth > Session > Login","Bank User","",""
"","51","Fetch sub-organizations of a parent organization","QA|Nova Bank - Infopool","Fri May 30 17:46:47 GMT 2025","passed","Fri May 30 17:46:47 GMT 2025","v1 > Organizations > Sub-organizations > Fetch sub-organizations","Bank Admin","",""
"","38","Create roles - Existing role","QA|Nova Bank - Infopool","Fri May 30 17:46:48 GMT 2025","failed","Fri May 30 17:46:48 GMT 2025","v1 > Roles > Create role","Bank Admin","",""
"","399","Create a New Issue","QA|Nova Bank - Infopool","Fri May 30 17:46:33 GMT 2025","passed","Fri May 30 17:46:34 GMT 2025","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
"","89","Forgot password - successful","QA|Nova Bank - Infopool","Fri May 30 17:46:30 GMT 2025","failed","Fri May 30 17:46:30 GMT 2025","v1 > Auth > Forgot password > Initiate forget password","Bank User","",""
"","38","Get Report Data - Invalid id","QA|Nova Bank - Infopool","Fri May 30 17:46:50 GMT 2025","failed","Fri May 30 17:46:50 GMT 2025","v1 > Report > Get Report Data","Bank Admin","",""
"Verify TOTP or OTP. For OTP, you need to provide either `email` or `phone` as the recipient if you are not logged in.
    Make sure the operation matches the one used to generate the OTP.

    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE
    ","148","Invalid OTP - Verify MFA code, MFA backup code, Email or SMS OTP","QA|Nova Bank - Infopool","Fri May 30 17:46:31 GMT 2025","failed","Fri May 30 17:46:31 GMT 2025","v1 > Auth > MFA > Verify","Bank User","",""
"Get a paginated list of reports with optional filtering","38","Get Reports - filter by invalid category Id","QA|Nova Bank - Infopool","Fri May 30 17:46:49 GMT 2025","failed","Fri May 30 17:46:49 GMT 2025","v1 > Report > Get Report","Bank Admin","",""
"","46","Get single definition","QA|Nova Bank - Infopool","Fri May 30 17:46:39 GMT 2025","passed","Fri May 30 17:46:39 GMT 2025","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"","46","Create organization - operations manager ID does not exist","QA|Nova Bank - Infopool","Fri May 30 17:46:40 GMT 2025","passed","Fri May 30 17:46:40 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","89","update role","QA|Nova Bank - Infopool","Fri May 30 17:46:39 GMT 2025","passed","Fri May 30 17:46:39 GMT 2025","v1 > Users > Role > Update role","Bank Admin","",""
"","40","Update user - invalid action","QA|Nova Bank - Infopool","Fri May 30 17:46:39 GMT 2025","failed","Fri May 30 17:46:39 GMT 2025","v1 > Users > Update user","Bank Admin","",""
"","38","Invalid Id - Update Issue","QA|Nova Bank - Infopool","Fri May 30 17:46:34 GMT 2025","failed","Fri May 30 17:46:34 GMT 2025","v1 > Customer 360 > Issues > update issue","Bank User","",""
"","39","Update organization details by ID - incorrect operation manager ID","QA|Nova Bank - Infopool","Fri May 30 17:46:47 GMT 2025","failed","Fri May 30 17:46:47 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","37","Update Customer Comment","QA|Nova Bank - Infopool","Fri May 30 17:46:35 GMT 2025","failed","Fri May 30 17:46:35 GMT 2025","v1 > Customer 360 > Comments > update comment to customer","Bank User","",""
"","47","Fetch user by ID - successful","QA|Nova Bank - Infopool","Fri May 30 17:46:39 GMT 2025","passed","Fri May 30 17:46:39 GMT 2025","v1 > Users > Fetch user by ID","Bank Admin","",""
"Delete a report (soft delete)","36","Delete Report -No auth","QA|Nova Bank - Infopool","Fri May 30 17:46:50 GMT 2025","failed","Fri May 30 17:46:50 GMT 2025","v1 > Report > Delete Report","Bank Admin","",""
