"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify TOTP or OTP. For OTP, you need to provide either `email` or `phone` as the recipient if you are not logged in.
    Make sure the operation matches the one used to generate the OTP.

    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE
    ","76","Invalid OTP - Verify MFA code, MFA backup code, Email or SMS OTP","QA|Nova Bank - Infopool","Fri May 30 20:06:10 GMT 2025","failed","Fri May 30 20:06:10 GMT 2025","v1 > Auth > MFA > Verify","Bank User","",""
"","39","No auth - get user role","QA|Nova Bank - Infopool","Fri May 30 20:06:25 GMT 2025","passed","Fri May 30 20:06:25 GMT 2025","v1 > Users > Role > Get role","Bank Admin","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","52","Invalid Channel - Get Email or SMS OTP","QA|Nova Bank - Infopool","Fri May 30 20:06:10 GMT 2025","passed","Fri May 30 20:06:10 GMT 2025","v1 > Auth > MFA > Request","Bank User","",""
"","43","Fetch organizations by ID - No Auth","QA|Nova Bank - Infopool","Fri May 30 20:06:26 GMT 2025","failed","Fri May 30 20:06:26 GMT 2025","v1 > Organizations > Fetch organiation by ID","Bank Admin","",""
"","58","Logout session successfully","QA|Nova Bank - Infopool","Fri May 30 20:06:29 GMT 2025","passed","Fri May 30 20:06:29 GMT 2025","v1 > Logout","Bank Admin","",""
"","50","get user role","QA|Nova Bank - Infopool","Fri May 30 20:06:25 GMT 2025","passed","Fri May 30 20:06:25 GMT 2025","v1 > Users > Role > Get role","Bank Admin","",""
"Get a paginated list of reports with optional filtering","43","Get Report Objects - Dashboard","QA|Nova Bank - Infopool","Fri May 30 20:06:29 GMT 2025","failed","Fri May 30 20:06:29 GMT 2025","v1 > Report > Get Report Object","Bank Admin","",""
"Get a paginated list of reports with optional filtering","42","Get Reports Stats","QA|Nova Bank - Infopool","Fri May 30 20:06:29 GMT 2025","failed","Fri May 30 20:06:29 GMT 2025","v1 > Report > Get Report Stats","Bank Admin","",""
"","46","Generator Customers Transactions Statement - PDF","QA|Nova Bank - Infopool","Fri May 30 20:06:18 GMT 2025","failed","Fri May 30 20:06:18 GMT 2025","v1 > Customer 360 > Generate customers transaction statement","Bank User","",""
"","43","No auth - Update role status","QA|Nova Bank - Infopool","Fri May 30 20:06:28 GMT 2025","passed","Fri May 30 20:06:28 GMT 2025","v1 > Roles > Update role","Bank Admin","",""
"","44","Update user - successful","QA|Nova Bank - Infopool","Fri May 30 20:06:25 GMT 2025","failed","Fri May 30 20:06:25 GMT 2025","v1 > Users > Update user","Bank Admin","",""
