"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","81","audit trail","QA|Nova Bank - Infopool","Fri May 30 20:58:47 GMT 2025","passed","Fri May 30 20:58:47 GMT 2025","v1 > Audit trail > Audit trail","Bank User","",""
"","43","Update role status - role does not exist","QA|Nova Bank - Infopool","Fri May 30 20:58:59 GMT 2025","passed","Fri May 30 20:59:00 GMT 2025","v1 > Roles > Update role","Bank Admin","",""
"Get a specific report by ID","36","Get Report by ID - Invalid id","QA|Nova Bank - Infopool","Fri May 30 20:59:01 GMT 2025","failed","Fri May 30 20:59:01 GMT 2025","v1 > Report > Get Report by Id","Bank Admin","",""
"","36","No auth - Create  organization","QA|Nova Bank - Infopool","Fri May 30 20:58:57 GMT 2025","passed","Fri May 30 20:58:57 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","39","No Auth - Add Comment to Issue","QA|Nova Bank - Infopool","Fri May 30 20:58:49 GMT 2025","passed","Fri May 30 20:58:49 GMT 2025","v1 > Customer 360 > Issues > add comment to an issue","Bank User","",""
"","44","Empty new password - Change password","QA|Nova Bank - Infopool","Fri May 30 20:58:46 GMT 2025","passed","Fri May 30 20:58:46 GMT 2025","v1 > Profile > Password","Bank User","",""
"","35","No Auth - Search Customers","QA|Nova Bank - Infopool","Fri May 30 20:58:50 GMT 2025","passed","Fri May 30 20:58:50 GMT 2025","v1 > Customer 360 > Search for a customer > search by name","Bank User","",""
"","38","Fetch Customers Accounts","QA|Nova Bank - Infopool","Fri May 30 20:58:56 GMT 2025","failed","Fri May 30 20:58:56 GMT 2025","v1 > Customer 360 > Fetch customer accounts","Bank User","",""
"","59","Fetch all users","QA|Nova Bank - Infopool","Fri May 30 20:58:57 GMT 2025","failed","Fri May 30 20:58:57 GMT 2025","v1 > Users > Fetch users","Bank Admin","",""
"","36","Update organization details by ID - incorrect operation manager ID","QA|Nova Bank - Infopool","Fri May 30 20:58:58 GMT 2025","failed","Fri May 30 20:58:58 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","110","Get profile roles - No Auth","QA|Nova Bank - Infopool","Fri May 30 20:58:45 GMT 2025","passed","Fri May 30 20:58:45 GMT 2025","v1 > Profile > Roles","Bank User","",""
"","36","Fetch Customer's Financial Summary","QA|Nova Bank - Infopool","Fri May 30 20:58:50 GMT 2025","failed","Fri May 30 20:58:50 GMT 2025","v1 > Customer 360 > Fetch customer's financial summary","Bank User","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","44","Empty Operation - Get Email or SMS OTP","QA|Nova Bank - Infopool","Fri May 30 20:58:45 GMT 2025","passed","Fri May 30 20:58:45 GMT 2025","v1 > Auth > MFA > Request","Bank User","",""
"","40","No Auth - Fetch Customers Transactions","QA|Nova Bank - Infopool","Fri May 30 20:58:53 GMT 2025","passed","Fri May 30 20:58:53 GMT 2025","v1 > Customer 360 > Fetch customers transaction","Bank User","",""
"","35","No Auth - Fetch Customers Accounts","QA|Nova Bank - Infopool","Fri May 30 20:58:56 GMT 2025","passed","Fri May 30 20:58:56 GMT 2025","v1 > Customer 360 > Fetch customer accounts","Bank User","",""
"","36","No auth - update role","QA|Nova Bank - Infopool","Fri May 30 20:58:57 GMT 2025","passed","Fri May 30 20:58:57 GMT 2025","v1 > Users > Role > Update role","Bank Admin","",""
"","52","Add Comment to Customer","QA|Nova Bank - Infopool","Fri May 30 20:58:49 GMT 2025","failed","Fri May 30 20:58:49 GMT 2025","v1 > Customer 360 > Comments > add comment to customer","Bank User","",""
"","35","No Auth - Fetch Customers Channels","QA|Nova Bank - Infopool","Fri May 30 20:58:56 GMT 2025","passed","Fri May 30 20:58:56 GMT 2025","v1 > Customer 360 > Fetch customer channel","Bank User","",""
"","37","Update Customer Comment Copy","QA|Nova Bank - Infopool","Fri May 30 20:58:49 GMT 2025","passed","Fri May 30 20:58:49 GMT 2025","v1 > Customer 360 > Comments > update comment to customer","Bank User","",""
"","39","Fetch organizations by ID - No Auth","QA|Nova Bank - Infopool","Fri May 30 20:58:58 GMT 2025","failed","Fri May 30 20:58:58 GMT 2025","v1 > Organizations > Fetch organiation by ID","Bank Admin","",""
"Get a paginated list of reports with optional filtering","35","Get Reports Stats - No Auth","QA|Nova Bank - Infopool","Fri May 30 20:59:00 GMT 2025","passed","Fri May 30 20:59:00 GMT 2025","v1 > Report > Get Report Stats","Bank Admin","",""
"","38","No Auth - Fetch all users","QA|Nova Bank - Infopool","Fri May 30 20:58:57 GMT 2025","passed","Fri May 30 20:58:57 GMT 2025","v1 > Users > Fetch users","Bank Admin","",""
"","58","Search Customers","QA|Nova Bank - Infopool","Fri May 30 20:58:50 GMT 2025","passed","Fri May 30 20:58:50 GMT 2025","v1 > Customer 360 > Search for a customer > search by name","Bank User","",""
"","33","Add user to an organization -user ID does not exist","QA|Nova Bank - Infopool","Fri May 30 20:58:59 GMT 2025","passed","Fri May 30 20:58:59 GMT 2025","v1 > Organizations > Users > Add users to an organization","Bank Admin","",""
"","34","No auth - get user role","QA|Nova Bank - Infopool","Fri May 30 20:58:57 GMT 2025","passed","Fri May 30 20:58:57 GMT 2025","v1 > Users > Role > Get role","Bank Admin","",""
"Update an existing report","36","Update Report - No auth","QA|Nova Bank - Infopool","Fri May 30 20:59:01 GMT 2025","passed","Fri May 30 20:59:01 GMT 2025","v1 > Report > Update Report","Bank Admin","",""
"","86","Forgot password - successful","QA|Nova Bank - Infopool","Fri May 30 20:58:44 GMT 2025","failed","Fri May 30 20:58:44 GMT 2025","v1 > Auth > Forgot password > Initiate forget password","Bank User","",""
"","36","Delete organization details by ID - No auth","QA|Nova Bank - Infopool","Fri May 30 20:58:59 GMT 2025","passed","Fri May 30 20:58:59 GMT 2025","v1 > Organizations > Delete organization","Bank Admin","",""
"","91","Generator Customers Transactions Statement - CSV","QA|Nova Bank - Infopool","Fri May 30 20:58:53 GMT 2025","passed","Fri May 30 20:58:53 GMT 2025","v1 > Customer 360 > Generate customers transaction statement","Bank User","",""
"","37","Update user - empty action field","QA|Nova Bank - Infopool","Fri May 30 20:58:57 GMT 2025","failed","Fri May 30 20:58:57 GMT 2025","v1 > Users > Update user","Bank Admin","",""
"","42","User does not exist - Forgot Password","QA|Nova Bank - Infopool","Fri May 30 20:58:44 GMT 2025","passed","Fri May 30 20:58:44 GMT 2025","v1 > Auth > Forgot password > Initiate forget password","Bank User","",""
"","48","Create organization - business manager ID does not exist","QA|Nova Bank - Infopool","Fri May 30 20:58:58 GMT 2025","passed","Fri May 30 20:58:58 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","39","Get Report Data - Invalid id","QA|Nova Bank - Infopool","Fri May 30 20:59:01 GMT 2025","failed","Fri May 30 20:59:01 GMT 2025","v1 > Report > Get Report Data","Bank Admin","",""
"","40","Get Report Data - No auth","QA|Nova Bank - Infopool","Fri May 30 20:59:01 GMT 2025","passed","Fri May 30 20:59:01 GMT 2025","v1 > Report > Get Report Data","Bank Admin","",""
"","44","Update organization details by ID - organisation type id","QA|Nova Bank - Infopool","Fri May 30 20:58:58 GMT 2025","passed","Fri May 30 20:58:58 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","37","ID does not exist - Get single definition","QA|Nova Bank - Infopool","Fri May 30 20:58:56 GMT 2025","failed","Fri May 30 20:58:56 GMT 2025","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"","35","Get role by ID - no auth","QA|Nova Bank - Infopool","Fri May 30 20:59:00 GMT 2025","passed","Fri May 30 20:59:00 GMT 2025","v1 > Roles > Get role by ID","Bank Admin","",""
"","36","No Auth - Update definition","QA|Nova Bank - Infopool","Fri May 30 20:58:56 GMT 2025","passed","Fri May 30 20:58:56 GMT 2025","v1 > Static Definitions > Update definition","Bank Admin","",""
"","39","Get Report Data - Question","QA|Nova Bank - Infopool","Fri May 30 20:59:01 GMT 2025","failed","Fri May 30 20:59:01 GMT 2025","v1 > Report > Get Report Data","Bank Admin","",""
"","37","Invalid attachment id - Delete Attachment from Issue","QA|Nova Bank - Infopool","Fri May 30 20:58:49 GMT 2025","failed","Fri May 30 20:58:49 GMT 2025","v1 > Customer 360 > Issues > delete attachment to an issue","Bank User","",""
"","43","Remove user from an organization - user ID does not exist","QA|Nova Bank - Infopool","Fri May 30 20:58:59 GMT 2025","passed","Fri May 30 20:58:59 GMT 2025","v1 > Organizations > Users > Remove users from an organization","Bank Admin","",""
"","38","Get Report Data - Dashboard","QA|Nova Bank - Infopool","Fri May 30 20:59:01 GMT 2025","failed","Fri May 30 20:59:01 GMT 2025","v1 > Report > Get Report Data","Bank Admin","",""
"Delete a report (soft delete)","36","Delete Report -No auth","QA|Nova Bank - Infopool","Fri May 30 20:59:01 GMT 2025","failed","Fri May 30 20:59:01 GMT 2025","v1 > Report > Delete Report","Bank Admin","",""
"","40","Add attachment to issue","QA|Nova Bank - Infopool","Fri May 30 20:58:49 GMT 2025","failed","Fri May 30 20:58:49 GMT 2025","v1 > Customer 360 > Issues > add attachment to issue","Bank User","",""
"","35","No auth - category by id","QA|Nova Bank - Infopool","Fri May 30 20:59:00 GMT 2025","passed","Fri May 30 20:59:00 GMT 2025","v1 > Notifications > Category > Fetch category by d","Bank Admin","",""
"","230","reset password","QA|Nova Bank - Infopool","Fri May 30 20:58:44 GMT 2025","passed","Fri May 30 20:58:45 GMT 2025","v1 > Auth > Forgot password > Reset password","Bank User","",""
"","45","Invalid email format","QA|Nova Bank - Infopool","Fri May 30 20:58:44 GMT 2025","passed","Fri May 30 20:58:44 GMT 2025","v1 > Auth > Session > Login","Bank User","",""
"","116","Get events - invalid start date","QA|Nova Bank - Infopool","Fri May 30 20:58:47 GMT 2025","passed","Fri May 30 20:58:47 GMT 2025","v1 > Audit trail > Event","Bank User","",""
"","37","No Auth - Search Customers","QA|Nova Bank - Infopool","Fri May 30 20:58:50 GMT 2025","passed","Fri May 30 20:58:50 GMT 2025","v1 > Customer 360 > Search for a customer > search by phone number","Bank User","",""
"","36","Create roles - Existing role","QA|Nova Bank - Infopool","Fri May 30 20:58:59 GMT 2025","failed","Fri May 30 20:58:59 GMT 2025","v1 > Roles > Create role","Bank Admin","",""
"","40","Export Report Data","QA|Nova Bank - Infopool","Fri May 30 20:59:01 GMT 2025","failed","Fri May 30 20:59:01 GMT 2025","v1 > Report > Export Report Data","Bank Admin","",""
"","47","Update profile","QA|Nova Bank - Infopool","Fri May 30 20:58:46 GMT 2025","failed","Fri May 30 20:58:46 GMT 2025","v1 > Profile > update profile image","Bank User","",""
"","43","get user role","QA|Nova Bank - Infopool","Fri May 30 20:58:57 GMT 2025","passed","Fri May 30 20:58:57 GMT 2025","v1 > Users > Role > Get role","Bank Admin","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","42","Invalid Channel - Get Email or SMS OTP","QA|Nova Bank - Infopool","Fri May 30 20:58:45 GMT 2025","passed","Fri May 30 20:58:45 GMT 2025","v1 > Auth > MFA > Request","Bank User","",""
"","35","No Auth - Delete Customer Comment","QA|Nova Bank - Infopool","Fri May 30 20:58:50 GMT 2025","passed","Fri May 30 20:58:50 GMT 2025","v1 > Customer 360 > Comments > delete customer comment","Bank User","",""
"","36","Remove user from an organization - no auth","QA|Nova Bank - Infopool","Fri May 30 20:58:59 GMT 2025","passed","Fri May 30 20:58:59 GMT 2025","v1 > Organizations > Users > Remove users from an organization","Bank Admin","",""
"","36","Create organization - empty mis code","QA|Nova Bank - Infopool","Fri May 30 20:58:58 GMT 2025","failed","Fri May 30 20:58:58 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","88","resend_invitation_toUser","QA|Nova Bank - Infopool","Fri May 30 20:58:47 GMT 2025","passed","Fri May 30 20:58:47 GMT 2025","v1 > Onboarding > Validate invitation","Bank User","",""
"","36","Get permission by ID - No auth","QA|Nova Bank - Infopool","Fri May 30 20:59:00 GMT 2025","passed","Fri May 30 20:59:00 GMT 2025","v1 > Permissions > Get permission by ID","Bank Admin","",""
"Get a paginated list of reports with optional filtering","36","Get Reports Stats","QA|Nova Bank - Infopool","Fri May 30 20:59:00 GMT 2025","failed","Fri May 30 20:59:00 GMT 2025","v1 > Report > Get Report Stats","Bank Admin","",""
"Get a paginated list of reports with optional filtering","37","Get Report Objects - Dashboard","QA|Nova Bank - Infopool","Fri May 30 20:59:00 GMT 2025","failed","Fri May 30 20:59:00 GMT 2025","v1 > Report > Get Report Object","Bank Admin","",""
"","47","Get single definition","QA|Nova Bank - Infopool","Fri May 30 20:58:56 GMT 2025","passed","Fri May 30 20:58:56 GMT 2025","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"","37","Delete organization details by ID - successful","QA|Nova Bank - Infopool","Fri May 30 20:58:59 GMT 2025","passed","Fri May 30 20:58:59 GMT 2025","v1 > Organizations > Delete organization","Bank Admin","",""
"","43","No user credentials","QA|Nova Bank - Infopool","Fri May 30 20:58:44 GMT 2025","passed","Fri May 30 20:58:44 GMT 2025","v1 > Auth > Session > Login","Bank User","",""
"","36","Delete Customer Comment","QA|Nova Bank - Infopool","Fri May 30 20:58:49 GMT 2025","failed","Fri May 30 20:58:50 GMT 2025","v1 > Customer 360 > Comments > delete customer comment","Bank User","",""
"","44","Get permission by ID - successful","QA|Nova Bank - Infopool","Fri May 30 20:59:00 GMT 2025","passed","Fri May 30 20:59:00 GMT 2025","v1 > Permissions > Get permission by ID","Bank Admin","",""
"","38","Create roles - No auth","QA|Nova Bank - Infopool","Fri May 30 20:58:59 GMT 2025","passed","Fri May 30 20:58:59 GMT 2025","v1 > Roles > Create role","Bank Admin","",""
"","38","Empty password - Send user invitation token","QA|Nova Bank - Infopool","Fri May 30 20:58:48 GMT 2025","passed","Fri May 30 20:58:48 GMT 2025","v1 > Onboarding > Complete profile","Bank User","",""
"","37","Fetch Customer By ID - invalid id","QA|Nova Bank - Infopool","Fri May 30 20:58:50 GMT 2025","failed","Fri May 30 20:58:50 GMT 2025","v1 > Customer 360 > Fetch customer by ID","Bank User","",""
"","39","Update profile - no auth","QA|Nova Bank - Infopool","Fri May 30 20:58:46 GMT 2025","passed","Fri May 30 20:58:46 GMT 2025","v1 > Profile > Update profile","Bank User","",""
"","37","No auth - Delete Attachment from Issue","QA|Nova Bank - Infopool","Fri May 30 20:58:49 GMT 2025","passed","Fri May 30 20:58:49 GMT 2025","v1 > Customer 360 > Issues > delete attachment to an issue","Bank User","",""
"","56","Update user - successful","QA|Nova Bank - Infopool","Fri May 30 20:58:57 GMT 2025","passed","Fri May 30 20:58:57 GMT 2025","v1 > Users > Update user","Bank Admin","",""
