"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","93","Fetch all users","QA|Nova Bank - Infopool","Fri May 30 21:01:00 GMT 2025","passed","Fri May 30 21:01:00 GMT 2025","v1 > Users > Fetch users","Bank Admin","",""
"","148","Get events - invalid start date","QA|Nova Bank - Infopool","Fri May 30 21:00:43 GMT 2025","passed","Fri May 30 21:00:43 GMT 2025","v1 > Audit trail > Event","Bank User","",""
"","85","Invalid ID - Update Customer Comment","QA|Nova Bank - Infopool","Fri May 30 21:00:54 GMT 2025","failed","Fri May 30 21:00:54 GMT 2025","v1 > Customer 360 > Comments > update comment to customer","Bank User","",""
"","146","Get events - invalid end date","QA|Nova Bank - Infopool","Fri May 30 21:00:43 GMT 2025","passed","Fri May 30 21:00:43 GMT 2025","v1 > Audit trail > Event","Bank User","",""
"","86","Create organization - empty street value","QA|Nova Bank - Infopool","Fri May 30 21:01:08 GMT 2025","passed","Fri May 30 21:01:08 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","81","Export Report Data","QA|Nova Bank - Infopool","Fri May 30 21:01:21 GMT 2025","failed","Fri May 30 21:01:21 GMT 2025","v1 > Report > Export Report Data","Bank Admin","",""
"","81","Fetch Customers Accounts","QA|Nova Bank - Infopool","Fri May 30 21:00:58 GMT 2025","failed","Fri May 30 21:00:58 GMT 2025","v1 > Customer 360 > Fetch customer accounts","Bank User","",""
"","83","Export Report Data - Invalid format","QA|Nova Bank - Infopool","Fri May 30 21:01:21 GMT 2025","failed","Fri May 30 21:01:21 GMT 2025","v1 > Report > Export Report Data","Bank Admin","",""
"","86","Update organization details by ID - incorrect business manager ID","QA|Nova Bank - Infopool","Fri May 30 21:01:09 GMT 2025","failed","Fri May 30 21:01:09 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","87","No Auth - Update Issue","QA|Nova Bank - Infopool","Fri May 30 21:00:52 GMT 2025","passed","Fri May 30 21:00:53 GMT 2025","v1 > Customer 360 > Issues > update issue","Bank User","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","87","Empty Operation - Get Email or SMS OTP","QA|Nova Bank - Infopool","Fri May 30 21:00:40 GMT 2025","passed","Fri May 30 21:00:40 GMT 2025","v1 > Auth > MFA > Request","Bank User","",""
"","257","Change password - successful","QA|Nova Bank - Infopool","Fri May 30 21:00:40 GMT 2025","passed","Fri May 30 21:00:41 GMT 2025","v1 > Profile > Password","Bank User","",""
"","85","Create roles - Existing role","QA|Nova Bank - Infopool","Fri May 30 21:01:11 GMT 2025","failed","Fri May 30 21:01:11 GMT 2025","v1 > Roles > Create role","Bank Admin","",""
"","98","Search Customers","QA|Nova Bank - Infopool","Fri May 30 21:00:54 GMT 2025","passed","Fri May 30 21:00:55 GMT 2025","v1 > Customer 360 > Search for a customer > search by phone number","Bank User","",""
"","87","Update role status","QA|Nova Bank - Infopool","Fri May 30 21:01:11 GMT 2025","passed","Fri May 30 21:01:11 GMT 2025","v1 > Roles > Update role","Bank Admin","",""
"","82","Fetch user by ID - invalid ID","QA|Nova Bank - Infopool","Fri May 30 21:00:59 GMT 2025","passed","Fri May 30 21:01:00 GMT 2025","v1 > Users > Fetch user by ID","Bank Admin","",""
"","89","Empty fields - Update definition","QA|Nova Bank - Infopool","Fri May 30 21:00:59 GMT 2025","passed","Fri May 30 21:00:59 GMT 2025","v1 > Static Definitions > Update definition","Bank Admin","",""
"","80","No auth - get user role","QA|Nova Bank - Infopool","Fri May 30 21:01:06 GMT 2025","passed","Fri May 30 21:01:06 GMT 2025","v1 > Users > Role > Get role","Bank Admin","",""
"","80","No Auth - Delete Customer Comment","QA|Nova Bank - Infopool","Fri May 30 21:00:54 GMT 2025","passed","Fri May 30 21:00:54 GMT 2025","v1 > Customer 360 > Comments > delete customer comment","Bank User","",""
"","87","Invalid email format - Forgot password","QA|Nova Bank - Infopool","Fri May 30 21:00:39 GMT 2025","passed","Fri May 30 21:00:39 GMT 2025","v1 > Auth > Forgot password > Initiate forget password","Bank User","",""
"","81","No auth - Add Comment to Customer","QA|Nova Bank - Infopool","Fri May 30 21:00:53 GMT 2025","passed","Fri May 30 21:00:53 GMT 2025","v1 > Customer 360 > Comments > add comment to customer","Bank User","",""
"","80","Get roles - No Auth","QA|Nova Bank - Infopool","Fri May 30 21:01:11 GMT 2025","passed","Fri May 30 21:01:11 GMT 2025","v1 > Roles > Get roles","Bank Admin","",""
"","87","Create organization - no country ID","QA|Nova Bank - Infopool","Fri May 30 21:01:08 GMT 2025","passed","Fri May 30 21:01:08 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","96","Fetch all users in an organization","QA|Nova Bank - Infopool","Fri May 30 21:01:10 GMT 2025","passed","Fri May 30 21:01:10 GMT 2025","v1 > Organizations > Users > Fetch users in an organization","Bank Admin","",""
"","248","Get profile - successfully","QA|Nova Bank - Infopool","Fri May 30 21:00:41 GMT 2025","passed","Fri May 30 21:00:42 GMT 2025","v1 > Profile > Get profile","Bank User","",""
