"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Get a specific report by ID","79","Get Report by ID - No auth","QA|Nova Bank - Infopool","Sun Jun 01 15:56:24 GMT 2025","passed","Sun Jun 01 15:56:24 GMT 2025","v1 > Report > Get Report by Id","Bank Admin","",""
"","925","Create a New Issue","QA|Nova Bank - Infopool","Sun Jun 01 15:55:51 GMT 2025","passed","Sun Jun 01 15:55:52 GMT 2025","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
"","104","Search Customers","QA|Nova Bank - Infopool","Sun Jun 01 15:56:01 GMT 2025","passed","Sun Jun 01 15:56:01 GMT 2025","v1 > Customer 360 > Search for a customer > search by name","Bank User","",""
"","81","No Auth - Change password","QA|Nova Bank - Infopool","Sun Jun 01 15:55:47 GMT 2025","passed","Sun Jun 01 15:55:48 GMT 2025","v1 > Profile > Password","Bank User","",""
"","79","No auth - get all category","QA|Nova Bank - Infopool","Sun Jun 01 15:56:19 GMT 2025","passed","Sun Jun 01 15:56:19 GMT 2025","v1 > Notifications > Category > Fetch all category","Bank Admin","",""
"","164","Invalid current password - Change password","QA|Nova Bank - Infopool","Sun Jun 01 15:55:48 GMT 2025","passed","Sun Jun 01 15:55:48 GMT 2025","v1 > Profile > Password","Bank User","",""
"Get a specific report by ID","3179","Get Report by ID","QA|Nova Bank - Infopool","Sun Jun 01 15:56:21 GMT 2025","failed","Sun Jun 01 15:56:24 GMT 2025","v1 > Report > Get Report by Id","Bank Admin","",""
"","81","Delete Attachment from Issue","QA|Nova Bank - Infopool","Sun Jun 01 15:56:00 GMT 2025","failed","Sun Jun 01 15:56:00 GMT 2025","v1 > Customer 360 > Issues > delete attachment to an issue","Bank User","",""
"","79","No Auth - Add attachment to issue","QA|Nova Bank - Infopool","Sun Jun 01 15:56:00 GMT 2025","passed","Sun Jun 01 15:56:00 GMT 2025","v1 > Customer 360 > Issues > add attachment to issue","Bank User","",""
"Get a paginated list of reports with optional filtering","80","Get Reports Stats - No Auth","QA|Nova Bank - Infopool","Sun Jun 01 15:56:20 GMT 2025","passed","Sun Jun 01 15:56:20 GMT 2025","v1 > Report > Get Report Stats","Bank Admin","",""
"","81","Invalid user phone number - Search Customers","QA|Nova Bank - Infopool","Sun Jun 01 15:56:02 GMT 2025","failed","Sun Jun 01 15:56:02 GMT 2025","v1 > Customer 360 > Search for a customer > search by phone number","Bank User","",""
"","94","Get all definitions","QA|Nova Bank - Infopool","Sun Jun 01 15:56:06 GMT 2025","passed","Sun Jun 01 15:56:06 GMT 2025","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"","98","Logout session successfully","QA|Nova Bank - Infopool","Sun Jun 01 15:56:20 GMT 2025","passed","Sun Jun 01 15:56:20 GMT 2025","v1 > Logout","Bank Admin","",""
"","82","Update organization details by ID - No auth","QA|Nova Bank - Infopool","Sun Jun 01 15:56:16 GMT 2025","passed","Sun Jun 01 15:56:16 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","79","No auth - update role","QA|Nova Bank - Infopool","Sun Jun 01 15:56:14 GMT 2025","passed","Sun Jun 01 15:56:14 GMT 2025","v1 > Users > Role > Update role","Bank Admin","",""
"Get a paginated list of reports with optional filtering","300","Get Report Objects - Dashboard","QA|Nova Bank - Infopool","Sun Jun 01 15:56:21 GMT 2025","passed","Sun Jun 01 15:56:21 GMT 2025","v1 > Report > Get Report Object","Bank Admin","",""
"","81","Update user - empty action field","QA|Nova Bank - Infopool","Sun Jun 01 15:56:13 GMT 2025","failed","Sun Jun 01 15:56:13 GMT 2025","v1 > Users > Update user","Bank Admin","",""
"","3204","Update user - successful","QA|Nova Bank - Infopool","Sun Jun 01 15:56:10 GMT 2025","passed","Sun Jun 01 15:56:13 GMT 2025","v1 > Users > Update user","Bank Admin","",""
"","80","Invalid ID - Get single definition","QA|Nova Bank - Infopool","Sun Jun 01 15:56:06 GMT 2025","failed","Sun Jun 01 15:56:06 GMT 2025","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"","188","Get events - successful","QA|Nova Bank - Infopool","Sun Jun 01 15:55:49 GMT 2025","passed","Sun Jun 01 15:55:49 GMT 2025","v1 > Audit trail > Event","Bank User","",""
