"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","40","No Auth - Get all Issues","QA|Nova Bank - Infopool","Mon Jun 02 12:09:10 GMT 2025","passed","Mon Jun 02 12:09:10 GMT 2025","v1 > Customer 360 > Issues > get all issues","Bank User","",""
"","54","Create organization - business manager ID does not exist","QA|Nova Bank - Infopool","Mon Jun 02 12:09:23 GMT 2025","passed","Mon Jun 02 12:09:23 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","118","Get events - invalid start date","QA|Nova Bank - Infopool","Mon Jun 02 12:09:08 GMT 2025","passed","Mon Jun 02 12:09:08 GMT 2025","v1 > Audit trail > Event","Bank User","",""
"Get a specific report by ID","48","Get Report by ID","QA|Nova Bank - Infopool","Mon Jun 02 12:09:27 GMT 2025","failed","Mon Jun 02 12:09:27 GMT 2025","v1 > Report > Get Report by Id","Bank Admin","",""
"","37","Update Customer Comment Copy","QA|Nova Bank - Infopool","Mon Jun 02 12:09:11 GMT 2025","passed","Mon Jun 02 12:09:11 GMT 2025","v1 > Customer 360 > Comments > update comment to customer","Bank User","",""
"","53","Fetch sub-organizations of a parent organization","QA|Nova Bank - Infopool","Mon Jun 02 12:09:24 GMT 2025","passed","Mon Jun 02 12:09:24 GMT 2025","v1 > Organizations > Sub-organizations > Fetch sub-organizations","Bank Admin","",""
"","38","Invalid ID - Get single definition","QA|Nova Bank - Infopool","Mon Jun 02 12:09:16 GMT 2025","failed","Mon Jun 02 12:09:16 GMT 2025","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"Delete a report (soft delete)","38","Delete Report -No auth","QA|Nova Bank - Infopool","Mon Jun 02 12:09:28 GMT 2025","failed","Mon Jun 02 12:09:28 GMT 2025","v1 > Report > Delete Report","Bank Admin","",""
"","48","Create organization - operations manager ID does not exist","QA|Nova Bank - Infopool","Mon Jun 02 12:09:23 GMT 2025","passed","Mon Jun 02 12:09:23 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"Get a specific report by ID","47","Get Report by ID - Invalid id","QA|Nova Bank - Infopool","Mon Jun 02 12:09:27 GMT 2025","passed","Mon Jun 02 12:09:27 GMT 2025","v1 > Report > Get Report by Id","Bank Admin","",""
"","40","Empty authentication type - Send user invitation token","QA|Nova Bank - Infopool","Mon Jun 02 12:09:09 GMT 2025","passed","Mon Jun 02 12:09:09 GMT 2025","v1 > Onboarding > Complete profile","Bank User","",""
"","42","No Auth - Add attachment to issue","QA|Nova Bank - Infopool","Mon Jun 02 12:09:11 GMT 2025","passed","Mon Jun 02 12:09:11 GMT 2025","v1 > Customer 360 > Issues > add attachment to issue","Bank User","",""
"","37","Generator Customers Transactions Statement - PDF","QA|Nova Bank - Infopool","Mon Jun 02 12:09:15 GMT 2025","failed","Mon Jun 02 12:09:15 GMT 2025","v1 > Customer 360 > Generate customers transaction statement","Bank User","",""
"","47","Update role status","QA|Nova Bank - Infopool","Mon Jun 02 12:09:25 GMT 2025","passed","Mon Jun 02 12:09:25 GMT 2025","v1 > Roles > Update role","Bank Admin","",""
