"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3133","Invalid Id - Update Issue","QA|Nova Bank - Infopool","Mon Jun 02 12:12:28 GMT 2025","failed","Mon Jun 02 12:12:31 GMT 2025","v1 > Customer 360 > Issues > update issue","Bank User","",""
"Get a paginated list of reports with optional filtering","92","Get Reports - filter by invalid category Id","QA|Nova Bank - Infopool","Mon Jun 02 12:12:51 GMT 2025","passed","Mon Jun 02 12:12:52 GMT 2025","v1 > Report > Get Report","Bank Admin","",""
"Get a paginated list of reports with optional filtering","79","Get Reports Stats - No Auth","QA|Nova Bank - Infopool","Mon Jun 02 12:12:52 GMT 2025","passed","Mon Jun 02 12:12:52 GMT 2025","v1 > Report > Get Report Stats","Bank Admin","",""
"","86","Empty fields - Update definition","QA|Nova Bank - Infopool","Mon Jun 02 12:12:38 GMT 2025","passed","Mon Jun 02 12:12:38 GMT 2025","v1 > Static Definitions > Update definition","Bank Admin","",""
"","83","No Auth - Add Comment to Issue","QA|Nova Bank - Infopool","Mon Jun 02 12:12:31 GMT 2025","passed","Mon Jun 02 12:12:31 GMT 2025","v1 > Customer 360 > Issues > add comment to an issue","Bank User","",""
"","255","reset password","QA|Nova Bank - Infopool","Mon Jun 02 12:12:18 GMT 2025","passed","Mon Jun 02 12:12:18 GMT 2025","v1 > Auth > Forgot password > Reset password","Bank User","",""
"","79","Get role by ID - invalid ID","QA|Nova Bank - Infopool","Mon Jun 02 12:12:50 GMT 2025","failed","Mon Jun 02 12:12:50 GMT 2025","v1 > Roles > Get role by ID","Bank Admin","",""
"","93","Fetch all users in an organization","QA|Nova Bank - Infopool","Mon Jun 02 12:12:48 GMT 2025","passed","Mon Jun 02 12:12:48 GMT 2025","v1 > Organizations > Users > Fetch users in an organization","Bank Admin","",""
"","80","Get roles - No Auth","QA|Nova Bank - Infopool","Mon Jun 02 12:12:49 GMT 2025","passed","Mon Jun 02 12:12:49 GMT 2025","v1 > Roles > Get roles","Bank Admin","",""
"","77","Get roles - successful","QA|Nova Bank - Infopool","Mon Jun 02 12:12:49 GMT 2025","passed","Mon Jun 02 12:12:49 GMT 2025","v1 > Roles > Get roles","Bank Admin","",""
"","81","Delete Attachment from Issue","QA|Nova Bank - Infopool","Mon Jun 02 12:12:31 GMT 2025","failed","Mon Jun 02 12:12:32 GMT 2025","v1 > Customer 360 > Issues > delete attachment to an issue","Bank User","",""
"","91","Update organization details by ID - name already exists","QA|Nova Bank - Infopool","Mon Jun 02 12:12:47 GMT 2025","passed","Mon Jun 02 12:12:47 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","130","Forgot password - successful","QA|Nova Bank - Infopool","Mon Jun 02 12:12:17 GMT 2025","failed","Mon Jun 02 12:12:17 GMT 2025","v1 > Auth > Forgot password > Initiate forget password","Bank User","",""
"","89","Remove user from an organization - user ID does not exist","QA|Nova Bank - Infopool","Mon Jun 02 12:12:49 GMT 2025","passed","Mon Jun 02 12:12:49 GMT 2025","v1 > Organizations > Users > Remove users from an organization","Bank Admin","",""
