"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","83","Fetch Customers Channels","QA|Nova Bank - Infopool","Tue Jun 03 10:59:28 GMT 2025","failed","Tue Jun 03 10:59:28 GMT 2025","v1 > Customer 360 > Fetch customer channel","Bank User","",""
"Create a new report","98","Create Report - Duplicate name","QA|Nova Bank - Infopool","Tue Jun 03 10:59:51 GMT 2025","passed","Tue Jun 03 10:59:52 GMT 2025","v1 > Report > Create Report","Bank Admin","",""
"","266","Change password - successful","QA|Nova Bank - Infopool","Tue Jun 03 10:59:10 GMT 2025","passed","Tue Jun 03 10:59:10 GMT 2025","v1 > Profile > Password","Bank User","",""
"Create a new report","97","Create Report - Empty category","QA|Nova Bank - Infopool","Tue Jun 03 10:59:52 GMT 2025","failed","Tue Jun 03 10:59:52 GMT 2025","v1 > Report > Create Report","Bank Admin","",""
"","90","Update role status","QA|Nova Bank - Infopool","Tue Jun 03 10:59:42 GMT 2025","passed","Tue Jun 03 10:59:42 GMT 2025","v1 > Roles > Update role","Bank Admin","",""
"Get a specific report by ID","94","Get Report by UUID","QA|Nova Bank - Infopool","Tue Jun 03 10:59:51 GMT 2025","failed","Tue Jun 03 10:59:51 GMT 2025","v1 > Report > Get Report by UUID","Bank Admin","",""
"","101","Fetch sub-organizations of a parent organization","QA|Nova Bank - Infopool","Tue Jun 03 10:59:40 GMT 2025","passed","Tue Jun 03 10:59:40 GMT 2025","v1 > Organizations > Sub-organizations > Fetch sub-organizations","Bank Admin","",""
"","84","No Auth - Fetch all users","QA|Nova Bank - Infopool","Tue Jun 03 10:59:36 GMT 2025","passed","Tue Jun 03 10:59:36 GMT 2025","v1 > Users > Fetch users","Bank Admin","",""
"","88","Update Issue","QA|Nova Bank - Infopool","Tue Jun 03 10:59:22 GMT 2025","failed","Tue Jun 03 10:59:22 GMT 2025","v1 > Customer 360 > Issues > update issue","Bank User","",""
"Get a paginated list of reports with optional filtering","303","Get Report Objects - Dashboard","QA|Nova Bank - Infopool","Tue Jun 03 10:59:50 GMT 2025","passed","Tue Jun 03 10:59:51 GMT 2025","v1 > Report > Get Report Object","Bank Admin","",""
"","88","Get Report Data - Dashboard","QA|Nova Bank - Infopool","Tue Jun 03 10:59:52 GMT 2025","failed","Tue Jun 03 10:59:52 GMT 2025","v1 > Report > Get Report Data","Bank Admin","",""
"","89","Update user - empty action field","QA|Nova Bank - Infopool","Tue Jun 03 10:59:36 GMT 2025","failed","Tue Jun 03 10:59:36 GMT 2025","v1 > Users > Update user","Bank Admin","",""
"","84","No Auth - Get all definitions","QA|Nova Bank - Infopool","Tue Jun 03 10:59:29 GMT 2025","passed","Tue Jun 03 10:59:29 GMT 2025","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"","93","Empty current password - Change password","QA|Nova Bank - Infopool","Tue Jun 03 10:59:10 GMT 2025","passed","Tue Jun 03 10:59:10 GMT 2025","v1 > Profile > Password","Bank User","",""
"","83","Get role by ID - no auth","QA|Nova Bank - Infopool","Tue Jun 03 10:59:42 GMT 2025","passed","Tue Jun 03 10:59:42 GMT 2025","v1 > Roles > Get role by ID","Bank Admin","",""
"","88","Invalid authentication - Send user invitation token","QA|Nova Bank - Infopool","Tue Jun 03 10:59:13 GMT 2025","passed","Tue Jun 03 10:59:13 GMT 2025","v1 > Onboarding > Complete profile","Bank User","",""
"","84","Fetch Customer By ID no Auth","QA|Nova Bank - Infopool","Tue Jun 03 10:59:25 GMT 2025","passed","Tue Jun 03 10:59:25 GMT 2025","v1 > Customer 360 > Fetch customer by ID","Bank User","",""
"","84","No auth - get user role","QA|Nova Bank - Infopool","Tue Jun 03 10:59:37 GMT 2025","passed","Tue Jun 03 10:59:37 GMT 2025","v1 > Users > Role > Get role","Bank Admin","",""
"","103","Add Comment to Customer","QA|Nova Bank - Infopool","Tue Jun 03 10:59:23 GMT 2025","failed","Tue Jun 03 10:59:23 GMT 2025","v1 > Customer 360 > Comments > add comment to customer","Bank User","",""
"","93","Update organization details by ID - empty name","QA|Nova Bank - Infopool","Tue Jun 03 10:59:39 GMT 2025","passed","Tue Jun 03 10:59:40 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","82","No auth - Update role status","QA|Nova Bank - Infopool","Tue Jun 03 10:59:42 GMT 2025","passed","Tue Jun 03 10:59:42 GMT 2025","v1 > Roles > Update role","Bank Admin","",""
"","84","No Auth - Update definition","QA|Nova Bank - Infopool","Tue Jun 03 10:59:32 GMT 2025","passed","Tue Jun 03 10:59:32 GMT 2025","v1 > Static Definitions > Update definition","Bank Admin","",""
"","97","Create  organization - without parent id","QA|Nova Bank - Infopool","Tue Jun 03 10:59:37 GMT 2025","passed","Tue Jun 03 10:59:37 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","90","User does not exist - Forgot Password","QA|Nova Bank - Infopool","Tue Jun 03 10:59:08 GMT 2025","passed","Tue Jun 03 10:59:08 GMT 2025","v1 > Auth > Forgot password > Initiate forget password","Bank User","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","126","Get Email or SMS OTP","QA|Nova Bank - Infopool","Tue Jun 03 10:59:08 GMT 2025","passed","Tue Jun 03 10:59:09 GMT 2025","v1 > Auth > MFA > Request","Bank User","",""
"","273","update role","QA|Nova Bank - Infopool","Tue Jun 03 10:59:37 GMT 2025","passed","Tue Jun 03 10:59:37 GMT 2025","v1 > Users > Role > Update role","Bank Admin","",""
"","3170","Get all Issues","QA|Nova Bank - Infopool","Tue Jun 03 10:59:19 GMT 2025","failed","Tue Jun 03 10:59:22 GMT 2025","v1 > Customer 360 > Issues > get all issues","Bank User","",""
"","96","Fetch organizations by ID - successful","QA|Nova Bank - Infopool","Tue Jun 03 10:59:39 GMT 2025","passed","Tue Jun 03 10:59:39 GMT 2025","v1 > Organizations > Fetch organiation by ID","Bank Admin","",""
"Delete a report (soft delete)","87","Delete Report - Invalid id","QA|Nova Bank - Infopool","Tue Jun 03 10:59:52 GMT 2025","failed","Tue Jun 03 10:59:52 GMT 2025","v1 > Report > Delete Report","Bank Admin","",""
"","83","No Auth - Fetch Customer Comments","QA|Nova Bank - Infopool","Tue Jun 03 10:59:23 GMT 2025","passed","Tue Jun 03 10:59:24 GMT 2025","v1 > Customer 360 > Comments > fetch customer comment","Bank User","",""
"Get a specific report by ID","92","Get Report by ID","QA|Nova Bank - Infopool","Tue Jun 03 10:59:51 GMT 2025","failed","Tue Jun 03 10:59:51 GMT 2025","v1 > Report > Get Report by Id","Bank Admin","",""
"","97","Fetch all users","QA|Nova Bank - Infopool","Tue Jun 03 10:59:36 GMT 2025","passed","Tue Jun 03 10:59:36 GMT 2025","v1 > Users > Fetch users","Bank Admin","",""
"","83","No Auth - Add Comment to Issue","QA|Nova Bank - Infopool","Tue Jun 03 10:59:23 GMT 2025","passed","Tue Jun 03 10:59:23 GMT 2025","v1 > Customer 360 > Issues > add comment to an issue","Bank User","",""
"Get a paginated list of reports with optional filtering","3193","Get Reports Stats - No Auth","QA|Nova Bank - Infopool","Tue Jun 03 10:59:47 GMT 2025","passed","Tue Jun 03 10:59:50 GMT 2025","v1 > Report > Get Report Stats","Bank Admin","",""
"","96","Update organization details by ID - name already exists","QA|Nova Bank - Infopool","Tue Jun 03 10:59:39 GMT 2025","passed","Tue Jun 03 10:59:39 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","151","Get events - end date earlier than start date","QA|Nova Bank - Infopool","Tue Jun 03 10:59:12 GMT 2025","passed","Tue Jun 03 10:59:12 GMT 2025","v1 > Audit trail > Event","Bank User","",""
"","85","No Auth - Add attachment to issue","QA|Nova Bank - Infopool","Tue Jun 03 10:59:23 GMT 2025","passed","Tue Jun 03 10:59:23 GMT 2025","v1 > Customer 360 > Issues > add attachment to issue","Bank User","",""
"","85","Get profile roles - No Auth","QA|Nova Bank - Infopool","Tue Jun 03 10:59:09 GMT 2025","passed","Tue Jun 03 10:59:10 GMT 2025","v1 > Profile > Roles","Bank User","",""
"","94","Empty new password - Change password","QA|Nova Bank - Infopool","Tue Jun 03 10:59:10 GMT 2025","passed","Tue Jun 03 10:59:10 GMT 2025","v1 > Profile > Password","Bank User","",""
"","140","Forgot password - successful","QA|Nova Bank - Infopool","Tue Jun 03 10:59:08 GMT 2025","failed","Tue Jun 03 10:59:08 GMT 2025","v1 > Auth > Forgot password > Initiate forget password","Bank User","",""
"","119","Search Customers","QA|Nova Bank - Infopool","Tue Jun 03 10:59:24 GMT 2025","passed","Tue Jun 03 10:59:24 GMT 2025","v1 > Customer 360 > Search for a customer > search by name","Bank User","",""
"","86","ID does not exist - Get single definition","QA|Nova Bank - Infopool","Tue Jun 03 10:59:32 GMT 2025","failed","Tue Jun 03 10:59:32 GMT 2025","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"","94","Update organization details by ID - organisation type id","QA|Nova Bank - Infopool","Tue Jun 03 10:59:39 GMT 2025","passed","Tue Jun 03 10:59:39 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"Delete a report (soft delete)","84","Delete Report -No auth","QA|Nova Bank - Infopool","Tue Jun 03 10:59:52 GMT 2025","failed","Tue Jun 03 10:59:52 GMT 2025","v1 > Report > Delete Report","Bank Admin","",""
"","87","Get events - no auth","QA|Nova Bank - Infopool","Tue Jun 03 10:59:12 GMT 2025","passed","Tue Jun 03 10:59:12 GMT 2025","v1 > Audit trail > Event","Bank User","",""
"","95","Create organization - no name","QA|Nova Bank - Infopool","Tue Jun 03 10:59:37 GMT 2025","passed","Tue Jun 03 10:59:38 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","95","Create organization - no country ID","QA|Nova Bank - Infopool","Tue Jun 03 10:59:38 GMT 2025","passed","Tue Jun 03 10:59:38 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","89","Empty password - Send user invitation token","QA|Nova Bank - Infopool","Tue Jun 03 10:59:13 GMT 2025","passed","Tue Jun 03 10:59:13 GMT 2025","v1 > Onboarding > Complete profile","Bank User","",""
"","463","Empty issue - Create a New Issue","QA|Nova Bank - Infopool","Tue Jun 03 10:59:15 GMT 2025","passed","Tue Jun 03 10:59:15 GMT 2025","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
"","119","Add user to an organization - successful","QA|Nova Bank - Infopool","Tue Jun 03 10:59:40 GMT 2025","passed","Tue Jun 03 10:59:40 GMT 2025","v1 > Organizations > Users > Add users to an organization","Bank Admin","",""
"","84","No auth - get all category","QA|Nova Bank - Infopool","Tue Jun 03 10:59:43 GMT 2025","passed","Tue Jun 03 10:59:43 GMT 2025","v1 > Notifications > Category > Fetch all category","Bank Admin","",""
"","96","Invalid ID -Get Issue by ID","QA|Nova Bank - Infopool","Tue Jun 03 10:59:22 GMT 2025","passed","Tue Jun 03 10:59:22 GMT 2025","v1 > Customer 360 > Issues > get issue by Id","Bank User","",""
"","83","Get permission by ID - No auth","QA|Nova Bank - Infopool","Tue Jun 03 10:59:42 GMT 2025","passed","Tue Jun 03 10:59:42 GMT 2025","v1 > Permissions > Get permission by ID","Bank Admin","",""
"","88","Get Issue by ID","QA|Nova Bank - Infopool","Tue Jun 03 10:59:22 GMT 2025","failed","Tue Jun 03 10:59:22 GMT 2025","v1 > Customer 360 > Issues > get issue by Id","Bank User","",""
"","89","Get profile - user not logged in","QA|Nova Bank - Infopool","Tue Jun 03 10:59:11 GMT 2025","passed","Tue Jun 03 10:59:11 GMT 2025","v1 > Profile > Get profile","Bank User","",""
"","93","Fetch organizations by ID - non-existing ID","QA|Nova Bank - Infopool","Tue Jun 03 10:59:39 GMT 2025","passed","Tue Jun 03 10:59:39 GMT 2025","v1 > Organizations > Fetch organiation by ID","Bank Admin","",""
"","7129","Successful login","QA|Nova Bank - Infopool","Tue Jun 03 10:59:00 GMT 2025","passed","Tue Jun 03 10:59:07 GMT 2025","v1 > Auth > Session > Login","Bank User","",""
"","97","get all category","QA|Nova Bank - Infopool","Tue Jun 03 10:59:43 GMT 2025","passed","Tue Jun 03 10:59:43 GMT 2025","v1 > Notifications > Category > Fetch all category","Bank Admin","",""
"","88","Get profile - No Auth","QA|Nova Bank - Infopool","Tue Jun 03 10:59:11 GMT 2025","passed","Tue Jun 03 10:59:11 GMT 2025","v1 > Profile > Get profile","Bank User","",""
"Get a specific report by ID","84","Get Report by UUID - No auth","QA|Nova Bank - Infopool","Tue Jun 03 10:59:51 GMT 2025","passed","Tue Jun 03 10:59:51 GMT 2025","v1 > Report > Get Report by UUID","Bank Admin","",""
"","135","resend_invitation_toUser","QA|Nova Bank - Infopool","Tue Jun 03 10:59:13 GMT 2025","passed","Tue Jun 03 10:59:13 GMT 2025","v1 > Onboarding > Validate invitation","Bank User","",""
"","200","Add Comment to Issue","QA|Nova Bank - Infopool","Tue Jun 03 10:59:22 GMT 2025","passed","Tue Jun 03 10:59:23 GMT 2025","v1 > Customer 360 > Issues > add comment to an issue","Bank User","",""
"","87","Invalid Id - Update Issue","QA|Nova Bank - Infopool","Tue Jun 03 10:59:22 GMT 2025","failed","Tue Jun 03 10:59:22 GMT 2025","v1 > Customer 360 > Issues > update issue","Bank User","",""
"","148","Update profile - successful","QA|Nova Bank - Infopool","Tue Jun 03 10:59:11 GMT 2025","passed","Tue Jun 03 10:59:11 GMT 2025","v1 > Profile > Update profile","Bank User","",""
