"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","86","Update role status","QA|Nova Bank - Infopool","Tue Jun 03 12:16:54 GMT 2025","passed","Tue Jun 03 12:16:54 GMT 2025","v1 > Roles > Update role","Bank Admin","",""
"","81","Get role by ID - invalid ID","QA|Nova Bank - Infopool","Tue Jun 03 12:16:55 GMT 2025","failed","Tue Jun 03 12:16:55 GMT 2025","v1 > Roles > Get role by ID","Bank Admin","",""
"","136","verifyOTP","QA|Nova Bank - Infopool","Tue Jun 03 12:16:21 GMT 2025","passed","Tue Jun 03 12:16:21 GMT 2025","v1 > Auth > Session > verify OTP","Bank User","",""
"","93","Create  organization - without parent id","QA|Nova Bank - Infopool","Tue Jun 03 12:16:50 GMT 2025","passed","Tue Jun 03 12:16:50 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","83","Invalid Id - Update Issue","QA|Nova Bank - Infopool","Tue Jun 03 12:16:35 GMT 2025","failed","Tue Jun 03 12:16:35 GMT 2025","v1 > Customer 360 > Issues > update issue","Bank User","",""
"","92","managers","QA|Nova Bank - Infopool","Tue Jun 03 12:16:54 GMT 2025","passed","Tue Jun 03 12:16:54 GMT 2025","v1 > Organizations > Managers > Fetch managers of an organization","Bank Admin","",""
"","86","Empty fields - Update definition","QA|Nova Bank - Infopool","Tue Jun 03 12:16:45 GMT 2025","passed","Tue Jun 03 12:16:45 GMT 2025","v1 > Static Definitions > Update definition","Bank Admin","",""
"","82","No auth - get all category","QA|Nova Bank - Infopool","Tue Jun 03 12:16:55 GMT 2025","passed","Tue Jun 03 12:16:55 GMT 2025","v1 > Notifications > Category > Fetch all category","Bank Admin","",""
"","83","No Auth - Fetch Customer Comments","QA|Nova Bank - Infopool","Tue Jun 03 12:16:36 GMT 2025","passed","Tue Jun 03 12:16:36 GMT 2025","v1 > Customer 360 > Comments > fetch customer comment","Bank User","",""
"","2600","Fetch Customers Transactions","QA|Nova Bank - Infopool","Tue Jun 03 12:16:38 GMT 2025","passed","Tue Jun 03 12:16:41 GMT 2025","v1 > Customer 360 > Fetch customers transaction","Bank User","",""
"","89","Update user - ID does not exist","QA|Nova Bank - Infopool","Tue Jun 03 12:16:49 GMT 2025","passed","Tue Jun 03 12:16:49 GMT 2025","v1 > Users > Update user","Bank Admin","",""
"","86","Create organization - empty city value","QA|Nova Bank - Infopool","Tue Jun 03 12:16:51 GMT 2025","passed","Tue Jun 03 12:16:51 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","135","Forgot password - successful","QA|Nova Bank - Infopool","Tue Jun 03 12:16:21 GMT 2025","failed","Tue Jun 03 12:16:21 GMT 2025","v1 > Auth > Forgot password > Initiate forget password","Bank User","",""
