"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","80","Get profile - No Auth","QA|Nova Bank - Infopool","Tue Jun 03 17:59:45 GMT 2025","passed","Tue Jun 03 17:59:45 GMT 2025","v1 > Profile > Get profile","Bank User","",""
"","79","Invalid user phone number - Search Customers","QA|Nova Bank - Infopool","Tue Jun 03 17:59:58 GMT 2025","failed","Tue Jun 03 17:59:58 GMT 2025","v1 > Customer 360 > Search for a customer > search by phone number","Bank User","",""
"","81","Update Customer Comment Copy","QA|Nova Bank - Infopool","Tue Jun 03 17:59:57 GMT 2025","passed","Tue Jun 03 17:59:57 GMT 2025","v1 > Customer 360 > Comments > update comment to customer","Bank User","",""
"","79","Update user - no auth","QA|Nova Bank - Infopool","Tue Jun 03 18:00:10 GMT 2025","passed","Tue Jun 03 18:00:10 GMT 2025","v1 > Users > Update user","Bank Admin","",""
"","90","Fetch organizations by ID - non-existing ID","QA|Nova Bank - Infopool","Tue Jun 03 18:00:13 GMT 2025","passed","Tue Jun 03 18:00:13 GMT 2025","v1 > Organizations > Fetch organiation by ID","Bank Admin","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","85","Invalid Operation - Get Email or SMS OTP","QA|Nova Bank - Infopool","Tue Jun 03 17:59:43 GMT 2025","passed","Tue Jun 03 17:59:43 GMT 2025","v1 > Auth > MFA > Request","Bank User","",""
"","80","Delete organization details by ID - successful","QA|Nova Bank - Infopool","Tue Jun 03 18:00:13 GMT 2025","passed","Tue Jun 03 18:00:13 GMT 2025","v1 > Organizations > Delete organization","Bank Admin","",""
"","9","New Request","QA|Nova Bank - Infopool","Tue Jun 03 18:00:06 GMT 2025","broken","Tue Jun 03 18:00:06 GMT 2025","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"","81","No Auth - Fetch Customer Comments","QA|Nova Bank - Infopool","Tue Jun 03 17:59:57 GMT 2025","passed","Tue Jun 03 17:59:57 GMT 2025","v1 > Customer 360 > Comments > fetch customer comment","Bank User","",""
"","88","Update profile - invalid phone number","QA|Nova Bank - Infopool","Tue Jun 03 17:59:46 GMT 2025","passed","Tue Jun 03 17:59:46 GMT 2025","v1 > Profile > Update profile","Bank User","",""
"","83","Update organization details by ID - No auth","QA|Nova Bank - Infopool","Tue Jun 03 18:00:13 GMT 2025","passed","Tue Jun 03 18:00:13 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","388","reset password","QA|Nova Bank - Infopool","Tue Jun 03 17:59:42 GMT 2025","passed","Tue Jun 03 17:59:43 GMT 2025","v1 > Auth > Forgot password > Reset password","Bank User","",""
"","95","get user role","QA|Nova Bank - Infopool","Tue Jun 03 18:00:10 GMT 2025","passed","Tue Jun 03 18:00:11 GMT 2025","v1 > Users > Role > Get role","Bank Admin","",""
"","82","Update user - invalid action","QA|Nova Bank - Infopool","Tue Jun 03 18:00:10 GMT 2025","failed","Tue Jun 03 18:00:10 GMT 2025","v1 > Users > Update user","Bank Admin","",""
"","80","No auth - Generator Customers Transactions Statement - PDF","QA|Nova Bank - Infopool","Tue Jun 03 18:00:02 GMT 2025","passed","Tue Jun 03 18:00:02 GMT 2025","v1 > Customer 360 > Generate customers transaction statement","Bank User","",""
"","96","Fetch all organizations","QA|Nova Bank - Infopool","Tue Jun 03 18:00:12 GMT 2025","passed","Tue Jun 03 18:00:12 GMT 2025","v1 > Organizations > Fetch organization","Bank Admin","",""
"","257","Change password - successful","QA|Nova Bank - Infopool","Tue Jun 03 17:59:44 GMT 2025","passed","Tue Jun 03 17:59:44 GMT 2025","v1 > Profile > Password","Bank User","",""
"","80","Fetch user by ID - invalid ID","QA|Nova Bank - Infopool","Tue Jun 03 18:00:07 GMT 2025","passed","Tue Jun 03 18:00:07 GMT 2025","v1 > Users > Fetch user by ID","Bank Admin","",""
"","81","No Auth - Change password","QA|Nova Bank - Infopool","Tue Jun 03 17:59:44 GMT 2025","passed","Tue Jun 03 17:59:44 GMT 2025","v1 > Profile > Password","Bank User","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","83","Invalid Auth - Empty Channel - Get Email or SMS OTP","QA|Nova Bank - Infopool","Tue Jun 03 17:59:43 GMT 2025","passed","Tue Jun 03 17:59:43 GMT 2025","v1 > Auth > MFA > Request","Bank User","",""
"","81","Add user to an organization - no auth","QA|Nova Bank - Infopool","Tue Jun 03 18:00:14 GMT 2025","passed","Tue Jun 03 18:00:14 GMT 2025","v1 > Organizations > Users > Add users to an organization","Bank Admin","",""
"","99","Add Comment to Customer","QA|Nova Bank - Infopool","Tue Jun 03 17:59:57 GMT 2025","failed","Tue Jun 03 17:59:57 GMT 2025","v1 > Customer 360 > Comments > add comment to customer","Bank User","",""
"","80","No Auth - Fetch all organizations","QA|Nova Bank - Infopool","Tue Jun 03 18:00:12 GMT 2025","passed","Tue Jun 03 18:00:12 GMT 2025","v1 > Organizations > Fetch organization","Bank Admin","",""
"","81","Invalid ID - Delete Customer Comment","QA|Nova Bank - Infopool","Tue Jun 03 17:59:58 GMT 2025","failed","Tue Jun 03 17:59:58 GMT 2025","v1 > Customer 360 > Comments > delete customer comment","Bank User","",""
"","81","Fetch organizations by ID - No Auth","QA|Nova Bank - Infopool","Tue Jun 03 18:00:12 GMT 2025","failed","Tue Jun 03 18:00:13 GMT 2025","v1 > Organizations > Fetch organiation by ID","Bank Admin","",""
"","85","No email - Forgot Password","QA|Nova Bank - Infopool","Tue Jun 03 17:59:42 GMT 2025","passed","Tue Jun 03 17:59:42 GMT 2025","v1 > Auth > Forgot password > Initiate forget password","Bank User","",""
"","92","Fetch user by ID - successful","QA|Nova Bank - Infopool","Tue Jun 03 18:00:06 GMT 2025","passed","Tue Jun 03 18:00:06 GMT 2025","v1 > Users > Fetch user by ID","Bank Admin","",""
"","84","Update Issue","QA|Nova Bank - Infopool","Tue Jun 03 17:59:56 GMT 2025","failed","Tue Jun 03 17:59:56 GMT 2025","v1 > Customer 360 > Issues > update issue","Bank User","",""
"","86","Empty password - Send user invitation token","QA|Nova Bank - Infopool","Tue Jun 03 17:59:48 GMT 2025","passed","Tue Jun 03 17:59:48 GMT 2025","v1 > Onboarding > Complete profile","Bank User","",""
"","82","Invalid ID - Get single definition","QA|Nova Bank - Infopool","Tue Jun 03 18:00:06 GMT 2025","failed","Tue Jun 03 18:00:06 GMT 2025","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"","3731","Successful login","QA|Nova Bank - Infopool","Tue Jun 03 17:59:35 GMT 2025","passed","Tue Jun 03 17:59:38 GMT 2025","v1 > Auth > Session > Login","Bank User","",""
"","79","Health","QA|Nova Bank - Infopool","Tue Jun 03 18:00:02 GMT 2025","passed","Tue Jun 03 18:00:02 GMT 2025","v1 > Health","Bank Admin","",""
"","79","Invalid name - Search Customers","QA|Nova Bank - Infopool","Tue Jun 03 17:59:58 GMT 2025","failed","Tue Jun 03 17:59:58 GMT 2025","v1 > Customer 360 > Search for a customer > search by name","Bank User","",""
"","80","Fetch Customers Accounts","QA|Nova Bank - Infopool","Tue Jun 03 18:00:02 GMT 2025","failed","Tue Jun 03 18:00:02 GMT 2025","v1 > Customer 360 > Fetch customer accounts","Bank User","",""
"","86","Update profile - No Auth","QA|Nova Bank - Infopool","Tue Jun 03 17:59:46 GMT 2025","passed","Tue Jun 03 17:59:46 GMT 2025","v1 > Profile > update profile image","Bank User","",""
"","120","audit trail","QA|Nova Bank - Infopool","Tue Jun 03 17:59:47 GMT 2025","passed","Tue Jun 03 17:59:47 GMT 2025","v1 > Audit trail > Audit trail","Bank User","",""
"","109","verify OTP","QA|Nova Bank - Infopool","Tue Jun 03 17:59:44 GMT 2025","passed","Tue Jun 03 17:59:44 GMT 2025","v1 > Auth > MFA > Verify","Bank User","",""
"","151","Update definition","QA|Nova Bank - Infopool","Tue Jun 03 18:00:06 GMT 2025","passed","Tue Jun 03 18:00:06 GMT 2025","v1 > Static Definitions > Update definition","Bank Admin","",""
