"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","44","Get profile roles - successful","QA|Nova Bank - Infopool","Thu Jun 05 13:15:16 GMT 2025","passed","Thu Jun 05 13:15:16 GMT 2025","v1 > Profile > Roles","Bank User","",""
"","35","Health","QA|Nova Bank - Infopool","Thu Jun 05 13:15:27 GMT 2025","passed","Thu Jun 05 13:15:27 GMT 2025","v1 > Health","Bank Admin","",""
"","233","Empty issue - Create a New Issue","QA|Nova Bank - Infopool","Thu Jun 05 13:15:19 GMT 2025","passed","Thu Jun 05 13:15:19 GMT 2025","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
"","38","Fetch Customer By ID no Auth","QA|Nova Bank - Infopool","Thu Jun 05 13:15:21 GMT 2025","passed","Thu Jun 05 13:15:21 GMT 2025","v1 > Customer 360 > Fetch customer by ID","Bank User","",""
"","48","Get roles - successful","QA|Nova Bank - Infopool","Thu Jun 05 13:15:31 GMT 2025","passed","Thu Jun 05 13:15:31 GMT 2025","v1 > Roles > Get roles","Bank Admin","",""
"","51","Search Customers","QA|Nova Bank - Infopool","Thu Jun 05 13:15:21 GMT 2025","passed","Thu Jun 05 13:15:21 GMT 2025","v1 > Customer 360 > Search for a customer > search by phone number","Bank User","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","40","Invalid Channel - Get Email or SMS OTP","QA|Nova Bank - Infopool","Thu Jun 05 13:15:16 GMT 2025","passed","Thu Jun 05 13:15:16 GMT 2025","v1 > Auth > MFA > Request","Bank User","",""
"","66","Update profile - successful","QA|Nova Bank - Infopool","Thu Jun 05 13:15:17 GMT 2025","passed","Thu Jun 05 13:15:17 GMT 2025","v1 > Profile > Update profile","Bank User","",""
"","35","No Auth - Get all definitions","QA|Nova Bank - Infopool","Thu Jun 05 13:15:27 GMT 2025","passed","Thu Jun 05 13:15:27 GMT 2025","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"","37","No Auth - Fetch Customers Accounts","QA|Nova Bank - Infopool","Thu Jun 05 13:15:27 GMT 2025","passed","Thu Jun 05 13:15:27 GMT 2025","v1 > Customer 360 > Fetch customer accounts","Bank User","",""
"","46","Fetch user by ID - invalid ID","QA|Nova Bank - Infopool","Thu Jun 05 13:15:28 GMT 2025","passed","Thu Jun 05 13:15:28 GMT 2025","v1 > Users > Fetch user by ID","Bank Admin","",""
"","135","Get events - successful","QA|Nova Bank - Infopool","Thu Jun 05 13:15:17 GMT 2025","passed","Thu Jun 05 13:15:17 GMT 2025","v1 > Audit trail > Event","Bank User","",""
"","36","Get profile - No Auth","QA|Nova Bank - Infopool","Thu Jun 05 13:15:17 GMT 2025","passed","Thu Jun 05 13:15:17 GMT 2025","v1 > Profile > Get profile","Bank User","",""
"","87","Fetch Customer By ID","QA|Nova Bank - Infopool","Thu Jun 05 13:15:21 GMT 2025","passed","Thu Jun 05 13:15:21 GMT 2025","v1 > Customer 360 > Fetch customer by ID","Bank User","",""
"","40","User does not exist - Forgot Password","QA|Nova Bank - Infopool","Thu Jun 05 13:15:15 GMT 2025","passed","Thu Jun 05 13:15:15 GMT 2025","v1 > Auth > Forgot password > Initiate forget password","Bank User","",""
"","61","Empty new password - Change password","QA|Nova Bank - Infopool","Thu Jun 05 13:15:17 GMT 2025","passed","Thu Jun 05 13:15:17 GMT 2025","v1 > Profile > Password","Bank User","",""
