"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","45","Send user invitation token - successful","QA|Nova Bank - Infopool","Thu Jun 05 15:47:16 GMT 2025","passed","Thu Jun 05 15:47:16 GMT 2025","v1 > Onboarding > Complete profile","Bank User","",""
"","41","No Auth - Change password","QA|Nova Bank - Infopool","Thu Jun 05 15:47:15 GMT 2025","passed","Thu Jun 05 15:47:15 GMT 2025","v1 > Profile > Password","Bank User","",""
"","37","No Auth - Get all definitions","QA|Nova Bank - Infopool","Thu Jun 05 15:47:31 GMT 2025","passed","Thu Jun 05 15:47:31 GMT 2025","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"","46","Remove user from an organization - user ID does not exist","QA|Nova Bank - Infopool","Thu Jun 05 15:47:34 GMT 2025","passed","Thu Jun 05 15:47:34 GMT 2025","v1 > Organizations > Users > Remove users from an organization","Bank Admin","",""
"","38","Fetch user by ID - no auth","QA|Nova Bank - Infopool","Thu Jun 05 15:47:32 GMT 2025","passed","Thu Jun 05 15:47:32 GMT 2025","v1 > Users > Fetch user by ID","Bank Admin","",""
"","92","Get events - invalid start date","QA|Nova Bank - Infopool","Thu Jun 05 15:47:16 GMT 2025","passed","Thu Jun 05 15:47:16 GMT 2025","v1 > Audit trail > Event","Bank User","",""
"","40","No Auth - Add Comment to Issue","QA|Nova Bank - Infopool","Thu Jun 05 15:47:18 GMT 2025","passed","Thu Jun 05 15:47:18 GMT 2025","v1 > Customer 360 > Issues > add comment to an issue","Bank User","",""
"","40","No Auth - Get all Issues","QA|Nova Bank - Infopool","Thu Jun 05 15:47:18 GMT 2025","passed","Thu Jun 05 15:47:18 GMT 2025","v1 > Customer 360 > Issues > get all issues","Bank User","",""
"","41","Empty password - Send user invitation token","QA|Nova Bank - Infopool","Thu Jun 05 15:47:17 GMT 2025","passed","Thu Jun 05 15:47:17 GMT 2025","v1 > Onboarding > Complete profile","Bank User","",""
"","42","Add attachment to issue","QA|Nova Bank - Infopool","Thu Jun 05 15:47:18 GMT 2025","failed","Thu Jun 05 15:47:18 GMT 2025","v1 > Customer 360 > Issues > add attachment to issue","Bank User","",""
"","40","No auth - Create  organization","QA|Nova Bank - Infopool","Thu Jun 05 15:47:32 GMT 2025","passed","Thu Jun 05 15:47:33 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
