"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Delete a report (soft delete)","41","Delete Report -No auth","QA|Nova Bank - Infopool","Thu Jun 05 16:04:29 GMT 2025","failed","Thu Jun 05 16:04:29 GMT 2025","v1 > Report > Delete Report","Bank Admin","",""
"","36","Create organization - empty city value","QA|Nova Bank - Infopool","Thu Jun 05 16:04:26 GMT 2025","passed","Thu Jun 05 16:04:26 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","42","Empty Channel - Get Email or SMS OTP","QA|Nova Bank - Infopool","Thu Jun 05 16:03:10 GMT 2025","passed","Thu Jun 05 16:03:10 GMT 2025","v1 > Auth > MFA > Request","Bank User","",""
"","99","Empty priority - Create a New Issue","QA|Nova Bank - Infopool","Thu Jun 05 16:03:14 GMT 2025","failed","Thu Jun 05 16:03:14 GMT 2025","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
"","33","Get permission by ID - successful","QA|Nova Bank - Infopool","Thu Jun 05 16:04:28 GMT 2025","passed","Thu Jun 05 16:04:28 GMT 2025","v1 > Permissions > Get permission by ID","Bank Admin","",""
"","35","Get role by ID - successful","QA|Nova Bank - Infopool","Thu Jun 05 16:04:28 GMT 2025","passed","Thu Jun 05 16:04:28 GMT 2025","v1 > Roles > Get role by ID","Bank Admin","",""
"","42","User does not exist - Forgot Password","QA|Nova Bank - Infopool","Thu Jun 05 16:03:10 GMT 2025","passed","Thu Jun 05 16:03:10 GMT 2025","v1 > Auth > Forgot password > Initiate forget password","Bank User","",""
"","33","Get roles - No Auth","QA|Nova Bank - Infopool","Thu Jun 05 16:04:27 GMT 2025","passed","Thu Jun 05 16:04:27 GMT 2025","v1 > Roles > Get roles","Bank Admin","",""
"","36","Empty fields - Update definition","QA|Nova Bank - Infopool","Thu Jun 05 16:04:25 GMT 2025","passed","Thu Jun 05 16:04:25 GMT 2025","v1 > Static Definitions > Update definition","Bank Admin","",""
"","33","Get all definitions","QA|Nova Bank - Infopool","Thu Jun 05 16:04:25 GMT 2025","passed","Thu Jun 05 16:04:25 GMT 2025","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"","37","Get profile - user not logged in","QA|Nova Bank - Infopool","Thu Jun 05 16:03:11 GMT 2025","passed","Thu Jun 05 16:03:12 GMT 2025","v1 > Profile > Get profile","Bank User","",""
"","34","Fetch sub-organizations of a parent organization","QA|Nova Bank - Infopool","Thu Jun 05 16:04:27 GMT 2025","passed","Thu Jun 05 16:04:27 GMT 2025","v1 > Organizations > Sub-organizations > Fetch sub-organizations","Bank Admin","",""
