"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","41","Logout session successfully","QA|Nova Bank - Infopool","Thu Jun 05 16:59:00 GMT 2025","passed","Thu Jun 05 16:59:00 GMT 2025","v1 > Logout","Bank Admin","",""
"","40","Update organization details by ID - organisation type id","QA|Nova Bank - Infopool","Thu Jun 05 16:58:58 GMT 2025","passed","Thu Jun 05 16:58:58 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","767","Change password - successful","QA|Nova Bank - Infopool","Thu Jun 05 16:57:39 GMT 2025","passed","Thu Jun 05 16:57:40 GMT 2025","v1 > Profile > Password","Bank User","",""
"","40","Invalid ID - Get single definition","QA|Nova Bank - Infopool","Thu Jun 05 16:58:57 GMT 2025","passed","Thu Jun 05 16:58:57 GMT 2025","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"","40","Get Report Data - Question","QA|Nova Bank - Infopool","Thu Jun 05 16:59:01 GMT 2025","passed","Thu Jun 05 16:59:01 GMT 2025","v1 > Report > Get Report Data","Bank Admin","",""
"","45","No auth - Delete Attachment from Issue","QA|Nova Bank - Infopool","Thu Jun 05 16:57:52 GMT 2025","passed","Thu Jun 05 16:57:52 GMT 2025","v1 > Customer 360 > Issues > delete attachment to an issue","Bank User","",""
"","40","Add user to an organization -user ID does not exist","QA|Nova Bank - Infopool","Thu Jun 05 16:58:59 GMT 2025","passed","Thu Jun 05 16:58:59 GMT 2025","v1 > Organizations > Users > Add users to an organization","Bank Admin","",""
"","43","Update Customer Comment","QA|Nova Bank - Infopool","Thu Jun 05 16:57:52 GMT 2025","failed","Thu Jun 05 16:57:52 GMT 2025","v1 > Customer 360 > Comments > update comment to customer","Bank User","",""
"Get a paginated list of reports with optional filtering","40","Get Reports - No auth","QA|Nova Bank - Infopool","Thu Jun 05 16:59:00 GMT 2025","passed","Thu Jun 05 16:59:00 GMT 2025","v1 > Report > Get Report","Bank Admin","",""
"","39","Get all permissions","QA|Nova Bank - Infopool","Thu Jun 05 16:59:00 GMT 2025","passed","Thu Jun 05 16:59:00 GMT 2025","v1 > Permissions > Get permissions","Bank Admin","",""
"","40","Get Report Data - No auth","QA|Nova Bank - Infopool","Thu Jun 05 16:59:01 GMT 2025","passed","Thu Jun 05 16:59:01 GMT 2025","v1 > Report > Get Report Data","Bank Admin","",""
"","39","Get permission by ID - successful","QA|Nova Bank - Infopool","Thu Jun 05 16:59:00 GMT 2025","passed","Thu Jun 05 16:59:00 GMT 2025","v1 > Permissions > Get permission by ID","Bank Admin","",""
"","48","Add attachment to issue","QA|Nova Bank - Infopool","Thu Jun 05 16:57:51 GMT 2025","failed","Thu Jun 05 16:57:51 GMT 2025","v1 > Customer 360 > Issues > add attachment to issue","Bank User","",""
"","53","No Auth - Delete Customer Comment","QA|Nova Bank - Infopool","Thu Jun 05 16:57:52 GMT 2025","passed","Thu Jun 05 16:57:52 GMT 2025","v1 > Customer 360 > Comments > delete customer comment","Bank User","",""
"","38","Create roles - No auth","QA|Nova Bank - Infopool","Thu Jun 05 16:58:59 GMT 2025","passed","Thu Jun 05 16:58:59 GMT 2025","v1 > Roles > Create role","Bank Admin","",""
"","38","No auth - category by id","QA|Nova Bank - Infopool","Thu Jun 05 16:59:00 GMT 2025","passed","Thu Jun 05 16:59:00 GMT 2025","v1 > Notifications > Category > Fetch category by d","Bank Admin","",""
"","39","Get role by ID - invalid ID","QA|Nova Bank - Infopool","Thu Jun 05 16:59:00 GMT 2025","passed","Thu Jun 05 16:59:00 GMT 2025","v1 > Roles > Get role by ID","Bank Admin","",""
"","151","Get events - invalid start date","QA|Nova Bank - Infopool","Thu Jun 05 16:57:42 GMT 2025","passed","Thu Jun 05 16:57:42 GMT 2025","v1 > Audit trail > Event","Bank User","",""
"","39","Create organization - empty mis code","QA|Nova Bank - Infopool","Thu Jun 05 16:58:58 GMT 2025","passed","Thu Jun 05 16:58:58 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","116","audit trail - No Auth","QA|Nova Bank - Infopool","Thu Jun 05 16:57:42 GMT 2025","passed","Thu Jun 05 16:57:42 GMT 2025","v1 > Audit trail > Audit trail","Bank User","",""
"Get a paginated list of reports with optional filtering","40","Get Report Objects - Dashboard","QA|Nova Bank - Infopool","Thu Jun 05 16:59:00 GMT 2025","passed","Thu Jun 05 16:59:00 GMT 2025","v1 > Report > Get Report Object","Bank Admin","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","87","Empty Operation - Get Email or SMS OTP","QA|Nova Bank - Infopool","Thu Jun 05 16:57:38 GMT 2025","passed","Thu Jun 05 16:57:38 GMT 2025","v1 > Auth > MFA > Request","Bank User","",""
"","41","Update definition","QA|Nova Bank - Infopool","Thu Jun 05 16:58:57 GMT 2025","passed","Thu Jun 05 16:58:57 GMT 2025","v1 > Static Definitions > Update definition","Bank Admin","",""
"","39","Create organization - empty city value","QA|Nova Bank - Infopool","Thu Jun 05 16:58:58 GMT 2025","passed","Thu Jun 05 16:58:58 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","52","Update profile","QA|Nova Bank - Infopool","Thu Jun 05 16:57:41 GMT 2025","failed","Thu Jun 05 16:57:41 GMT 2025","v1 > Profile > update profile image","Bank User","",""
"","39","Fetch organizations by ID - successful","QA|Nova Bank - Infopool","Thu Jun 05 16:58:58 GMT 2025","passed","Thu Jun 05 16:58:58 GMT 2025","v1 > Organizations > Fetch organiation by ID","Bank Admin","",""
"","40","Update organization details by ID - incorrect business manager ID","QA|Nova Bank - Infopool","Thu Jun 05 16:58:59 GMT 2025","passed","Thu Jun 05 16:58:59 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
