"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","102","Invalid Id - Update Issue","QA|Nova Bank - Infopool","Thu Jun 05 17:49:38 GMT 2025","failed","Thu Jun 05 17:49:38 GMT 2025","v1 > Customer 360 > Issues > update issue","Bank User","",""
"","106","No Auth - Add attachment to issue","QA|Nova Bank - Infopool","Thu Jun 05 17:49:38 GMT 2025","passed","Thu Jun 05 17:49:38 GMT 2025","v1 > Customer 360 > Issues > add attachment to issue","Bank User","",""
"","89","Get roles - successful","QA|Nova Bank - Infopool","Thu Jun 05 17:50:57 GMT 2025","passed","Thu Jun 05 17:50:57 GMT 2025","v1 > Roles > Get roles","Bank Admin","",""
"","77","No auth - Fetch sub-organizations of a parent organization","QA|Nova Bank - Infopool","Thu Jun 05 17:50:55 GMT 2025","passed","Thu Jun 05 17:50:55 GMT 2025","v1 > Organizations > Sub-organizations > Fetch sub-organizations","Bank Admin","",""
"","77","Create  organization","QA|Nova Bank - Infopool","Thu Jun 05 17:50:53 GMT 2025","passed","Thu Jun 05 17:50:53 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","73","Fetch organizations by ID - No Auth","QA|Nova Bank - Infopool","Thu Jun 05 17:50:54 GMT 2025","passed","Thu Jun 05 17:50:54 GMT 2025","v1 > Organizations > Fetch organiation by ID","Bank Admin","",""
"","83","Update organization details by ID - parent_id","QA|Nova Bank - Infopool","Thu Jun 05 17:50:55 GMT 2025","passed","Thu Jun 05 17:50:55 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","148","Invalid token - Validate user invitation token","QA|Nova Bank - Infopool","Thu Jun 05 17:49:28 GMT 2025","passed","Thu Jun 05 17:49:28 GMT 2025","v1 > Onboarding > Validate invitation","Bank User","",""
"","1286","Create a New Issue","QA|Nova Bank - Infopool","Thu Jun 05 17:49:29 GMT 2025","passed","Thu Jun 05 17:49:30 GMT 2025","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
"","76","Create organization - organization type ID does not exist","QA|Nova Bank - Infopool","Thu Jun 05 17:50:54 GMT 2025","passed","Thu Jun 05 17:50:54 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","79","No Auth - Change password","QA|Nova Bank - Infopool","Thu Jun 05 17:49:24 GMT 2025","passed","Thu Jun 05 17:49:24 GMT 2025","v1 > Profile > Password","Bank User","",""
"","103","Invalid user phone number - Search Customers","QA|Nova Bank - Infopool","Thu Jun 05 17:49:40 GMT 2025","failed","Thu Jun 05 17:49:40 GMT 2025","v1 > Customer 360 > Search for a customer > search by phone number","Bank User","",""
"","145","Update organization details by ID - empty name","QA|Nova Bank - Infopool","Thu Jun 05 17:50:55 GMT 2025","passed","Thu Jun 05 17:50:55 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","76","Create organization - business manager ID does not exist","QA|Nova Bank - Infopool","Thu Jun 05 17:50:53 GMT 2025","passed","Thu Jun 05 17:50:53 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","3282","Empty priority - Create a New Issue","QA|Nova Bank - Infopool","Thu Jun 05 17:49:31 GMT 2025","failed","Thu Jun 05 17:49:34 GMT 2025","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
"","90","audit trail - No Auth","QA|Nova Bank - Infopool","Thu Jun 05 17:49:27 GMT 2025","passed","Thu Jun 05 17:49:27 GMT 2025","v1 > Audit trail > Audit trail","Bank User","",""
"","73","Update organization details by ID - organisation type id","QA|Nova Bank - Infopool","Thu Jun 05 17:50:54 GMT 2025","passed","Thu Jun 05 17:50:55 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","100","No Auth - Fetch Customer Comments","QA|Nova Bank - Infopool","Thu Jun 05 17:49:39 GMT 2025","passed","Thu Jun 05 17:49:39 GMT 2025","v1 > Customer 360 > Comments > fetch customer comment","Bank User","",""
"","99","Empty authentication type - Send user invitation token","QA|Nova Bank - Infopool","Thu Jun 05 17:49:28 GMT 2025","passed","Thu Jun 05 17:49:28 GMT 2025","v1 > Onboarding > Complete profile","Bank User","",""
"","79","Update organization details by ID - successful","QA|Nova Bank - Infopool","Thu Jun 05 17:50:54 GMT 2025","passed","Thu Jun 05 17:50:54 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","74","Update organization details by ID - name already exists","QA|Nova Bank - Infopool","Thu Jun 05 17:50:54 GMT 2025","passed","Thu Jun 05 17:50:54 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","77","Update organization details by ID - incorrect operation manager ID","QA|Nova Bank - Infopool","Thu Jun 05 17:50:55 GMT 2025","failed","Thu Jun 05 17:50:55 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","95","No auth - Delete Attachment from Issue","QA|Nova Bank - Infopool","Thu Jun 05 17:49:39 GMT 2025","passed","Thu Jun 05 17:49:39 GMT 2025","v1 > Customer 360 > Issues > delete attachment to an issue","Bank User","",""
"","103","Update Issue","QA|Nova Bank - Infopool","Thu Jun 05 17:49:38 GMT 2025","failed","Thu Jun 05 17:49:38 GMT 2025","v1 > Customer 360 > Issues > update issue","Bank User","",""
