"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","33","Get all permissions","QA|Nova Bank - Infopool","Thu Jun 05 19:05:14 GMT 2025","passed","Thu Jun 05 19:05:14 GMT 2025","v1 > Permissions > Get permissions","Bank Admin","",""
"","32","No Auth - Fetch Customers Channels","QA|Nova Bank - Infopool","Thu Jun 05 19:05:11 GMT 2025","passed","Thu Jun 05 19:05:11 GMT 2025","v1 > Customer 360 > Fetch customer channel","Bank User","",""
"","31","Logout session successfully","QA|Nova Bank - Infopool","Thu Jun 05 19:05:14 GMT 2025","passed","Thu Jun 05 19:05:14 GMT 2025","v1 > Logout","Bank Admin","",""
"","44","Invalid email format - Forgot password","QA|Nova Bank - Infopool","Thu Jun 05 19:03:53 GMT 2025","passed","Thu Jun 05 19:03:53 GMT 2025","v1 > Auth > Forgot password > Initiate forget password","Bank User","",""
"","38","Get profile roles - No Auth","QA|Nova Bank - Infopool","Thu Jun 05 19:03:54 GMT 2025","passed","Thu Jun 05 19:03:54 GMT 2025","v1 > Profile > Roles","Bank User","",""
"","6706","Successful login","QA|Nova Bank - Infopool","Thu Jun 05 19:03:46 GMT 2025","passed","Thu Jun 05 19:03:53 GMT 2025","v1 > Auth > Session > Login","Bank User","",""
"","34","No Auth - Get all permissions","QA|Nova Bank - Infopool","Thu Jun 05 19:05:14 GMT 2025","passed","Thu Jun 05 19:05:14 GMT 2025","v1 > Permissions > Get permissions","Bank Admin","",""
"","90","Update profile - successful","QA|Nova Bank - Infopool","Thu Jun 05 19:03:55 GMT 2025","passed","Thu Jun 05 19:03:55 GMT 2025","v1 > Profile > Update profile","Bank User","",""
"","34","Create organization - empty street value","QA|Nova Bank - Infopool","Thu Jun 05 19:05:13 GMT 2025","passed","Thu Jun 05 19:05:13 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","30","No auth - category by id","QA|Nova Bank - Infopool","Thu Jun 05 19:05:14 GMT 2025","passed","Thu Jun 05 19:05:14 GMT 2025","v1 > Notifications > Category > Fetch category by d","Bank Admin","",""
"","33","Fetch organizations by ID - successful","QA|Nova Bank - Infopool","Thu Jun 05 19:05:13 GMT 2025","passed","Thu Jun 05 19:05:13 GMT 2025","v1 > Organizations > Fetch organiation by ID","Bank Admin","",""
"","95","Get profile - successfully","QA|Nova Bank - Infopool","Thu Jun 05 19:03:55 GMT 2025","passed","Thu Jun 05 19:03:55 GMT 2025","v1 > Profile > Get profile","Bank User","",""
"","37","Empty last name - Send user invitation token","QA|Nova Bank - Infopool","Thu Jun 05 19:03:56 GMT 2025","passed","Thu Jun 05 19:03:56 GMT 2025","v1 > Onboarding > Complete profile","Bank User","",""
"","133","Generator Customers Transactions Statement - CSV","QA|Nova Bank - Infopool","Thu Jun 05 19:04:02 GMT 2025","passed","Thu Jun 05 19:04:02 GMT 2025","v1 > Customer 360 > Generate customers transaction statement","Bank User","",""
"","37","No auth - Add Comment to Customer","QA|Nova Bank - Infopool","Thu Jun 05 19:03:58 GMT 2025","passed","Thu Jun 05 19:03:58 GMT 2025","v1 > Customer 360 > Comments > add comment to customer","Bank User","",""
"","37","Empty first name - Send user invitation token","QA|Nova Bank - Infopool","Thu Jun 05 19:03:56 GMT 2025","passed","Thu Jun 05 19:03:56 GMT 2025","v1 > Onboarding > Complete profile","Bank User","",""
"","32","Remove user from an organization - successful","QA|Nova Bank - Infopool","Thu Jun 05 19:05:14 GMT 2025","passed","Thu Jun 05 19:05:14 GMT 2025","v1 > Organizations > Users > Remove users from an organization","Bank Admin","",""
"","10","successful dashboard embed","QA|Nova Bank - Infopool","Thu Jun 05 19:05:11 GMT 2025","broken","Thu Jun 05 19:05:11 GMT 2025","v1 > Customer 360","Bank User","",""
"","39","Invalid Id - Update Issue","QA|Nova Bank - Infopool","Thu Jun 05 19:03:58 GMT 2025","failed","Thu Jun 05 19:03:58 GMT 2025","v1 > Customer 360 > Issues > update issue","Bank User","",""
"","32","Update user - empty action field","QA|Nova Bank - Infopool","Thu Jun 05 19:05:12 GMT 2025","passed","Thu Jun 05 19:05:12 GMT 2025","v1 > Users > Update user","Bank Admin","",""
"","33","Fetch all organizations","QA|Nova Bank - Infopool","Thu Jun 05 19:05:13 GMT 2025","passed","Thu Jun 05 19:05:13 GMT 2025","v1 > Organizations > Fetch organization","Bank Admin","",""
"Create a new report","30","Create Report - Empty category","QA|Nova Bank - Infopool","Thu Jun 05 19:05:15 GMT 2025","passed","Thu Jun 05 19:05:15 GMT 2025","v1 > Report > Create Report","Bank Admin","",""
"","36","Create organization - empty description","QA|Nova Bank - Infopool","Thu Jun 05 19:05:12 GMT 2025","passed","Thu Jun 05 19:05:12 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","119","Get events - successful","QA|Nova Bank - Infopool","Thu Jun 05 19:03:55 GMT 2025","passed","Thu Jun 05 19:03:56 GMT 2025","v1 > Audit trail > Event","Bank User","",""
"","42","Empty issue category - Create a New Issue","QA|Nova Bank - Infopool","Thu Jun 05 19:03:57 GMT 2025","passed","Thu Jun 05 19:03:57 GMT 2025","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
"","63110","Generator Customers Transactions Statement - PDF","QA|Nova Bank - Infopool","Thu Jun 05 19:04:02 GMT 2025","passed","Thu Jun 05 19:05:05 GMT 2025","v1 > Customer 360 > Generate customers transaction statement","Bank User","",""
"","38","Update Issue","QA|Nova Bank - Infopool","Thu Jun 05 19:03:58 GMT 2025","failed","Thu Jun 05 19:03:58 GMT 2025","v1 > Customer 360 > Issues > update issue","Bank User","",""
"","33","Update user - invalid action","QA|Nova Bank - Infopool","Thu Jun 05 19:05:12 GMT 2025","passed","Thu Jun 05 19:05:12 GMT 2025","v1 > Users > Update user","Bank Admin","",""
