"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","34","Get Report Data - Invalid id","QA|Nova Bank - Infopool","Thu Jun 05 19:08:29 GMT 2025","passed","Thu Jun 05 19:08:29 GMT 2025","v1 > Report > Get Report Data","Bank Admin","",""
"","180","Change password - successful","QA|Nova Bank - Infopool","Thu Jun 05 19:07:11 GMT 2025","passed","Thu Jun 05 19:07:11 GMT 2025","v1 > Profile > Password","Bank User","",""
"Get a specific report by ID","33","Get Report by ID - Invalid id","QA|Nova Bank - Infopool","Thu Jun 05 19:08:28 GMT 2025","passed","Thu Jun 05 19:08:28 GMT 2025","v1 > Report > Get Report by Id","Bank Admin","",""
"","33","Create organization - empty street value","QA|Nova Bank - Infopool","Thu Jun 05 19:08:26 GMT 2025","passed","Thu Jun 05 19:08:26 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"Get a specific report by ID","33","Get Report by ID","QA|Nova Bank - Infopool","Thu Jun 05 19:08:28 GMT 2025","passed","Thu Jun 05 19:08:28 GMT 2025","v1 > Report > Get Report by Id","Bank Admin","",""
"","42","No Auth - Update Issue","QA|Nova Bank - Infopool","Thu Jun 05 19:07:14 GMT 2025","passed","Thu Jun 05 19:07:14 GMT 2025","v1 > Customer 360 > Issues > update issue","Bank User","",""
"","34","get all category","QA|Nova Bank - Infopool","Thu Jun 05 19:08:28 GMT 2025","passed","Thu Jun 05 19:08:28 GMT 2025","v1 > Notifications > Category > Fetch all category","Bank Admin","",""
"","122","Get events - successful","QA|Nova Bank - Infopool","Thu Jun 05 19:07:12 GMT 2025","passed","Thu Jun 05 19:07:12 GMT 2025","v1 > Audit trail > Event","Bank User","",""
"","41","Update Customer Comment","QA|Nova Bank - Infopool","Thu Jun 05 19:07:15 GMT 2025","failed","Thu Jun 05 19:07:15 GMT 2025","v1 > Customer 360 > Comments > update comment to customer","Bank User","",""
"","34","Get Report Data - Dashboard","QA|Nova Bank - Infopool","Thu Jun 05 19:08:29 GMT 2025","passed","Thu Jun 05 19:08:29 GMT 2025","v1 > Report > Get Report Data","Bank Admin","",""
"","40","Add attachment to issue","QA|Nova Bank - Infopool","Thu Jun 05 19:07:14 GMT 2025","failed","Thu Jun 05 19:07:15 GMT 2025","v1 > Customer 360 > Issues > add attachment to issue","Bank User","",""
"Delete a report (soft delete)","33","Delete Report","QA|Nova Bank - Infopool","Thu Jun 05 19:08:29 GMT 2025","passed","Thu Jun 05 19:08:29 GMT 2025","v1 > Report > Delete Report","Bank Admin","",""
"","74","audit trail","QA|Nova Bank - Infopool","Thu Jun 05 19:07:12 GMT 2025","passed","Thu Jun 05 19:07:12 GMT 2025","v1 > Audit trail > Audit trail","Bank User","",""
"","38","Delete Customer Comment","QA|Nova Bank - Infopool","Thu Jun 05 19:07:15 GMT 2025","failed","Thu Jun 05 19:07:15 GMT 2025","v1 > Customer 360 > Comments > delete customer comment","Bank User","",""
"","123","No auth - Create a New Issue","QA|Nova Bank - Infopool","Thu Jun 05 19:07:13 GMT 2025","passed","Thu Jun 05 19:07:14 GMT 2025","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
