"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Get a paginated list of reports with optional filtering","34","Get Report Objects - Dashboard","QA|Nova Bank - Infopool","Thu Jun 05 22:52:41 GMT 2025","passed","Thu Jun 05 22:52:41 GMT 2025","v1 > Report > Get Report Object","Bank Admin","",""
"","36","Get all definitions","QA|Nova Bank - Infopool","Thu Jun 05 22:52:37 GMT 2025","passed","Thu Jun 05 22:52:37 GMT 2025","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"","54","Search Customers","QA|Nova Bank - Infopool","Thu Jun 05 22:51:22 GMT 2025","passed","Thu Jun 05 22:51:22 GMT 2025","v1 > Customer 360 > Search for a customer > search by phone number","Bank User","",""
"","37","No Auth - Fetch Customers Channels","QA|Nova Bank - Infopool","Thu Jun 05 22:52:37 GMT 2025","passed","Thu Jun 05 22:52:37 GMT 2025","v1 > Customer 360 > Fetch customer channel","Bank User","",""
"","156","Weak password - Change password","QA|Nova Bank - Infopool","Thu Jun 05 22:51:17 GMT 2025","passed","Thu Jun 05 22:51:17 GMT 2025","v1 > Profile > Password","Bank User","",""
"","80","Search Customers","QA|Nova Bank - Infopool","Thu Jun 05 22:51:22 GMT 2025","passed","Thu Jun 05 22:51:22 GMT 2025","v1 > Customer 360 > Search for a customer > search by name","Bank User","",""
"","41","Delete Attachment from Issue","QA|Nova Bank - Infopool","Thu Jun 05 22:51:21 GMT 2025","failed","Thu Jun 05 22:51:21 GMT 2025","v1 > Customer 360 > Issues > delete attachment to an issue","Bank User","",""
"","35","Delete organization details by ID - No auth","QA|Nova Bank - Infopool","Thu Jun 05 22:52:39 GMT 2025","passed","Thu Jun 05 22:52:39 GMT 2025","v1 > Organizations > Delete organization","Bank Admin","",""
"","37","No Auth - Fetch Customer's Financial Summary","QA|Nova Bank - Infopool","Thu Jun 05 22:51:23 GMT 2025","passed","Thu Jun 05 22:51:23 GMT 2025","v1 > Customer 360 > Fetch customer's financial summary","Bank User","",""
"","44","Invalid token - Validate user invitation token","QA|Nova Bank - Infopool","Thu Jun 05 22:51:19 GMT 2025","passed","Thu Jun 05 22:51:19 GMT 2025","v1 > Onboarding > Validate invitation","Bank User","",""
"","35","No Auth - Fetch all organizations","QA|Nova Bank - Infopool","Thu Jun 05 22:52:39 GMT 2025","passed","Thu Jun 05 22:52:39 GMT 2025","v1 > Organizations > Fetch organization","Bank Admin","",""
"","36","Fetch Customers Channels","QA|Nova Bank - Infopool","Thu Jun 05 22:52:37 GMT 2025","passed","Thu Jun 05 22:52:37 GMT 2025","v1 > Customer 360 > Fetch customer channel","Bank User","",""
"","90","Generator Customers Transactions Statement - CSV","QA|Nova Bank - Infopool","Thu Jun 05 22:51:28 GMT 2025","passed","Thu Jun 05 22:51:28 GMT 2025","v1 > Customer 360 > Generate customers transaction statement","Bank User","",""
