"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","78","Update user - empty action field","QA|Nova Bank - Infopool","Thu Jun 05 23:08:12 GMT 2025","passed","Thu Jun 05 23:08:12 GMT 2025","v1 > Users > Update user","Bank Admin","",""
"","91","Get profile roles - successful","QA|Nova Bank - Infopool","Thu Jun 05 23:06:40 GMT 2025","passed","Thu Jun 05 23:06:40 GMT 2025","v1 > Profile > Roles","Bank User","",""
"","110","Delete organization details by ID -Invalid Id","QA|Nova Bank - Infopool","Thu Jun 05 23:08:15 GMT 2025","passed","Thu Jun 05 23:08:15 GMT 2025","v1 > Organizations > Delete organization","Bank Admin","",""
"","232","audit-search","QA|Nova Bank - Infopool","Thu Jun 05 23:06:44 GMT 2025","passed","Thu Jun 05 23:06:44 GMT 2025","v1 > Audit trail > Audit trail","Bank User","",""
"","77","Fetch all organizations","QA|Nova Bank - Infopool","Thu Jun 05 23:08:13 GMT 2025","passed","Thu Jun 05 23:08:13 GMT 2025","v1 > Organizations > Fetch organization","Bank Admin","",""
"","82","Update Customer Comment","QA|Nova Bank - Infopool","Thu Jun 05 23:06:55 GMT 2025","failed","Thu Jun 05 23:06:56 GMT 2025","v1 > Customer 360 > Comments > update comment to customer","Bank User","",""
"","102","Invalid user phone number - Search Customers","QA|Nova Bank - Infopool","Thu Jun 05 23:06:57 GMT 2025","failed","Thu Jun 05 23:06:57 GMT 2025","v1 > Customer 360 > Search for a customer > search by phone number","Bank User","",""
"","84","Invalid authentication - Send user invitation token","QA|Nova Bank - Infopool","Thu Jun 05 23:06:44 GMT 2025","passed","Thu Jun 05 23:06:44 GMT 2025","v1 > Onboarding > Complete profile","Bank User","",""
"","136","Remove user from an organization - successful","QA|Nova Bank - Infopool","Thu Jun 05 23:08:15 GMT 2025","passed","Thu Jun 05 23:08:16 GMT 2025","v1 > Organizations > Users > Remove users from an organization","Bank Admin","",""
"","105","No Auth - Delete Customer Comment","QA|Nova Bank - Infopool","Thu Jun 05 23:06:56 GMT 2025","passed","Thu Jun 05 23:06:56 GMT 2025","v1 > Customer 360 > Comments > delete customer comment","Bank User","",""
"","137","Empty issue category - Create a New Issue","QA|Nova Bank - Infopool","Thu Jun 05 23:06:53 GMT 2025","passed","Thu Jun 05 23:06:53 GMT 2025","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
"","78","Fetch user by ID - ID does not exist","QA|Nova Bank - Infopool","Thu Jun 05 23:08:11 GMT 2025","passed","Thu Jun 05 23:08:11 GMT 2025","v1 > Users > Fetch user by ID","Bank Admin","",""
"","95","Fetch sub-organizations of a parent organization","QA|Nova Bank - Infopool","Thu Jun 05 23:08:15 GMT 2025","passed","Thu Jun 05 23:08:15 GMT 2025","v1 > Organizations > Sub-organizations > Fetch sub-organizations","Bank Admin","",""
