"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","45","Update profile - no auth","QA|Nova Bank - Infopool","Thu Jun 05 23:36:40 GMT 2025","passed","Thu Jun 05 23:36:40 GMT 2025","v1 > Profile > Update profile","Bank User","",""
"","25","No auth - Fetch sub-organizations of a parent organization","QA|Nova Bank - Infopool","Thu Jun 05 23:37:59 GMT 2025","passed","Thu Jun 05 23:37:59 GMT 2025","v1 > Organizations > Sub-organizations > Fetch sub-organizations","Bank Admin","",""
"","27","Create organization - empty street value","QA|Nova Bank - Infopool","Thu Jun 05 23:37:59 GMT 2025","passed","Thu Jun 05 23:37:59 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","26","Create roles","QA|Nova Bank - Infopool","Thu Jun 05 23:38:00 GMT 2025","passed","Thu Jun 05 23:38:00 GMT 2025","v1 > Roles > Create role","Bank Admin","",""
"","1969","Fetch Customers Transactions","QA|Nova Bank - Infopool","Thu Jun 05 23:36:52 GMT 2025","passed","Thu Jun 05 23:36:54 GMT 2025","v1 > Customer 360 > Fetch customers transaction","Bank User","",""
"","25","Create organization - no country ID","QA|Nova Bank - Infopool","Thu Jun 05 23:37:59 GMT 2025","passed","Thu Jun 05 23:37:59 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","55","Invalid Channel - Get Email or SMS OTP","QA|Nova Bank - Infopool","Thu Jun 05 23:36:38 GMT 2025","passed","Thu Jun 05 23:36:38 GMT 2025","v1 > Auth > MFA > Request","Bank User","",""
"","26","Fetch user by ID - ID does not exist","QA|Nova Bank - Infopool","Thu Jun 05 23:37:58 GMT 2025","passed","Thu Jun 05 23:37:58 GMT 2025","v1 > Users > Fetch user by ID","Bank Admin","",""
"","53","Empty authentication type - Send user invitation token","QA|Nova Bank - Infopool","Thu Jun 05 23:36:42 GMT 2025","passed","Thu Jun 05 23:36:42 GMT 2025","v1 > Onboarding > Complete profile","Bank User","",""
"","25","Invalid ID - Get single definition","QA|Nova Bank - Infopool","Thu Jun 05 23:37:58 GMT 2025","passed","Thu Jun 05 23:37:58 GMT 2025","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"","27","No auth - get user role","QA|Nova Bank - Infopool","Thu Jun 05 23:37:58 GMT 2025","passed","Thu Jun 05 23:37:58 GMT 2025","v1 > Users > Role > Get role","Bank Admin","",""
"Update an existing report","26","Update Report - No auth","QA|Nova Bank - Infopool","Thu Jun 05 23:38:01 GMT 2025","passed","Thu Jun 05 23:38:01 GMT 2025","v1 > Report > Update Report","Bank Admin","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","41","Invalid Operation - Get Email or SMS OTP","QA|Nova Bank - Infopool","Thu Jun 05 23:36:37 GMT 2025","passed","Thu Jun 05 23:36:38 GMT 2025","v1 > Auth > MFA > Request","Bank User","",""
"","24","Get role by ID - successful","QA|Nova Bank - Infopool","Thu Jun 05 23:38:00 GMT 2025","passed","Thu Jun 05 23:38:00 GMT 2025","v1 > Roles > Get role by ID","Bank Admin","",""
"","59","Update Issue","QA|Nova Bank - Infopool","Thu Jun 05 23:36:47 GMT 2025","failed","Thu Jun 05 23:36:47 GMT 2025","v1 > Customer 360 > Issues > update issue","Bank User","",""
"","26","Create organization - empty city value","QA|Nova Bank - Infopool","Thu Jun 05 23:37:59 GMT 2025","passed","Thu Jun 05 23:37:59 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","48","No Auth - Get profile roles - successful","QA|Nova Bank - Infopool","Thu Jun 05 23:36:38 GMT 2025","passed","Thu Jun 05 23:36:38 GMT 2025","v1 > Profile > Roles","Bank User","",""
"Update an existing report","26","Update Report - Invalid id","QA|Nova Bank - Infopool","Thu Jun 05 23:38:01 GMT 2025","passed","Thu Jun 05 23:38:01 GMT 2025","v1 > Report > Update Report","Bank Admin","",""
"","606","Create a New Issue","QA|Nova Bank - Infopool","Thu Jun 05 23:36:42 GMT 2025","passed","Thu Jun 05 23:36:43 GMT 2025","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
"","38","No auth - Delete Attachment from Issue","QA|Nova Bank - Infopool","Thu Jun 05 23:36:50 GMT 2025","passed","Thu Jun 05 23:36:50 GMT 2025","v1 > Customer 360 > Issues > delete attachment to an issue","Bank User","",""
"","431","Weak password - Change password","QA|Nova Bank - Infopool","Thu Jun 05 23:36:39 GMT 2025","passed","Thu Jun 05 23:36:40 GMT 2025","v1 > Profile > Password","Bank User","",""
"","35","No Auth - Change password","QA|Nova Bank - Infopool","Thu Jun 05 23:36:39 GMT 2025","passed","Thu Jun 05 23:36:39 GMT 2025","v1 > Profile > Password","Bank User","",""
"","247","Add Comment to Issue","QA|Nova Bank - Infopool","Thu Jun 05 23:36:50 GMT 2025","passed","Thu Jun 05 23:36:50 GMT 2025","v1 > Customer 360 > Issues > add comment to an issue","Bank User","",""
"","30","No Auth - Get Issue by ID","QA|Nova Bank - Infopool","Thu Jun 05 23:36:46 GMT 2025","passed","Thu Jun 05 23:36:47 GMT 2025","v1 > Customer 360 > Issues > get issue by Id","Bank User","",""
"Get a specific report by ID","24","Get Report by ID","QA|Nova Bank - Infopool","Thu Jun 05 23:38:01 GMT 2025","passed","Thu Jun 05 23:38:01 GMT 2025","v1 > Report > Get Report by Id","Bank Admin","",""
"","44","Get profile roles - No Auth","QA|Nova Bank - Infopool","Thu Jun 05 23:36:38 GMT 2025","passed","Thu Jun 05 23:36:38 GMT 2025","v1 > Profile > Roles","Bank User","",""
"","55","Invalid user phone number - Search Customers","QA|Nova Bank - Infopool","Thu Jun 05 23:36:51 GMT 2025","failed","Thu Jun 05 23:36:51 GMT 2025","v1 > Customer 360 > Search for a customer > search by phone number","Bank User","",""
"","27","No Auth - Search Customers","QA|Nova Bank - Infopool","Thu Jun 05 23:36:51 GMT 2025","passed","Thu Jun 05 23:36:51 GMT 2025","v1 > Customer 360 > Search for a customer > search by phone number","Bank User","",""
"","26","Fetch organizations by ID - No Auth","QA|Nova Bank - Infopool","Thu Jun 05 23:37:59 GMT 2025","passed","Thu Jun 05 23:37:59 GMT 2025","v1 > Organizations > Fetch organiation by ID","Bank Admin","",""
"","28","No auth - Generator Customers Transactions Statement - PDF","QA|Nova Bank - Infopool","Thu Jun 05 23:37:58 GMT 2025","passed","Thu Jun 05 23:37:58 GMT 2025","v1 > Customer 360 > Generate customers transaction statement","Bank User","",""
"","27","Update user - no auth","QA|Nova Bank - Infopool","Thu Jun 05 23:37:58 GMT 2025","passed","Thu Jun 05 23:37:58 GMT 2025","v1 > Users > Update user","Bank Admin","",""
"","27","Update user - successful","QA|Nova Bank - Infopool","Thu Jun 05 23:37:58 GMT 2025","passed","Thu Jun 05 23:37:58 GMT 2025","v1 > Users > Update user","Bank Admin","",""
"","26","Update organization details by ID - organisation type id","QA|Nova Bank - Infopool","Thu Jun 05 23:37:59 GMT 2025","passed","Thu Jun 05 23:37:59 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","25","Remove user from an organization - no auth","QA|Nova Bank - Infopool","Thu Jun 05 23:38:00 GMT 2025","passed","Thu Jun 05 23:38:00 GMT 2025","v1 > Organizations > Users > Remove users from an organization","Bank Admin","",""
"","27","Update organization details by ID - name already exists","QA|Nova Bank - Infopool","Thu Jun 05 23:37:59 GMT 2025","passed","Thu Jun 05 23:37:59 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
