"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Get a specific report by ID","31","Get Report by UUID - No auth","QA|Nova Bank - Infopool","Thu Jun 05 23:49:03 GMT 2025","passed","Thu Jun 05 23:49:03 GMT 2025","v1 > Report > Get Report by UUID","Bank Admin","",""
"","91","Update profile - No Auth","QA|Nova Bank - Infopool","Thu Jun 05 23:47:40 GMT 2025","passed","Thu Jun 05 23:47:41 GMT 2025","v1 > Profile > update profile image","Bank User","",""
"","32","Logout session - no session","QA|Nova Bank - Infopool","Thu Jun 05 23:49:02 GMT 2025","passed","Thu Jun 05 23:49:03 GMT 2025","v1 > Logout","Bank Admin","",""
"","34","Export Report Data - Invalid format","QA|Nova Bank - Infopool","Thu Jun 05 23:49:04 GMT 2025","passed","Thu Jun 05 23:49:04 GMT 2025","v1 > Report > Export Report Data","Bank Admin","",""
"","44","Invalid email format","QA|Nova Bank - Infopool","Thu Jun 05 23:47:35 GMT 2025","passed","Thu Jun 05 23:47:35 GMT 2025","v1 > Auth > Session > Login","Bank User","",""
"","35","get all category","QA|Nova Bank - Infopool","Thu Jun 05 23:49:02 GMT 2025","passed","Thu Jun 05 23:49:02 GMT 2025","v1 > Notifications > Category > Fetch all category","Bank Admin","",""
"","34","Update definition","QA|Nova Bank - Infopool","Thu Jun 05 23:49:00 GMT 2025","passed","Thu Jun 05 23:49:00 GMT 2025","v1 > Static Definitions > Update definition","Bank Admin","",""
"","99","Empty last name - Send user invitation token","QA|Nova Bank - Infopool","Thu Jun 05 23:47:43 GMT 2025","passed","Thu Jun 05 23:47:43 GMT 2025","v1 > Onboarding > Complete profile","Bank User","",""
"","118","Update profile - invalid phone number","QA|Nova Bank - Infopool","Thu Jun 05 23:47:40 GMT 2025","passed","Thu Jun 05 23:47:40 GMT 2025","v1 > Profile > Update profile","Bank User","",""
"","34","successfully create corporate_adjustment","QA|Nova Bank - Infopool","Thu Jun 05 23:49:04 GMT 2025","passed","Thu Jun 05 23:49:04 GMT 2025","","corporate Adjustment","",""
"","89","No Auth - Get Issue by ID","QA|Nova Bank - Infopool","Thu Jun 05 23:47:51 GMT 2025","passed","Thu Jun 05 23:47:51 GMT 2025","v1 > Customer 360 > Issues > get issue by Id","Bank User","",""
"","33","Get single definition","QA|Nova Bank - Infopool","Thu Jun 05 23:48:59 GMT 2025","passed","Thu Jun 05 23:49:00 GMT 2025","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"","33","Get Report Data - Question","QA|Nova Bank - Infopool","Thu Jun 05 23:49:03 GMT 2025","passed","Thu Jun 05 23:49:03 GMT 2025","v1 > Report > Get Report Data","Bank Admin","",""
"","40","Get events - no auth","QA|Nova Bank - Infopool","Thu Jun 05 23:47:41 GMT 2025","passed","Thu Jun 05 23:47:41 GMT 2025","v1 > Audit trail > Event","Bank User","",""
"","35","successful dashboard embed","QA|Nova Bank - Infopool","Thu Jun 05 23:48:59 GMT 2025","passed","Thu Jun 05 23:48:59 GMT 2025","embed dashboard","Bank User","",""
"","6246","Get Issue by ID","QA|Nova Bank - Infopool","Thu Jun 05 23:47:45 GMT 2025","failed","Thu Jun 05 23:47:51 GMT 2025","v1 > Customer 360 > Issues > get issue by Id","Bank User","",""
"","34","Fetch sub-organizations of a parent organization","QA|Nova Bank - Infopool","Thu Jun 05 23:49:01 GMT 2025","passed","Thu Jun 05 23:49:01 GMT 2025","v1 > Organizations > Sub-organizations > Fetch sub-organizations","Bank Admin","",""
"Get a paginated list of reports with optional filtering","33","Get Report Objects - Dashboard","QA|Nova Bank - Infopool","Thu Jun 05 23:49:03 GMT 2025","passed","Thu Jun 05 23:49:03 GMT 2025","v1 > Report > Get Report Object","Bank Admin","",""
"","36","Create organization - empty description","QA|Nova Bank - Infopool","Thu Jun 05 23:49:00 GMT 2025","passed","Thu Jun 05 23:49:00 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","49","Invalid name - Search Customers","QA|Nova Bank - Infopool","Thu Jun 05 23:47:53 GMT 2025","failed","Thu Jun 05 23:47:53 GMT 2025","v1 > Customer 360 > Search for a customer > search by name","Bank User","",""
"","32","Create roles - empty name field","QA|Nova Bank - Infopool","Thu Jun 05 23:49:02 GMT 2025","passed","Thu Jun 05 23:49:02 GMT 2025","v1 > Roles > Create role","Bank Admin","",""
"","96","Empty first name - Send user invitation token","QA|Nova Bank - Infopool","Thu Jun 05 23:47:43 GMT 2025","passed","Thu Jun 05 23:47:43 GMT 2025","v1 > Onboarding > Complete profile","Bank User","",""
"","44","Invalid email format - Forgot password","QA|Nova Bank - Infopool","Thu Jun 05 23:47:36 GMT 2025","passed","Thu Jun 05 23:47:36 GMT 2025","v1 > Auth > Forgot password > Initiate forget password","Bank User","",""
