"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","57","Update profile - Invalid file size","QA|Nova Bank - Infopool","Fri Mar 14 18:51:58 GMT 2025","passed","Fri Mar 14 18:51:58 GMT 2025","v1 > Profile > update profile image","Bank User","",""
"","57","Update profile - invalid phone number","QA|Nova Bank - Infopool","Fri Mar 14 18:51:57 GMT 2025","passed","Fri Mar 14 18:51:58 GMT 2025","v1 > Profile > Update profile","Bank User","",""
"","34","Create master setting - maximum value less than minimum value","QA|Nova Bank - Infopool","Fri Mar 14 18:53:12 GMT 2025","passed","Fri Mar 14 18:53:12 GMT 2025","v1 > System Settings > Master > Create Master Setting","Bank Admin","",""
"","40","Delete Attachment from Issue","QA|Nova Bank - Infopool","Fri Mar 14 18:51:59 GMT 2025","failed","Fri Mar 14 18:52:00 GMT 2025","v1 > Customer 360 > Issues > delete attachment to an issue","Bank User","",""
"","33","Update master setting - invalid action","QA|Nova Bank - Infopool","Fri Mar 14 18:53:11 GMT 2025","passed","Fri Mar 14 18:53:12 GMT 2025","v1 > System Settings > Master > Update master settings","Bank Admin","",""
"","33","Update setting master - successful (no change)","QA|Nova Bank - Infopool","Fri Mar 14 18:53:11 GMT 2025","passed","Fri Mar 14 18:53:11 GMT 2025","v1 > System Settings > Master > Update master settings","Bank Admin","",""
"","38","Create organization - empty description","QA|Nova Bank - Infopool","Fri Mar 14 18:53:13 GMT 2025","failed","Fri Mar 14 18:53:14 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","94","Get events - end date earlier than start date","QA|Nova Bank - Infopool","Fri Mar 14 18:51:58 GMT 2025","passed","Fri Mar 14 18:51:58 GMT 2025","v1 > Audit trail > Event","Bank User","",""
"","32","Create master setting - invalid category ID","QA|Nova Bank - Infopool","Fri Mar 14 18:53:12 GMT 2025","passed","Fri Mar 14 18:53:12 GMT 2025","v1 > System Settings > Master > Create Master Setting","Bank Admin","",""
"","37","Create organization - no name","QA|Nova Bank - Infopool","Fri Mar 14 18:53:13 GMT 2025","failed","Fri Mar 14 18:53:13 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","33","Add user to an organization -user ID does not exist","QA|Nova Bank - Infopool","Fri Mar 14 18:53:14 GMT 2025","passed","Fri Mar 14 18:53:14 GMT 2025","v1 > Organizations > Users > Add users to an organization","Bank Admin","",""
"","32","category by id","QA|Nova Bank - Infopool","Fri Mar 14 18:53:15 GMT 2025","passed","Fri Mar 14 18:53:15 GMT 2025","v1 > Notifications > Category > Fetch category by d","Bank Admin","",""
"","32","Create organization - name already exists","QA|Nova Bank - Infopool","Fri Mar 14 18:53:13 GMT 2025","passed","Fri Mar 14 18:53:13 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","44","Create a New Issue - empty priority","QA|Nova Bank - Infopool","Fri Mar 14 18:51:59 GMT 2025","passed","Fri Mar 14 18:51:59 GMT 2025","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
"","33","Create master setting - empty meta fields","QA|Nova Bank - Infopool","Fri Mar 14 18:53:12 GMT 2025","passed","Fri Mar 14 18:53:12 GMT 2025","v1 > System Settings > Master > Create Master Setting","Bank Admin","",""
"","32","Create notification template","QA|Nova Bank - Infopool","Fri Mar 14 18:53:15 GMT 2025","passed","Fri Mar 14 18:53:15 GMT 2025","v1 > Notifications > Templates","Bank Admin","",""
"","33","Create Settings - invalid entity type","QA|Nova Bank - Infopool","Fri Mar 14 18:53:12 GMT 2025","passed","Fri Mar 14 18:53:12 GMT 2025","v1 > System Settings > Create Settings","Bank Admin","",""
"","34","Update definition - duplicated name","QA|Nova Bank - Infopool","Fri Mar 14 18:53:11 GMT 2025","passed","Fri Mar 14 18:53:11 GMT 2025","v1 > Static Definitions > Update definition","Bank Admin","",""
"","33","Retrieve setting by ID","QA|Nova Bank - Infopool","Fri Mar 14 18:53:12 GMT 2025","passed","Fri Mar 14 18:53:12 GMT 2025","v1 > System Settings > Retrieve setting by ID","Bank Admin","",""
"","33","Update definition","QA|Nova Bank - Infopool","Fri Mar 14 18:53:11 GMT 2025","passed","Fri Mar 14 18:53:11 GMT 2025","v1 > Static Definitions > Update definition","Bank Admin","",""
"","33","value by id","QA|Nova Bank - Infopool","Fri Mar 14 18:53:13 GMT 2025","passed","Fri Mar 14 18:53:13 GMT 2025","v1 > System Settings > Setting value > Fetch value by ID","Bank Admin","",""
"","34","Update definition - invalid slug name","QA|Nova Bank - Infopool","Fri Mar 14 18:53:11 GMT 2025","passed","Fri Mar 14 18:53:11 GMT 2025","v1 > Static Definitions > Update definition","Bank Admin","",""
"","45","Forgot password - no email","QA|Nova Bank - Infopool","Fri Mar 14 18:51:56 GMT 2025","passed","Fri Mar 14 18:51:56 GMT 2025","v1 > Auth > Forgot password > Initiate forget password","Bank User","",""
"","43","Update Issue","QA|Nova Bank - Infopool","Fri Mar 14 18:51:59 GMT 2025","failed","Fri Mar 14 18:51:59 GMT 2025","v1 > Customer 360 > Issues > update issue","Bank User","",""
"","36","Update user - ID does not exist","QA|Nova Bank - Infopool","Fri Mar 14 18:53:13 GMT 2025","failed","Fri Mar 14 18:53:13 GMT 2025","v1 > Users > Update user","Bank Admin","",""
"","33","Create master setting - empty maximum value","QA|Nova Bank - Infopool","Fri Mar 14 18:53:12 GMT 2025","passed","Fri Mar 14 18:53:12 GMT 2025","v1 > System Settings > Master > Create Master Setting","Bank Admin","",""
