"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","75","Fetch user by ID - no auth","QA|Nova Bank - Infopool","Fri Jun 06 14:52:23 GMT 2025","passed","Fri Jun 06 14:52:23 GMT 2025","v1 > Users > Fetch user by ID","Bank Admin","",""
"","77","Create organization - empty mis code","QA|Nova Bank - Infopool","Fri Jun 06 14:52:25 GMT 2025","passed","Fri Jun 06 14:52:25 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","101","No Auth - Add attachment to issue","QA|Nova Bank - Infopool","Fri Jun 06 14:51:03 GMT 2025","passed","Fri Jun 06 14:51:03 GMT 2025","v1 > Customer 360 > Issues > add attachment to issue","Bank User","",""
"","76","Update user - no auth","QA|Nova Bank - Infopool","Fri Jun 06 14:52:24 GMT 2025","passed","Fri Jun 06 14:52:24 GMT 2025","v1 > Users > Update user","Bank Admin","",""
"","124","Empty current password - Change password","QA|Nova Bank - Infopool","Fri Jun 06 14:50:49 GMT 2025","passed","Fri Jun 06 14:50:49 GMT 2025","v1 > Profile > Password","Bank User","",""
"","80","No Auth - Fetch Customers Accounts","QA|Nova Bank - Infopool","Fri Jun 06 14:52:22 GMT 2025","passed","Fri Jun 06 14:52:22 GMT 2025","v1 > Customer 360 > Fetch customer accounts","Bank User","",""
"","90","Update profile","QA|Nova Bank - Infopool","Fri Jun 06 14:50:50 GMT 2025","failed","Fri Jun 06 14:50:50 GMT 2025","v1 > Profile > update profile image","Bank User","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","83","Empty Operation - Get Email or SMS OTP","QA|Nova Bank - Infopool","Fri Jun 06 14:50:46 GMT 2025","passed","Fri Jun 06 14:50:46 GMT 2025","v1 > Auth > MFA > Request","Bank User","",""
"","79","Get profile - No Auth","QA|Nova Bank - Infopool","Fri Jun 06 14:50:49 GMT 2025","passed","Fri Jun 06 14:50:50 GMT 2025","v1 > Profile > Get profile","Bank User","",""
"","76","Fetch all users","QA|Nova Bank - Infopool","Fri Jun 06 14:52:23 GMT 2025","passed","Fri Jun 06 14:52:23 GMT 2025","v1 > Users > Fetch users","Bank Admin","",""
"","92","managers","QA|Nova Bank - Infopool","Fri Jun 06 14:52:28 GMT 2025","passed","Fri Jun 06 14:52:28 GMT 2025","v1 > Organizations > Managers > Fetch managers of an organization","Bank Admin","",""
"","78","No auth - get user role","QA|Nova Bank - Infopool","Fri Jun 06 14:52:24 GMT 2025","passed","Fri Jun 06 14:52:24 GMT 2025","v1 > Users > Role > Get role","Bank Admin","",""
"","79","Create organization - empty description","QA|Nova Bank - Infopool","Fri Jun 06 14:52:25 GMT 2025","passed","Fri Jun 06 14:52:25 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","106","No Auth - Add Comment to Issue","QA|Nova Bank - Infopool","Fri Jun 06 14:51:02 GMT 2025","passed","Fri Jun 06 14:51:03 GMT 2025","v1 > Customer 360 > Issues > add comment to an issue","Bank User","",""
"","87","Get profile - user not logged in","QA|Nova Bank - Infopool","Fri Jun 06 14:50:50 GMT 2025","passed","Fri Jun 06 14:50:50 GMT 2025","v1 > Profile > Get profile","Bank User","",""
"","78","Get single definition","QA|Nova Bank - Infopool","Fri Jun 06 14:52:23 GMT 2025","passed","Fri Jun 06 14:52:23 GMT 2025","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"","78","No auth - Add Comment to Customer","QA|Nova Bank - Infopool","Fri Jun 06 14:51:03 GMT 2025","passed","Fri Jun 06 14:51:03 GMT 2025","v1 > Customer 360 > Comments > add comment to customer","Bank User","",""
"","1007","Fetch Customer's Financial Summary","QA|Nova Bank - Infopool","Fri Jun 06 14:51:08 GMT 2025","passed","Fri Jun 06 14:51:09 GMT 2025","v1 > Customer 360 > Fetch customer's financial summary","Bank User","",""
