"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","80","Update profile - No Auth","QA|Nova Bank - Infopool","Fri Jun 06 14:54:03 GMT 2025","passed","Fri Jun 06 14:54:04 GMT 2025","v1 > Profile > update profile image","Bank User","",""
"","75","update role","QA|Nova Bank - Infopool","Fri Jun 06 14:55:34 GMT 2025","passed","Fri Jun 06 14:55:34 GMT 2025","v1 > Users > Role > Update role","Bank Admin","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","85","Invalid Channel - Get Email or SMS OTP","QA|Nova Bank - Infopool","Fri Jun 06 14:54:00 GMT 2025","passed","Fri Jun 06 14:54:00 GMT 2025","v1 > Auth > MFA > Request","Bank User","",""
"","113","Invalid ID - Delete Customer Comment","QA|Nova Bank - Infopool","Fri Jun 06 14:54:17 GMT 2025","failed","Fri Jun 06 14:54:17 GMT 2025","v1 > Customer 360 > Comments > delete customer comment","Bank User","",""
"","81","Delete organization details by ID - No auth","QA|Nova Bank - Infopool","Fri Jun 06 14:55:36 GMT 2025","passed","Fri Jun 06 14:55:36 GMT 2025","v1 > Organizations > Delete organization","Bank Admin","",""
"","88","Update profile - no phone number","QA|Nova Bank - Infopool","Fri Jun 06 14:54:03 GMT 2025","passed","Fri Jun 06 14:54:03 GMT 2025","v1 > Profile > Update profile","Bank User","",""
"","84","Invalid token - Validate user invitation token","QA|Nova Bank - Infopool","Fri Jun 06 14:54:05 GMT 2025","passed","Fri Jun 06 14:54:05 GMT 2025","v1 > Onboarding > Validate invitation","Bank User","",""
"","77","Empty fields - Update definition","QA|Nova Bank - Infopool","Fri Jun 06 14:55:33 GMT 2025","passed","Fri Jun 06 14:55:33 GMT 2025","v1 > Static Definitions > Update definition","Bank Admin","",""
"","91","Invalid ID -Get Issue by ID","QA|Nova Bank - Infopool","Fri Jun 06 14:54:15 GMT 2025","passed","Fri Jun 06 14:54:15 GMT 2025","v1 > Customer 360 > Issues > get issue by Id","Bank User","",""
"","79","Fetch all organizations","QA|Nova Bank - Infopool","Fri Jun 06 14:55:35 GMT 2025","passed","Fri Jun 06 14:55:35 GMT 2025","v1 > Organizations > Fetch organization","Bank Admin","",""
"","82","Create organization - empty description","QA|Nova Bank - Infopool","Fri Jun 06 14:55:34 GMT 2025","passed","Fri Jun 06 14:55:34 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","77","Get all definitions","QA|Nova Bank - Infopool","Fri Jun 06 14:55:32 GMT 2025","passed","Fri Jun 06 14:55:32 GMT 2025","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"","116","Delete organization details by ID -Invalid Id","QA|Nova Bank - Infopool","Fri Jun 06 14:55:36 GMT 2025","passed","Fri Jun 06 14:55:36 GMT 2025","v1 > Organizations > Delete organization","Bank Admin","",""
"","159","Get profile - No Auth","QA|Nova Bank - Infopool","Fri Jun 06 14:54:03 GMT 2025","passed","Fri Jun 06 14:54:03 GMT 2025","v1 > Profile > Get profile","Bank User","",""
"","78","No auth - get user role","QA|Nova Bank - Infopool","Fri Jun 06 14:55:34 GMT 2025","passed","Fri Jun 06 14:55:34 GMT 2025","v1 > Users > Role > Get role","Bank Admin","",""
"","116","No Auth - Change password","QA|Nova Bank - Infopool","Fri Jun 06 14:54:01 GMT 2025","passed","Fri Jun 06 14:54:01 GMT 2025","v1 > Profile > Password","Bank User","",""
