"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","133","Empty password - Send user invitation token","QA|Nova Bank - Infopool","Sat Jun 07 11:51:43 GMT 2025","passed","Sat Jun 07 11:51:43 GMT 2025","v1 > Onboarding > Complete profile","Bank User","",""
"","323","No auth - Create a New Issue","QA|Nova Bank - Infopool","Sat Jun 07 11:51:43 GMT 2025","passed","Sat Jun 07 11:51:43 GMT 2025","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
"","164","Delete organization details by ID - successful","QA|Nova Bank - Infopool","Sat Jun 07 11:53:10 GMT 2025","passed","Sat Jun 07 11:53:11 GMT 2025","v1 > Organizations > Delete organization","Bank Admin","",""
"","93","User does not exist - Forgot Password","QA|Nova Bank - Infopool","Sat Jun 07 11:51:27 GMT 2025","passed","Sat Jun 07 11:51:27 GMT 2025","v1 > Auth > Forgot password > Initiate forget password","Bank User","",""
"","142","Add user to an organization - no auth","QA|Nova Bank - Infopool","Sat Jun 07 11:53:12 GMT 2025","passed","Sat Jun 07 11:53:12 GMT 2025","v1 > Organizations > Users > Add users to an organization","Bank Admin","",""
"","154","Update profile - No Auth","QA|Nova Bank - Infopool","Sat Jun 07 11:51:33 GMT 2025","passed","Sat Jun 07 11:51:33 GMT 2025","v1 > Profile > update profile image","Bank User","",""
"","76","Fetch all organizations","QA|Nova Bank - Infopool","Sat Jun 07 11:53:09 GMT 2025","passed","Sat Jun 07 11:53:09 GMT 2025","v1 > Organizations > Fetch organization","Bank Admin","",""
"","3253","Search Customers","QA|Nova Bank - Infopool","Sat Jun 07 11:51:48 GMT 2025","passed","Sat Jun 07 11:51:51 GMT 2025","v1 > Customer 360 > Search for a customer > search by name","Bank User","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","134","Invalid Operation - Get Email or SMS OTP","QA|Nova Bank - Infopool","Sat Jun 07 11:51:28 GMT 2025","passed","Sat Jun 07 11:51:28 GMT 2025","v1 > Auth > MFA > Request","Bank User","",""
"","77","Health","QA|Nova Bank - Infopool","Sat Jun 07 11:53:06 GMT 2025","passed","Sat Jun 07 11:53:06 GMT 2025","v1 > Health","Bank Admin","",""
"","78","update role","QA|Nova Bank - Infopool","Sat Jun 07 11:53:08 GMT 2025","passed","Sat Jun 07 11:53:08 GMT 2025","v1 > Users > Role > Update role","Bank Admin","",""
"","113","Fetch Customer Comments","QA|Nova Bank - Infopool","Sat Jun 07 11:51:47 GMT 2025","failed","Sat Jun 07 11:51:47 GMT 2025","v1 > Customer 360 > Comments > fetch customer comment","Bank User","",""
"","75","get user role","QA|Nova Bank - Infopool","Sat Jun 07 11:53:07 GMT 2025","passed","Sat Jun 07 11:53:08 GMT 2025","v1 > Users > Role > Get role","Bank Admin","",""
"","169","Invalid ID -Get Issue by ID","QA|Nova Bank - Infopool","Sat Jun 07 11:51:45 GMT 2025","passed","Sat Jun 07 11:51:45 GMT 2025","v1 > Customer 360 > Issues > get issue by Id","Bank User","",""
"","386","Get profile - successfully","QA|Nova Bank - Infopool","Sat Jun 07 11:51:32 GMT 2025","passed","Sat Jun 07 11:51:32 GMT 2025","v1 > Profile > Get profile","Bank User","",""
"","131","Update profile - no phone number","QA|Nova Bank - Infopool","Sat Jun 07 11:51:33 GMT 2025","passed","Sat Jun 07 11:51:33 GMT 2025","v1 > Profile > Update profile","Bank User","",""
