"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","76","Fetch user by ID - ID does not exist","QA|Nova Bank - Infopool","Mon Mar 17 08:27:51 GMT 2025","passed","Mon Mar 17 08:27:51 GMT 2025","v1 > Users > Fetch user by ID","Bank Admin","",""
"","72","Send user invitation token - empty last name","QA|Nova Bank - Infopool","Mon Mar 17 08:27:32 GMT 2025","passed","Mon Mar 17 08:27:32 GMT 2025","v1 > Onboarding > Complete profile","Bank User","",""
"","89","Update definition","QA|Nova Bank - Infopool","Mon Mar 17 08:27:47 GMT 2025","passed","Mon Mar 17 08:27:47 GMT 2025","v1 > Static Definitions > Update definition","Bank Admin","",""
"","78","Get profile roles - successful","QA|Nova Bank - Infopool","Mon Mar 17 08:27:30 GMT 2025","passed","Mon Mar 17 08:27:30 GMT 2025","v1 > Profile > Roles","Bank User","",""
"","66","Create master setting - invalid maximum value","QA|Nova Bank - Infopool","Mon Mar 17 08:27:48 GMT 2025","passed","Mon Mar 17 08:27:48 GMT 2025","v1 > System Settings > Master > Create Master Setting","Bank Admin","",""
"","67","Create master setting - no description","QA|Nova Bank - Infopool","Mon Mar 17 08:27:48 GMT 2025","passed","Mon Mar 17 08:27:48 GMT 2025","v1 > System Settings > Master > Create Master Setting","Bank Admin","",""
"","65","Create Settings - missing meta values","QA|Nova Bank - Infopool","Mon Mar 17 08:27:50 GMT 2025","passed","Mon Mar 17 08:27:50 GMT 2025","v1 > System Settings > Create Settings","Bank Admin","",""
"","79","Get single definition - invalid ID","QA|Nova Bank - Infopool","Mon Mar 17 08:27:46 GMT 2025","passed","Mon Mar 17 08:27:47 GMT 2025","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"","71","Send user invitation token - invalid authentication","QA|Nova Bank - Infopool","Mon Mar 17 08:27:32 GMT 2025","passed","Mon Mar 17 08:27:32 GMT 2025","v1 > Onboarding > Complete profile","Bank User","",""
"","83","Update profile - Invalid file size","QA|Nova Bank - Infopool","Mon Mar 17 08:27:31 GMT 2025","passed","Mon Mar 17 08:27:31 GMT 2025","v1 > Profile > update profile image","Bank User","",""
"","66","Retrieve setting by ID - invalid ID","QA|Nova Bank - Infopool","Mon Mar 17 08:27:49 GMT 2025","passed","Mon Mar 17 08:27:49 GMT 2025","v1 > System Settings > Retrieve setting by ID","Bank Admin","",""
"","81","Get single definition","QA|Nova Bank - Infopool","Mon Mar 17 08:27:46 GMT 2025","passed","Mon Mar 17 08:27:46 GMT 2025","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"","73","Get profile - user not logged in","QA|Nova Bank - Infopool","Mon Mar 17 08:27:31 GMT 2025","passed","Mon Mar 17 08:27:31 GMT 2025","v1 > Profile > Get profile","Bank User","",""
"","211","Get profile - successfully","QA|Nova Bank - Infopool","Mon Mar 17 08:27:31 GMT 2025","passed","Mon Mar 17 08:27:31 GMT 2025","v1 > Profile > Get profile","Bank User","",""
"","71","Search Customers - No Auth","QA|Nova Bank - Infopool","Mon Mar 17 08:27:35 GMT 2025","passed","Mon Mar 17 08:27:35 GMT 2025","v1 > Customer 360 > Search for a customer > search by name","Bank User","",""
"","78","Get all permissions","QA|Nova Bank - Infopool","Mon Mar 17 08:28:02 GMT 2025","passed","Mon Mar 17 08:28:02 GMT 2025","v1 > Permissions > Get permissions","Bank Admin","",""
"","100","Forgot password - successful","QA|Nova Bank - Infopool","Mon Mar 17 08:27:29 GMT 2025","passed","Mon Mar 17 08:27:29 GMT 2025","v1 > Auth > Forgot password > Initiate forget password","Bank User","",""
"","74","Fetch organizations by ID - non-existing ID","QA|Nova Bank - Infopool","Mon Mar 17 08:27:53 GMT 2025","passed","Mon Mar 17 08:27:53 GMT 2025","v1 > Organizations > Fetch organiation by ID","Bank Admin","",""
"","70","Get permission by ID - ID does not exist","QA|Nova Bank - Infopool","Mon Mar 17 08:28:02 GMT 2025","failed","Mon Mar 17 08:28:02 GMT 2025","v1 > Permissions > Get permission by ID","Bank Admin","",""
"","80","upload","QA|Nova Bank - Infopool","Mon Mar 17 08:27:47 GMT 2025","passed","Mon Mar 17 08:27:48 GMT 2025","v1 > Static Definitions > Upload > Upload definition","Bank Admin","",""
"","74","Forgot password - invalid email format","QA|Nova Bank - Infopool","Mon Mar 17 08:27:30 GMT 2025","passed","Mon Mar 17 08:27:30 GMT 2025","v1 > Auth > Forgot password > Initiate forget password","Bank User","",""
"","71","Update organization details by ID - empty name","QA|Nova Bank - Infopool","Mon Mar 17 08:27:53 GMT 2025","failed","Mon Mar 17 08:27:53 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","109","Get Issue by ID","QA|Nova Bank - Infopool","Mon Mar 17 08:27:34 GMT 2025","failed","Mon Mar 17 08:27:34 GMT 2025","v1 > Customer 360 > Issues > get issue by Id","Bank User","",""
"","108","Search Customers","QA|Nova Bank - Infopool","Mon Mar 17 08:27:35 GMT 2025","passed","Mon Mar 17 08:27:35 GMT 2025","v1 > Customer 360 > Search for a customer > search by phone number","Bank User","",""
"","77","Retrieve master setting - successful","QA|Nova Bank - Infopool","Mon Mar 17 08:27:49 GMT 2025","passed","Mon Mar 17 08:27:49 GMT 2025","v1 > System Settings > Master > Retrieve master setting","Bank Admin","",""
"","79","Get single definition - ID does not exist","QA|Nova Bank - Infopool","Mon Mar 17 08:27:47 GMT 2025","passed","Mon Mar 17 08:27:47 GMT 2025","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"","86","Get all definitions","QA|Nova Bank - Infopool","Mon Mar 17 08:27:46 GMT 2025","passed","Mon Mar 17 08:27:46 GMT 2025","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"","82","Create definition - invalid parentID","QA|Nova Bank - Infopool","Mon Mar 17 08:27:47 GMT 2025","passed","Mon Mar 17 08:27:47 GMT 2025","v1 > Static Definitions > Create definition","Bank Admin","",""
"","74","Update Issue","QA|Nova Bank - Infopool","Mon Mar 17 08:27:34 GMT 2025","failed","Mon Mar 17 08:27:34 GMT 2025","v1 > Customer 360 > Issues > update issue","Bank User","",""
"","65","Retrieve setting by entity ID","QA|Nova Bank - Infopool","Mon Mar 17 08:27:49 GMT 2025","passed","Mon Mar 17 08:27:49 GMT 2025","v1 > System Settings > Entity","Bank Admin","",""
"","83","Create organization - name already exists","QA|Nova Bank - Infopool","Mon Mar 17 08:27:52 GMT 2025","passed","Mon Mar 17 08:27:52 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
