"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Get a paginated list of reports with optional filtering","27","Get Report Objects - Question","QA|Nova Bank - Infopool","Sat Jun 07 22:54:20 GMT 2025","passed","Sat Jun 07 22:54:20 GMT 2025","v1 > Report > Get Report Object","Bank Admin","",""
"","60032","Generator Customers Transactions Statement - PDF","QA|Nova Bank - Infopool","Sat Jun 07 22:53:17 GMT 2025","passed","Sat Jun 07 22:54:17 GMT 2025","v1 > Customer 360 > Generate customers transaction statement","Bank User","",""
"Get a specific report by ID","25","Get Report by ID - Invalid id","QA|Nova Bank - Infopool","Sat Jun 07 22:54:20 GMT 2025","passed","Sat Jun 07 22:54:20 GMT 2025","v1 > Report > Get Report by Id","Bank Admin","",""
"","53","Invalid user phone number - Search Customers","QA|Nova Bank - Infopool","Sat Jun 07 22:53:07 GMT 2025","failed","Sat Jun 07 22:53:07 GMT 2025","v1 > Customer 360 > Search for a customer > search by phone number","Bank User","",""
"","27","No auth - Update role status","QA|Nova Bank - Infopool","Sat Jun 07 22:54:19 GMT 2025","passed","Sat Jun 07 22:54:19 GMT 2025","v1 > Roles > Update role","Bank Admin","",""
"","27","No auth - Create  organization","QA|Nova Bank - Infopool","Sat Jun 07 22:54:18 GMT 2025","passed","Sat Jun 07 22:54:18 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"Update an existing report","23","Update Report","QA|Nova Bank - Infopool","Sat Jun 07 22:54:20 GMT 2025","passed","Sat Jun 07 22:54:20 GMT 2025","v1 > Report > Update Report","Bank Admin","",""
"","27","Update organization details by ID - successful","QA|Nova Bank - Infopool","Sat Jun 07 22:54:18 GMT 2025","passed","Sat Jun 07 22:54:18 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","39","Update profile - invalid phone number","QA|Nova Bank - Infopool","Sat Jun 07 22:53:02 GMT 2025","passed","Sat Jun 07 22:53:02 GMT 2025","v1 > Profile > Update profile","Bank User","",""
"","35","Fetch all users","QA|Nova Bank - Infopool","Sat Jun 07 22:54:17 GMT 2025","passed","Sat Jun 07 22:54:17 GMT 2025","v1 > Users > Fetch users","Bank Admin","",""
"","92","Get profile roles - successful","QA|Nova Bank - Infopool","Sat Jun 07 22:53:00 GMT 2025","passed","Sat Jun 07 22:53:01 GMT 2025","v1 > Profile > Roles","Bank User","",""
"","26","Get role by ID - successful","QA|Nova Bank - Infopool","Sat Jun 07 22:54:19 GMT 2025","passed","Sat Jun 07 22:54:19 GMT 2025","v1 > Roles > Get role by ID","Bank Admin","",""
"","28","successfully create corporate_adjustment","QA|Nova Bank - Infopool","Sat Jun 07 22:54:20 GMT 2025","passed","Sat Jun 07 22:54:20 GMT 2025","","corporate Adjustment","",""
