"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","32","Logout session successfully","QA|Nova Bank - Infopool","Sat Jun 07 22:57:24 GMT 2025","passed","Sat Jun 07 22:57:24 GMT 2025","v1 > Logout","Bank Admin","",""
"","38","Create  organization","QA|Nova Bank - Infopool","Sat Jun 07 22:57:22 GMT 2025","passed","Sat Jun 07 22:57:22 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"Get a specific report by ID","34","Get Report by UUID","QA|Nova Bank - Infopool","Sat Jun 07 22:57:24 GMT 2025","passed","Sat Jun 07 22:57:25 GMT 2025","v1 > Report > Get Report by UUID","Bank Admin","",""
"","34","Create organization - name already exists","QA|Nova Bank - Infopool","Sat Jun 07 22:57:22 GMT 2025","passed","Sat Jun 07 22:57:22 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","45","Invalid Operation - Get Email or SMS OTP","QA|Nova Bank - Infopool","Sat Jun 07 22:56:01 GMT 2025","passed","Sat Jun 07 22:56:01 GMT 2025","v1 > Auth > MFA > Request","Bank User","",""
"Create a new report","32","Create Report - No auth","QA|Nova Bank - Infopool","Sat Jun 07 22:57:25 GMT 2025","passed","Sat Jun 07 22:57:25 GMT 2025","v1 > Report > Create Report","Bank Admin","",""
"","35","Get Report Data - Dashboard","QA|Nova Bank - Infopool","Sat Jun 07 22:57:25 GMT 2025","passed","Sat Jun 07 22:57:25 GMT 2025","v1 > Report > Get Report Data","Bank Admin","",""
"","39","Invalid authentication - Send user invitation token","QA|Nova Bank - Infopool","Sat Jun 07 22:56:05 GMT 2025","passed","Sat Jun 07 22:56:05 GMT 2025","v1 > Onboarding > Complete profile","Bank User","",""
"","34","Fetch all users","QA|Nova Bank - Infopool","Sat Jun 07 22:57:21 GMT 2025","passed","Sat Jun 07 22:57:21 GMT 2025","v1 > Users > Fetch users","Bank Admin","",""
"","87","Empty issue - Create a New Issue","QA|Nova Bank - Infopool","Sat Jun 07 22:56:05 GMT 2025","passed","Sat Jun 07 22:56:06 GMT 2025","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
"","40","Invalid Id - Update Issue","QA|Nova Bank - Infopool","Sat Jun 07 22:56:06 GMT 2025","failed","Sat Jun 07 22:56:06 GMT 2025","v1 > Customer 360 > Issues > update issue","Bank User","",""
"Delete a report (soft delete)","34","Delete Report","QA|Nova Bank - Infopool","Sat Jun 07 22:57:25 GMT 2025","passed","Sat Jun 07 22:57:25 GMT 2025","v1 > Report > Delete Report","Bank Admin","",""
"Create a new report","34","Create Report - Empty category","QA|Nova Bank - Infopool","Sat Jun 07 22:57:25 GMT 2025","passed","Sat Jun 07 22:57:25 GMT 2025","v1 > Report > Create Report","Bank Admin","",""
"","68","Empty issue category - Create a New Issue","QA|Nova Bank - Infopool","Sat Jun 07 22:56:06 GMT 2025","passed","Sat Jun 07 22:56:06 GMT 2025","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
"","39","No auth - Generator Customers Transactions Statement - PDF","QA|Nova Bank - Infopool","Sat Jun 07 22:57:21 GMT 2025","passed","Sat Jun 07 22:57:21 GMT 2025","v1 > Customer 360 > Generate customers transaction statement","Bank User","",""
"","38","Invalid attachment id - Delete Attachment from Issue","QA|Nova Bank - Infopool","Sat Jun 07 22:56:06 GMT 2025","failed","Sat Jun 07 22:56:06 GMT 2025","v1 > Customer 360 > Issues > delete attachment to an issue","Bank User","",""
"","34","Update user - no auth","QA|Nova Bank - Infopool","Sat Jun 07 22:57:21 GMT 2025","passed","Sat Jun 07 22:57:21 GMT 2025","v1 > Users > Update user","Bank Admin","",""
"","33","No auth - Update role status","QA|Nova Bank - Infopool","Sat Jun 07 22:57:24 GMT 2025","passed","Sat Jun 07 22:57:24 GMT 2025","v1 > Roles > Update role","Bank Admin","",""
"Update an existing report","31","Update Report","QA|Nova Bank - Infopool","Sat Jun 07 22:57:25 GMT 2025","passed","Sat Jun 07 22:57:25 GMT 2025","v1 > Report > Update Report","Bank Admin","",""
"","151","audit trail","QA|Nova Bank - Infopool","Sat Jun 07 22:56:04 GMT 2025","passed","Sat Jun 07 22:56:04 GMT 2025","v1 > Audit trail > Audit trail","Bank User","",""
"","34","No auth - get user role","QA|Nova Bank - Infopool","Sat Jun 07 22:57:22 GMT 2025","passed","Sat Jun 07 22:57:22 GMT 2025","v1 > Users > Role > Get role","Bank Admin","",""
"Delete a report (soft delete)","34","Delete Report -No auth","QA|Nova Bank - Infopool","Sat Jun 07 22:57:25 GMT 2025","passed","Sat Jun 07 22:57:25 GMT 2025","v1 > Report > Delete Report","Bank Admin","",""
"","37","No Auth - Fetch Customers Transactions","QA|Nova Bank - Infopool","Sat Jun 07 22:56:17 GMT 2025","passed","Sat Jun 07 22:56:17 GMT 2025","v1 > Customer 360 > Fetch customers transaction","Bank User","",""
"","44","Send user invitation token - successful","QA|Nova Bank - Infopool","Sat Jun 07 22:56:05 GMT 2025","passed","Sat Jun 07 22:56:05 GMT 2025","v1 > Onboarding > Complete profile","Bank User","",""
"","33","search Corporate Adjustment","QA|Nova Bank - Infopool","Sat Jun 07 22:57:25 GMT 2025","passed","Sat Jun 07 22:57:25 GMT 2025","","corporate Adjustment","",""
"","33","No auth - category by id","QA|Nova Bank - Infopool","Sat Jun 07 22:57:24 GMT 2025","passed","Sat Jun 07 22:57:24 GMT 2025","v1 > Notifications > Category > Fetch category by d","Bank Admin","",""
"","37","Add user to an organization -user ID does not exist","QA|Nova Bank - Infopool","Sat Jun 07 22:57:23 GMT 2025","passed","Sat Jun 07 22:57:23 GMT 2025","v1 > Organizations > Users > Add users to an organization","Bank Admin","",""
"","37","Delete organization details by ID - successful","QA|Nova Bank - Infopool","Sat Jun 07 22:57:23 GMT 2025","passed","Sat Jun 07 22:57:23 GMT 2025","v1 > Organizations > Delete organization","Bank Admin","",""
"","34","Add user to an organization - no auth","QA|Nova Bank - Infopool","Sat Jun 07 22:57:23 GMT 2025","passed","Sat Jun 07 22:57:23 GMT 2025","v1 > Organizations > Users > Add users to an organization","Bank Admin","",""
"Get a specific report by ID","32","Get Report by UUID - No auth","QA|Nova Bank - Infopool","Sat Jun 07 22:57:25 GMT 2025","passed","Sat Jun 07 22:57:25 GMT 2025","v1 > Report > Get Report by UUID","Bank Admin","",""
"","72","Empty authentication type - Send user invitation token","QA|Nova Bank - Infopool","Sat Jun 07 22:56:05 GMT 2025","passed","Sat Jun 07 22:56:05 GMT 2025","v1 > Onboarding > Complete profile","Bank User","",""
"","37","No Auth - Search Customers","QA|Nova Bank - Infopool","Sat Jun 07 22:56:13 GMT 2025","passed","Sat Jun 07 22:56:13 GMT 2025","v1 > Customer 360 > Search for a customer > search by name","Bank User","",""
"Get a paginated list of reports with optional filtering","36","Get Reports - filter by invalid category Id","QA|Nova Bank - Infopool","Sat Jun 07 22:57:24 GMT 2025","passed","Sat Jun 07 22:57:24 GMT 2025","v1 > Report > Get Report","Bank Admin","",""
"","33","Remove user from an organization - no auth","QA|Nova Bank - Infopool","Sat Jun 07 22:57:23 GMT 2025","passed","Sat Jun 07 22:57:23 GMT 2025","v1 > Organizations > Users > Remove users from an organization","Bank Admin","",""
"","46","No user credentials","QA|Nova Bank - Infopool","Sat Jun 07 22:56:00 GMT 2025","passed","Sat Jun 07 22:56:00 GMT 2025","v1 > Auth > Session > Login","Bank User","",""
"","247","audit-search","QA|Nova Bank - Infopool","Sat Jun 07 22:56:04 GMT 2025","passed","Sat Jun 07 22:56:05 GMT 2025","v1 > Audit trail > Audit trail","Bank User","",""
"","33","Fetch user by ID - no auth","QA|Nova Bank - Infopool","Sat Jun 07 22:57:21 GMT 2025","passed","Sat Jun 07 22:57:21 GMT 2025","v1 > Users > Fetch user by ID","Bank Admin","",""
"","6367","Invalid credentials","QA|Nova Bank - Infopool","Sat Jun 07 22:55:53 GMT 2025","passed","Sat Jun 07 22:56:00 GMT 2025","v1 > Auth > Session > Login","Bank User","",""
"","3175","Invalid ID - Add Comment to Customer","QA|Nova Bank - Infopool","Sat Jun 07 22:56:07 GMT 2025","passed","Sat Jun 07 22:56:10 GMT 2025","v1 > Customer 360 > Comments > add comment to customer","Bank User","",""
"","34","Delete organization details by ID -Invalid Id","QA|Nova Bank - Infopool","Sat Jun 07 22:57:23 GMT 2025","passed","Sat Jun 07 22:57:23 GMT 2025","v1 > Organizations > Delete organization","Bank Admin","",""
"","34","No Auth - Fetch all organizations","QA|Nova Bank - Infopool","Sat Jun 07 22:57:22 GMT 2025","passed","Sat Jun 07 22:57:22 GMT 2025","v1 > Organizations > Fetch organization","Bank Admin","",""
"","37","Update user - successful","QA|Nova Bank - Infopool","Sat Jun 07 22:57:21 GMT 2025","passed","Sat Jun 07 22:57:21 GMT 2025","v1 > Users > Update user","Bank Admin","",""
"","39","No Auth - Get profile roles - successful","QA|Nova Bank - Infopool","Sat Jun 07 22:56:01 GMT 2025","passed","Sat Jun 07 22:56:01 GMT 2025","v1 > Profile > Roles","Bank User","",""
"","43","Update organization details by ID - successful","QA|Nova Bank - Infopool","Sat Jun 07 22:57:22 GMT 2025","passed","Sat Jun 07 22:57:22 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","48","Invalid email format - Forgot password","QA|Nova Bank - Infopool","Sat Jun 07 22:56:00 GMT 2025","passed","Sat Jun 07 22:56:00 GMT 2025","v1 > Auth > Forgot password > Initiate forget password","Bank User","",""
"","47","No Auth - Get all Issues","QA|Nova Bank - Infopool","Sat Jun 07 22:56:06 GMT 2025","passed","Sat Jun 07 22:56:06 GMT 2025","v1 > Customer 360 > Issues > get all issues","Bank User","",""
"","37","Fetch Customer By ID","QA|Nova Bank - Infopool","Sat Jun 07 22:56:14 GMT 2025","failed","Sat Jun 07 22:56:14 GMT 2025","v1 > Customer 360 > Fetch customer by ID","Bank User","",""
"","54","Search Customers","QA|Nova Bank - Infopool","Sat Jun 07 22:56:13 GMT 2025","passed","Sat Jun 07 22:56:14 GMT 2025","v1 > Customer 360 > Search for a customer > search by phone number","Bank User","",""
"","35","update role","QA|Nova Bank - Infopool","Sat Jun 07 22:57:22 GMT 2025","passed","Sat Jun 07 22:57:22 GMT 2025","v1 > Users > Role > Update role","Bank Admin","",""
"","36","Create organization - no country ID","QA|Nova Bank - Infopool","Sat Jun 07 22:57:22 GMT 2025","passed","Sat Jun 07 22:57:22 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","35","Fetch Customers Channels","QA|Nova Bank - Infopool","Sat Jun 07 22:57:21 GMT 2025","passed","Sat Jun 07 22:57:21 GMT 2025","v1 > Customer 360 > Fetch customer channel","Bank User","",""
"","37","Create organization - business manager ID does not exist","QA|Nova Bank - Infopool","Sat Jun 07 22:57:22 GMT 2025","passed","Sat Jun 07 22:57:22 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","37","Update organization details by ID - incorrect business manager ID","QA|Nova Bank - Infopool","Sat Jun 07 22:57:23 GMT 2025","passed","Sat Jun 07 22:57:23 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","32","category by id","QA|Nova Bank - Infopool","Sat Jun 07 22:57:24 GMT 2025","passed","Sat Jun 07 22:57:24 GMT 2025","v1 > Notifications > Category > Fetch category by d","Bank Admin","",""
"","34","Create organization - empty mis code","QA|Nova Bank - Infopool","Sat Jun 07 22:57:22 GMT 2025","passed","Sat Jun 07 22:57:22 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","33","No auth - Fetch sub-organizations of a parent organization","QA|Nova Bank - Infopool","Sat Jun 07 22:57:23 GMT 2025","passed","Sat Jun 07 22:57:23 GMT 2025","v1 > Organizations > Sub-organizations > Fetch sub-organizations","Bank Admin","",""
"","35","Health","QA|Nova Bank - Infopool","Sat Jun 07 22:57:21 GMT 2025","passed","Sat Jun 07 22:57:21 GMT 2025","v1 > Health","Bank Admin","",""
"","35","Create roles","QA|Nova Bank - Infopool","Sat Jun 07 22:57:23 GMT 2025","passed","Sat Jun 07 22:57:23 GMT 2025","v1 > Roles > Create role","Bank Admin","",""
"","100","Get events - no auth","QA|Nova Bank - Infopool","Sat Jun 07 22:56:04 GMT 2025","passed","Sat Jun 07 22:56:04 GMT 2025","v1 > Audit trail > Event","Bank User","",""
"","48","Update profile - No Auth","QA|Nova Bank - Infopool","Sat Jun 07 22:56:03 GMT 2025","passed","Sat Jun 07 22:56:03 GMT 2025","v1 > Profile > update profile image","Bank User","",""
"","65","Update profile - invalid phone number","QA|Nova Bank - Infopool","Sat Jun 07 22:56:03 GMT 2025","passed","Sat Jun 07 22:56:03 GMT 2025","v1 > Profile > Update profile","Bank User","",""
"","34","Update role status","QA|Nova Bank - Infopool","Sat Jun 07 22:57:23 GMT 2025","passed","Sat Jun 07 22:57:24 GMT 2025","v1 > Roles > Update role","Bank Admin","",""
"","35","Fetch user by ID - successful","QA|Nova Bank - Infopool","Sat Jun 07 22:57:21 GMT 2025","passed","Sat Jun 07 22:57:21 GMT 2025","v1 > Users > Fetch user by ID","Bank Admin","",""
"","38","No Auth - Add attachment to issue","QA|Nova Bank - Infopool","Sat Jun 07 22:56:06 GMT 2025","failed","Sat Jun 07 22:56:06 GMT 2025","v1 > Customer 360 > Issues > add attachment to issue","Bank User","",""
"","33","Update organization details by ID - parent_id","QA|Nova Bank - Infopool","Sat Jun 07 22:57:23 GMT 2025","passed","Sat Jun 07 22:57:23 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"Delete a report (soft delete)","34","Delete Report - Invalid id","QA|Nova Bank - Infopool","Sat Jun 07 22:57:25 GMT 2025","passed","Sat Jun 07 22:57:25 GMT 2025","v1 > Report > Delete Report","Bank Admin","",""
"","52","No auth - Delete Attachment from Issue","QA|Nova Bank - Infopool","Sat Jun 07 22:56:06 GMT 2025","failed","Sat Jun 07 22:56:07 GMT 2025","v1 > Customer 360 > Issues > delete attachment to an issue","Bank User","",""
"","106","Get profile roles - successful","QA|Nova Bank - Infopool","Sat Jun 07 22:56:01 GMT 2025","passed","Sat Jun 07 22:56:01 GMT 2025","v1 > Profile > Roles","Bank User","",""
"","36","Fetch user by ID - ID does not exist","QA|Nova Bank - Infopool","Sat Jun 07 22:57:21 GMT 2025","passed","Sat Jun 07 22:57:21 GMT 2025","v1 > Users > Fetch user by ID","Bank Admin","",""
"","33","Update user - empty action field","QA|Nova Bank - Infopool","Sat Jun 07 22:57:22 GMT 2025","passed","Sat Jun 07 22:57:22 GMT 2025","v1 > Users > Update user","Bank Admin","",""
"","35","get all category","QA|Nova Bank - Infopool","Sat Jun 07 22:57:24 GMT 2025","passed","Sat Jun 07 22:57:24 GMT 2025","v1 > Notifications > Category > Fetch all category","Bank Admin","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","57","Invalid Auth - Empty Channel - Get Email or SMS OTP","QA|Nova Bank - Infopool","Sat Jun 07 22:56:01 GMT 2025","passed","Sat Jun 07 22:56:01 GMT 2025","v1 > Auth > MFA > Request","Bank User","",""
"","40","No Auth - Fetch Customer's Financial Summary","QA|Nova Bank - Infopool","Sat Jun 07 22:56:15 GMT 2025","passed","Sat Jun 07 22:56:15 GMT 2025","v1 > Customer 360 > Fetch customer's financial summary","Bank User","",""
"","40","Get Issue by ID","QA|Nova Bank - Infopool","Sat Jun 07 22:56:06 GMT 2025","failed","Sat Jun 07 22:56:06 GMT 2025","v1 > Customer 360 > Issues > get issue by Id","Bank User","",""
"","64","No email - Forgot Password","QA|Nova Bank - Infopool","Sat Jun 07 22:56:00 GMT 2025","passed","Sat Jun 07 22:56:00 GMT 2025","v1 > Auth > Forgot password > Initiate forget password","Bank User","",""
"","35","Update organization details by ID - name already exists","QA|Nova Bank - Infopool","Sat Jun 07 22:57:23 GMT 2025","passed","Sat Jun 07 22:57:23 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","77","Search Customers","QA|Nova Bank - Infopool","Sat Jun 07 22:56:13 GMT 2025","passed","Sat Jun 07 22:56:13 GMT 2025","v1 > Customer 360 > Search for a customer > search by name","Bank User","",""
"","35","Get Report Data - Question","QA|Nova Bank - Infopool","Sat Jun 07 22:57:25 GMT 2025","passed","Sat Jun 07 22:57:25 GMT 2025","v1 > Report > Get Report Data","Bank Admin","",""
"","34","Get all permissions","QA|Nova Bank - Infopool","Sat Jun 07 22:57:24 GMT 2025","passed","Sat Jun 07 22:57:24 GMT 2025","v1 > Permissions > Get permissions","Bank Admin","",""
"","95","Add Comment to Customer","QA|Nova Bank - Infopool","Sat Jun 07 22:56:07 GMT 2025","passed","Sat Jun 07 22:56:07 GMT 2025","v1 > Customer 360 > Comments > add comment to customer","Bank User","",""
"","36","Get Report Data - Invalid id","QA|Nova Bank - Infopool","Sat Jun 07 22:57:25 GMT 2025","passed","Sat Jun 07 22:57:25 GMT 2025","v1 > Report > Get Report Data","Bank Admin","",""
"","59","Empty last name - Send user invitation token","QA|Nova Bank - Infopool","Sat Jun 07 22:56:05 GMT 2025","passed","Sat Jun 07 22:56:05 GMT 2025","v1 > Onboarding > Complete profile","Bank User","",""
"","32","Get permission by ID - ID does not exist","QA|Nova Bank - Infopool","Sat Jun 07 22:57:24 GMT 2025","passed","Sat Jun 07 22:57:24 GMT 2025","v1 > Permissions > Get permission by ID","Bank Admin","",""
"Verify TOTP or OTP. For OTP, you need to provide either `email` or `phone` as the recipient if you are not logged in.
    Make sure the operation matches the one used to generate the OTP.

    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE
    ","131","Invalid OTP - Verify MFA code, MFA backup code, Email or SMS OTP","QA|Nova Bank - Infopool","Sat Jun 07 22:56:01 GMT 2025","failed","Sat Jun 07 22:56:01 GMT 2025","v1 > Auth > MFA > Verify","Bank User","",""
"","35","Create roles - empty name field","QA|Nova Bank - Infopool","Sat Jun 07 22:57:23 GMT 2025","passed","Sat Jun 07 22:57:23 GMT 2025","v1 > Roles > Create role","Bank Admin","",""
"","33","Get role by ID - successful","QA|Nova Bank - Infopool","Sat Jun 07 22:57:24 GMT 2025","passed","Sat Jun 07 22:57:24 GMT 2025","v1 > Roles > Get role by ID","Bank Admin","",""
"","37","Update organization details by ID - organisation type id","QA|Nova Bank - Infopool","Sat Jun 07 22:57:23 GMT 2025","passed","Sat Jun 07 22:57:23 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"Get a paginated list of reports with optional filtering","34","Get Reports - No auth","QA|Nova Bank - Infopool","Sat Jun 07 22:57:24 GMT 2025","passed","Sat Jun 07 22:57:24 GMT 2025","v1 > Report > Get Report","Bank Admin","",""
"","120","Get events - invalid start date","QA|Nova Bank - Infopool","Sat Jun 07 22:56:04 GMT 2025","passed","Sat Jun 07 22:56:04 GMT 2025","v1 > Audit trail > Event","Bank User","",""
"","35","Fetch all organizations","QA|Nova Bank - Infopool","Sat Jun 07 22:57:22 GMT 2025","passed","Sat Jun 07 22:57:22 GMT 2025","v1 > Organizations > Fetch organization","Bank Admin","",""
"","36","Update user - invalid action","QA|Nova Bank - Infopool","Sat Jun 07 22:57:21 GMT 2025","passed","Sat Jun 07 22:57:22 GMT 2025","v1 > Users > Update user","Bank Admin","",""
"","34","Update organization details by ID - incorrect operation manager ID","QA|Nova Bank - Infopool","Sat Jun 07 22:57:23 GMT 2025","passed","Sat Jun 07 22:57:23 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","34","Get Report Data - No auth","QA|Nova Bank - Infopool","Sat Jun 07 22:57:25 GMT 2025","passed","Sat Jun 07 22:57:25 GMT 2025","v1 > Report > Get Report Data","Bank Admin","",""
