"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","100","No Auth - Get profile roles - successful","QA|Nova Bank - Infopool","Sat Jun 07 22:59:12 GMT 2025","passed","Sat Jun 07 22:59:12 GMT 2025","v1 > Profile > Roles","Bank User","",""
"","59","Fetch user by ID - no auth","QA|Nova Bank - Infopool","Sat Jun 07 23:00:42 GMT 2025","passed","Sat Jun 07 23:00:42 GMT 2025","v1 > Users > Fetch user by ID","Bank Admin","",""
"","257","audit-search","QA|Nova Bank - Infopool","Sat Jun 07 22:59:16 GMT 2025","passed","Sat Jun 07 22:59:16 GMT 2025","v1 > Audit trail > Audit trail","Bank User","",""
"","62","Fetch Customers Channels","QA|Nova Bank - Infopool","Sat Jun 07 23:00:41 GMT 2025","passed","Sat Jun 07 23:00:41 GMT 2025","v1 > Customer 360 > Fetch customer channel","Bank User","",""
"","113","audit trail","QA|Nova Bank - Infopool","Sat Jun 07 22:59:16 GMT 2025","passed","Sat Jun 07 22:59:16 GMT 2025","v1 > Audit trail > Audit trail","Bank User","",""
"","59","Remove user from an organization - user ID does not exist","QA|Nova Bank - Infopool","Sat Jun 07 23:00:45 GMT 2025","passed","Sat Jun 07 23:00:45 GMT 2025","v1 > Organizations > Users > Remove users from an organization","Bank Admin","",""
"","57","Remove user from an organization - successful","QA|Nova Bank - Infopool","Sat Jun 07 23:00:45 GMT 2025","passed","Sat Jun 07 23:00:45 GMT 2025","v1 > Organizations > Users > Remove users from an organization","Bank Admin","",""
"","120","Get roles - successful","QA|Nova Bank - Infopool","Sat Jun 07 23:00:46 GMT 2025","passed","Sat Jun 07 23:00:46 GMT 2025","v1 > Roles > Get roles","Bank Admin","",""
"","221","Update profile - successful","QA|Nova Bank - Infopool","Sat Jun 07 22:59:14 GMT 2025","passed","Sat Jun 07 22:59:14 GMT 2025","v1 > Profile > Update profile","Bank User","",""
"","66","Update profile - no phone number","QA|Nova Bank - Infopool","Sat Jun 07 22:59:14 GMT 2025","passed","Sat Jun 07 22:59:14 GMT 2025","v1 > Profile > Update profile","Bank User","",""
"","237","Add Comment to Customer","QA|Nova Bank - Infopool","Sat Jun 07 22:59:26 GMT 2025","passed","Sat Jun 07 22:59:26 GMT 2025","v1 > Customer 360 > Comments > add comment to customer","Bank User","",""
"","57","No auth - Fetch all users in an organization","QA|Nova Bank - Infopool","Sat Jun 07 23:00:45 GMT 2025","passed","Sat Jun 07 23:00:45 GMT 2025","v1 > Organizations > Users > Fetch users in an organization","Bank Admin","",""
"","57","No Auth - Fetch all users","QA|Nova Bank - Infopool","Sat Jun 07 23:00:42 GMT 2025","passed","Sat Jun 07 23:00:42 GMT 2025","v1 > Users > Fetch users","Bank Admin","",""
"","59","No Auth - Fetch Customers Channels","QA|Nova Bank - Infopool","Sat Jun 07 23:00:41 GMT 2025","passed","Sat Jun 07 23:00:41 GMT 2025","v1 > Customer 360 > Fetch customer channel","Bank User","",""
