"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","88","Send user invitation token - successful","QA|Nova Bank - Infopool","Sun Jun 08 20:33:08 GMT 2025","passed","Sun Jun 08 20:33:08 GMT 2025","v1 > Onboarding > Complete profile","Bank User","",""
"","78","No auth - get user role","QA|Nova Bank - Infopool","Sun Jun 08 20:34:32 GMT 2025","passed","Sun Jun 08 20:34:32 GMT 2025","v1 > Users > Role > Get role","Bank Admin","",""
"","486","reset password","QA|Nova Bank - Infopool","Sun Jun 08 20:33:02 GMT 2025","passed","Sun Jun 08 20:33:03 GMT 2025","v1 > Auth > Forgot password > Reset password","Bank User","",""
"","82","Create  organization","QA|Nova Bank - Infopool","Sun Jun 08 20:34:32 GMT 2025","passed","Sun Jun 08 20:34:32 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","242","Invalid credentials","QA|Nova Bank - Infopool","Sun Jun 08 20:32:55 GMT 2025","passed","Sun Jun 08 20:32:55 GMT 2025","v1 > Auth > Session > Login","Bank User","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","90","Invalid Operation - Get Email or SMS OTP","QA|Nova Bank - Infopool","Sun Jun 08 20:33:03 GMT 2025","passed","Sun Jun 08 20:33:03 GMT 2025","v1 > Auth > MFA > Request","Bank User","",""
"","81","Create organization - business manager ID does not exist","QA|Nova Bank - Infopool","Sun Jun 08 20:34:33 GMT 2025","passed","Sun Jun 08 20:34:33 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","85","audit trail - No Auth","QA|Nova Bank - Infopool","Sun Jun 08 20:33:08 GMT 2025","passed","Sun Jun 08 20:33:08 GMT 2025","v1 > Audit trail > Audit trail","Bank User","",""
"","108","Remove user from an organization - successful","QA|Nova Bank - Infopool","Sun Jun 08 20:34:35 GMT 2025","passed","Sun Jun 08 20:34:36 GMT 2025","v1 > Organizations > Users > Remove users from an organization","Bank Admin","",""
"","78","Fetch user by ID - invalid ID","QA|Nova Bank - Infopool","Sun Jun 08 20:34:31 GMT 2025","passed","Sun Jun 08 20:34:31 GMT 2025","v1 > Users > Fetch user by ID","Bank Admin","",""
"","3152","Empty issue category - Create a New Issue","QA|Nova Bank - Infopool","Sun Jun 08 20:33:10 GMT 2025","passed","Sun Jun 08 20:33:13 GMT 2025","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
"","82","No Auth - Get Issue by ID","QA|Nova Bank - Infopool","Sun Jun 08 20:33:17 GMT 2025","passed","Sun Jun 08 20:33:17 GMT 2025","v1 > Customer 360 > Issues > get issue by Id","Bank User","",""
"","105","Update profile - invalid phone number","QA|Nova Bank - Infopool","Sun Jun 08 20:33:06 GMT 2025","passed","Sun Jun 08 20:33:06 GMT 2025","v1 > Profile > Update profile","Bank User","",""
"","81","No Auth - Get all Issues","QA|Nova Bank - Infopool","Sun Jun 08 20:33:16 GMT 2025","passed","Sun Jun 08 20:33:16 GMT 2025","v1 > Customer 360 > Issues > get all issues","Bank User","",""
"","80","Fetch all organizations","QA|Nova Bank - Infopool","Sun Jun 08 20:34:33 GMT 2025","passed","Sun Jun 08 20:34:33 GMT 2025","v1 > Organizations > Fetch organization","Bank Admin","",""
"","98","Add Comment to Issue","QA|Nova Bank - Infopool","Sun Jun 08 20:33:17 GMT 2025","failed","Sun Jun 08 20:33:17 GMT 2025","v1 > Customer 360 > Issues > add comment to an issue","Bank User","",""
"","250","Weak password - Change password","QA|Nova Bank - Infopool","Sun Jun 08 20:33:05 GMT 2025","passed","Sun Jun 08 20:33:05 GMT 2025","v1 > Profile > Password","Bank User","",""
"","83","Update Issue","QA|Nova Bank - Infopool","Sun Jun 08 20:33:17 GMT 2025","failed","Sun Jun 08 20:33:17 GMT 2025","v1 > Customer 360 > Issues > update issue","Bank User","",""
"","82","No Auth - Delete Customer Comment","QA|Nova Bank - Infopool","Sun Jun 08 20:33:19 GMT 2025","passed","Sun Jun 08 20:33:19 GMT 2025","v1 > Customer 360 > Comments > delete customer comment","Bank User","",""
"","100","Delete organization details by ID - successful","QA|Nova Bank - Infopool","Sun Jun 08 20:34:34 GMT 2025","passed","Sun Jun 08 20:34:35 GMT 2025","v1 > Organizations > Delete organization","Bank Admin","",""
"","1158","Successful login","QA|Nova Bank - Infopool","Sun Jun 08 20:32:54 GMT 2025","passed","Sun Jun 08 20:32:55 GMT 2025","v1 > Auth > Session > Login","Bank User","",""
"","90","Delete organization details by ID - No auth","QA|Nova Bank - Infopool","Sun Jun 08 20:34:35 GMT 2025","passed","Sun Jun 08 20:34:35 GMT 2025","v1 > Organizations > Delete organization","Bank Admin","",""
"","79","Fetch organizations by ID - successful","QA|Nova Bank - Infopool","Sun Jun 08 20:34:34 GMT 2025","passed","Sun Jun 08 20:34:34 GMT 2025","v1 > Organizations > Fetch organiation by ID","Bank Admin","",""
"","97","Invalid ID -Get Issue by ID","QA|Nova Bank - Infopool","Sun Jun 08 20:33:17 GMT 2025","passed","Sun Jun 08 20:33:17 GMT 2025","v1 > Customer 360 > Issues > get issue by Id","Bank User","",""
"","79","Fetch user by ID - successful","QA|Nova Bank - Infopool","Sun Jun 08 20:34:31 GMT 2025","passed","Sun Jun 08 20:34:31 GMT 2025","v1 > Users > Fetch user by ID","Bank Admin","",""
"","82","No auth - Create  organization","QA|Nova Bank - Infopool","Sun Jun 08 20:34:32 GMT 2025","passed","Sun Jun 08 20:34:32 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"Verify TOTP or OTP. For OTP, you need to provide either `email` or `phone` as the recipient if you are not logged in.
    Make sure the operation matches the one used to generate the OTP.

    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE
    ","129","Invalid OTP - Verify MFA code, MFA backup code, Email or SMS OTP","QA|Nova Bank - Infopool","Sun Jun 08 20:33:03 GMT 2025","failed","Sun Jun 08 20:33:04 GMT 2025","v1 > Auth > MFA > Verify","Bank User","",""
"","80","Create organization - no country ID","QA|Nova Bank - Infopool","Sun Jun 08 20:34:33 GMT 2025","passed","Sun Jun 08 20:34:33 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","85","Get profile - user not logged in","QA|Nova Bank - Infopool","Sun Jun 08 20:33:06 GMT 2025","passed","Sun Jun 08 20:33:06 GMT 2025","v1 > Profile > Get profile","Bank User","",""
"","80","Create  organization - without parent id","QA|Nova Bank - Infopool","Sun Jun 08 20:34:32 GMT 2025","passed","Sun Jun 08 20:34:33 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","79","successful dashboard embed","QA|Nova Bank - Infopool","Sun Jun 08 20:34:30 GMT 2025","passed","Sun Jun 08 20:34:30 GMT 2025","embed dashboard","Bank User","",""
"","263","Update profile - successful","QA|Nova Bank - Infopool","Sun Jun 08 20:33:06 GMT 2025","passed","Sun Jun 08 20:33:06 GMT 2025","v1 > Profile > Update profile","Bank User","",""
"","117","No auth - managers","QA|Nova Bank - Infopool","Sun Jun 08 20:34:36 GMT 2025","passed","Sun Jun 08 20:34:36 GMT 2025","v1 > Organizations > Managers > Fetch managers of an organization","Bank Admin","",""
"","90","User does not exist - Forgot Password","QA|Nova Bank - Infopool","Sun Jun 08 20:33:02 GMT 2025","passed","Sun Jun 08 20:33:02 GMT 2025","v1 > Auth > Forgot password > Initiate forget password","Bank User","",""
"","82","No Auth - Fetch Customers Transactions","QA|Nova Bank - Infopool","Sun Jun 08 20:33:23 GMT 2025","passed","Sun Jun 08 20:33:23 GMT 2025","v1 > Customer 360 > Fetch customers transaction","Bank User","",""
