"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","43","No Auth - Get profile roles - successful","QA|Nova Bank - Infopool","Sun Jun 08 20:51:13 GMT 2025","passed","Sun Jun 08 20:51:13 GMT 2025","v1 > Profile > Roles","Bank User","",""
"","51","Update profile - Invalid file size","QA|Nova Bank - Infopool","Sun Jun 08 20:51:16 GMT 2025","passed","Sun Jun 08 20:51:16 GMT 2025","v1 > Profile > update profile image","Bank User","",""
"","30","search Corporate Adjustment","QA|Nova Bank - Infopool","Sun Jun 08 20:52:40 GMT 2025","passed","Sun Jun 08 20:52:40 GMT 2025","","corporate Adjustment","",""
"","44","No Auth - Get Issue by ID","QA|Nova Bank - Infopool","Sun Jun 08 20:51:25 GMT 2025","passed","Sun Jun 08 20:51:25 GMT 2025","v1 > Customer 360 > Issues > get issue by Id","Bank User","",""
"","40","No Auth - Fetch Customer Comments","QA|Nova Bank - Infopool","Sun Jun 08 20:51:26 GMT 2025","passed","Sun Jun 08 20:51:26 GMT 2025","v1 > Customer 360 > Comments > fetch customer comment","Bank User","",""
"","47","Invalid ID -Get Issue by ID","QA|Nova Bank - Infopool","Sun Jun 08 20:51:25 GMT 2025","passed","Sun Jun 08 20:51:25 GMT 2025","v1 > Customer 360 > Issues > get issue by Id","Bank User","",""
"","25","Update user - invalid action","QA|Nova Bank - Infopool","Sun Jun 08 20:52:38 GMT 2025","passed","Sun Jun 08 20:52:38 GMT 2025","v1 > Users > Update user","Bank Admin","",""
"","26","Remove user from an organization - successful","QA|Nova Bank - Infopool","Sun Jun 08 20:52:39 GMT 2025","passed","Sun Jun 08 20:52:39 GMT 2025","v1 > Organizations > Users > Remove users from an organization","Bank Admin","",""
"","240","Get events - successful","QA|Nova Bank - Infopool","Sun Jun 08 20:51:16 GMT 2025","passed","Sun Jun 08 20:51:17 GMT 2025","v1 > Audit trail > Event","Bank User","",""
"","104","audit trail - No Auth","QA|Nova Bank - Infopool","Sun Jun 08 20:51:17 GMT 2025","passed","Sun Jun 08 20:51:17 GMT 2025","v1 > Audit trail > Audit trail","Bank User","",""
"","39","Invalid authentication - Send user invitation token","QA|Nova Bank - Infopool","Sun Jun 08 20:51:18 GMT 2025","passed","Sun Jun 08 20:51:18 GMT 2025","v1 > Onboarding > Complete profile","Bank User","",""
"","26","Add user to an organization - successful","QA|Nova Bank - Infopool","Sun Jun 08 20:52:39 GMT 2025","passed","Sun Jun 08 20:52:39 GMT 2025","v1 > Organizations > Users > Add users to an organization","Bank Admin","",""
"","67","Update profile - invalid phone number","QA|Nova Bank - Infopool","Sun Jun 08 20:51:16 GMT 2025","passed","Sun Jun 08 20:51:16 GMT 2025","v1 > Profile > Update profile","Bank User","",""
"","38","Empty first name - Send user invitation token","QA|Nova Bank - Infopool","Sun Jun 08 20:51:18 GMT 2025","passed","Sun Jun 08 20:51:18 GMT 2025","v1 > Onboarding > Complete profile","Bank User","",""
"","24","Get role by ID - successful","QA|Nova Bank - Infopool","Sun Jun 08 20:52:39 GMT 2025","passed","Sun Jun 08 20:52:39 GMT 2025","v1 > Roles > Get role by ID","Bank Admin","",""
"Get a specific report by ID","23","Get Report by ID - No auth","QA|Nova Bank - Infopool","Sun Jun 08 20:52:40 GMT 2025","passed","Sun Jun 08 20:52:40 GMT 2025","v1 > Report > Get Report by Id","Bank Admin","",""
"","27","Get single definition","QA|Nova Bank - Infopool","Sun Jun 08 20:52:37 GMT 2025","passed","Sun Jun 08 20:52:37 GMT 2025","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"","25","Get all permissions","QA|Nova Bank - Infopool","Sun Jun 08 20:52:39 GMT 2025","passed","Sun Jun 08 20:52:39 GMT 2025","v1 > Permissions > Get permissions","Bank Admin","",""
"","26","No Auth - Get all definitions","QA|Nova Bank - Infopool","Sun Jun 08 20:52:37 GMT 2025","passed","Sun Jun 08 20:52:37 GMT 2025","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"","227","Forgot password - successful","QA|Nova Bank - Infopool","Sun Jun 08 20:51:11 GMT 2025","failed","Sun Jun 08 20:51:11 GMT 2025","v1 > Auth > Forgot password > Initiate forget password","Bank User","",""
"","40","Get profile roles - No Auth","QA|Nova Bank - Infopool","Sun Jun 08 20:51:13 GMT 2025","passed","Sun Jun 08 20:51:13 GMT 2025","v1 > Profile > Roles","Bank User","",""
"","41","No Auth - Fetch Customers Transactions","QA|Nova Bank - Infopool","Sun Jun 08 20:51:30 GMT 2025","passed","Sun Jun 08 20:51:31 GMT 2025","v1 > Customer 360 > Fetch customers transaction","Bank User","",""
"","26","No Auth - Update definition","QA|Nova Bank - Infopool","Sun Jun 08 20:52:37 GMT 2025","passed","Sun Jun 08 20:52:37 GMT 2025","v1 > Static Definitions > Update definition","Bank Admin","",""
"Get a paginated list of reports with optional filtering","26","Get Reports - filter by invalid category Id","QA|Nova Bank - Infopool","Sun Jun 08 20:52:40 GMT 2025","passed","Sun Jun 08 20:52:40 GMT 2025","v1 > Report > Get Report","Bank Admin","",""
"Create a new report","25","Create Report - Empty category","QA|Nova Bank - Infopool","Sun Jun 08 20:52:40 GMT 2025","passed","Sun Jun 08 20:52:40 GMT 2025","v1 > Report > Create Report","Bank Admin","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","36","Empty Channel - Get Email or SMS OTP","QA|Nova Bank - Infopool","Sun Jun 08 20:51:12 GMT 2025","passed","Sun Jun 08 20:51:12 GMT 2025","v1 > Auth > MFA > Request","Bank User","",""
"","48","Add attachment to issue","QA|Nova Bank - Infopool","Sun Jun 08 20:51:26 GMT 2025","failed","Sun Jun 08 20:51:26 GMT 2025","v1 > Customer 360 > Issues > add attachment to issue","Bank User","",""
"Verify TOTP or OTP. For OTP, you need to provide either `email` or `phone` as the recipient if you are not logged in.
    Make sure the operation matches the one used to generate the OTP.

    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE
    ","82","Invalid OTP - Verify MFA code, MFA backup code, Email or SMS OTP","QA|Nova Bank - Infopool","Sun Jun 08 20:51:13 GMT 2025","failed","Sun Jun 08 20:51:13 GMT 2025","v1 > Auth > MFA > Verify","Bank User","",""
"","153","Empty current password - Change password","QA|Nova Bank - Infopool","Sun Jun 08 20:51:15 GMT 2025","passed","Sun Jun 08 20:51:15 GMT 2025","v1 > Profile > Password","Bank User","",""
"","27","Update organization details by ID - successful","QA|Nova Bank - Infopool","Sun Jun 08 20:52:38 GMT 2025","passed","Sun Jun 08 20:52:38 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","28","Create organization - operations manager ID does not exist","QA|Nova Bank - Infopool","Sun Jun 08 20:52:38 GMT 2025","passed","Sun Jun 08 20:52:38 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","24","No Auth - Get all permissions","QA|Nova Bank - Infopool","Sun Jun 08 20:52:39 GMT 2025","passed","Sun Jun 08 20:52:39 GMT 2025","v1 > Permissions > Get permissions","Bank Admin","",""
"","41","Get events - no auth","QA|Nova Bank - Infopool","Sun Jun 08 20:51:17 GMT 2025","passed","Sun Jun 08 20:51:17 GMT 2025","v1 > Audit trail > Event","Bank User","",""
"","25","Update user - no auth","QA|Nova Bank - Infopool","Sun Jun 08 20:52:38 GMT 2025","passed","Sun Jun 08 20:52:38 GMT 2025","v1 > Users > Update user","Bank Admin","",""
"","29","Fetch Customers Channels","QA|Nova Bank - Infopool","Sun Jun 08 20:52:37 GMT 2025","passed","Sun Jun 08 20:52:37 GMT 2025","v1 > Customer 360 > Fetch customer channel","Bank User","",""
"","719","Successful login","QA|Nova Bank - Infopool","Sun Jun 08 20:51:04 GMT 2025","passed","Sun Jun 08 20:51:04 GMT 2025","v1 > Auth > Session > Login","Bank User","",""
"","51","Get profile roles - successful","QA|Nova Bank - Infopool","Sun Jun 08 20:51:13 GMT 2025","passed","Sun Jun 08 20:51:13 GMT 2025","v1 > Profile > Roles","Bank User","",""
"","25","managers","QA|Nova Bank - Infopool","Sun Jun 08 20:52:39 GMT 2025","passed","Sun Jun 08 20:52:39 GMT 2025","v1 > Organizations > Managers > Fetch managers of an organization","Bank Admin","",""
"Get a specific report by ID","24","Get Report by UUID","QA|Nova Bank - Infopool","Sun Jun 08 20:52:40 GMT 2025","passed","Sun Jun 08 20:52:40 GMT 2025","v1 > Report > Get Report by UUID","Bank Admin","",""
"Get a specific report by ID","23","Get Report by ID - Invalid id","QA|Nova Bank - Infopool","Sun Jun 08 20:52:40 GMT 2025","passed","Sun Jun 08 20:52:40 GMT 2025","v1 > Report > Get Report by Id","Bank Admin","",""
"","25","Get Report Data - No auth","QA|Nova Bank - Infopool","Sun Jun 08 20:52:40 GMT 2025","passed","Sun Jun 08 20:52:40 GMT 2025","v1 > Report > Get Report Data","Bank Admin","",""
"","26","Fetch organizations by ID - No Auth","QA|Nova Bank - Infopool","Sun Jun 08 20:52:38 GMT 2025","passed","Sun Jun 08 20:52:38 GMT 2025","v1 > Organizations > Fetch organiation by ID","Bank Admin","",""
"","23","Logout session - no session","QA|Nova Bank - Infopool","Sun Jun 08 20:52:40 GMT 2025","passed","Sun Jun 08 20:52:40 GMT 2025","v1 > Logout","Bank Admin","",""
"","78","audit trail","QA|Nova Bank - Infopool","Sun Jun 08 20:51:17 GMT 2025","passed","Sun Jun 08 20:51:17 GMT 2025","v1 > Audit trail > Audit trail","Bank User","",""
"","408","Invalid credentials","QA|Nova Bank - Infopool","Sun Jun 08 20:51:04 GMT 2025","passed","Sun Jun 08 20:51:05 GMT 2025","v1 > Auth > Session > Login","Bank User","",""
"","26","Create  organization - without parent id","QA|Nova Bank - Infopool","Sun Jun 08 20:52:38 GMT 2025","passed","Sun Jun 08 20:52:38 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","26","Fetch user by ID - successful","QA|Nova Bank - Infopool","Sun Jun 08 20:52:37 GMT 2025","passed","Sun Jun 08 20:52:37 GMT 2025","v1 > Users > Fetch user by ID","Bank Admin","",""
"","26","Create organization - name already exists","QA|Nova Bank - Infopool","Sun Jun 08 20:52:38 GMT 2025","passed","Sun Jun 08 20:52:38 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","35","Empty password - Send user invitation token","QA|Nova Bank - Infopool","Sun Jun 08 20:51:18 GMT 2025","passed","Sun Jun 08 20:51:18 GMT 2025","v1 > Onboarding > Complete profile","Bank User","",""
"","26","Create  organization","QA|Nova Bank - Infopool","Sun Jun 08 20:52:38 GMT 2025","passed","Sun Jun 08 20:52:38 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","24","get all category","QA|Nova Bank - Infopool","Sun Jun 08 20:52:39 GMT 2025","passed","Sun Jun 08 20:52:39 GMT 2025","v1 > Notifications > Category > Fetch all category","Bank Admin","",""
"","26","Update user - ID does not exist","QA|Nova Bank - Infopool","Sun Jun 08 20:52:38 GMT 2025","passed","Sun Jun 08 20:52:38 GMT 2025","v1 > Users > Update user","Bank Admin","",""
"","839","Fetch Customer's Financial Summary","QA|Nova Bank - Infopool","Sun Jun 08 20:51:27 GMT 2025","passed","Sun Jun 08 20:51:28 GMT 2025","v1 > Customer 360 > Fetch customer's financial summary","Bank User","",""
