"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","35","Fetch Customers Accounts","QA|Nova Bank - Infopool","Sun Jun 08 20:55:48 GMT 2025","passed","Sun Jun 08 20:55:48 GMT 2025","v1 > Customer 360 > Fetch customer accounts","Bank User","",""
"","130","search Corporate Adjustment","QA|Nova Bank - Infopool","Sun Jun 08 20:56:03 GMT 2025","passed","Sun Jun 08 20:56:03 GMT 2025","","corporate Adjustment","",""
"","3258","Empty issue - Create a New Issue","QA|Nova Bank - Infopool","Sun Jun 08 20:54:29 GMT 2025","passed","Sun Jun 08 20:54:32 GMT 2025","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
"","38","Create organization - name already exists","QA|Nova Bank - Infopool","Sun Jun 08 20:55:50 GMT 2025","passed","Sun Jun 08 20:55:50 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","54","Fetch Customer By ID no Auth","QA|Nova Bank - Infopool","Sun Jun 08 20:54:38 GMT 2025","passed","Sun Jun 08 20:54:38 GMT 2025","v1 > Customer 360 > Fetch customer by ID","Bank User","",""
"","167","Get events - end date earlier than start date","QA|Nova Bank - Infopool","Sun Jun 08 20:54:27 GMT 2025","passed","Sun Jun 08 20:54:27 GMT 2025","v1 > Audit trail > Event","Bank User","",""
"","270","Invalid current password - Change password","QA|Nova Bank - Infopool","Sun Jun 08 20:54:24 GMT 2025","passed","Sun Jun 08 20:54:25 GMT 2025","v1 > Profile > Password","Bank User","",""
"","49","Update profile - invalid phone number","QA|Nova Bank - Infopool","Sun Jun 08 20:54:26 GMT 2025","passed","Sun Jun 08 20:54:26 GMT 2025","v1 > Profile > Update profile","Bank User","",""
"","34","Get roles - No Auth","QA|Nova Bank - Infopool","Sun Jun 08 20:55:51 GMT 2025","passed","Sun Jun 08 20:55:51 GMT 2025","v1 > Roles > Get roles","Bank Admin","",""
"","36","Update organization details by ID - incorrect operation manager ID","QA|Nova Bank - Infopool","Sun Jun 08 20:55:50 GMT 2025","passed","Sun Jun 08 20:55:50 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","36","Create organization - empty street value","QA|Nova Bank - Infopool","Sun Jun 08 20:55:50 GMT 2025","passed","Sun Jun 08 20:55:50 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","40","Empty authentication type - Send user invitation token","QA|Nova Bank - Infopool","Sun Jun 08 20:54:28 GMT 2025","passed","Sun Jun 08 20:54:28 GMT 2025","v1 > Onboarding > Complete profile","Bank User","",""
"Delete a report (soft delete)","39","Delete Report","QA|Nova Bank - Infopool","Sun Jun 08 20:55:53 GMT 2025","failed","Sun Jun 08 20:55:53 GMT 2025","v1 > Report > Delete Report","Bank Admin","",""
