"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","79","Update role status","QA|Nova Bank - Infopool","Sun Jun 08 21:05:23 GMT 2025","passed","Sun Jun 08 21:05:23 GMT 2025","v1 > Roles > Update role","Bank Admin","",""
"","155","Empty password - Send user invitation token","QA|Nova Bank - Infopool","Sun Jun 08 21:03:53 GMT 2025","passed","Sun Jun 08 21:03:53 GMT 2025","v1 > Onboarding > Complete profile","Bank User","",""
"","76","Fetch user by ID - invalid ID","QA|Nova Bank - Infopool","Sun Jun 08 21:05:19 GMT 2025","passed","Sun Jun 08 21:05:19 GMT 2025","v1 > Users > Fetch user by ID","Bank Admin","",""
"","77","Fetch organizations by ID - non-existing ID","QA|Nova Bank - Infopool","Sun Jun 08 21:05:21 GMT 2025","passed","Sun Jun 08 21:05:21 GMT 2025","v1 > Organizations > Fetch organiation by ID","Bank Admin","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","90","Invalid Operation - Get Email or SMS OTP","QA|Nova Bank - Infopool","Sun Jun 08 21:03:37 GMT 2025","passed","Sun Jun 08 21:03:37 GMT 2025","v1 > Auth > MFA > Request","Bank User","",""
"","79","Create organization - name already exists","QA|Nova Bank - Infopool","Sun Jun 08 21:05:20 GMT 2025","passed","Sun Jun 08 21:05:20 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","125","Get all Issues","QA|Nova Bank - Infopool","Sun Jun 08 21:03:55 GMT 2025","failed","Sun Jun 08 21:03:55 GMT 2025","v1 > Customer 360 > Issues > get all issues","Bank User","",""
"","78","Get roles - successful","QA|Nova Bank - Infopool","Sun Jun 08 21:05:23 GMT 2025","passed","Sun Jun 08 21:05:23 GMT 2025","v1 > Roles > Get roles","Bank Admin","",""
"","140","Forgot password - successful","QA|Nova Bank - Infopool","Sun Jun 08 21:03:35 GMT 2025","failed","Sun Jun 08 21:03:35 GMT 2025","v1 > Auth > Forgot password > Initiate forget password","Bank User","",""
"Get a paginated list of reports with optional filtering","237","Get Reports Stats","QA|Nova Bank - Infopool","Sun Jun 08 21:05:32 GMT 2025","passed","Sun Jun 08 21:05:32 GMT 2025","v1 > Report > Get Report Stats","Bank Admin","",""
"","156","Get profile roles - No Auth","QA|Nova Bank - Infopool","Sun Jun 08 21:03:39 GMT 2025","passed","Sun Jun 08 21:03:39 GMT 2025","v1 > Profile > Roles","Bank User","",""
"","149","Invalid name - Search Customers","QA|Nova Bank - Infopool","Sun Jun 08 21:04:06 GMT 2025","failed","Sun Jun 08 21:04:06 GMT 2025","v1 > Customer 360 > Search for a customer > search by name","Bank User","",""
"","76","Fetch organizations by ID - successful","QA|Nova Bank - Infopool","Sun Jun 08 21:05:21 GMT 2025","passed","Sun Jun 08 21:05:21 GMT 2025","v1 > Organizations > Fetch organiation by ID","Bank Admin","",""
"","456","Weak password - Change password","QA|Nova Bank - Infopool","Sun Jun 08 21:03:40 GMT 2025","passed","Sun Jun 08 21:03:41 GMT 2025","v1 > Profile > Password","Bank User","",""
"","158","Get profile roles - successful","QA|Nova Bank - Infopool","Sun Jun 08 21:03:38 GMT 2025","passed","Sun Jun 08 21:03:38 GMT 2025","v1 > Profile > Roles","Bank User","",""
"Get a paginated list of reports with optional filtering","443","Get Report Objects - Dashboard","QA|Nova Bank - Infopool","Sun Jun 08 21:05:33 GMT 2025","passed","Sun Jun 08 21:05:33 GMT 2025","v1 > Report > Get Report Object","Bank Admin","",""
"","154","Empty first name - Send user invitation token","QA|Nova Bank - Infopool","Sun Jun 08 21:03:53 GMT 2025","passed","Sun Jun 08 21:03:53 GMT 2025","v1 > Onboarding > Complete profile","Bank User","",""
"","76","Remove user from an organization - successful","QA|Nova Bank - Infopool","Sun Jun 08 21:05:23 GMT 2025","passed","Sun Jun 08 21:05:23 GMT 2025","v1 > Organizations > Users > Remove users from an organization","Bank Admin","",""
"","429","Get events - successful","QA|Nova Bank - Infopool","Sun Jun 08 21:03:50 GMT 2025","passed","Sun Jun 08 21:03:50 GMT 2025","v1 > Audit trail > Event","Bank User","",""
"","137","Get Issue by ID","QA|Nova Bank - Infopool","Sun Jun 08 21:03:56 GMT 2025","failed","Sun Jun 08 21:03:56 GMT 2025","v1 > Customer 360 > Issues > get issue by Id","Bank User","",""
"","150","Update Customer Comment","QA|Nova Bank - Infopool","Sun Jun 08 21:04:05 GMT 2025","failed","Sun Jun 08 21:04:05 GMT 2025","v1 > Customer 360 > Comments > update comment to customer","Bank User","",""
"","76","Fetch sub-organizations of a parent organization","QA|Nova Bank - Infopool","Sun Jun 08 21:05:22 GMT 2025","passed","Sun Jun 08 21:05:22 GMT 2025","v1 > Organizations > Sub-organizations > Fetch sub-organizations","Bank Admin","",""
"","349","Get events - invalid end date","QA|Nova Bank - Infopool","Sun Jun 08 21:03:51 GMT 2025","passed","Sun Jun 08 21:03:51 GMT 2025","v1 > Audit trail > Event","Bank User","",""
"","96","search Corporate Adjustment","QA|Nova Bank - Infopool","Sun Jun 08 21:05:47 GMT 2025","passed","Sun Jun 08 21:05:47 GMT 2025","","corporate Adjustment","",""
"","79","Update organization details by ID - incorrect operation manager ID","QA|Nova Bank - Infopool","Sun Jun 08 21:05:22 GMT 2025","passed","Sun Jun 08 21:05:22 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","110","Invalid ID - Delete Customer Comment","QA|Nova Bank - Infopool","Sun Jun 08 21:04:05 GMT 2025","failed","Sun Jun 08 21:04:05 GMT 2025","v1 > Customer 360 > Comments > delete customer comment","Bank User","",""
"","407","Invalid credentials","QA|Nova Bank - Infopool","Sun Jun 08 21:03:28 GMT 2025","passed","Sun Jun 08 21:03:28 GMT 2025","v1 > Auth > Session > Login","Bank User","",""
"","127","Empty issue category - Create a New Issue","QA|Nova Bank - Infopool","Sun Jun 08 21:03:55 GMT 2025","passed","Sun Jun 08 21:03:55 GMT 2025","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
"","79","Create organization - organization type ID does not exist","QA|Nova Bank - Infopool","Sun Jun 08 21:05:20 GMT 2025","passed","Sun Jun 08 21:05:21 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"Delete a report (soft delete)","115","Delete Report -No auth","QA|Nova Bank - Infopool","Sun Jun 08 21:05:36 GMT 2025","failed","Sun Jun 08 21:05:36 GMT 2025","v1 > Report > Delete Report","Bank Admin","",""
"","83","Update organization details by ID - No auth","QA|Nova Bank - Infopool","Sun Jun 08 21:05:21 GMT 2025","passed","Sun Jun 08 21:05:21 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","76","No Auth - Get all permissions","QA|Nova Bank - Infopool","Sun Jun 08 21:05:24 GMT 2025","passed","Sun Jun 08 21:05:24 GMT 2025","v1 > Permissions > Get permissions","Bank Admin","",""
"","3192","Export Report Data - Invalid format","QA|Nova Bank - Infopool","Sun Jun 08 21:05:43 GMT 2025","passed","Sun Jun 08 21:05:46 GMT 2025","v1 > Report > Export Report Data","Bank Admin","",""
"","314","Get events - invalid start date","QA|Nova Bank - Infopool","Sun Jun 08 21:03:50 GMT 2025","passed","Sun Jun 08 21:03:51 GMT 2025","v1 > Audit trail > Event","Bank User","",""
"","135","No email - Forgot Password","QA|Nova Bank - Infopool","Sun Jun 08 21:03:35 GMT 2025","passed","Sun Jun 08 21:03:35 GMT 2025","v1 > Auth > Forgot password > Initiate forget password","Bank User","",""
"","128","Update profile - No Auth","QA|Nova Bank - Infopool","Sun Jun 08 21:03:50 GMT 2025","passed","Sun Jun 08 21:03:50 GMT 2025","v1 > Profile > update profile image","Bank User","",""
"","154","Add Comment to Issue","QA|Nova Bank - Infopool","Sun Jun 08 21:04:00 GMT 2025","failed","Sun Jun 08 21:04:00 GMT 2025","v1 > Customer 360 > Issues > add comment to an issue","Bank User","",""
"","79","Create organization - business manager ID does not exist","QA|Nova Bank - Infopool","Sun Jun 08 21:05:20 GMT 2025","passed","Sun Jun 08 21:05:20 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","80","No Auth - Fetch Customers Accounts","QA|Nova Bank - Infopool","Sun Jun 08 21:05:17 GMT 2025","passed","Sun Jun 08 21:05:17 GMT 2025","v1 > Customer 360 > Fetch customer accounts","Bank User","",""
"","77","Create organization - empty street value","QA|Nova Bank - Infopool","Sun Jun 08 21:05:21 GMT 2025","passed","Sun Jun 08 21:05:21 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
