"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","252","verifyOTP","QA|Nova Bank - Infopool","Sun Jun 08 21:15:37 GMT 2025","passed","Sun Jun 08 21:15:37 GMT 2025","v1 > Auth > Session > verify OTP","Bank User","",""
"Delete a report (soft delete)","56","Delete Report -No auth","QA|Nova Bank - Infopool","Sun Jun 08 21:17:15 GMT 2025","failed","Sun Jun 08 21:17:15 GMT 2025","v1 > Report > Delete Report","Bank Admin","",""
"","36","Update organization details by ID - successful","QA|Nova Bank - Infopool","Sun Jun 08 21:17:12 GMT 2025","passed","Sun Jun 08 21:17:12 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","38","No_auth_add_comments","QA|Nova Bank - Infopool","Sun Jun 08 21:15:55 GMT 2025","passed","Sun Jun 08 21:15:55 GMT 2025","v1 > Customer 360 > Comments > add comment to customer","Bank User","",""
"","35","Create organization - empty mis code","QA|Nova Bank - Infopool","Sun Jun 08 21:17:11 GMT 2025","passed","Sun Jun 08 21:17:11 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","93","duplicate corporate Adjustment","QA|Nova Bank - Infopool","Sun Jun 08 21:17:25 GMT 2025","passed","Sun Jun 08 21:17:25 GMT 2025","","corporate Adjustment","",""
"Create a new report","67","Create Report","QA|Nova Bank - Infopool","Sun Jun 08 21:17:15 GMT 2025","failed","Sun Jun 08 21:17:15 GMT 2025","v1 > Report > Create Report","Bank Admin","",""
"","43","Invalid authentication - Send user invitation token","QA|Nova Bank - Infopool","Sun Jun 08 21:15:52 GMT 2025","passed","Sun Jun 08 21:15:52 GMT 2025","v1 > Onboarding > Complete profile","Bank User","",""
"","121","verify OTP","QA|Nova Bank - Infopool","Sun Jun 08 21:15:40 GMT 2025","passed","Sun Jun 08 21:15:40 GMT 2025","v1 > Auth > MFA > Verify","Bank User","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","50","Invalid Channel - Get Email or SMS OTP","QA|Nova Bank - Infopool","Sun Jun 08 21:15:39 GMT 2025","passed","Sun Jun 08 21:15:39 GMT 2025","v1 > Auth > MFA > Request","Bank User","",""
"","35","successful dashboard embed","QA|Nova Bank - Infopool","Sun Jun 08 21:17:10 GMT 2025","passed","Sun Jun 08 21:17:10 GMT 2025","embed dashboard","Bank User","",""
"","40","Update organization details by ID - incorrect business manager ID","QA|Nova Bank - Infopool","Sun Jun 08 21:17:12 GMT 2025","passed","Sun Jun 08 21:17:12 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","34","No auth - Fetch sub-organizations of a parent organization","QA|Nova Bank - Infopool","Sun Jun 08 21:17:12 GMT 2025","passed","Sun Jun 08 21:17:12 GMT 2025","v1 > Organizations > Sub-organizations > Fetch sub-organizations","Bank Admin","",""
"","226","audit-search","QA|Nova Bank - Infopool","Sun Jun 08 21:15:48 GMT 2025","passed","Sun Jun 08 21:15:48 GMT 2025","v1 > Audit trail > Audit trail","Bank User","",""
"","37","No Auth - Fetch Customers Channels","QA|Nova Bank - Infopool","Sun Jun 08 21:17:10 GMT 2025","passed","Sun Jun 08 21:17:10 GMT 2025","v1 > Customer 360 > Fetch customer channel","Bank User","",""
"","35","Update user - empty action field","QA|Nova Bank - Infopool","Sun Jun 08 21:17:11 GMT 2025","passed","Sun Jun 08 21:17:11 GMT 2025","v1 > Users > Update user","Bank Admin","",""
"","35","Fetch all organizations","QA|Nova Bank - Infopool","Sun Jun 08 21:17:11 GMT 2025","passed","Sun Jun 08 21:17:11 GMT 2025","v1 > Organizations > Fetch organization","Bank Admin","",""
"","34","Remove user from an organization - successful","QA|Nova Bank - Infopool","Sun Jun 08 21:17:12 GMT 2025","passed","Sun Jun 08 21:17:12 GMT 2025","v1 > Organizations > Users > Remove users from an organization","Bank Admin","",""
"Get a specific report by ID","131","Get Report by UUID","QA|Nova Bank - Infopool","Sun Jun 08 21:17:14 GMT 2025","failed","Sun Jun 08 21:17:14 GMT 2025","v1 > Report > Get Report by UUID","Bank Admin","",""
"Update an existing report","229","Update Report","QA|Nova Bank - Infopool","Sun Jun 08 21:17:15 GMT 2025","passed","Sun Jun 08 21:17:15 GMT 2025","v1 > Report > Update Report","Bank Admin","",""
"","33","Get role by ID - successful","QA|Nova Bank - Infopool","Sun Jun 08 21:17:13 GMT 2025","passed","Sun Jun 08 21:17:13 GMT 2025","v1 > Roles > Get role by ID","Bank Admin","",""
"","36","Update role status - role does not exist","QA|Nova Bank - Infopool","Sun Jun 08 21:17:13 GMT 2025","passed","Sun Jun 08 21:17:13 GMT 2025","v1 > Roles > Update role","Bank Admin","",""
"","154","Invalid ID - Add Comment to Customer","QA|Nova Bank - Infopool","Sun Jun 08 21:15:55 GMT 2025","passed","Sun Jun 08 21:15:55 GMT 2025","v1 > Customer 360 > Comments > add comment to customer","Bank User","",""
