"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify TOTP or OTP. For OTP, you need to provide either `email` or `phone` as the recipient if you are not logged in.
    Make sure the operation matches the one used to generate the OTP.

    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE
    ","166","Invalid OTP - Verify MFA code, MFA backup code, Email or SMS OTP","QA|Nova Bank - Infopool","Sun Jun 08 21:18:37 GMT 2025","failed","Sun Jun 08 21:18:37 GMT 2025","v1 > Auth > MFA > Verify","Bank User","",""
"","36","Get role by ID - no auth","QA|Nova Bank - Infopool","Sun Jun 08 21:20:12 GMT 2025","passed","Sun Jun 08 21:20:12 GMT 2025","v1 > Roles > Get role by ID","Bank Admin","",""
"","39","Update Customer Comment Copy","QA|Nova Bank - Infopool","Sun Jun 08 21:18:54 GMT 2025","passed","Sun Jun 08 21:18:54 GMT 2025","v1 > Customer 360 > Comments > update comment to customer","Bank User","",""
"","37","Create roles","QA|Nova Bank - Infopool","Sun Jun 08 21:20:11 GMT 2025","passed","Sun Jun 08 21:20:12 GMT 2025","v1 > Roles > Create role","Bank Admin","",""
"","2395","Get Report Data - Dashboard","QA|Nova Bank - Infopool","Sun Jun 08 21:20:16 GMT 2025","passed","Sun Jun 08 21:20:18 GMT 2025","v1 > Report > Get Report Data","Bank Admin","",""
"","240","Invalid ID -Get Issue by ID","QA|Nova Bank - Infopool","Sun Jun 08 21:18:52 GMT 2025","passed","Sun Jun 08 21:18:52 GMT 2025","v1 > Customer 360 > Issues > get issue by Id","Bank User","",""
"","462","Get Report Data - Question","QA|Nova Bank - Infopool","Sun Jun 08 21:20:15 GMT 2025","failed","Sun Jun 08 21:20:16 GMT 2025","v1 > Report > Get Report Data","Bank Admin","",""
"","33","No auth - get user role","QA|Nova Bank - Infopool","Sun Jun 08 21:20:10 GMT 2025","passed","Sun Jun 08 21:20:10 GMT 2025","v1 > Users > Role > Get role","Bank Admin","",""
"","36","No auth - update role","QA|Nova Bank - Infopool","Sun Jun 08 21:20:10 GMT 2025","passed","Sun Jun 08 21:20:10 GMT 2025","v1 > Users > Role > Update role","Bank Admin","",""
"","237","No auth - Create a New Issue","QA|Nova Bank - Infopool","Sun Jun 08 21:18:51 GMT 2025","passed","Sun Jun 08 21:18:51 GMT 2025","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
"","244","audit trail","QA|Nova Bank - Infopool","Sun Jun 08 21:18:43 GMT 2025","passed","Sun Jun 08 21:18:43 GMT 2025","v1 > Audit trail > Audit trail","Bank User","",""
"","69","duplicate corporate Adjustment","QA|Nova Bank - Infopool","Sun Jun 08 21:20:25 GMT 2025","passed","Sun Jun 08 21:20:25 GMT 2025","","corporate Adjustment","",""
"","275","Create a New Issue","QA|Nova Bank - Infopool","Sun Jun 08 21:18:50 GMT 2025","failed","Sun Jun 08 21:18:51 GMT 2025","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
"","35","No auth - Fetch all users in an organization","QA|Nova Bank - Infopool","Sun Jun 08 21:20:11 GMT 2025","passed","Sun Jun 08 21:20:11 GMT 2025","v1 > Organizations > Users > Fetch users in an organization","Bank Admin","",""
"Get a specific report by ID","75","Get Report by ID","QA|Nova Bank - Infopool","Sun Jun 08 21:20:13 GMT 2025","passed","Sun Jun 08 21:20:13 GMT 2025","v1 > Report > Get Report by Id","Bank Admin","",""
"","36","Get roles - successful","QA|Nova Bank - Infopool","Sun Jun 08 21:20:11 GMT 2025","passed","Sun Jun 08 21:20:11 GMT 2025","v1 > Roles > Get roles","Bank Admin","",""
"","37","Get single definition","QA|Nova Bank - Infopool","Sun Jun 08 21:20:09 GMT 2025","passed","Sun Jun 08 21:20:09 GMT 2025","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"","35","No auth - get all category","QA|Nova Bank - Infopool","Sun Jun 08 21:20:12 GMT 2025","passed","Sun Jun 08 21:20:12 GMT 2025","v1 > Notifications > Category > Fetch all category","Bank Admin","",""
"","35","Get roles - No Auth","QA|Nova Bank - Infopool","Sun Jun 08 21:20:11 GMT 2025","passed","Sun Jun 08 21:20:11 GMT 2025","v1 > Roles > Get roles","Bank Admin","",""
"","45","No Auth - Fetch Customers Transactions","QA|Nova Bank - Infopool","Sun Jun 08 21:18:59 GMT 2025","passed","Sun Jun 08 21:18:59 GMT 2025","v1 > Customer 360 > Fetch customers transaction","Bank User","",""
"Get a paginated list of reports with optional filtering","35","Get Report Objects - Question","QA|Nova Bank - Infopool","Sun Jun 08 21:20:12 GMT 2025","passed","Sun Jun 08 21:20:12 GMT 2025","v1 > Report > Get Report Object","Bank Admin","",""
"Get a specific report by ID","121","Get Report by ID - No auth","QA|Nova Bank - Infopool","Sun Jun 08 21:20:13 GMT 2025","passed","Sun Jun 08 21:20:13 GMT 2025","v1 > Report > Get Report by Id","Bank Admin","",""
"","1256","Change password - successful","QA|Nova Bank - Infopool","Sun Jun 08 21:18:38 GMT 2025","passed","Sun Jun 08 21:18:39 GMT 2025","v1 > Profile > Password","Bank User","",""
"","38","Invalid ID - Get single definition","QA|Nova Bank - Infopool","Sun Jun 08 21:20:09 GMT 2025","passed","Sun Jun 08 21:20:09 GMT 2025","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"","238","verify OTP","QA|Nova Bank - Infopool","Sun Jun 08 21:18:37 GMT 2025","passed","Sun Jun 08 21:18:38 GMT 2025","v1 > Auth > MFA > Verify","Bank User","",""
"","56","No Auth - Get profile roles - successful","QA|Nova Bank - Infopool","Sun Jun 08 21:18:38 GMT 2025","passed","Sun Jun 08 21:18:38 GMT 2025","v1 > Profile > Roles","Bank User","",""
"","36","managers","QA|Nova Bank - Infopool","Sun Jun 08 21:20:11 GMT 2025","passed","Sun Jun 08 21:20:11 GMT 2025","v1 > Organizations > Managers > Fetch managers of an organization","Bank Admin","",""
"","39","Create roles - No auth","QA|Nova Bank - Infopool","Sun Jun 08 21:20:12 GMT 2025","passed","Sun Jun 08 21:20:12 GMT 2025","v1 > Roles > Create role","Bank Admin","",""
"","37","Update organization details by ID - name already exists","QA|Nova Bank - Infopool","Sun Jun 08 21:20:11 GMT 2025","passed","Sun Jun 08 21:20:11 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","36","Remove user from an organization - user ID does not exist","QA|Nova Bank - Infopool","Sun Jun 08 21:20:11 GMT 2025","passed","Sun Jun 08 21:20:11 GMT 2025","v1 > Organizations > Users > Remove users from an organization","Bank Admin","",""
"","38","Get profile roles - No Auth","QA|Nova Bank - Infopool","Sun Jun 08 21:18:38 GMT 2025","passed","Sun Jun 08 21:18:38 GMT 2025","v1 > Profile > Roles","Bank User","",""
"","35","Fetch sub-organizations of a parent organization","QA|Nova Bank - Infopool","Sun Jun 08 21:20:11 GMT 2025","passed","Sun Jun 08 21:20:11 GMT 2025","v1 > Organizations > Sub-organizations > Fetch sub-organizations","Bank Admin","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","130","Invalid Operation - Get Email or SMS OTP","QA|Nova Bank - Infopool","Sun Jun 08 21:18:37 GMT 2025","passed","Sun Jun 08 21:18:37 GMT 2025","v1 > Auth > MFA > Request","Bank User","",""
"","33","category by id","QA|Nova Bank - Infopool","Sun Jun 08 21:20:12 GMT 2025","passed","Sun Jun 08 21:20:12 GMT 2025","v1 > Notifications > Category > Fetch category by d","Bank Admin","",""
"","36","Update role status - role does not exist","QA|Nova Bank - Infopool","Sun Jun 08 21:20:12 GMT 2025","passed","Sun Jun 08 21:20:12 GMT 2025","v1 > Roles > Update role","Bank Admin","",""
