"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","76","successful dashboard embed","QA|Nova Bank - Infopool","Sun Jun 08 21:29:41 GMT 2025","passed","Sun Jun 08 21:29:41 GMT 2025","embed dashboard","Bank User","",""
"","78","Fetch user by ID - no auth","QA|Nova Bank - Infopool","Sun Jun 08 21:29:41 GMT 2025","passed","Sun Jun 08 21:29:42 GMT 2025","v1 > Users > Fetch user by ID","Bank Admin","",""
"","830","Change password - successful","QA|Nova Bank - Infopool","Sun Jun 08 21:27:58 GMT 2025","passed","Sun Jun 08 21:27:59 GMT 2025","v1 > Profile > Password","Bank User","",""
"","82","Update profile - No Auth","QA|Nova Bank - Infopool","Sun Jun 08 21:28:09 GMT 2025","passed","Sun Jun 08 21:28:09 GMT 2025","v1 > Profile > update profile image","Bank User","",""
"","76","No auth - update role","QA|Nova Bank - Infopool","Sun Jun 08 21:29:43 GMT 2025","passed","Sun Jun 08 21:29:43 GMT 2025","v1 > Users > Role > Update role","Bank Admin","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","139","Empty Channel - Get Email or SMS OTP","QA|Nova Bank - Infopool","Sun Jun 08 21:27:57 GMT 2025","passed","Sun Jun 08 21:27:57 GMT 2025","v1 > Auth > MFA > Request","Bank User","",""
"","155","Invalid name - Search Customers","QA|Nova Bank - Infopool","Sun Jun 08 21:28:25 GMT 2025","failed","Sun Jun 08 21:28:25 GMT 2025","v1 > Customer 360 > Search for a customer > search by name","Bank User","",""
"","136","Invalid attachment id - Delete Attachment from Issue","QA|Nova Bank - Infopool","Sun Jun 08 21:28:23 GMT 2025","failed","Sun Jun 08 21:28:23 GMT 2025","v1 > Customer 360 > Issues > delete attachment to an issue","Bank User","",""
"","153","No Auth - Get Issue by ID","QA|Nova Bank - Infopool","Sun Jun 08 21:28:18 GMT 2025","passed","Sun Jun 08 21:28:18 GMT 2025","v1 > Customer 360 > Issues > get issue by Id","Bank User","",""
"","236","Delete organization details by ID - successful","QA|Nova Bank - Infopool","Sun Jun 08 21:29:45 GMT 2025","passed","Sun Jun 08 21:29:45 GMT 2025","v1 > Organizations > Delete organization","Bank Admin","",""
"","75","ID does not exist - Get single definition","QA|Nova Bank - Infopool","Sun Jun 08 21:29:41 GMT 2025","passed","Sun Jun 08 21:29:41 GMT 2025","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"","163","Invalid token - Validate user invitation token","QA|Nova Bank - Infopool","Sun Jun 08 21:28:11 GMT 2025","passed","Sun Jun 08 21:28:11 GMT 2025","v1 > Onboarding > Validate invitation","Bank User","",""
"","78","Role does not exist - update role","QA|Nova Bank - Infopool","Sun Jun 08 21:29:43 GMT 2025","passed","Sun Jun 08 21:29:43 GMT 2025","v1 > Users > Role > Update role","Bank Admin","",""
"","315","Get events - invalid end date","QA|Nova Bank - Infopool","Sun Jun 08 21:28:10 GMT 2025","passed","Sun Jun 08 21:28:10 GMT 2025","v1 > Audit trail > Event","Bank User","",""
"","85","No email - Forgot Password","QA|Nova Bank - Infopool","Sun Jun 08 21:27:54 GMT 2025","passed","Sun Jun 08 21:27:54 GMT 2025","v1 > Auth > Forgot password > Initiate forget password","Bank User","",""
"","76","Create organization - no country ID","QA|Nova Bank - Infopool","Sun Jun 08 21:29:43 GMT 2025","passed","Sun Jun 08 21:29:43 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","154","Invalid Channel - Get Email or SMS OTP","QA|Nova Bank - Infopool","Sun Jun 08 21:27:56 GMT 2025","passed","Sun Jun 08 21:27:57 GMT 2025","v1 > Auth > MFA > Request","Bank User","",""
