"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","38","Fetch Customers Channels","QA|Nova Bank - Infopool","Sun Jun 08 21:44:33 GMT 2025","passed","Sun Jun 08 21:44:33 GMT 2025","v1 > Customer 360 > Fetch customer channel","Bank User","",""
"","38","No auth - Delete Attachment from Issue","QA|Nova Bank - Infopool","Sun Jun 08 21:43:14 GMT 2025","failed","Sun Jun 08 21:43:14 GMT 2025","v1 > Customer 360 > Issues > delete attachment to an issue","Bank User","",""
"","92","Invalid ID - Update Customer Comment","QA|Nova Bank - Infopool","Sun Jun 08 21:43:15 GMT 2025","failed","Sun Jun 08 21:43:15 GMT 2025","v1 > Customer 360 > Comments > update comment to customer","Bank User","",""
"","34","Role does not exist - update role","QA|Nova Bank - Infopool","Sun Jun 08 21:44:34 GMT 2025","passed","Sun Jun 08 21:44:34 GMT 2025","v1 > Users > Role > Update role","Bank Admin","",""
"","33","Update user - invalid action","QA|Nova Bank - Infopool","Sun Jun 08 21:44:34 GMT 2025","passed","Sun Jun 08 21:44:34 GMT 2025","v1 > Users > Update user","Bank Admin","",""
"","34","Remove user from an organization - successful","QA|Nova Bank - Infopool","Sun Jun 08 21:44:36 GMT 2025","passed","Sun Jun 08 21:44:36 GMT 2025","v1 > Organizations > Users > Remove users from an organization","Bank Admin","",""
"","2659","Fetch Customers Transactions","QA|Nova Bank - Infopool","Sun Jun 08 21:43:18 GMT 2025","passed","Sun Jun 08 21:43:20 GMT 2025","v1 > Customer 360 > Fetch customers transaction","Bank User","",""
"","97","Export Report Data - No auth","QA|Nova Bank - Infopool","Sun Jun 08 21:44:37 GMT 2025","passed","Sun Jun 08 21:44:38 GMT 2025","v1 > Report > Export Report Data","Bank Admin","",""
"","33","Create organization - no country ID","QA|Nova Bank - Infopool","Sun Jun 08 21:44:34 GMT 2025","passed","Sun Jun 08 21:44:35 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","34","ID does not exist - Get single definition","QA|Nova Bank - Infopool","Sun Jun 08 21:44:33 GMT 2025","passed","Sun Jun 08 21:44:33 GMT 2025","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"","33","Update role status - role does not exist","QA|Nova Bank - Infopool","Sun Jun 08 21:44:36 GMT 2025","passed","Sun Jun 08 21:44:36 GMT 2025","v1 > Roles > Update role","Bank Admin","",""
"Get a specific report by ID","34","Get Report by UUID","QA|Nova Bank - Infopool","Sun Jun 08 21:44:37 GMT 2025","passed","Sun Jun 08 21:44:37 GMT 2025","v1 > Report > Get Report by UUID","Bank Admin","",""
"","32","Delete organization details by ID -Invalid Id","QA|Nova Bank - Infopool","Sun Jun 08 21:44:35 GMT 2025","passed","Sun Jun 08 21:44:35 GMT 2025","v1 > Organizations > Delete organization","Bank Admin","",""
"Update an existing report","29","Update Report","QA|Nova Bank - Infopool","Sun Jun 08 21:44:37 GMT 2025","passed","Sun Jun 08 21:44:37 GMT 2025","v1 > Report > Update Report","Bank Admin","",""
"","66242","Generator Customers Transactions Statement - PDF","QA|Nova Bank - Infopool","Sun Jun 08 21:43:24 GMT 2025","passed","Sun Jun 08 21:44:30 GMT 2025","v1 > Customer 360 > Generate customers transaction statement","Bank User","",""
"","34","Fetch all users","QA|Nova Bank - Infopool","Sun Jun 08 21:44:34 GMT 2025","passed","Sun Jun 08 21:44:34 GMT 2025","v1 > Users > Fetch users","Bank Admin","",""
"","36","Get roles - successful","QA|Nova Bank - Infopool","Sun Jun 08 21:44:36 GMT 2025","passed","Sun Jun 08 21:44:36 GMT 2025","v1 > Roles > Get roles","Bank Admin","",""
"Get a specific report by ID","32","Get Report by UUID - Invalid uuid","QA|Nova Bank - Infopool","Sun Jun 08 21:44:37 GMT 2025","passed","Sun Jun 08 21:44:37 GMT 2025","v1 > Report > Get Report by UUID","Bank Admin","",""
"Get a paginated list of reports with optional filtering","33","Get Reports Stats - No Auth","QA|Nova Bank - Infopool","Sun Jun 08 21:44:37 GMT 2025","passed","Sun Jun 08 21:44:37 GMT 2025","v1 > Report > Get Report Stats","Bank Admin","",""
"","32","Get all definitions","QA|Nova Bank - Infopool","Sun Jun 08 21:44:33 GMT 2025","passed","Sun Jun 08 21:44:33 GMT 2025","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
