"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","76","No Auth - Fetch all users","QA|Nova Bank - Infopool","Sun Jun 08 21:57:12 GMT 2025","passed","Sun Jun 08 21:57:12 GMT 2025","v1 > Users > Fetch users","Bank Admin","",""
"","161","Empty current password - Change password","QA|Nova Bank - Infopool","Sun Jun 08 21:55:31 GMT 2025","passed","Sun Jun 08 21:55:31 GMT 2025","v1 > Profile > Password","Bank User","",""
"","83","Update organization details by ID - incorrect operation manager ID","QA|Nova Bank - Infopool","Sun Jun 08 21:57:15 GMT 2025","failed","Sun Jun 08 21:57:15 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","83","No Auth - Fetch Customers Transactions","QA|Nova Bank - Infopool","Sun Jun 08 21:56:01 GMT 2025","passed","Sun Jun 08 21:56:01 GMT 2025","v1 > Customer 360 > Fetch customers transaction","Bank User","",""
"","466","Invalid credentials","QA|Nova Bank - Infopool","Sun Jun 08 21:55:16 GMT 2025","passed","Sun Jun 08 21:55:17 GMT 2025","v1 > Auth > Session > Login","Bank User","",""
"","78","Invalid ID - Get single definition","QA|Nova Bank - Infopool","Sun Jun 08 21:57:11 GMT 2025","passed","Sun Jun 08 21:57:11 GMT 2025","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","138","Empty Operation - Get Email or SMS OTP","QA|Nova Bank - Infopool","Sun Jun 08 21:55:26 GMT 2025","passed","Sun Jun 08 21:55:26 GMT 2025","v1 > Auth > MFA > Request","Bank User","",""
"","76","update role","QA|Nova Bank - Infopool","Sun Jun 08 21:57:13 GMT 2025","passed","Sun Jun 08 21:57:13 GMT 2025","v1 > Users > Role > Update role","Bank Admin","",""
"","134","Invalid Id - Update Issue","QA|Nova Bank - Infopool","Sun Jun 08 21:55:52 GMT 2025","failed","Sun Jun 08 21:55:52 GMT 2025","v1 > Customer 360 > Issues > update issue","Bank User","",""
"","264","Invalid ID - Update Customer Comment","QA|Nova Bank - Infopool","Sun Jun 08 21:55:55 GMT 2025","failed","Sun Jun 08 21:55:55 GMT 2025","v1 > Customer 360 > Comments > update comment to customer","Bank User","",""
"","170","Fetch all users in an organization","QA|Nova Bank - Infopool","Sun Jun 08 21:57:16 GMT 2025","passed","Sun Jun 08 21:57:16 GMT 2025","v1 > Organizations > Users > Fetch users in an organization","Bank Admin","",""
"","135","Update profile - No Auth","QA|Nova Bank - Infopool","Sun Jun 08 21:55:39 GMT 2025","passed","Sun Jun 08 21:55:40 GMT 2025","v1 > Profile > update profile image","Bank User","",""
"","3189","No Auth - Get Issue by ID","QA|Nova Bank - Infopool","Sun Jun 08 21:55:46 GMT 2025","passed","Sun Jun 08 21:55:49 GMT 2025","v1 > Customer 360 > Issues > get issue by Id","Bank User","",""
"","85","Update Issue","QA|Nova Bank - Infopool","Sun Jun 08 21:55:49 GMT 2025","failed","Sun Jun 08 21:55:49 GMT 2025","v1 > Customer 360 > Issues > update issue","Bank User","",""
"","113","Get profile roles - No Auth","QA|Nova Bank - Infopool","Sun Jun 08 21:55:27 GMT 2025","passed","Sun Jun 08 21:55:28 GMT 2025","v1 > Profile > Roles","Bank User","",""
"","334","resend_invitation_toUser","QA|Nova Bank - Infopool","Sun Jun 08 21:55:42 GMT 2025","passed","Sun Jun 08 21:55:42 GMT 2025","v1 > Onboarding > Validate invitation","Bank User","",""
"","351","Forgot password - successful","QA|Nova Bank - Infopool","Sun Jun 08 21:55:24 GMT 2025","failed","Sun Jun 08 21:55:24 GMT 2025","v1 > Auth > Forgot password > Initiate forget password","Bank User","",""
"","254","add_comment_successfully","QA|Nova Bank - Infopool","Sun Jun 08 21:55:54 GMT 2025","passed","Sun Jun 08 21:55:54 GMT 2025","v1 > Customer 360 > Comments > add comment to customer","Bank User","",""
"","138","No auth - Create a New Issue","QA|Nova Bank - Infopool","Sun Jun 08 21:55:44 GMT 2025","passed","Sun Jun 08 21:55:44 GMT 2025","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","155","Invalid Auth - Empty Channel - Get Email or SMS OTP","QA|Nova Bank - Infopool","Sun Jun 08 21:55:27 GMT 2025","passed","Sun Jun 08 21:55:27 GMT 2025","v1 > Auth > MFA > Request","Bank User","",""
"","344","Get events - successful","QA|Nova Bank - Infopool","Sun Jun 08 21:55:40 GMT 2025","passed","Sun Jun 08 21:55:40 GMT 2025","v1 > Audit trail > Event","Bank User","",""
