"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","34","No auth - Update role status","QA|Nova Bank - Infopool","Sun Jun 08 22:11:59 GMT 2025","passed","Sun Jun 08 22:11:59 GMT 2025","v1 > Roles > Update role","Bank Admin","",""
"","43","Invalid ID - Delete Customer Comment","QA|Nova Bank - Infopool","Sun Jun 08 22:10:39 GMT 2025","passed","Sun Jun 08 22:10:39 GMT 2025","v1 > Customer 360 > Comments > delete customer comment","Bank User","",""
"","61","Delete Attachment from Issue","QA|Nova Bank - Infopool","Sun Jun 08 22:10:37 GMT 2025","failed","Sun Jun 08 22:10:37 GMT 2025","v1 > Customer 360 > Issues > delete attachment to an issue","Bank User","",""
"","37","No Auth - Search Customers","QA|Nova Bank - Infopool","Sun Jun 08 22:10:39 GMT 2025","passed","Sun Jun 08 22:10:39 GMT 2025","v1 > Customer 360 > Search for a customer > search by phone number","Bank User","",""
"","428","Empty issue - Create a New Issue","QA|Nova Bank - Infopool","Sun Jun 08 22:10:35 GMT 2025","passed","Sun Jun 08 22:10:35 GMT 2025","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
"","29","Fetch user by ID - ID does not exist","QA|Nova Bank - Infopool","Sun Jun 08 22:11:57 GMT 2025","passed","Sun Jun 08 22:11:57 GMT 2025","v1 > Users > Fetch user by ID","Bank Admin","",""
"","29","Role does not exist - update role","QA|Nova Bank - Infopool","Sun Jun 08 22:11:58 GMT 2025","passed","Sun Jun 08 22:11:58 GMT 2025","v1 > Users > Role > Update role","Bank Admin","",""
"","153","Invalid ID - Update Customer Comment","QA|Nova Bank - Infopool","Sun Jun 08 22:10:38 GMT 2025","failed","Sun Jun 08 22:10:38 GMT 2025","v1 > Customer 360 > Comments > update comment to customer","Bank User","",""
"","30","Update user - no auth","QA|Nova Bank - Infopool","Sun Jun 08 22:11:58 GMT 2025","passed","Sun Jun 08 22:11:58 GMT 2025","v1 > Users > Update user","Bank Admin","",""
"Get a specific report by ID","29","Get Report by ID","QA|Nova Bank - Infopool","Sun Jun 08 22:12:00 GMT 2025","passed","Sun Jun 08 22:12:00 GMT 2025","v1 > Report > Get Report by Id","Bank Admin","",""
"","28","Logout session - no session","QA|Nova Bank - Infopool","Sun Jun 08 22:12:00 GMT 2025","passed","Sun Jun 08 22:12:00 GMT 2025","v1 > Logout","Bank Admin","",""
"","30","Create organization - empty street value","QA|Nova Bank - Infopool","Sun Jun 08 22:11:58 GMT 2025","passed","Sun Jun 08 22:11:58 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","29","Create organization - empty city value","QA|Nova Bank - Infopool","Sun Jun 08 22:11:58 GMT 2025","passed","Sun Jun 08 22:11:58 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","40","Empty password - Send user invitation token","QA|Nova Bank - Infopool","Sun Jun 08 22:10:34 GMT 2025","passed","Sun Jun 08 22:10:34 GMT 2025","v1 > Onboarding > Complete profile","Bank User","",""
"","29","Get permission by ID - successful","QA|Nova Bank - Infopool","Sun Jun 08 22:12:00 GMT 2025","passed","Sun Jun 08 22:12:00 GMT 2025","v1 > Permissions > Get permission by ID","Bank Admin","",""
"","30","Update organization details by ID - empty name","QA|Nova Bank - Infopool","Sun Jun 08 22:11:59 GMT 2025","passed","Sun Jun 08 22:11:59 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","29","No auth - managers","QA|Nova Bank - Infopool","Sun Jun 08 22:11:59 GMT 2025","passed","Sun Jun 08 22:11:59 GMT 2025","v1 > Organizations > Managers > Fetch managers of an organization","Bank Admin","",""
"Update an existing report","25","Update Report","QA|Nova Bank - Infopool","Sun Jun 08 22:12:00 GMT 2025","passed","Sun Jun 08 22:12:00 GMT 2025","v1 > Report > Update Report","Bank Admin","",""
"","259","Update Customer Comment","QA|Nova Bank - Infopool","Sun Jun 08 22:10:38 GMT 2025","failed","Sun Jun 08 22:10:38 GMT 2025","v1 > Customer 360 > Comments > update comment to customer","Bank User","",""
"","53","No Auth - Delete Customer Comment","QA|Nova Bank - Infopool","Sun Jun 08 22:10:39 GMT 2025","passed","Sun Jun 08 22:10:39 GMT 2025","v1 > Customer 360 > Comments > delete customer comment","Bank User","",""
"","949","Fetch Customer's Financial Summary","QA|Nova Bank - Infopool","Sun Jun 08 22:10:40 GMT 2025","passed","Sun Jun 08 22:10:41 GMT 2025","v1 > Customer 360 > Fetch customer's financial summary","Bank User","",""
"","29","Update organization details by ID - incorrect operation manager ID","QA|Nova Bank - Infopool","Sun Jun 08 22:11:59 GMT 2025","passed","Sun Jun 08 22:11:59 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","3133","audit trail - No Auth","QA|Nova Bank - Infopool","Sun Jun 08 22:10:27 GMT 2025","passed","Sun Jun 08 22:10:30 GMT 2025","v1 > Audit trail > Audit trail","Bank User","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","263","Get Email or SMS OTP","QA|Nova Bank - Infopool","Sun Jun 08 22:10:21 GMT 2025","passed","Sun Jun 08 22:10:21 GMT 2025","v1 > Auth > MFA > Request","Bank User","",""
"","28","No auth - Fetch all users in an organization","QA|Nova Bank - Infopool","Sun Jun 08 22:11:59 GMT 2025","passed","Sun Jun 08 22:11:59 GMT 2025","v1 > Organizations > Users > Fetch users in an organization","Bank Admin","",""
