"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","52","Role does not exist - update role","QA|Nova Bank - Infopool","Sun Jun 08 22:15:18 GMT 2025","passed","Sun Jun 08 22:15:18 GMT 2025","v1 > Users > Role > Update role","Bank Admin","",""
"","52","Create organization - business manager ID does not exist","QA|Nova Bank - Infopool","Sun Jun 08 22:15:19 GMT 2025","passed","Sun Jun 08 22:15:19 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","52","Create organization - empty mis code","QA|Nova Bank - Infopool","Sun Jun 08 22:15:19 GMT 2025","passed","Sun Jun 08 22:15:19 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","52","No Auth - Fetch Customers Channels","QA|Nova Bank - Infopool","Sun Jun 08 22:15:17 GMT 2025","passed","Sun Jun 08 22:15:17 GMT 2025","v1 > Customer 360 > Fetch customer channel","Bank User","",""
"","53","Fetch all organizations","QA|Nova Bank - Infopool","Sun Jun 08 22:15:19 GMT 2025","passed","Sun Jun 08 22:15:19 GMT 2025","v1 > Organizations > Fetch organization","Bank Admin","",""
"","922","reset password","QA|Nova Bank - Infopool","Sun Jun 08 22:13:33 GMT 2025","passed","Sun Jun 08 22:13:34 GMT 2025","v1 > Auth > Forgot password > Reset password","Bank User","",""
"","259","Get roles - successful","QA|Nova Bank - Infopool","Sun Jun 08 22:15:21 GMT 2025","passed","Sun Jun 08 22:15:21 GMT 2025","v1 > Roles > Get roles","Bank Admin","",""
"","136","Get profile roles - No Auth","QA|Nova Bank - Infopool","Sun Jun 08 22:13:35 GMT 2025","passed","Sun Jun 08 22:13:35 GMT 2025","v1 > Profile > Roles","Bank User","",""
"","102","audit trail - No Auth","QA|Nova Bank - Infopool","Sun Jun 08 22:13:47 GMT 2025","passed","Sun Jun 08 22:13:47 GMT 2025","v1 > Audit trail > Audit trail","Bank User","",""
"","53","Fetch Customers Channels","QA|Nova Bank - Infopool","Sun Jun 08 22:15:17 GMT 2025","passed","Sun Jun 08 22:15:17 GMT 2025","v1 > Customer 360 > Fetch customer channel","Bank User","",""
"","54","Update organization details by ID - incorrect operation manager ID","QA|Nova Bank - Infopool","Sun Jun 08 22:15:20 GMT 2025","passed","Sun Jun 08 22:15:20 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","133","No Auth - Fetch Customer Comments","QA|Nova Bank - Infopool","Sun Jun 08 22:14:01 GMT 2025","passed","Sun Jun 08 22:14:01 GMT 2025","v1 > Customer 360 > Comments > fetch customer comment","Bank User","",""
"","395","audit trail","QA|Nova Bank - Infopool","Sun Jun 08 22:13:47 GMT 2025","passed","Sun Jun 08 22:13:47 GMT 2025","v1 > Audit trail > Audit trail","Bank User","",""
"","138","No Auth - Search Customers","QA|Nova Bank - Infopool","Sun Jun 08 22:14:03 GMT 2025","passed","Sun Jun 08 22:14:03 GMT 2025","v1 > Customer 360 > Search for a customer > search by phone number","Bank User","",""
"","141","Get profile - user not logged in","QA|Nova Bank - Infopool","Sun Jun 08 22:13:38 GMT 2025","passed","Sun Jun 08 22:13:38 GMT 2025","v1 > Profile > Get profile","Bank User","",""
"","52","Invalid ID - Get single definition","QA|Nova Bank - Infopool","Sun Jun 08 22:15:17 GMT 2025","passed","Sun Jun 08 22:15:17 GMT 2025","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"Verify TOTP or OTP. For OTP, you need to provide either `email` or `phone` as the recipient if you are not logged in.
    Make sure the operation matches the one used to generate the OTP.

    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE
    ","355","Invalid OTP - Verify MFA code, MFA backup code, Email or SMS OTP","QA|Nova Bank - Infopool","Sun Jun 08 22:13:35 GMT 2025","failed","Sun Jun 08 22:13:35 GMT 2025","v1 > Auth > MFA > Verify","Bank User","",""
"","138","Update profile - invalid phone number","QA|Nova Bank - Infopool","Sun Jun 08 22:13:42 GMT 2025","passed","Sun Jun 08 22:13:42 GMT 2025","v1 > Profile > Update profile","Bank User","",""
"","52","Add user to an organization - no auth","QA|Nova Bank - Infopool","Sun Jun 08 22:15:20 GMT 2025","passed","Sun Jun 08 22:15:20 GMT 2025","v1 > Organizations > Users > Add users to an organization","Bank Admin","",""
"","54","Fetch user by ID - invalid ID","QA|Nova Bank - Infopool","Sun Jun 08 22:15:18 GMT 2025","passed","Sun Jun 08 22:15:18 GMT 2025","v1 > Users > Fetch user by ID","Bank Admin","",""
"","53","Update definition","QA|Nova Bank - Infopool","Sun Jun 08 22:15:17 GMT 2025","passed","Sun Jun 08 22:15:17 GMT 2025","v1 > Static Definitions > Update definition","Bank Admin","",""
"","253","audit-search","QA|Nova Bank - Infopool","Sun Jun 08 22:13:47 GMT 2025","passed","Sun Jun 08 22:13:47 GMT 2025","v1 > Audit trail > Audit trail","Bank User","",""
"","51","Fetch user by ID - no auth","QA|Nova Bank - Infopool","Sun Jun 08 22:15:17 GMT 2025","passed","Sun Jun 08 22:15:18 GMT 2025","v1 > Users > Fetch user by ID","Bank Admin","",""
"","184","Get all Issues","QA|Nova Bank - Infopool","Sun Jun 08 22:13:51 GMT 2025","failed","Sun Jun 08 22:13:52 GMT 2025","v1 > Customer 360 > Issues > get all issues","Bank User","",""
"","124","Update profile - No Auth","QA|Nova Bank - Infopool","Sun Jun 08 22:13:42 GMT 2025","passed","Sun Jun 08 22:13:42 GMT 2025","v1 > Profile > update profile image","Bank User","",""
"","56","update role","QA|Nova Bank - Infopool","Sun Jun 08 22:15:18 GMT 2025","passed","Sun Jun 08 22:15:18 GMT 2025","v1 > Users > Role > Update role","Bank Admin","",""
"","60","Get events - no auth","QA|Nova Bank - Infopool","Sun Jun 08 22:13:43 GMT 2025","passed","Sun Jun 08 22:13:43 GMT 2025","v1 > Audit trail > Event","Bank User","",""
"","52","ID does not exist - Get single definition","QA|Nova Bank - Infopool","Sun Jun 08 22:15:17 GMT 2025","passed","Sun Jun 08 22:15:17 GMT 2025","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
