"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Get a paginated list of reports with optional filtering","34","Get Reports - No auth","QA|Nova Bank - Infopool","Sun Jun 08 22:18:07 GMT 2025","passed","Sun Jun 08 22:18:07 GMT 2025","v1 > Report > Get Report","Bank Admin","",""
"Create a new report","31","Create Report","QA|Nova Bank - Infopool","Sun Jun 08 22:18:08 GMT 2025","passed","Sun Jun 08 22:18:08 GMT 2025","v1 > Report > Create Report","Bank Admin","",""
"","142","Delete Customer Comment","QA|Nova Bank - Infopool","Sun Jun 08 22:16:52 GMT 2025","passed","Sun Jun 08 22:16:52 GMT 2025","v1 > Customer 360 > Comments > delete customer comment","Bank User","",""
"Get a paginated list of reports with optional filtering","34","Get Reports","QA|Nova Bank - Infopool","Sun Jun 08 22:18:07 GMT 2025","passed","Sun Jun 08 22:18:07 GMT 2025","v1 > Report > Get Report","Bank Admin","",""
"","32","Fetch user by ID - invalid ID","QA|Nova Bank - Infopool","Sun Jun 08 22:18:04 GMT 2025","passed","Sun Jun 08 22:18:05 GMT 2025","v1 > Users > Fetch user by ID","Bank Admin","",""
"","46","No email - Forgot Password","QA|Nova Bank - Infopool","Sun Jun 08 22:16:25 GMT 2025","passed","Sun Jun 08 22:16:25 GMT 2025","v1 > Auth > Forgot password > Initiate forget password","Bank User","",""
"","32","Create organization - empty city value","QA|Nova Bank - Infopool","Sun Jun 08 22:18:05 GMT 2025","passed","Sun Jun 08 22:18:05 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","31","Create roles - No auth","QA|Nova Bank - Infopool","Sun Jun 08 22:18:06 GMT 2025","passed","Sun Jun 08 22:18:07 GMT 2025","v1 > Roles > Create role","Bank Admin","",""
"","33","Create organization - empty mis code","QA|Nova Bank - Infopool","Sun Jun 08 22:18:05 GMT 2025","passed","Sun Jun 08 22:18:05 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","40","Get profile - user not logged in","QA|Nova Bank - Infopool","Sun Jun 08 22:16:31 GMT 2025","passed","Sun Jun 08 22:16:31 GMT 2025","v1 > Profile > Get profile","Bank User","",""
"Get a specific report by ID","32","Get Report by ID - Invalid id","QA|Nova Bank - Infopool","Sun Jun 08 22:18:07 GMT 2025","passed","Sun Jun 08 22:18:08 GMT 2025","v1 > Report > Get Report by Id","Bank Admin","",""
"","299","verify OTP","QA|Nova Bank - Infopool","Sun Jun 08 22:16:27 GMT 2025","passed","Sun Jun 08 22:16:27 GMT 2025","v1 > Auth > MFA > Verify","Bank User","",""
"","152","Invalid ID - Add Comment to Customer","QA|Nova Bank - Infopool","Sun Jun 08 22:16:45 GMT 2025","passed","Sun Jun 08 22:16:45 GMT 2025","v1 > Customer 360 > Comments > add comment to customer","Bank User","",""
"","31","Fetch organizations by ID - successful","QA|Nova Bank - Infopool","Sun Jun 08 22:18:05 GMT 2025","passed","Sun Jun 08 22:18:06 GMT 2025","v1 > Organizations > Fetch organiation by ID","Bank Admin","",""
"","33","Create  organization - without parent id","QA|Nova Bank - Infopool","Sun Jun 08 22:18:05 GMT 2025","passed","Sun Jun 08 22:18:05 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","32","Get Report Data - No auth","QA|Nova Bank - Infopool","Sun Jun 08 22:18:08 GMT 2025","passed","Sun Jun 08 22:18:08 GMT 2025","v1 > Report > Get Report Data","Bank Admin","",""
"","53","Invalid email format","QA|Nova Bank - Infopool","Sun Jun 08 22:16:24 GMT 2025","passed","Sun Jun 08 22:16:24 GMT 2025","v1 > Auth > Session > Login","Bank User","",""
"","33","No Auth - Update definition","QA|Nova Bank - Infopool","Sun Jun 08 22:18:04 GMT 2025","passed","Sun Jun 08 22:18:04 GMT 2025","v1 > Static Definitions > Update definition","Bank Admin","",""
"","42","No Auth - Add attachment to issue","QA|Nova Bank - Infopool","Sun Jun 08 22:16:44 GMT 2025","passed","Sun Jun 08 22:16:44 GMT 2025","v1 > Customer 360 > Issues > add attachment to issue","Bank User","",""
"","34","Export Report Data","QA|Nova Bank - Infopool","Sun Jun 08 22:18:08 GMT 2025","failed","Sun Jun 08 22:18:08 GMT 2025","v1 > Report > Export Report Data","Bank Admin","",""
"Get a paginated list of reports with optional filtering","32","Get Report Objects - Question","QA|Nova Bank - Infopool","Sun Jun 08 22:18:07 GMT 2025","passed","Sun Jun 08 22:18:07 GMT 2025","v1 > Report > Get Report Object","Bank Admin","",""
"","31","Remove user from an organization - user ID does not exist","QA|Nova Bank - Infopool","Sun Jun 08 22:18:06 GMT 2025","passed","Sun Jun 08 22:18:06 GMT 2025","v1 > Organizations > Users > Remove users from an organization","Bank Admin","",""
"","32","Invalid ID - Get single definition","QA|Nova Bank - Infopool","Sun Jun 08 22:18:04 GMT 2025","passed","Sun Jun 08 22:18:04 GMT 2025","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"","35","successfully create corporate_adjustment","QA|Nova Bank - Infopool","Sun Jun 08 22:18:08 GMT 2025","passed","Sun Jun 08 22:18:08 GMT 2025","","corporate Adjustment","",""
"","83","Get profile - No Auth","QA|Nova Bank - Infopool","Sun Jun 08 22:16:31 GMT 2025","passed","Sun Jun 08 22:16:31 GMT 2025","v1 > Profile > Get profile","Bank User","",""
"","38","No Auth - Add Comment to Issue","QA|Nova Bank - Infopool","Sun Jun 08 22:16:44 GMT 2025","passed","Sun Jun 08 22:16:44 GMT 2025","v1 > Customer 360 > Issues > add comment to an issue","Bank User","",""
"","30","Get role by ID - no auth","QA|Nova Bank - Infopool","Sun Jun 08 22:18:07 GMT 2025","passed","Sun Jun 08 22:18:07 GMT 2025","v1 > Roles > Get role by ID","Bank Admin","",""
"","52","Empty first name - Send user invitation token","QA|Nova Bank - Infopool","Sun Jun 08 22:16:40 GMT 2025","passed","Sun Jun 08 22:16:40 GMT 2025","v1 > Onboarding > Complete profile","Bank User","",""
"","35","No Auth - Search Customers","QA|Nova Bank - Infopool","Sun Jun 08 22:16:53 GMT 2025","passed","Sun Jun 08 22:16:53 GMT 2025","v1 > Customer 360 > Search for a customer > search by phone number","Bank User","",""
"","36","No Auth - Fetch Customers Transactions","QA|Nova Bank - Infopool","Sun Jun 08 22:16:57 GMT 2025","passed","Sun Jun 08 22:16:57 GMT 2025","v1 > Customer 360 > Fetch customers transaction","Bank User","",""
"Get a specific report by ID","33","Get Report by UUID - No auth","QA|Nova Bank - Infopool","Sun Jun 08 22:18:08 GMT 2025","passed","Sun Jun 08 22:18:08 GMT 2025","v1 > Report > Get Report by UUID","Bank Admin","",""
"","34","Update definition","QA|Nova Bank - Infopool","Sun Jun 08 22:18:04 GMT 2025","passed","Sun Jun 08 22:18:04 GMT 2025","v1 > Static Definitions > Update definition","Bank Admin","",""
"","139","Update profile - No Auth","QA|Nova Bank - Infopool","Sun Jun 08 22:16:38 GMT 2025","passed","Sun Jun 08 22:16:38 GMT 2025","v1 > Profile > update profile image","Bank User","",""
"","47","Empty password - Send user invitation token","QA|Nova Bank - Infopool","Sun Jun 08 22:16:40 GMT 2025","passed","Sun Jun 08 22:16:40 GMT 2025","v1 > Onboarding > Complete profile","Bank User","",""
"Create a new report","33","Create Report - Empty category","QA|Nova Bank - Infopool","Sun Jun 08 22:18:08 GMT 2025","passed","Sun Jun 08 22:18:08 GMT 2025","v1 > Report > Create Report","Bank Admin","",""
"","33","No auth - Create  organization","QA|Nova Bank - Infopool","Sun Jun 08 22:18:05 GMT 2025","passed","Sun Jun 08 22:18:05 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","33","Update user - no auth","QA|Nova Bank - Infopool","Sun Jun 08 22:18:05 GMT 2025","passed","Sun Jun 08 22:18:05 GMT 2025","v1 > Users > Update user","Bank Admin","",""
"","53","Send user invitation token - successful","QA|Nova Bank - Infopool","Sun Jun 08 22:16:40 GMT 2025","passed","Sun Jun 08 22:16:40 GMT 2025","v1 > Onboarding > Complete profile","Bank User","",""
"","49","No_auth_add_comments","QA|Nova Bank - Infopool","Sun Jun 08 22:16:45 GMT 2025","passed","Sun Jun 08 22:16:45 GMT 2025","v1 > Customer 360 > Comments > add comment to customer","Bank User","",""
"","3256","Update profile - no phone number","QA|Nova Bank - Infopool","Sun Jun 08 22:16:34 GMT 2025","passed","Sun Jun 08 22:16:37 GMT 2025","v1 > Profile > Update profile","Bank User","",""
"","56","No Auth - Delete Customer Comment","QA|Nova Bank - Infopool","Sun Jun 08 22:16:52 GMT 2025","passed","Sun Jun 08 22:16:52 GMT 2025","v1 > Customer 360 > Comments > delete customer comment","Bank User","",""
"","3355","Fetch Customer Comments","QA|Nova Bank - Infopool","Sun Jun 08 22:16:45 GMT 2025","passed","Sun Jun 08 22:16:48 GMT 2025","v1 > Customer 360 > Comments > fetch customer comment","Bank User","",""
"","803","Create a New Issue","QA|Nova Bank - Infopool","Sun Jun 08 22:16:40 GMT 2025","passed","Sun Jun 08 22:16:41 GMT 2025","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
