"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","88","Get profile roles - No Auth","QA|Nova Bank - Infopool","Sun Jun 08 22:52:56 GMT 2025","passed","Sun Jun 08 22:52:56 GMT 2025","v1 > Profile > Roles","Bank User","",""
"","82","No auth - update role","QA|Nova Bank - Infopool","Sun Jun 08 22:54:45 GMT 2025","passed","Sun Jun 08 22:54:45 GMT 2025","v1 > Users > Role > Update role","Bank Admin","",""
"","3235","No Auth - Get Issue by ID","QA|Nova Bank - Infopool","Sun Jun 08 22:53:20 GMT 2025","passed","Sun Jun 08 22:53:23 GMT 2025","v1 > Customer 360 > Issues > get issue by Id","Bank User","",""
"","80","Create organization - no country ID","QA|Nova Bank - Infopool","Sun Jun 08 22:54:46 GMT 2025","passed","Sun Jun 08 22:54:46 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","140","Invalid Operation - Get Email or SMS OTP","QA|Nova Bank - Infopool","Sun Jun 08 22:52:55 GMT 2025","passed","Sun Jun 08 22:52:55 GMT 2025","v1 > Auth > MFA > Request","Bank User","",""
"","83","Create  organization","QA|Nova Bank - Infopool","Sun Jun 08 22:54:45 GMT 2025","passed","Sun Jun 08 22:54:45 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","80","No Auth - Update definition","QA|Nova Bank - Infopool","Sun Jun 08 22:54:44 GMT 2025","passed","Sun Jun 08 22:54:44 GMT 2025","v1 > Static Definitions > Update definition","Bank Admin","",""
"","88","No Auth - Fetch Customers Transactions","QA|Nova Bank - Infopool","Sun Jun 08 22:53:35 GMT 2025","passed","Sun Jun 08 22:53:36 GMT 2025","v1 > Customer 360 > Fetch customers transaction","Bank User","",""
"","250","Fetch Customer Comments","QA|Nova Bank - Infopool","Sun Jun 08 22:53:26 GMT 2025","passed","Sun Jun 08 22:53:26 GMT 2025","v1 > Customer 360 > Comments > fetch customer comment","Bank User","",""
"","82","Update user - ID does not exist","QA|Nova Bank - Infopool","Sun Jun 08 22:54:45 GMT 2025","passed","Sun Jun 08 22:54:45 GMT 2025","v1 > Users > Update user","Bank Admin","",""
"","152","No Auth - Search Customers","QA|Nova Bank - Infopool","Sun Jun 08 22:53:28 GMT 2025","passed","Sun Jun 08 22:53:28 GMT 2025","v1 > Customer 360 > Search for a customer > search by phone number","Bank User","",""
