"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","31","Empty password - Send user invitation token","QA|Nova Bank - Infopool","Sun Jun 08 23:02:09 GMT 2025","passed","Sun Jun 08 23:02:09 GMT 2025","v1 > Onboarding > Complete profile","Bank User","",""
"Get a paginated list of reports with optional filtering","23","Get Reports Stats","QA|Nova Bank - Infopool","Sun Jun 08 23:03:35 GMT 2025","passed","Sun Jun 08 23:03:35 GMT 2025","v1 > Report > Get Report Stats","Bank Admin","",""
"","25","Get all permissions","QA|Nova Bank - Infopool","Sun Jun 08 23:03:35 GMT 2025","passed","Sun Jun 08 23:03:35 GMT 2025","v1 > Permissions > Get permissions","Bank Admin","",""
"","25","Create organization - name already exists","QA|Nova Bank - Infopool","Sun Jun 08 23:03:33 GMT 2025","passed","Sun Jun 08 23:03:33 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","142","Delete Customer Comment","QA|Nova Bank - Infopool","Sun Jun 08 23:02:14 GMT 2025","passed","Sun Jun 08 23:02:14 GMT 2025","v1 > Customer 360 > Comments > delete customer comment","Bank User","",""
"","26","Get Report Data - Dashboard","QA|Nova Bank - Infopool","Sun Jun 08 23:03:36 GMT 2025","passed","Sun Jun 08 23:03:36 GMT 2025","v1 > Report > Get Report Data","Bank Admin","",""
"","52","Update profile - No Auth","QA|Nova Bank - Infopool","Sun Jun 08 23:02:00 GMT 2025","passed","Sun Jun 08 23:02:01 GMT 2025","v1 > Profile > update profile image","Bank User","",""
"","962","reset password","QA|Nova Bank - Infopool","Sun Jun 08 23:01:55 GMT 2025","passed","Sun Jun 08 23:01:56 GMT 2025","v1 > Auth > Forgot password > Reset password","Bank User","",""
"","127","No auth - Delete Attachment from Issue","QA|Nova Bank - Infopool","Sun Jun 08 23:02:13 GMT 2025","passed","Sun Jun 08 23:02:13 GMT 2025","v1 > Customer 360 > Issues > delete attachment to an issue","Bank User","",""
"","76","Invalid ID -Get Issue by ID","QA|Nova Bank - Infopool","Sun Jun 08 23:02:12 GMT 2025","passed","Sun Jun 08 23:02:12 GMT 2025","v1 > Customer 360 > Issues > get issue by Id","Bank User","",""
"","24","Invalid ID - Get single definition","QA|Nova Bank - Infopool","Sun Jun 08 23:03:33 GMT 2025","passed","Sun Jun 08 23:03:33 GMT 2025","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"Create a new report","25","Create Report - Duplicate name","QA|Nova Bank - Infopool","Sun Jun 08 23:03:35 GMT 2025","passed","Sun Jun 08 23:03:35 GMT 2025","v1 > Report > Create Report","Bank Admin","",""
