"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","110","Search Customers","QA|Nova Bank - Infopool","Fri Jun 13 17:13:48 GMT 2025","passed","Fri Jun 13 17:13:49 GMT 2025","v1 > Customer 360 > Search for a customer > search by name","Bank User","",""
"","124","Fetch Customer By ID","QA|Nova Bank - Infopool","Fri Jun 13 17:13:49 GMT 2025","passed","Fri Jun 13 17:13:49 GMT 2025","v1 > Customer 360 > Fetch customer by ID","Bank User","",""
"","82","Get profile - user not logged in","QA|Nova Bank - Infopool","Fri Jun 13 17:13:35 GMT 2025","passed","Fri Jun 13 17:13:35 GMT 2025","v1 > Profile > Get profile","Bank User","",""
"","649","Successful login","QA|Nova Bank - Infopool","Fri Jun 13 17:13:24 GMT 2025","passed","Fri Jun 13 17:13:24 GMT 2025","v1 > Auth > Session > Login","Bank User","",""
"","157","Get events - end date earlier than start date","QA|Nova Bank - Infopool","Fri Jun 13 17:13:36 GMT 2025","passed","Fri Jun 13 17:13:36 GMT 2025","v1 > Audit trail > Event","Bank User","",""
"","95","Update profile - Invalid file size","QA|Nova Bank - Infopool","Fri Jun 13 17:13:35 GMT 2025","passed","Fri Jun 13 17:13:36 GMT 2025","v1 > Profile > update profile image","Bank User","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","95","Empty Operation - Get Email or SMS OTP","QA|Nova Bank - Infopool","Fri Jun 13 17:13:32 GMT 2025","passed","Fri Jun 13 17:13:32 GMT 2025","v1 > Auth > MFA > Request","Bank User","",""
"","88","Send user invitation token - successful","QA|Nova Bank - Infopool","Fri Jun 13 17:13:37 GMT 2025","passed","Fri Jun 13 17:13:37 GMT 2025","v1 > Onboarding > Complete profile","Bank User","",""
"","83","No Auth - Add Comment to Issue","QA|Nova Bank - Infopool","Fri Jun 13 17:13:47 GMT 2025","passed","Fri Jun 13 17:13:47 GMT 2025","v1 > Customer 360 > Issues > add comment to an issue","Bank User","",""
"","100","Delete organization details by ID - No auth","QA|Nova Bank - Infopool","Fri Jun 13 17:15:08 GMT 2025","passed","Fri Jun 13 17:15:08 GMT 2025","v1 > Organizations > Delete organization","Bank Admin","",""
"","78","Get all definitions","QA|Nova Bank - Infopool","Fri Jun 13 17:15:03 GMT 2025","passed","Fri Jun 13 17:15:03 GMT 2025","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
