"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","39","Empty Channel - Get Email or SMS OTP","QA|Nova Bank - Infopool","Fri Jun 13 18:57:35 GMT 2025","passed","Fri Jun 13 18:57:35 GMT 2025","v1 > Auth > MFA > Request","Bank User","",""
"","221","reset password","QA|Nova Bank - Infopool","Fri Jun 13 18:57:35 GMT 2025","passed","Fri Jun 13 18:57:35 GMT 2025","v1 > Auth > Forgot password > Reset password","Bank User","",""
"","31","No auth - Delete Attachment from Issue","QA|Nova Bank - Infopool","Fri Jun 13 18:57:40 GMT 2025","passed","Fri Jun 13 18:57:40 GMT 2025","v1 > Customer 360 > Issues > delete attachment to an issue","Bank User","",""
"","35","No auth - category by id","QA|Nova Bank - Infopool","Fri Jun 13 18:57:50 GMT 2025","passed","Fri Jun 13 18:57:50 GMT 2025","v1 > Notifications > Category > Fetch category by d","Bank Admin","",""
"","34","Update user - ID does not exist","QA|Nova Bank - Infopool","Fri Jun 13 18:57:41 GMT 2025","passed","Fri Jun 13 18:57:41 GMT 2025","v1 > Users > Update user","Bank Admin","",""
"","51","get all category","QA|Nova Bank - Infopool","Fri Jun 13 18:57:50 GMT 2025","passed","Fri Jun 13 18:57:50 GMT 2025","v1 > Notifications > Category > Fetch all category","Bank Admin","",""
"","32","No Auth - Get all Issues","QA|Nova Bank - Infopool","Fri Jun 13 18:57:39 GMT 2025","passed","Fri Jun 13 18:57:39 GMT 2025","v1 > Customer 360 > Issues > get all issues","Bank User","",""
"","32","Fetch all users in an organization","QA|Nova Bank - Infopool","Fri Jun 13 18:57:49 GMT 2025","passed","Fri Jun 13 18:57:49 GMT 2025","v1 > Organizations > Users > Fetch users in an organization","Bank Admin","",""
"","36","Export Report Data - No auth","QA|Nova Bank - Infopool","Fri Jun 13 18:57:54 GMT 2025","passed","Fri Jun 13 18:57:54 GMT 2025","v1 > Report > Export Report Data","Bank Admin","",""
"","176","Export Report Data","QA|Nova Bank - Infopool","Fri Jun 13 18:57:54 GMT 2025","failed","Fri Jun 13 18:57:54 GMT 2025","v1 > Report > Export Report Data","Bank Admin","",""
"","628","Successful login","QA|Nova Bank - Infopool","Fri Jun 13 18:57:27 GMT 2025","passed","Fri Jun 13 18:57:28 GMT 2025","v1 > Auth > Session > Login","Bank User","",""
