"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","55","Get roles - successful","QA|Nova Bank - Infopool","Sun Jun 15 20:11:25 GMT 2025","passed","Sun Jun 15 20:11:25 GMT 2025","v1 > Roles > Get roles","Bank Admin","",""
"","84","Fetch user by ID - no auth","QA|Nova Bank - Infopool","Sun Jun 15 20:11:22 GMT 2025","passed","Sun Jun 15 20:11:22 GMT 2025","v1 > Users > Fetch user by ID","Bank Admin","",""
"","44","Invalid email format - Forgot password","QA|Nova Bank - Infopool","Sun Jun 15 20:10:54 GMT 2025","passed","Sun Jun 15 20:10:54 GMT 2025","v1 > Auth > Forgot password > Initiate forget password","Bank User","",""
"","126","Get events - invalid start date","QA|Nova Bank - Infopool","Sun Jun 15 20:10:57 GMT 2025","passed","Sun Jun 15 20:10:57 GMT 2025","v1 > Audit trail > Event","Bank User","",""
"","42","Update profile - no auth","QA|Nova Bank - Infopool","Sun Jun 15 20:10:56 GMT 2025","passed","Sun Jun 15 20:10:56 GMT 2025","v1 > Profile > Update profile","Bank User","",""
"","130","Weak password - Change password","QA|Nova Bank - Infopool","Sun Jun 15 20:10:55 GMT 2025","passed","Sun Jun 15 20:10:55 GMT 2025","v1 > Profile > Password","Bank User","",""
"","229","Change password - successful","QA|Nova Bank - Infopool","Sun Jun 15 20:10:55 GMT 2025","passed","Sun Jun 15 20:10:55 GMT 2025","v1 > Profile > Password","Bank User","",""
"","39","Add user to an organization - no auth","QA|Nova Bank - Infopool","Sun Jun 15 20:11:25 GMT 2025","passed","Sun Jun 15 20:11:25 GMT 2025","v1 > Organizations > Users > Add users to an organization","Bank Admin","",""
"","50","No auth - Generator Customers Transactions Statement - PDF","QA|Nova Bank - Infopool","Sun Jun 15 20:11:15 GMT 2025","passed","Sun Jun 15 20:11:15 GMT 2025","v1 > Customer 360 > Generate customers transaction statement","Bank User","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","42","Invalid Channel - Get Email or SMS OTP","QA|Nova Bank - Infopool","Sun Jun 15 20:10:54 GMT 2025","passed","Sun Jun 15 20:10:54 GMT 2025","v1 > Auth > MFA > Request","Bank User","",""
"","140","Update Issue","QA|Nova Bank - Infopool","Sun Jun 15 20:10:59 GMT 2025","passed","Sun Jun 15 20:10:59 GMT 2025","v1 > Customer 360 > Issues > update issue","Bank User","",""
"","51","Update profile","QA|Nova Bank - Infopool","Sun Jun 15 20:10:56 GMT 2025","failed","Sun Jun 15 20:10:56 GMT 2025","v1 > Profile > update profile image","Bank User","",""
"","130","Invalid current password - Change password","QA|Nova Bank - Infopool","Sun Jun 15 20:10:55 GMT 2025","passed","Sun Jun 15 20:10:55 GMT 2025","v1 > Profile > Password","Bank User","",""
"","41","Update profile - No Auth","QA|Nova Bank - Infopool","Sun Jun 15 20:10:56 GMT 2025","passed","Sun Jun 15 20:10:56 GMT 2025","v1 > Profile > update profile image","Bank User","",""
"","49","Update user - invalid action","QA|Nova Bank - Infopool","Sun Jun 15 20:11:23 GMT 2025","passed","Sun Jun 15 20:11:23 GMT 2025","v1 > Users > Update user","Bank Admin","",""
"","54","Create organization - empty description","QA|Nova Bank - Infopool","Sun Jun 15 20:11:23 GMT 2025","passed","Sun Jun 15 20:11:23 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","39","No Auth - Get all definitions","QA|Nova Bank - Infopool","Sun Jun 15 20:11:22 GMT 2025","passed","Sun Jun 15 20:11:22 GMT 2025","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"","48","Create organization - no country ID","QA|Nova Bank - Infopool","Sun Jun 15 20:11:24 GMT 2025","passed","Sun Jun 15 20:11:24 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","204","Update profile - successful","QA|Nova Bank - Infopool","Sun Jun 15 20:10:56 GMT 2025","passed","Sun Jun 15 20:10:56 GMT 2025","v1 > Profile > Update profile","Bank User","",""
"","61","Get roles - successful","QA|Nova Bank - Infopool","Sun Jun 15 20:11:25 GMT 2025","passed","Sun Jun 15 20:11:25 GMT 2025","v1 > Roles > Get roles","Bank Admin","",""
"","49","Update profile - no phone number","QA|Nova Bank - Infopool","Sun Jun 15 20:10:56 GMT 2025","passed","Sun Jun 15 20:10:56 GMT 2025","v1 > Profile > Update profile","Bank User","",""
"","40","Create organization - empty mis code","QA|Nova Bank - Infopool","Sun Jun 15 20:11:24 GMT 2025","failed","Sun Jun 15 20:11:24 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","42","Update organization details by ID - incorrect operation manager ID","QA|Nova Bank - Infopool","Sun Jun 15 20:11:24 GMT 2025","failed","Sun Jun 15 20:11:24 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","56","Fetch all users","QA|Nova Bank - Infopool","Sun Jun 15 20:11:22 GMT 2025","passed","Sun Jun 15 20:11:22 GMT 2025","v1 > Users > Fetch users","Bank Admin","",""
"","103","Fetch Customer Comments","QA|Nova Bank - Infopool","Sun Jun 15 20:11:00 GMT 2025","passed","Sun Jun 15 20:11:00 GMT 2025","v1 > Customer 360 > Comments > fetch customer comment","Bank User","",""
"","51","Update user - empty action field","QA|Nova Bank - Infopool","Sun Jun 15 20:11:23 GMT 2025","passed","Sun Jun 15 20:11:23 GMT 2025","v1 > Users > Update user","Bank Admin","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","48","Empty Operation - Get Email or SMS OTP","QA|Nova Bank - Infopool","Sun Jun 15 20:10:54 GMT 2025","passed","Sun Jun 15 20:10:54 GMT 2025","v1 > Auth > MFA > Request","Bank User","",""
"","43","Send user invitation token - successful","QA|Nova Bank - Infopool","Sun Jun 15 20:10:57 GMT 2025","passed","Sun Jun 15 20:10:57 GMT 2025","v1 > Onboarding > Complete profile","Bank User","",""
"","43","No Auth - Fetch Customers Transactions","QA|Nova Bank - Infopool","Sun Jun 15 20:11:11 GMT 2025","passed","Sun Jun 15 20:11:11 GMT 2025","v1 > Customer 360 > Fetch customers transaction","Bank User","",""
"","89","Delete Customer Comment","QA|Nova Bank - Infopool","Sun Jun 15 20:11:00 GMT 2025","passed","Sun Jun 15 20:11:00 GMT 2025","v1 > Customer 360 > Comments > delete customer comment","Bank User","",""
"","55","Invalid user phone number - Search Customers","QA|Nova Bank - Infopool","Sun Jun 15 20:11:07 GMT 2025","passed","Sun Jun 15 20:11:07 GMT 2025","v1 > Customer 360 > Search for a customer > search by phone number","Bank User","",""
"","74","Invalid ID - Update Customer Comment","QA|Nova Bank - Infopool","Sun Jun 15 20:11:00 GMT 2025","failed","Sun Jun 15 20:11:00 GMT 2025","v1 > Customer 360 > Comments > update comment to customer","Bank User","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","45","Invalid Operation - Get Email or SMS OTP","QA|Nova Bank - Infopool","Sun Jun 15 20:10:54 GMT 2025","passed","Sun Jun 15 20:10:54 GMT 2025","v1 > Auth > MFA > Request","Bank User","",""
"","40","Get profile - No Auth","QA|Nova Bank - Infopool","Sun Jun 15 20:10:56 GMT 2025","passed","Sun Jun 15 20:10:56 GMT 2025","v1 > Profile > Get profile","Bank User","",""
"","40","Update organization details by ID - No auth","QA|Nova Bank - Infopool","Sun Jun 15 20:11:24 GMT 2025","passed","Sun Jun 15 20:11:24 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","60","Invalid name - Search Customers","QA|Nova Bank - Infopool","Sun Jun 15 20:11:01 GMT 2025","passed","Sun Jun 15 20:11:01 GMT 2025","v1 > Customer 360 > Search for a customer > search by name","Bank User","",""
"","38","No Auth - Update Issue","QA|Nova Bank - Infopool","Sun Jun 15 20:10:59 GMT 2025","passed","Sun Jun 15 20:10:59 GMT 2025","v1 > Customer 360 > Issues > update issue","Bank User","",""
"","219","Forgot password - successful","QA|Nova Bank - Infopool","Sun Jun 15 20:10:53 GMT 2025","failed","Sun Jun 15 20:10:54 GMT 2025","v1 > Auth > Forgot password > Initiate forget password","Bank User","",""
"","81","Fetch Customers Accounts","QA|Nova Bank - Infopool","Sun Jun 15 20:11:15 GMT 2025","failed","Sun Jun 15 20:11:15 GMT 2025","v1 > Customer 360 > Fetch customer accounts","Bank User","",""
"","51","Create organization - empty city value","QA|Nova Bank - Infopool","Sun Jun 15 20:11:24 GMT 2025","passed","Sun Jun 15 20:11:24 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","52","Fetch organizations by ID - successful","QA|Nova Bank - Infopool","Sun Jun 15 20:11:24 GMT 2025","passed","Sun Jun 15 20:11:24 GMT 2025","v1 > Organizations > Fetch organiation by ID","Bank Admin","",""
"","57","Get single definition","QA|Nova Bank - Infopool","Sun Jun 15 20:11:22 GMT 2025","passed","Sun Jun 15 20:11:22 GMT 2025","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"","48","Empty new password - Change password","QA|Nova Bank - Infopool","Sun Jun 15 20:10:55 GMT 2025","passed","Sun Jun 15 20:10:55 GMT 2025","v1 > Profile > Password","Bank User","",""
"","43","Empty first name - Send user invitation token","QA|Nova Bank - Infopool","Sun Jun 15 20:10:58 GMT 2025","passed","Sun Jun 15 20:10:58 GMT 2025","v1 > Onboarding > Complete profile","Bank User","",""
"","111","Update definition","QA|Nova Bank - Infopool","Sun Jun 15 20:11:22 GMT 2025","passed","Sun Jun 15 20:11:22 GMT 2025","v1 > Static Definitions > Update definition","Bank Admin","",""
"","112","No auth - Delete Attachment from Issue","QA|Nova Bank - Infopool","Sun Jun 15 20:11:00 GMT 2025","passed","Sun Jun 15 20:11:00 GMT 2025","v1 > Customer 360 > Issues > delete attachment to an issue","Bank User","",""
"","49","Create organization - no name","QA|Nova Bank - Infopool","Sun Jun 15 20:11:23 GMT 2025","passed","Sun Jun 15 20:11:23 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","56","Create organization - operations manager ID does not exist","QA|Nova Bank - Infopool","Sun Jun 15 20:11:23 GMT 2025","passed","Sun Jun 15 20:11:24 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","73","Add user to an organization - successful","QA|Nova Bank - Infopool","Sun Jun 15 20:11:25 GMT 2025","passed","Sun Jun 15 20:11:25 GMT 2025","v1 > Organizations > Users > Add users to an organization","Bank Admin","",""
"","84","resend_invitation_toUser","QA|Nova Bank - Infopool","Sun Jun 15 20:10:57 GMT 2025","passed","Sun Jun 15 20:10:57 GMT 2025","v1 > Onboarding > Validate invitation","Bank User","",""
"","348","verifyOTP","QA|Nova Bank - Infopool","Sun Jun 15 20:10:53 GMT 2025","passed","Sun Jun 15 20:10:53 GMT 2025","v1 > Auth > Session > verify OTP","Bank User","",""
"","40","Empty password - Send user invitation token","QA|Nova Bank - Infopool","Sun Jun 15 20:10:58 GMT 2025","passed","Sun Jun 15 20:10:58 GMT 2025","v1 > Onboarding > Complete profile","Bank User","",""
"","6178","Invalid email format","QA|Nova Bank - Infopool","Sun Jun 15 20:10:47 GMT 2025","passed","Sun Jun 15 20:10:53 GMT 2025","v1 > Auth > Session > Login","Bank User","",""
