"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","20","Get all notification templates - successful","QA|Nova Bank - Infopool","Fri Mar 28 17:02:04 GMT 2025","passed","Fri Mar 28 17:02:04 GMT 2025","v1 > Notifications > Templates","Bank Admin","",""
"","43","Create roles - successful","QA|Nova Bank - Infopool","Fri Mar 28 17:02:03 GMT 2025","passed","Fri Mar 28 17:02:04 GMT 2025","v1 > Roles > Create role","Bank Admin","",""
"","45","Delete organization details by ID -Invalid Id","QA|Nova Bank - Infopool","Fri Mar 28 17:02:03 GMT 2025","passed","Fri Mar 28 17:02:03 GMT 2025","v1 > Organizations > Delete organization","Bank Admin","",""
"","89","Send user invitation token - empty authentication type","QA|Nova Bank - Infopool","Fri Mar 28 17:01:51 GMT 2025","passed","Fri Mar 28 17:01:51 GMT 2025","v1 > Onboarding > Complete profile","Bank User","",""
"","37","Fetch all users in an organization","QA|Nova Bank - Infopool","Fri Mar 28 17:02:03 GMT 2025","passed","Fri Mar 28 17:02:03 GMT 2025","v1 > Organizations > Users > Fetch users in an organization","Bank Admin","",""
"","87","Generator Customers Transactions Statement - PDF","QA|Nova Bank - Infopool","Fri Mar 28 17:01:56 GMT 2025","failed","Fri Mar 28 17:01:56 GMT 2025","v1 > Customer 360 > Generate customers transaction statement","Bank User","",""
"","22","Update permissions - successful","QA|Nova Bank - Infopool","Fri Mar 28 17:02:03 GMT 2025","passed","Fri Mar 28 17:02:03 GMT 2025","v1 > Roles > Permissions > Update permission - API needs review","Bank Admin","",""
"","178","Change password - successful","QA|Nova Bank - Infopool","Fri Mar 28 17:01:49 GMT 2025","failed","Fri Mar 28 17:01:49 GMT 2025","v1 > Profile > Password","Bank User","",""
"","25","Logout session - no session","QA|Nova Bank - Infopool","Fri Mar 28 17:02:05 GMT 2025","passed","Fri Mar 28 17:02:05 GMT 2025","v1 > Logout","Bank Admin","",""
"","40","Create organization - name already exists","QA|Nova Bank - Infopool","Fri Mar 28 17:01:59 GMT 2025","passed","Fri Mar 28 17:01:59 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","73","Create  organization","QA|Nova Bank - Infopool","Fri Mar 28 17:01:58 GMT 2025","passed","Fri Mar 28 17:01:58 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","45","Create organization - no name","QA|Nova Bank - Infopool","Fri Mar 28 17:01:58 GMT 2025","passed","Fri Mar 28 17:01:59 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","48","Change password - empty new password","QA|Nova Bank - Infopool","Fri Mar 28 17:01:50 GMT 2025","passed","Fri Mar 28 17:01:50 GMT 2025","v1 > Profile > Password","Bank User","",""
"","38","Fetch organizations by ID - successful","QA|Nova Bank - Infopool","Fri Mar 28 17:02:02 GMT 2025","passed","Fri Mar 28 17:02:03 GMT 2025","v1 > Organizations > Fetch organiation by ID","Bank Admin","",""
"","46","Get single definition - ID does not exist","QA|Nova Bank - Infopool","Fri Mar 28 17:01:56 GMT 2025","passed","Fri Mar 28 17:01:56 GMT 2025","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","483","Get Email or SMS OTP","QA|Nova Bank - Infopool","Fri Mar 28 17:01:48 GMT 2025","passed","Fri Mar 28 17:01:49 GMT 2025","v1 > Auth > mfa > request","Bank User","",""
"","52","Update profile","QA|Nova Bank - Infopool","Fri Mar 28 17:01:50 GMT 2025","failed","Fri Mar 28 17:01:50 GMT 2025","v1 > Profile > update profile image","Bank User","",""
"","32","Create a New Issue - empty priority","QA|Nova Bank - Infopool","Fri Mar 28 17:01:51 GMT 2025","passed","Fri Mar 28 17:01:51 GMT 2025","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
"","46","Create organization - empty mis code","QA|Nova Bank - Infopool","Fri Mar 28 17:02:02 GMT 2025","passed","Fri Mar 28 17:02:02 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","46","Change password - empty current password","QA|Nova Bank - Infopool","Fri Mar 28 17:01:49 GMT 2025","passed","Fri Mar 28 17:01:49 GMT 2025","v1 > Profile > Password","Bank User","",""
"","39","Create roles - no type","QA|Nova Bank - Infopool","Fri Mar 28 17:02:04 GMT 2025","passed","Fri Mar 28 17:02:04 GMT 2025","v1 > Roles > Create role","Bank Admin","",""
"","38","Fetch all organizations","QA|Nova Bank - Infopool","Fri Mar 28 17:02:02 GMT 2025","passed","Fri Mar 28 17:02:02 GMT 2025","v1 > Organizations > Fetch organization","Bank Admin","",""
"","51","Get roles - successful","QA|Nova Bank - Infopool","Fri Mar 28 17:02:03 GMT 2025","passed","Fri Mar 28 17:02:03 GMT 2025","v1 > Roles > Get roles","Bank Admin","",""
"","48","Create roles - invalid type","QA|Nova Bank - Infopool","Fri Mar 28 17:02:04 GMT 2025","passed","Fri Mar 28 17:02:04 GMT 2025","v1 > Roles > Create role","Bank Admin","",""
"","57","Fetch Customers Transactions","QA|Nova Bank - Infopool","Fri Mar 28 17:01:56 GMT 2025","passed","Fri Mar 28 17:01:56 GMT 2025","v1 > Customer 360 > Fetch customers transaction","Bank User","",""
"","394","Create organization - empty street value","QA|Nova Bank - Infopool","Fri Mar 28 17:02:02 GMT 2025","passed","Fri Mar 28 17:02:02 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","22","Add user to an organization -user ID does not exist","QA|Nova Bank - Infopool","Fri Mar 28 17:02:03 GMT 2025","passed","Fri Mar 28 17:02:03 GMT 2025","v1 > Organizations > Users > Add users to an organization","Bank Admin","",""
"","32","Create a New Issue - empty issue category","QA|Nova Bank - Infopool","Fri Mar 28 17:01:51 GMT 2025","passed","Fri Mar 28 17:01:51 GMT 2025","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
"","167","Change password - invalid current password","QA|Nova Bank - Infopool","Fri Mar 28 17:01:49 GMT 2025","passed","Fri Mar 28 17:01:49 GMT 2025","v1 > Profile > Password","Bank User","",""
"","83","Get events - invalid end date","QA|Nova Bank - Infopool","Fri Mar 28 17:01:50 GMT 2025","passed","Fri Mar 28 17:01:50 GMT 2025","v1 > Audit trail > Event","Bank User","",""
"","21","Create notification template","QA|Nova Bank - Infopool","Fri Mar 28 17:02:04 GMT 2025","passed","Fri Mar 28 17:02:04 GMT 2025","v1 > Notifications > Templates","Bank Admin","",""
"","51","Update user - successful","QA|Nova Bank - Infopool","Fri Mar 28 17:01:58 GMT 2025","passed","Fri Mar 28 17:01:58 GMT 2025","v1 > Users > Update user","Bank Admin","",""
"","67","Update organization details by ID - successful","QA|Nova Bank - Infopool","Fri Mar 28 17:02:03 GMT 2025","passed","Fri Mar 28 17:02:03 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","49","Remove user from an organization - user ID does not exist","QA|Nova Bank - Infopool","Fri Mar 28 17:02:03 GMT 2025","passed","Fri Mar 28 17:02:03 GMT 2025","v1 > Organizations > Users > Remove users from an organization","Bank Admin","",""
"","863","Fetch Customer's Financial Summary","QA|Nova Bank - Infopool","Fri Mar 28 17:01:52 GMT 2025","passed","Fri Mar 28 17:01:53 GMT 2025","v1 > Customer 360 > Fetch customer's financial summary","Bank User","",""
"","29","Validate user invitation token","QA|Nova Bank - Infopool","Fri Mar 28 17:01:50 GMT 2025","passed","Fri Mar 28 17:01:50 GMT 2025","v1 > Onboarding > Validate invitation","Bank User","",""
"","82","get all category","QA|Nova Bank - Infopool","Fri Mar 28 17:02:04 GMT 2025","passed","Fri Mar 28 17:02:04 GMT 2025","v1 > Notifications > Category > Fetch all category","Bank Admin","",""
"","83","Get events - invalid start date","QA|Nova Bank - Infopool","Fri Mar 28 17:01:50 GMT 2025","passed","Fri Mar 28 17:01:50 GMT 2025","v1 > Audit trail > Event","Bank User","",""
"","83","Get events - end date earlier than start date","QA|Nova Bank - Infopool","Fri Mar 28 17:01:50 GMT 2025","passed","Fri Mar 28 17:01:50 GMT 2025","v1 > Audit trail > Event","Bank User","",""
"","39","Get single definition","QA|Nova Bank - Infopool","Fri Mar 28 17:01:56 GMT 2025","passed","Fri Mar 28 17:01:56 GMT 2025","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"","44","Update profile - invalid phone number","QA|Nova Bank - Infopool","Fri Mar 28 17:01:50 GMT 2025","passed","Fri Mar 28 17:01:50 GMT 2025","v1 > Profile > Update profile","Bank User","",""
"","55","Update profile - successful","QA|Nova Bank - Infopool","Fri Mar 28 17:01:50 GMT 2025","passed","Fri Mar 28 17:01:50 GMT 2025","v1 > Profile > Update profile","Bank User","",""
"","44","Logout session successfully","QA|Nova Bank - Infopool","Fri Mar 28 17:02:05 GMT 2025","passed","Fri Mar 28 17:02:05 GMT 2025","v1 > Logout","Bank Admin","",""
"","66","Search Customers","QA|Nova Bank - Infopool","Fri Mar 28 17:01:52 GMT 2025","passed","Fri Mar 28 17:01:52 GMT 2025","v1 > Customer 360 > Search for a customer > search by name","Bank User","",""
