"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","81","No Auth - Search Customers","QA|Nova Bank - Infopool","Fri Jun 20 18:57:49 GMT 2025","passed","Fri Jun 20 18:57:49 GMT 2025","v1 > Customer 360 > Search for a customer > search by name","Bank User","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","120","Get Email or SMS OTP","QA|Nova Bank - Infopool","Fri Jun 20 18:57:32 GMT 2025","passed","Fri Jun 20 18:57:32 GMT 2025","v1 > Auth > MFA > Request","Bank User","",""
"","92","No email - Forgot Password","QA|Nova Bank - Infopool","Fri Jun 20 18:57:32 GMT 2025","passed","Fri Jun 20 18:57:32 GMT 2025","v1 > Auth > Forgot password > Initiate forget password","Bank User","",""
"","84","No Auth - Fetch Customers Transactions","QA|Nova Bank - Infopool","Fri Jun 20 18:57:54 GMT 2025","passed","Fri Jun 20 18:57:54 GMT 2025","v1 > Customer 360 > Fetch customers transaction","Bank User","",""
"","84","Update organization details by ID - incorrect operation manager ID","QA|Nova Bank - Infopool","Fri Jun 20 18:58:06 GMT 2025","failed","Fri Jun 20 18:58:06 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","132","Delete Customer Comment","QA|Nova Bank - Infopool","Fri Jun 20 18:57:49 GMT 2025","passed","Fri Jun 20 18:57:49 GMT 2025","v1 > Customer 360 > Comments > delete customer comment","Bank User","",""
"","82","No_auth_add_comments","QA|Nova Bank - Infopool","Fri Jun 20 18:57:48 GMT 2025","passed","Fri Jun 20 18:57:48 GMT 2025","v1 > Customer 360 > Comments > add comment to customer","Bank User","",""
"","131","Add attachment to issue","QA|Nova Bank - Infopool","Fri Jun 20 18:57:47 GMT 2025","failed","Fri Jun 20 18:57:48 GMT 2025","v1 > Customer 360 > Issues > add attachment to issue","Bank User","",""
"","102","Fetch all users in an organization","QA|Nova Bank - Infopool","Fri Jun 20 18:58:07 GMT 2025","passed","Fri Jun 20 18:58:07 GMT 2025","v1 > Organizations > Users > Fetch users in an organization","Bank Admin","",""
"","154","Get events - invalid start date","QA|Nova Bank - Infopool","Fri Jun 20 18:57:36 GMT 2025","passed","Fri Jun 20 18:57:36 GMT 2025","v1 > Audit trail > Event","Bank User","",""
"","86","Delete organization details by ID - No auth","QA|Nova Bank - Infopool","Fri Jun 20 18:58:06 GMT 2025","passed","Fri Jun 20 18:58:06 GMT 2025","v1 > Organizations > Delete organization","Bank Admin","",""
"","380","verifyOTP","QA|Nova Bank - Infopool","Fri Jun 20 18:57:31 GMT 2025","passed","Fri Jun 20 18:57:32 GMT 2025","v1 > Auth > Session > verify OTP","Bank User","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","86","Invalid Channel - Get Email or SMS OTP","QA|Nova Bank - Infopool","Fri Jun 20 18:57:33 GMT 2025","passed","Fri Jun 20 18:57:33 GMT 2025","v1 > Auth > MFA > Request","Bank User","",""
"","91","successful dashboard embed","QA|Nova Bank - Infopool","Fri Jun 20 18:58:01 GMT 2025","passed","Fri Jun 20 18:58:01 GMT 2025","embed dashboard","Bank User","",""
"","94","Fetch organizations by ID - non-existing ID","QA|Nova Bank - Infopool","Fri Jun 20 18:58:05 GMT 2025","passed","Fri Jun 20 18:58:05 GMT 2025","v1 > Organizations > Fetch organiation by ID","Bank Admin","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","86","Empty Channel - Get Email or SMS OTP","QA|Nova Bank - Infopool","Fri Jun 20 18:57:33 GMT 2025","passed","Fri Jun 20 18:57:33 GMT 2025","v1 > Auth > MFA > Request","Bank User","",""
"","93","Invalid email format - Forgot password","QA|Nova Bank - Infopool","Fri Jun 20 18:57:32 GMT 2025","passed","Fri Jun 20 18:57:32 GMT 2025","v1 > Auth > Forgot password > Initiate forget password","Bank User","",""
"","84","No Auth - Get profile roles - successful","QA|Nova Bank - Infopool","Fri Jun 20 18:57:33 GMT 2025","passed","Fri Jun 20 18:57:33 GMT 2025","v1 > Profile > Roles","Bank User","",""
"","85","No auth - Create  organization","QA|Nova Bank - Infopool","Fri Jun 20 18:58:04 GMT 2025","passed","Fri Jun 20 18:58:04 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","88","Send user invitation token - successful","QA|Nova Bank - Infopool","Fri Jun 20 18:57:37 GMT 2025","passed","Fri Jun 20 18:57:37 GMT 2025","v1 > Onboarding > Complete profile","Bank User","",""
"","178","Invalid credentials","QA|Nova Bank - Infopool","Fri Jun 20 18:57:25 GMT 2025","passed","Fri Jun 20 18:57:25 GMT 2025","v1 > Auth > Session > Login","Bank User","",""
"","102","Update organization details by ID - organisation type id","QA|Nova Bank - Infopool","Fri Jun 20 18:58:06 GMT 2025","passed","Fri Jun 20 18:58:06 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","82","No Auth - Fetch Customers Channels","QA|Nova Bank - Infopool","Fri Jun 20 18:58:01 GMT 2025","passed","Fri Jun 20 18:58:01 GMT 2025","v1 > Customer 360 > Fetch customer channel","Bank User","",""
"","95","Update user - ID does not exist","QA|Nova Bank - Infopool","Fri Jun 20 18:58:03 GMT 2025","passed","Fri Jun 20 18:58:03 GMT 2025","v1 > Users > Update user","Bank Admin","",""
"","152","Empty priority - Create a New Issue","QA|Nova Bank - Infopool","Fri Jun 20 18:57:39 GMT 2025","failed","Fri Jun 20 18:57:39 GMT 2025","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
"","97","Fetch organizations by ID - No Auth","QA|Nova Bank - Infopool","Fri Jun 20 18:58:05 GMT 2025","passed","Fri Jun 20 18:58:05 GMT 2025","v1 > Organizations > Fetch organiation by ID","Bank Admin","",""
"","98","Fetch user by ID - ID does not exist","QA|Nova Bank - Infopool","Fri Jun 20 18:58:02 GMT 2025","passed","Fri Jun 20 18:58:02 GMT 2025","v1 > Users > Fetch user by ID","Bank Admin","",""
"","97","Create organization - operations manager ID does not exist","QA|Nova Bank - Infopool","Fri Jun 20 18:58:04 GMT 2025","passed","Fri Jun 20 18:58:04 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","98","Update profile","QA|Nova Bank - Infopool","Fri Jun 20 18:57:36 GMT 2025","failed","Fri Jun 20 18:57:36 GMT 2025","v1 > Profile > update profile image","Bank User","",""
"","95","Empty new password - Change password","QA|Nova Bank - Infopool","Fri Jun 20 18:57:34 GMT 2025","passed","Fri Jun 20 18:57:34 GMT 2025","v1 > Profile > Password","Bank User","",""
"","83","Remove user from an organization - no auth","QA|Nova Bank - Infopool","Fri Jun 20 18:58:07 GMT 2025","passed","Fri Jun 20 18:58:07 GMT 2025","v1 > Organizations > Users > Remove users from an organization","Bank Admin","",""
"","6245","Invalid email format","QA|Nova Bank - Infopool","Fri Jun 20 18:57:25 GMT 2025","passed","Fri Jun 20 18:57:31 GMT 2025","v1 > Auth > Session > Login","Bank User","",""
"","83","No auth - Generator Customers Transactions Statement - PDF","QA|Nova Bank - Infopool","Fri Jun 20 18:57:57 GMT 2025","passed","Fri Jun 20 18:57:57 GMT 2025","v1 > Customer 360 > Generate customers transaction statement","Bank User","",""
"","108","Create organization - business manager ID does not exist","QA|Nova Bank - Infopool","Fri Jun 20 18:58:04 GMT 2025","passed","Fri Jun 20 18:58:04 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","116","Invalid ID - Update Customer Comment","QA|Nova Bank - Infopool","Fri Jun 20 18:57:49 GMT 2025","failed","Fri Jun 20 18:57:49 GMT 2025","v1 > Customer 360 > Comments > update comment to customer","Bank User","",""
"","3188","Generator Customers Transactions Statement - PDF","QA|Nova Bank - Infopool","Fri Jun 20 18:57:54 GMT 2025","failed","Fri Jun 20 18:57:57 GMT 2025","v1 > Customer 360 > Generate customers transaction statement","Bank User","",""
"Verify TOTP or OTP. For OTP, you need to provide either `email` or `phone` as the recipient if you are not logged in.
    Make sure the operation matches the one used to generate the OTP.

    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE
    ","128","Invalid OTP - Verify MFA code, MFA backup code, Email or SMS OTP","QA|Nova Bank - Infopool","Fri Jun 20 18:57:33 GMT 2025","failed","Fri Jun 20 18:57:33 GMT 2025","v1 > Auth > MFA > Verify","Bank User","",""
"","118","Remove user from an organization - successful","QA|Nova Bank - Infopool","Fri Jun 20 18:58:07 GMT 2025","passed","Fri Jun 20 18:58:07 GMT 2025","v1 > Organizations > Users > Remove users from an organization","Bank Admin","",""
"","100","Fetch organizations by ID - successful","QA|Nova Bank - Infopool","Fri Jun 20 18:58:05 GMT 2025","passed","Fri Jun 20 18:58:05 GMT 2025","v1 > Organizations > Fetch organiation by ID","Bank Admin","",""
"","94","Get profile roles - successful","QA|Nova Bank - Infopool","Fri Jun 20 18:57:33 GMT 2025","passed","Fri Jun 20 18:57:33 GMT 2025","v1 > Profile > Roles","Bank User","",""
"","177","Invalid current password - Change password","QA|Nova Bank - Infopool","Fri Jun 20 18:57:34 GMT 2025","passed","Fri Jun 20 18:57:34 GMT 2025","v1 > Profile > Password","Bank User","",""
"","94","Get single definition","QA|Nova Bank - Infopool","Fri Jun 20 18:58:01 GMT 2025","passed","Fri Jun 20 18:58:01 GMT 2025","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"","81","Health","QA|Nova Bank - Infopool","Fri Jun 20 18:58:01 GMT 2025","failed","Fri Jun 20 18:58:01 GMT 2025","v1 > Health","Bank Admin","",""
"","84","No Auth - Fetch all organizations","QA|Nova Bank - Infopool","Fri Jun 20 18:58:05 GMT 2025","passed","Fri Jun 20 18:58:05 GMT 2025","v1 > Organizations > Fetch organization","Bank Admin","",""
"","107","Delete organization details by ID - successful","QA|Nova Bank - Infopool","Fri Jun 20 18:58:06 GMT 2025","failed","Fri Jun 20 18:58:06 GMT 2025","v1 > Organizations > Delete organization","Bank Admin","",""
"","104","get user role","QA|Nova Bank - Infopool","Fri Jun 20 18:58:03 GMT 2025","passed","Fri Jun 20 18:58:03 GMT 2025","v1 > Users > Role > Get role","Bank Admin","",""
"","151","Fetch Customers Channels","QA|Nova Bank - Infopool","Fri Jun 20 18:58:00 GMT 2025","passed","Fri Jun 20 18:58:01 GMT 2025","v1 > Customer 360 > Fetch customer channel","Bank User","",""
"","88","Invalid token - Validate user invitation token","QA|Nova Bank - Infopool","Fri Jun 20 18:57:37 GMT 2025","passed","Fri Jun 20 18:57:37 GMT 2025","v1 > Onboarding > Validate invitation","Bank User","",""
"","86","Empty password - Send user invitation token","QA|Nova Bank - Infopool","Fri Jun 20 18:57:38 GMT 2025","passed","Fri Jun 20 18:57:38 GMT 2025","v1 > Onboarding > Complete profile","Bank User","",""
"","992","Create a New Issue","QA|Nova Bank - Infopool","Fri Jun 20 18:57:38 GMT 2025","passed","Fri Jun 20 18:57:39 GMT 2025","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
"","186","Update Issue","QA|Nova Bank - Infopool","Fri Jun 20 18:57:47 GMT 2025","passed","Fri Jun 20 18:57:47 GMT 2025","v1 > Customer 360 > Issues > update issue","Bank User","",""
"","88","No Auth - Get Issue by ID","QA|Nova Bank - Infopool","Fri Jun 20 18:57:47 GMT 2025","passed","Fri Jun 20 18:57:47 GMT 2025","v1 > Customer 360 > Issues > get issue by Id","Bank User","",""
"","95","Invalid user phone number - Search Customers","QA|Nova Bank - Infopool","Fri Jun 20 18:57:50 GMT 2025","passed","Fri Jun 20 18:57:50 GMT 2025","v1 > Customer 360 > Search for a customer > search by phone number","Bank User","",""
"","82","No Auth - Search Customers","QA|Nova Bank - Infopool","Fri Jun 20 18:57:50 GMT 2025","passed","Fri Jun 20 18:57:50 GMT 2025","v1 > Customer 360 > Search for a customer > search by phone number","Bank User","",""
"","97","Create organization - empty city value","QA|Nova Bank - Infopool","Fri Jun 20 18:58:04 GMT 2025","passed","Fri Jun 20 18:58:05 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","102","Fetch sub-organizations of a parent organization","QA|Nova Bank - Infopool","Fri Jun 20 18:58:06 GMT 2025","passed","Fri Jun 20 18:58:06 GMT 2025","v1 > Organizations > Sub-organizations > Fetch sub-organizations","Bank Admin","",""
"","87","No Auth - Change password","QA|Nova Bank - Infopool","Fri Jun 20 18:57:34 GMT 2025","passed","Fri Jun 20 18:57:34 GMT 2025","v1 > Profile > Password","Bank User","",""
"","84","No auth - Fetch all users in an organization","QA|Nova Bank - Infopool","Fri Jun 20 18:58:07 GMT 2025","passed","Fri Jun 20 18:58:07 GMT 2025","v1 > Organizations > Users > Fetch users in an organization","Bank Admin","",""
"","133","Update organization details by ID - successful","QA|Nova Bank - Infopool","Fri Jun 20 18:58:05 GMT 2025","passed","Fri Jun 20 18:58:05 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","138","Update Customer Comment","QA|Nova Bank - Infopool","Fri Jun 20 18:57:49 GMT 2025","passed","Fri Jun 20 18:57:49 GMT 2025","v1 > Customer 360 > Comments > update comment to customer","Bank User","",""
"","85","Fetch user by ID - invalid ID","QA|Nova Bank - Infopool","Fri Jun 20 18:58:02 GMT 2025","passed","Fri Jun 20 18:58:02 GMT 2025","v1 > Users > Fetch user by ID","Bank Admin","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","86","Invalid Auth - Empty Channel - Get Email or SMS OTP","QA|Nova Bank - Infopool","Fri Jun 20 18:57:33 GMT 2025","passed","Fri Jun 20 18:57:33 GMT 2025","v1 > Auth > MFA > Request","Bank User","",""
"","85","Empty first name - Send user invitation token","QA|Nova Bank - Infopool","Fri Jun 20 18:57:38 GMT 2025","passed","Fri Jun 20 18:57:38 GMT 2025","v1 > Onboarding > Complete profile","Bank User","",""
"","85","Update organization details by ID - incorrect business manager ID","QA|Nova Bank - Infopool","Fri Jun 20 18:58:06 GMT 2025","failed","Fri Jun 20 18:58:06 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","166","update role","QA|Nova Bank - Infopool","Fri Jun 20 18:58:03 GMT 2025","passed","Fri Jun 20 18:58:03 GMT 2025","v1 > Users > Role > Update role","Bank Admin","",""
"","98","Fetch user by ID - successful","QA|Nova Bank - Infopool","Fri Jun 20 18:58:02 GMT 2025","passed","Fri Jun 20 18:58:02 GMT 2025","v1 > Users > Fetch user by ID","Bank Admin","",""
"","160","Get events - invalid end date","QA|Nova Bank - Infopool","Fri Jun 20 18:57:36 GMT 2025","passed","Fri Jun 20 18:57:36 GMT 2025","v1 > Audit trail > Event","Bank User","",""
"","114","Update user - successful","QA|Nova Bank - Infopool","Fri Jun 20 18:58:02 GMT 2025","passed","Fri Jun 20 18:58:03 GMT 2025","v1 > Users > Update user","Bank Admin","",""
"","83","Add user to an organization - no auth","QA|Nova Bank - Infopool","Fri Jun 20 18:58:07 GMT 2025","passed","Fri Jun 20 18:58:07 GMT 2025","v1 > Organizations > Users > Add users to an organization","Bank Admin","",""
"","82","No auth - get user role","QA|Nova Bank - Infopool","Fri Jun 20 18:58:03 GMT 2025","passed","Fri Jun 20 18:58:03 GMT 2025","v1 > Users > Role > Get role","Bank Admin","",""
"","85","Get profile - No Auth","QA|Nova Bank - Infopool","Fri Jun 20 18:57:35 GMT 2025","passed","Fri Jun 20 18:57:35 GMT 2025","v1 > Profile > Get profile","Bank User","",""
"","95","Invalid ID - Delete Customer Comment","QA|Nova Bank - Infopool","Fri Jun 20 18:57:49 GMT 2025","passed","Fri Jun 20 18:57:49 GMT 2025","v1 > Customer 360 > Comments > delete customer comment","Bank User","",""
"","86","No Auth - Get all Issues","QA|Nova Bank - Infopool","Fri Jun 20 18:57:46 GMT 2025","passed","Fri Jun 20 18:57:46 GMT 2025","v1 > Customer 360 > Issues > get all issues","Bank User","",""
"","87","Invalid Id - Update Issue","QA|Nova Bank - Infopool","Fri Jun 20 18:57:47 GMT 2025","failed","Fri Jun 20 18:57:47 GMT 2025","v1 > Customer 360 > Issues > update issue","Bank User","",""
"","97","Role does not exist - update role","QA|Nova Bank - Infopool","Fri Jun 20 18:58:03 GMT 2025","passed","Fri Jun 20 18:58:03 GMT 2025","v1 > Users > Role > Update role","Bank Admin","",""
"","99","Search Customers","QA|Nova Bank - Infopool","Fri Jun 20 18:57:49 GMT 2025","passed","Fri Jun 20 18:57:50 GMT 2025","v1 > Customer 360 > Search for a customer > search by phone number","Bank User","",""
"","87","Get profile - user not logged in","QA|Nova Bank - Infopool","Fri Jun 20 18:57:35 GMT 2025","passed","Fri Jun 20 18:57:35 GMT 2025","v1 > Profile > Get profile","Bank User","",""
"","100","Create organization - empty street value","QA|Nova Bank - Infopool","Fri Jun 20 18:58:05 GMT 2025","passed","Fri Jun 20 18:58:05 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","3179","Fetch Customers Accounts","QA|Nova Bank - Infopool","Fri Jun 20 18:57:57 GMT 2025","failed","Fri Jun 20 18:58:00 GMT 2025","v1 > Customer 360 > Fetch customer accounts","Bank User","",""
"","91","Update user - empty action field","QA|Nova Bank - Infopool","Fri Jun 20 18:58:03 GMT 2025","passed","Fri Jun 20 18:58:03 GMT 2025","v1 > Users > Update user","Bank Admin","",""
"","152","Get events - end date earlier than start date","QA|Nova Bank - Infopool","Fri Jun 20 18:57:36 GMT 2025","passed","Fri Jun 20 18:57:37 GMT 2025","v1 > Audit trail > Event","Bank User","",""
"","173","No Auth - Fetch all users","QA|Nova Bank - Infopool","Fri Jun 20 18:58:02 GMT 2025","passed","Fri Jun 20 18:58:02 GMT 2025","v1 > Users > Fetch users","Bank Admin","",""
"","129","audit trail","QA|Nova Bank - Infopool","Fri Jun 20 18:57:37 GMT 2025","passed","Fri Jun 20 18:57:37 GMT 2025","v1 > Audit trail > Audit trail","Bank User","",""
