"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","56","Empty issue category - Create a New Issue","QA|Nova Bank - Infopool","Sun Jun 22 20:11:07 GMT 2025","passed","Sun Jun 22 20:11:07 GMT 2025","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
"","45","Remove user from an organization - no auth","QA|Nova Bank - Infopool","Sun Jun 22 20:11:30 GMT 2025","passed","Sun Jun 22 20:11:30 GMT 2025","v1 > Organizations > Users > Remove users from an organization","Bank Admin","",""
"","3099","No Auth - Add attachment to issue","QA|Nova Bank - Infopool","Sun Jun 22 20:11:11 GMT 2025","passed","Sun Jun 22 20:11:14 GMT 2025","v1 > Customer 360 > Issues > add attachment to issue","Bank User","",""
"","46","No auth - Generator Customers Transactions Statement - PDF","QA|Nova Bank - Infopool","Sun Jun 22 20:11:20 GMT 2025","passed","Sun Jun 22 20:11:20 GMT 2025","v1 > Customer 360 > Generate customers transaction statement","Bank User","",""
"","70","Search Customers","QA|Nova Bank - Infopool","Sun Jun 22 20:11:15 GMT 2025","passed","Sun Jun 22 20:11:15 GMT 2025","v1 > Customer 360 > Search for a customer > search by name","Bank User","",""
"","49","Invalid authentication - Send user invitation token","QA|Nova Bank - Infopool","Sun Jun 22 20:11:06 GMT 2025","passed","Sun Jun 22 20:11:06 GMT 2025","v1 > Onboarding > Complete profile","Bank User","",""
"","59","Update user - invalid action","QA|Nova Bank - Infopool","Sun Jun 22 20:11:21 GMT 2025","passed","Sun Jun 22 20:11:21 GMT 2025","v1 > Users > Update user","Bank Admin","",""
"","58","Empty new password - Change password","QA|Nova Bank - Infopool","Sun Jun 22 20:11:03 GMT 2025","passed","Sun Jun 22 20:11:03 GMT 2025","v1 > Profile > Password","Bank User","",""
"","47","Update user - no auth","QA|Nova Bank - Infopool","Sun Jun 22 20:11:21 GMT 2025","passed","Sun Jun 22 20:11:21 GMT 2025","v1 > Users > Update user","Bank Admin","",""
"","57","Create organization - no country ID","QA|Nova Bank - Infopool","Sun Jun 22 20:11:29 GMT 2025","passed","Sun Jun 22 20:11:29 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","51","Send user invitation token - successful","QA|Nova Bank - Infopool","Sun Jun 22 20:11:06 GMT 2025","passed","Sun Jun 22 20:11:06 GMT 2025","v1 > Onboarding > Complete profile","Bank User","",""
"","54","Invalid ID - Delete Customer Comment","QA|Nova Bank - Infopool","Sun Jun 22 20:11:15 GMT 2025","passed","Sun Jun 22 20:11:15 GMT 2025","v1 > Customer 360 > Comments > delete customer comment","Bank User","",""
"","61","Create organization - no name","QA|Nova Bank - Infopool","Sun Jun 22 20:11:28 GMT 2025","passed","Sun Jun 22 20:11:28 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","128","Get events - invalid start date","QA|Nova Bank - Infopool","Sun Jun 22 20:11:05 GMT 2025","passed","Sun Jun 22 20:11:05 GMT 2025","v1 > Audit trail > Event","Bank User","",""
"","46","No Auth - Fetch all organizations","QA|Nova Bank - Infopool","Sun Jun 22 20:11:29 GMT 2025","passed","Sun Jun 22 20:11:29 GMT 2025","v1 > Organizations > Fetch organization","Bank Admin","",""
"","67","Fetch organizations by ID - No Auth","QA|Nova Bank - Infopool","Sun Jun 22 20:11:29 GMT 2025","passed","Sun Jun 22 20:11:29 GMT 2025","v1 > Organizations > Fetch organiation by ID","Bank Admin","",""
"","64","get user role","QA|Nova Bank - Infopool","Sun Jun 22 20:11:21 GMT 2025","passed","Sun Jun 22 20:11:22 GMT 2025","v1 > Users > Role > Get role","Bank Admin","",""
