"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","82","Empty last name - Send user invitation token","QA|Nova Bank - Infopool","Fri Jun 27 18:58:12 GMT 2025","passed","Fri Jun 27 18:58:12 GMT 2025","v1 > Onboarding > Complete profile","Bank User","",""
"","96","Update organization details by ID - name already exists","QA|Nova Bank - Infopool","Fri Jun 27 18:58:39 GMT 2025","passed","Fri Jun 27 18:58:39 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","91","Invalid Operation - Get Email or SMS OTP","QA|Nova Bank - Infopool","Fri Jun 27 18:58:06 GMT 2025","passed","Fri Jun 27 18:58:06 GMT 2025","v1 > Auth > MFA > Request","Bank User","",""
"","170","Invalid credentials","QA|Nova Bank - Infopool","Fri Jun 27 18:57:58 GMT 2025","passed","Fri Jun 27 18:57:58 GMT 2025","v1 > Auth > Session > Login","Bank User","",""
"","262","Change password - successful","QA|Nova Bank - Infopool","Fri Jun 27 18:58:07 GMT 2025","passed","Fri Jun 27 18:58:08 GMT 2025","v1 > Profile > Password","Bank User","",""
"","78","No auth - get user role","QA|Nova Bank - Infopool","Fri Jun 27 18:58:37 GMT 2025","passed","Fri Jun 27 18:58:37 GMT 2025","v1 > Users > Role > Get role","Bank Admin","",""
"","927","Fetch Customer's Financial Summary","QA|Nova Bank - Infopool","Fri Jun 27 18:58:24 GMT 2025","passed","Fri Jun 27 18:58:25 GMT 2025","v1 > Customer 360 > Fetch customer's financial summary","Bank User","",""
"","95","Delete organization details by ID -Invalid Id","QA|Nova Bank - Infopool","Fri Jun 27 18:58:40 GMT 2025","passed","Fri Jun 27 18:58:40 GMT 2025","v1 > Organizations > Delete organization","Bank Admin","",""
"","86","No user credentials","QA|Nova Bank - Infopool","Fri Jun 27 18:58:05 GMT 2025","passed","Fri Jun 27 18:58:05 GMT 2025","v1 > Auth > Session > Login","Bank User","",""
"","949","Successful login","QA|Nova Bank - Infopool","Fri Jun 27 18:57:57 GMT 2025","passed","Fri Jun 27 18:57:58 GMT 2025","v1 > Auth > Session > Login","Bank User","",""
"","151","Get events - invalid end date","QA|Nova Bank - Infopool","Fri Jun 27 18:58:10 GMT 2025","passed","Fri Jun 27 18:58:11 GMT 2025","v1 > Audit trail > Event","Bank User","",""
"","78","No auth - Create  organization","QA|Nova Bank - Infopool","Fri Jun 27 18:58:37 GMT 2025","passed","Fri Jun 27 18:58:38 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","79","No auth - Fetch all users in an organization","QA|Nova Bank - Infopool","Fri Jun 27 18:58:40 GMT 2025","passed","Fri Jun 27 18:58:41 GMT 2025","v1 > Organizations > Users > Fetch users in an organization","Bank Admin","",""
"","149","Fetch Customer By ID","QA|Nova Bank - Infopool","Fri Jun 27 18:58:23 GMT 2025","passed","Fri Jun 27 18:58:23 GMT 2025","v1 > Customer 360 > Fetch customer by ID","Bank User","",""
"","92","Empty new password - Change password","QA|Nova Bank - Infopool","Fri Jun 27 18:58:08 GMT 2025","passed","Fri Jun 27 18:58:08 GMT 2025","v1 > Profile > Password","Bank User","",""
"","78","No Auth - Fetch Customer Comments","QA|Nova Bank - Infopool","Fri Jun 27 18:58:22 GMT 2025","passed","Fri Jun 27 18:58:22 GMT 2025","v1 > Customer 360 > Comments > fetch customer comment","Bank User","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","127","Get Email or SMS OTP","QA|Nova Bank - Infopool","Fri Jun 27 18:58:06 GMT 2025","passed","Fri Jun 27 18:58:06 GMT 2025","v1 > Auth > MFA > Request","Bank User","",""
"","81","No Auth - Get Issue by ID","QA|Nova Bank - Infopool","Fri Jun 27 18:58:20 GMT 2025","passed","Fri Jun 27 18:58:20 GMT 2025","v1 > Customer 360 > Issues > get issue by Id","Bank User","",""
"","128","Add attachment to issue","QA|Nova Bank - Infopool","Fri Jun 27 18:58:21 GMT 2025","failed","Fri Jun 27 18:58:21 GMT 2025","v1 > Customer 360 > Issues > add attachment to issue","Bank User","",""
"","82","Fetch user by ID - invalid ID","QA|Nova Bank - Infopool","Fri Jun 27 18:58:36 GMT 2025","passed","Fri Jun 27 18:58:36 GMT 2025","v1 > Users > Fetch user by ID","Bank Admin","",""
"","78","No Auth - Fetch Customer's Financial Summary","QA|Nova Bank - Infopool","Fri Jun 27 18:58:25 GMT 2025","passed","Fri Jun 27 18:58:25 GMT 2025","v1 > Customer 360 > Fetch customer's financial summary","Bank User","",""
"","3181","Fetch Customers Accounts","QA|Nova Bank - Infopool","Fri Jun 27 18:58:31 GMT 2025","failed","Fri Jun 27 18:58:34 GMT 2025","v1 > Customer 360 > Fetch customer accounts","Bank User","",""
"","98","Get all definitions","QA|Nova Bank - Infopool","Fri Jun 27 18:58:35 GMT 2025","passed","Fri Jun 27 18:58:35 GMT 2025","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"","90","Update profile - Invalid file size","QA|Nova Bank - Infopool","Fri Jun 27 18:58:10 GMT 2025","passed","Fri Jun 27 18:58:10 GMT 2025","v1 > Profile > update profile image","Bank User","",""
"","89","successful dashboard embed","QA|Nova Bank - Infopool","Fri Jun 27 18:58:34 GMT 2025","passed","Fri Jun 27 18:58:35 GMT 2025","embed dashboard","Bank User","",""
"","80","No auth - update role","QA|Nova Bank - Infopool","Fri Jun 27 18:58:37 GMT 2025","passed","Fri Jun 27 18:58:37 GMT 2025","v1 > Users > Role > Update role","Bank Admin","",""
"","93","Role does not exist - update role","QA|Nova Bank - Infopool","Fri Jun 27 18:58:37 GMT 2025","passed","Fri Jun 27 18:58:37 GMT 2025","v1 > Users > Role > Update role","Bank Admin","",""
"","99","Get roles - successful","QA|Nova Bank - Infopool","Fri Jun 27 18:58:41 GMT 2025","passed","Fri Jun 27 18:58:42 GMT 2025","v1 > Roles > Get roles","Bank Admin","",""
"","93","Create organization - organization type ID does not exist","QA|Nova Bank - Infopool","Fri Jun 27 18:58:38 GMT 2025","passed","Fri Jun 27 18:58:38 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","78","No_auth_add_comments","QA|Nova Bank - Infopool","Fri Jun 27 18:58:22 GMT 2025","passed","Fri Jun 27 18:58:22 GMT 2025","v1 > Customer 360 > Comments > add comment to customer","Bank User","",""
"","94","Create organization - operations manager ID does not exist","QA|Nova Bank - Infopool","Fri Jun 27 18:58:38 GMT 2025","passed","Fri Jun 27 18:58:38 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","82","Get profile roles - No Auth","QA|Nova Bank - Infopool","Fri Jun 27 18:58:07 GMT 2025","passed","Fri Jun 27 18:58:07 GMT 2025","v1 > Profile > Roles","Bank User","",""
"","88","No email - Forgot Password","QA|Nova Bank - Infopool","Fri Jun 27 18:58:06 GMT 2025","passed","Fri Jun 27 18:58:06 GMT 2025","v1 > Auth > Forgot password > Initiate forget password","Bank User","",""
"","686","verifyOTP","QA|Nova Bank - Infopool","Fri Jun 27 18:58:05 GMT 2025","passed","Fri Jun 27 18:58:05 GMT 2025","v1 > Auth > Session > verify OTP","Bank User","",""
