"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","87","Get profile - No Auth","QA|Nova Bank - Infopool","Sun Jul 06 20:11:33 GMT 2025","passed","Sun Jul 06 20:11:33 GMT 2025","v1 > Profile > Get profile","Bank User","",""
"","96","Create organization - empty description","QA|Nova Bank - Infopool","Sun Jul 06 20:12:02 GMT 2025","passed","Sun Jul 06 20:12:02 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","102","Fetch all organizations","QA|Nova Bank - Infopool","Sun Jul 06 20:12:03 GMT 2025","passed","Sun Jul 06 20:12:03 GMT 2025","v1 > Organizations > Fetch organization","Bank Admin","",""
"","95","Update organization details by ID - name already exists","QA|Nova Bank - Infopool","Sun Jul 06 20:12:03 GMT 2025","passed","Sun Jul 06 20:12:03 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","81","No Auth - Update definition","QA|Nova Bank - Infopool","Sun Jul 06 20:12:00 GMT 2025","passed","Sun Jul 06 20:12:00 GMT 2025","v1 > Static Definitions > Update definition","Bank Admin","",""
"","101","Invalid ID -Get Issue by ID","QA|Nova Bank - Infopool","Sun Jul 06 20:11:44 GMT 2025","passed","Sun Jul 06 20:11:45 GMT 2025","v1 > Customer 360 > Issues > get issue by Id","Bank User","",""
"","92","Invalid ID - Delete Customer Comment","QA|Nova Bank - Infopool","Sun Jul 06 20:11:47 GMT 2025","passed","Sun Jul 06 20:11:47 GMT 2025","v1 > Customer 360 > Comments > delete customer comment","Bank User","",""
"","324","Update profile - successful","QA|Nova Bank - Infopool","Sun Jul 06 20:11:33 GMT 2025","passed","Sun Jul 06 20:11:33 GMT 2025","v1 > Profile > Update profile","Bank User","",""
"","81","Update organization details by ID - incorrect operation manager ID","QA|Nova Bank - Infopool","Sun Jul 06 20:12:04 GMT 2025","failed","Sun Jul 06 20:12:04 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","93","Create organization - organization type ID does not exist","QA|Nova Bank - Infopool","Sun Jul 06 20:12:02 GMT 2025","passed","Sun Jul 06 20:12:02 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","80","No Auth - Fetch Customer Comments","QA|Nova Bank - Infopool","Sun Jul 06 20:11:46 GMT 2025","passed","Sun Jul 06 20:11:46 GMT 2025","v1 > Customer 360 > Comments > fetch customer comment","Bank User","",""
"","94","Update profile - no phone number","QA|Nova Bank - Infopool","Sun Jul 06 20:11:33 GMT 2025","passed","Sun Jul 06 20:11:33 GMT 2025","v1 > Profile > Update profile","Bank User","",""
"","100","Invalid ID - Add Comment to Customer","QA|Nova Bank - Infopool","Sun Jul 06 20:11:46 GMT 2025","passed","Sun Jul 06 20:11:46 GMT 2025","v1 > Customer 360 > Comments > add comment to customer","Bank User","",""
"","97","Invalid email format","QA|Nova Bank - Infopool","Sun Jul 06 20:11:28 GMT 2025","passed","Sun Jul 06 20:11:28 GMT 2025","v1 > Auth > Session > Login","Bank User","",""
"","90","No user credentials","QA|Nova Bank - Infopool","Sun Jul 06 20:11:28 GMT 2025","passed","Sun Jul 06 20:11:28 GMT 2025","v1 > Auth > Session > Login","Bank User","",""
