"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","134","Get events - invalid end date","QA|Nova Bank - Infopool","Wed Jul 09 18:51:24 GMT 2025","passed","Wed Jul 09 18:51:24 GMT 2025","v1 > Audit trail > Event","Bank User","",""
"","44","No auth - Delete Attachment from Issue","QA|Nova Bank - Infopool","Wed Jul 09 18:51:34 GMT 2025","passed","Wed Jul 09 18:51:34 GMT 2025","v1 > Customer 360 > Issues > delete attachment to an issue","Bank User","",""
"","45","No_auth_add_comments","QA|Nova Bank - Infopool","Wed Jul 09 18:51:34 GMT 2025","passed","Wed Jul 09 18:51:34 GMT 2025","v1 > Customer 360 > Comments > add comment to customer","Bank User","",""
"","57","Create organization - no name","QA|Nova Bank - Infopool","Wed Jul 09 18:51:48 GMT 2025","passed","Wed Jul 09 18:51:48 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","50","Fetch user by ID - invalid ID","QA|Nova Bank - Infopool","Wed Jul 09 18:51:40 GMT 2025","passed","Wed Jul 09 18:51:40 GMT 2025","v1 > Users > Fetch user by ID","Bank Admin","",""
"","881","Fetch Customer's Financial Summary","QA|Nova Bank - Infopool","Wed Jul 09 18:51:35 GMT 2025","passed","Wed Jul 09 18:51:36 GMT 2025","v1 > Customer 360 > Fetch customer's financial summary","Bank User","",""
"","152","Get single definition","QA|Nova Bank - Infopool","Wed Jul 09 18:51:40 GMT 2025","passed","Wed Jul 09 18:51:40 GMT 2025","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"","56","Generator Customers Transactions Statement - PDF","QA|Nova Bank - Infopool","Wed Jul 09 18:51:39 GMT 2025","failed","Wed Jul 09 18:51:39 GMT 2025","v1 > Customer 360 > Generate customers transaction statement","Bank User","",""
"","56","Update profile - no phone number","QA|Nova Bank - Infopool","Wed Jul 09 18:51:24 GMT 2025","passed","Wed Jul 09 18:51:24 GMT 2025","v1 > Profile > Update profile","Bank User","",""
"","231","Change password - successful","QA|Nova Bank - Infopool","Wed Jul 09 18:51:22 GMT 2025","passed","Wed Jul 09 18:51:22 GMT 2025","v1 > Profile > Password","Bank User","",""
"","46","No auth - Fetch sub-organizations of a parent organization","QA|Nova Bank - Infopool","Wed Jul 09 18:51:49 GMT 2025","passed","Wed Jul 09 18:51:49 GMT 2025","v1 > Organizations > Sub-organizations > Fetch sub-organizations","Bank Admin","",""
"","59","Fetch organizations by ID - successful","QA|Nova Bank - Infopool","Wed Jul 09 18:51:48 GMT 2025","passed","Wed Jul 09 18:51:48 GMT 2025","v1 > Organizations > Fetch organiation by ID","Bank Admin","",""
"","47","Empty password - Send user invitation token","QA|Nova Bank - Infopool","Wed Jul 09 18:51:25 GMT 2025","passed","Wed Jul 09 18:51:25 GMT 2025","v1 > Onboarding > Complete profile","Bank User","",""
"","3137","Update user - no auth","QA|Nova Bank - Infopool","Wed Jul 09 18:51:41 GMT 2025","passed","Wed Jul 09 18:51:44 GMT 2025","v1 > Users > Update user","Bank Admin","",""
"","58","ID does not exist - Get single definition","QA|Nova Bank - Infopool","Wed Jul 09 18:51:40 GMT 2025","passed","Wed Jul 09 18:51:40 GMT 2025","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"","102","add_comment_successfully","QA|Nova Bank - Infopool","Wed Jul 09 18:51:34 GMT 2025","passed","Wed Jul 09 18:51:34 GMT 2025","v1 > Customer 360 > Comments > add comment to customer","Bank User","",""
"","104","Update Customer Comment","QA|Nova Bank - Infopool","Wed Jul 09 18:51:34 GMT 2025","passed","Wed Jul 09 18:51:34 GMT 2025","v1 > Customer 360 > Comments > update comment to customer","Bank User","",""
"","130","Get events - invalid start date","QA|Nova Bank - Infopool","Wed Jul 09 18:51:24 GMT 2025","passed","Wed Jul 09 18:51:24 GMT 2025","v1 > Audit trail > Event","Bank User","",""
"","478","Create a New Issue","QA|Nova Bank - Infopool","Wed Jul 09 18:51:25 GMT 2025","passed","Wed Jul 09 18:51:26 GMT 2025","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
"","77","Add user to an organization - successful","QA|Nova Bank - Infopool","Wed Jul 09 18:51:50 GMT 2025","passed","Wed Jul 09 18:51:50 GMT 2025","v1 > Organizations > Users > Add users to an organization","Bank Admin","",""
"","46","Fetch user by ID - no auth","QA|Nova Bank - Infopool","Wed Jul 09 18:51:40 GMT 2025","passed","Wed Jul 09 18:51:40 GMT 2025","v1 > Users > Fetch user by ID","Bank Admin","",""
"","156","Invalid credentials","QA|Nova Bank - Infopool","Wed Jul 09 18:51:20 GMT 2025","passed","Wed Jul 09 18:51:20 GMT 2025","v1 > Auth > Session > Login","Bank User","",""
"","49","No Auth - Update definition","QA|Nova Bank - Infopool","Wed Jul 09 18:51:40 GMT 2025","passed","Wed Jul 09 18:51:40 GMT 2025","v1 > Static Definitions > Update definition","Bank Admin","",""
"","52","Invalid token - Validate user invitation token","QA|Nova Bank - Infopool","Wed Jul 09 18:51:25 GMT 2025","passed","Wed Jul 09 18:51:25 GMT 2025","v1 > Onboarding > Validate invitation","Bank User","",""
"","87","Fetch Customer By ID - invalid id","QA|Nova Bank - Infopool","Wed Jul 09 18:51:35 GMT 2025","failed","Wed Jul 09 18:51:35 GMT 2025","v1 > Customer 360 > Fetch customer by ID","Bank User","",""
"","100","Fetch Customer Comments","QA|Nova Bank - Infopool","Wed Jul 09 18:51:34 GMT 2025","passed","Wed Jul 09 18:51:34 GMT 2025","v1 > Customer 360 > Comments > fetch customer comment","Bank User","",""
"","45","Delete organization details by ID - No auth","QA|Nova Bank - Infopool","Wed Jul 09 18:51:49 GMT 2025","passed","Wed Jul 09 18:51:49 GMT 2025","v1 > Organizations > Delete organization","Bank Admin","",""
"","67","Update organization details by ID - parent_id","QA|Nova Bank - Infopool","Wed Jul 09 18:51:49 GMT 2025","passed","Wed Jul 09 18:51:49 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","58","Create organization - empty description","QA|Nova Bank - Infopool","Wed Jul 09 18:51:48 GMT 2025","passed","Wed Jul 09 18:51:48 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","44","No Auth - Fetch all organizations","QA|Nova Bank - Infopool","Wed Jul 09 18:51:48 GMT 2025","passed","Wed Jul 09 18:51:48 GMT 2025","v1 > Organizations > Fetch organization","Bank Admin","",""
"","94","resend_invitation_toUser","QA|Nova Bank - Infopool","Wed Jul 09 18:51:25 GMT 2025","passed","Wed Jul 09 18:51:25 GMT 2025","v1 > Onboarding > Validate invitation","Bank User","",""
"","59","Fetch user by ID - ID does not exist","QA|Nova Bank - Infopool","Wed Jul 09 18:51:40 GMT 2025","passed","Wed Jul 09 18:51:40 GMT 2025","v1 > Users > Fetch user by ID","Bank Admin","",""
"","57","Create organization - empty city value","QA|Nova Bank - Infopool","Wed Jul 09 18:51:48 GMT 2025","failed","Wed Jul 09 18:51:48 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","66","Search Customers","QA|Nova Bank - Infopool","Wed Jul 09 18:51:35 GMT 2025","passed","Wed Jul 09 18:51:35 GMT 2025","v1 > Customer 360 > Search for a customer > search by name","Bank User","",""
"","45","No Auth - Get Issue by ID","QA|Nova Bank - Infopool","Wed Jul 09 18:51:30 GMT 2025","passed","Wed Jul 09 18:51:30 GMT 2025","v1 > Customer 360 > Issues > get issue by Id","Bank User","",""
"","56","Update profile - invalid phone number","QA|Nova Bank - Infopool","Wed Jul 09 18:51:24 GMT 2025","passed","Wed Jul 09 18:51:24 GMT 2025","v1 > Profile > Update profile","Bank User","",""
"","56","Invalid ID - Delete Customer Comment","QA|Nova Bank - Infopool","Wed Jul 09 18:51:35 GMT 2025","passed","Wed Jul 09 18:51:35 GMT 2025","v1 > Customer 360 > Comments > delete customer comment","Bank User","",""
"","59","managers","QA|Nova Bank - Infopool","Wed Jul 09 18:51:50 GMT 2025","passed","Wed Jul 09 18:51:50 GMT 2025","v1 > Organizations > Managers > Fetch managers of an organization","Bank Admin","",""
